date,rating,note,review_text
2024-06-01,5,Stayed with a pet,Fantastic! Super easy to get in! Huge water fall on one of the nature paths that was unexpected and also easy to get to. Beautiful place and perfect glamping set up.
2024-06-01,5,Stayed a few nights,Great stay loved the area
2024-06-01,5,Stayed one night,"We had a great stay! There was some confusion between the listing and the information inside the rental between whether tea, a s’mores kit, firewood, and other items were included in the price of the stay. Otherwise, the place was private and the bed was so comfortable!"
2024-06-01,5,Stayed a few nights,"The company is super responsive and the views of the forest from bed are magical, the only misleading thing are the prices for the additional goods. There are signs indoors related to what the firewood & smores cost but some of the items are free for Airbnb guests. Overall would love to stay here again it was a very peaceful gateaway!"
2024-06-01,5,Stayed a few nights,Everything was amazing love this place! :)
2024-06-01,5,Stayed a few nights,Can’t say enough good things about this experience - have already recommended to friends and family!
2024-06-01,5,Stayed a few nights,"We loved our stay at the Getaway! The cabin was cozy, peaceful and perfect for a weekend away. The other cabins were closer than expected but still private. Would love to stay again."
2024-06-01,5,Stayed a few nights,"Really enjoyed my time in at Getaway. The cabin was cute, private, and the surrounding environment was beautiful. Neighbors were all respectful and quiet. Would visit again!"
2024-06-01,5,Stayed with a pet,This place is clean and a good location in Ballard. The host is super kind and offered us home made kombucha and a coffee in the morning. They were very responsive to questions as well. Would 10/10 reccomend.
2024-06-01,5,Stayed one night,"I chose to stay at the Getaway when in town visiting the North Cascades NP and I could not have been happier with my choice. This airbnb is, by far, one of the nicest places I have stayed. The location was absolute perfection, secluded and peaceful yet not too far from town where there were several food options available. The hosts go above and beyond to supply everything you could possibly need to enjoy your stay here, including all campfire amenities. Extremely well thought out and put together. I thoroughly enjoyed my stay and hope to return again. HIGHLY RECOMMEND"
2024-06-01,5,Stayed one night,This is the perfect cabin for a peaceful getaway for the weekend! Whether you are inside or outside it feels like you are right in nature! Everything was spotless and the perfect size for a weekend getaway! I’ve already told all my friends and can’t wait to come back again!
2024-06-01,5,Stayed a few nights,Super cute. Never made a fire before and even though I used a fire starter I still put the logs there left feeling very skilled and independent
2024-06-01,5,Stayed one night,Had a lovely time in a more private setting and a great view ! It was so peaceful waking up to nature right outside the window. Very minimalist and had all the essentials.
2024-05-01,5,Stayed a few nights,"Exactly as pictured and described. The map at the entrance is important to note, and the one-way drive paths make it easy to navigate. Helpful to arrive during daylight to see the signs. We have AT&T and cellular reception was not an issue. Easy to get to Mt Vernon and Skagit Valley for great restaurants."
2024-05-01,5,Stayed a few nights,Amazing view from the window!
2024-05-01,5,Stayed one night,The perfect place for a getaway.
2024-04-01,5,Stayed a few nights,Its a nice romantic place to get away! I will def come back again!
2024-04-01,5,Stayed one night,"Love this cozy, clean, well appointed place! Great job!"
2024-04-01,5,Stayed a few nights,The check in and out was so easy and was beautiful out there. Definitely recommend
