date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"This was a great place to stay for a quick weekend vacation. The location was great - close to Grand Haven and Holland - and there was lots to do! Very cozy and nice place, with lots of special touches. Would definitely stay again!"
2024-06-01,5,Stayed a few nights,"Perfect, clean, quaint place for a solo work trip (and within walking distance to a great coffee shop/lunch place). I'll be back!"
2024-06-01,5,Stayed one night,Jill's loft was very nice. The space was clean and had everything you need. It is in a good location to walk to many coffee shops/restaurants as well.
2024-06-01,5,Stayed a few nights,"Just returning from a wonderful 2 night stay at Lee & Jill's loft. It was easy to find and access and from the moment we walked in, had a great vibe to it. One of our favorite stays to date!. Everything was spotless, the loft was wonderfully decorated featuring a fantastic TV and kitchen that had everything we needed to cook a few meals. Their were detailed instructions and rules, tips on local eateries and a nice history of the loft and the area. Felt very safe, the neighbor across the street introduced himself. Very nice man. All in all, we just loved this stay and the areas we explored from Muskegon down to Grand Haven and Holland. Thank you Lee and Jill!"
2024-06-01,5,Stayed a few nights,Perfect Place!
2024-06-01,5,Stayed a few nights,Very cute place and worth the money! Everything you need for a great stay. Close to downtown and various restaurants. I would definitely stay here again! 😊
2024-04-01,4,Stayed a few nights,Thanks for the great apartment. I was in town for work and needed someplace to just collapse once I left the jobsite. This fit the bill. Super clean and and a quite neighborhood.
2024-04-01,5,Stayed one night,"We have a great stay at Jill’s place. The instructions were very clear and the place was wonderfully stacked. However, the only thing that was a little inconvenient was the mattress. I have back pain problem and the mattress doesn’t requisite support for someone with back problem, so if you don’t have back problems, no need to worry at all. I would recommend the stay."
2024-04-01,5,Stayed one night,Gorgeous place! It was perfect for a little getaway!
2024-04-01,5,Stayed a few nights,"I had a lovely stay at the loft. It was super cute, well stocked, and comfortable. Parking was simple, and getting inside was straightforward. I would stay here again."
2024-04-01,5,Stayed a few nights,great host
2024-04-01,5,Stayed a few nights,"This is a wonderful location, walking distance to restaurants and other amenities. View of Muskegon Lake. Description and photos are accurate. Comfortable and spacious efficiency. Jill and Lee did a wonderful job designing this space, with lots of thoughtful touches and generous amenities."
2024-02-01,5,Stayed a few nights,"My stay was wonderful! The place was so cozy and clean, I felt right at home. Perfect for my weekend get away, I would recommend to anyone looking for a great comfortable stay in this area!"
2024-02-01,5,Stayed a few nights,It is right in the middle of lots to do. very peacful and quiet neighborhood. Jill and Lee were quick to respond to the only issue we had via the description we though access to loft was through the back porch door but it was and is through the front porch door located on the right hand side of the driveway. Parking for the loft is on the left side of the house. Other than that the loft was fantastic. Hosts were very responsive and on our departing day we got some snow and the driveway and footpath where we were instructed to park was shoveled. The place is great and the hhe hosts were fantastic. If you are coming to Muskegon to enjoy the great outdoors this loft is a great spot to kick back and enjoy after a day's adventure.
2024-02-01,5,Stayed a few nights,"I enjoyed my stay, Jills place is so comfy and cozy. Very quiet neighborhood. I was thoroughly impressed!"
2024-02-01,5,Stayed over a week,Second time staying here! It’s great! Close to everything!
2024-01-01,5,Stayed one night,Will most likely be back because of the comfort provided! Great little loft just the right mood for a getaway. Highly recommend this gem!
2024-01-01,5,Stayed a few nights,"One of the best stays I’ve had on air bnb. Awesome unit! Very clean with everything you would need to make it feel like home. Quiet area of Muskegon, just blocks from downtown."
2024-01-01,5,Stayed over a week,I enjoyed another great stay with Jill! Such a comfortable place to enjoy some time away. Thank you!
2023-12-01,5,Stayed one night,Great spot.
2023-12-01,5,Stayed a few nights,"JILL’s place was exactly what she said it would be and more. It was very easy to find and to enter. Upon entering, she had turned on some lights for me and even had a cute little Christmas up in the space. The kitchen was functional and she provided a cute little baskets of goodies, bottle of wine and a thank you note for staying there. I would definitely book this again."
2023-11-01,5,Stayed a few nights,Lee and Jill were great hosts! The place was very cute and cozy.
2023-11-01,5,Stayed one night,Clean and easy to find little pad in the heart of Muskegon. Walkable to downtown bars and restaurants yet still quiet enough to get a good nights rest. Very reasonably priced.
2023-11-01,5,Stayed a few nights,"Perfect place! Awesome, in fact! Loved the location, the view and the amenities were more than expected! Will be back!The hosts are the best! This place is warm and cozy! You will love it!"
2023-11-01,5,Stayed a few nights,"A very cozy and quiet loft. Perfect for a Mom-cation or quick getaway for a couple to relax and recharge, (we are local, just 15 minutes south), but if your coming from out of town you won’t find a better place! Enjoy historic Muskegon, just blocks from Muskegon lake and the downtown area. Due to uncontrollable circumstances, I was not able to be there as much as I wanted to, but my wife absolutely loved it.
10/10 will definitely book again!"
2023-11-01,5,Stayed a few nights,"I was in need of a few days retreat and coming back “home” to Muskegon and Jill’s place was exactly what I needed. The space was so cozy, uniquely decorated and so purposefully situated. Everything I needed and didnt know I needed was taken care of. The basket of snacks in the kitchen was such a nice touch! The spot is located about a block from a beautiful coffee shop, as well as to the Muskegon Lake trail. Book it! Explore! Enjoy!"
2023-10-01,5,Stayed a few nights,I felt right at home when I walked in. It’s charming and comfortable. I needed a place that day and they were responsive and welcoming. I’d definitely stay with them again.
2023-10-01,5,Stayed a few nights,"Really enjoyed the space. The bed was comfortable and liked that they left snacks and wine for me.
The view from the office space is really nice as you are getting work done. Very good space."
2023-09-01,5,Stayed a few nights,"Cozy place for two people with everything you need. The kitchen is adorable, the water pressure in the shower is fantastic, and everything was as clean as can be. Close to everything that is downtown Muskegon, and a perfect spot for me and my daughter."
2023-09-01,5,Stayed a few nights,"Love an upstairs, 3 room secluded walk up studio apartment ? This is for you- plus a workspace mini loft - keep business separate from the fun! Details and character are everywhere- the push button light switches and the rattan stair step covers were so fun, then add cool sinks and faucets and views of Muskegon Lake from each northern window… coffee shop around the corner, specialty sandwiches st the corner- so much to enjoy at you abode- then you get to move on and around town too- as a former resident of the city, I truly enjoyed this location and comfort ability of the neighborhood."
2023-09-01,5,Stayed a few nights,"Loved my stay here! I was in Muskegon performing at a music festival, and Jill’s place was perfect — clean, quiet, and Jill was quick to respond to any questions I had. Highly recommended!"
2023-08-01,5,Stayed a few nights,Loved the place.
2023-08-01,5,Stayed a few nights,I really enjoyed staying in this gorgeous historic house. There was a booklet left to show the history and show different things going on. The host was so understanding and amazing because I had issues flying in due to weather and was still able to get in the house and sleep that night! A great place to stay if you're visiting the area worth every penny.
2023-08-01,5,Stayed a few nights,"Great little place..Met all of our needs while in the area for a family reunion. Easy parking, easy stairs to walk up to, comfortable bed and linens, nice cold a/c, good wifi, good water pressure in the shower and kitchen. Nice kitchen area with the basic stuff. Two things that I wish the unit had , 1-an ironing board (hard to iron in the bed a dress shirt) and 2- wish it was dog friendly so I can bring my little one with me but other then that it is FANTASTIC place to spend a couple of nights."
2023-08-01,5,Stayed a few nights,"Great hosts and a cute, cozy loft, perfect for a couple. Lots to do at the lake too."
