date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"We had an amazing stay! The property was do beautiful snd peaceful, and the house felt so welcoming. We enjoyed the nature and wildlife, especially the deer in the evening. Jerry and Alma paid attention to all the welcoming details and made us feel right at home. Would go back in a second!"
2024-06-01,5,Stayed with a pet,"Jerry and Alma’s place is our favorite place to stay when we’re in the area. The location is convenient, and it meets all our needs beautifully."
2024-06-01,5,Stayed a few nights,Jerry and Alma’s home was perfect for our family’s stay for Notre Dame graduation! We loved the history of the house and the location on the river. They were great with communication and helped made the weekend go smoothly!
2024-06-01,5,Stayed one night,Beautiful home and beautiful location!
2024-05-01,5,Stayed with a pet,"The home was beautiful. I love how they incorporated the history of the home.
This place sits beautifully on a river and very close to town."
2024-03-01,5,Stayed with a pet,we really loved the home and the big property! we had a blast made a bon fire grill walked around with our newborn and dogs. the house was awesome a lot of history! Jerry and Alma were super helpful and nice ! highly recommend!
2024-03-01,5,Stayed with a pet,"Jerry and Alma were fantastic hosts. Property was well maintained, super cozy and very inviting. We look forward to staying again in the near future."
2024-03-01,5,Stayed one night,Was a wonderful place to stay and a beautiful house. Thank you for sharing it!
2024-02-01,5,Stayed with a pet,"Jerry and Alma's place was wonderful for our needs this trip!
Check-in was a breeze, and we were delighted by their welcoming note.
The house is conveniently located - minutes from downtown South Bend and from the Notre Dame Campus. The property feels secluded in spite of its proximity to everything, and it was very easy to get to.
The house was spacious, clean, and tidy. There was plenty of room for our small family on this trip, and we'd have room to spread out if we were traveling with a group. The kitchen is spacious and well-equipped. The bathrooms even had commonly forgotten toiletries!
The property has lots of open space and some wooded areas. We weren't feeling adventurous enough to go down to the river, but you certainly could! Our dog loved sniffing around and exploring the space.
Jerry and Alma were easy to get ahold of, and we did take advantage of the opportunity to meet them and learn more about the house. They are extremely friendly and know the area well!"
2024-04-01,5,Stayed with kids,This was a perfect place to celebrate for my daughter and her friends. The space was exactly what we needed. Thank you for being available!
2023-12-01,5,Stayed a few nights,This was my second stay here and due to unfortunate circumstances I had to extend my stay. Tom and his wife Luann were extremely kind and accommodating to me. Just genuinely good people! I would stay here every time I travel back home if I could. Thank you so much for everything!! Still think this place is amazing!
2023-10-01,5,Stayed a few nights,The hosts were extremely friendly and accommodating. They offered us an inflatable mattress and extra sheets so we could all sleep comfortably. The place is comfortable and nice. Still being renovated but it doesn't affect quality of life of the living area. Property is beautiful.
2023-10-01,5,Stayed a few nights,"Loved our stay at the Izzy Inn. Hosts were super friendly and responsive even as we arrived late and needed some help with extra bedding. The photos do not due justice to how spacious it is, with very large TV and leather recliners. Kitchen and bathroom were great, and loved the awesome shower. Thanks so much for having us,
Jamie"
