date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"Great house, we enjoyed our stay as we were only a mile from
Our relatives home that we were in town to visit."
2024-06-01,5,Stayed a few nights,"When needing a place to stay in Norfolk, don’t pass this place up."
2024-06-01,5,Group trip,"Beautiful, spacious, comfortable and clean. Modern decorations. Beautiful yard. Loved the open layout and big windows. I would easily book again."
2024-05-01,5,Stayed a few nights,"My parents and I were attending a graduation and wanted something more comfortable than a hotel room. This house was perfect for our needs. The beds and linens were so comfortable, the kitchen had everything we needed, the windows all through the home were exquisite, there really was nothing Danielle had not thought of. The furnishings and accents were on point and tasteful. For me the ideal AirBnB is a space that could be your second home. A space that feels like it could be yours - comfortable, well-appointed, and peaceful. This house was all of this."
2024-04-01,5,Stayed a few nights,Great communication and exactly as described… looking forward to our next stay.
2024-04-01,5,Stayed a few nights,"We loved this home. It provided every need we had for this trip. It was beautifully decorated, the kitchen had ample supply of updated cookware and appliances. The laundry room had everything we needed and same with both bathrooms. The place was very clean and and made me feel comfortable and safe. The bed was very comfortable. I travel with a bedtopper and sheets and did not need them. We loved all the windows and looking out from the hilltop down to the city lights. We also enjoyed walking the neighborhood each day to get some exercise. The one car garage was perfect for our mid size suv. It has a large back yard that we could enjoy with kids or a dog, play some lawn games etc. The host was very responsive and had a welcome brochure with local restaurants and activities etc. We loved this place so much, we are booking it for a family reunion event coming up this summer."
2024-04-01,5,Stayed with kids,"This was my second stay at this house, and third at one of Danielle’s properties. We always enjoy our stay, and appreciate all of the care and details she puts into her properties."
2024-04-01,5,Stayed with kids,"My husband and I and 2 of our grown children, son in law, and one grandchild stayed during the process of my brother's death and funeral. Danielle was very kind and understanding during this difficult time. The house is beautiful, clean, and everything we needed was there for our comfort. The view out the East top floor living room windows is breathtaking! I would love to stay here again, and will book this house if it is available on our next trip to Norfolk."
2024-03-01,5,Group trip,This house is beautiful and we had a wonderful stay. Thank you very much!
2024-03-01,5,Stayed with kids,We stayed for 10 days. Very comfortable beds and linens! Spacious and uncluttered! Danielle was responsive to early requests for additional amenities to make our stay more comfortable.
2024-03-01,5,Stayed about a week,great space to feel comfortable in your stay in the City!!
2024-02-01,5,Group trip,This property is exactly as described and exceeded our expectation. Danielle was always on point with communication from before arrival to the end of our stay. We loved staying here and HIGHLY recommend it.
2024-02-01,5,Stayed about a week,"very beautiful home ,
but It was har to use AC controller, other than that everything was perfect."
2024-01-01,5,Stayed about a week,is still a great place.
2023-12-01,5,Stayed a few nights,Danielle was very easy to work with. house was clean and suited us well. Absolutely no issues. would stay again without question.
2023-12-01,5,Stayed about a week,"it is a comfortable, clean, tidy and quiet place, it had everything necessary for our stay."
2023-12-01,5,Stayed a few nights,"Wonderful stay at Danielle’s Home. Quiet neighborhood, great backyard with a wonderful view. Comfortable beds, and furniture. The basement set up was our favorite spot to lounge and watch tv. Kitchen was stocked with the essentials for making meals. I highly recommend staying when in Norfolk, we plan to do the same when back in town."
2023-11-01,5,Stayed over a week,Looked great - very nice with two completely separate living areas so for a business trip easy to share with colleagues.
2023-11-01,5,Stayed a few nights,"Great set up and lovely decor, this house was perfect for our stay!"
2023-10-01,5,Group trip,"I will continue to stay at this location when in town. By far the cleanest, easiest to access, host great, and overall layout of house was great."
2023-10-01,5,Group trip,Really nice place and great location. Felt at home and Danielle was very responsive when I had a question. We will definitely stay here again for the next family event!
2023-10-01,5,Stayed with a pet,"Amazing home to stay in! Great location in Norfolk, quiet neighborhood. Danielle was a great host - super responsive to messages and left great instructions on how to get inside and great recommendations for things to do around Norfolk. The house matched the pictures, and well stocked with dishes and kitchen appliances, linens and towels. We will definitely stay here again on our next trip back to Norfolk."
2023-09-01,5,Stayed a few nights,"Great place, very clean and plenty of room."
2023-08-01,5,Stayed a few nights,Beautiful home!
2023-08-01,5,Stayed with a pet,Great place to stay! Open floor plan with great kitchen! Beds were comfortable! Plenty of space like in her photos! Very modern. Nicely done bath. Nice to see grill in garage if needed. Wifi was easy to access!
2023-07-01,4,Stayed a few nights,The house was nice and clean. The beds were comfy and the furniture was very trendy but not super comfortable.
2023-07-01,5,Stayed about a week,I can see why they say this place is a rare find! It was a perfect house to stay at! Everything about the house and area was perfect!
2023-07-01,5,Stayed about a week,"We really enjoyed the time we spend in this property, there is plenty of room and very well decorated We will definitely stay here again
Daniele’s communication is fast and helpful."
2023-07-01,5,Stayed a few nights,"We loved the decor, the kitchen, and the big windows in the living room perched up high. The whole home was really clean and the design was really good."
2023-06-01,4,Stayed a few nights,Good place to stay!
2023-06-01,5,Stayed a few nights,Amazing place! And wonderful host! Thank you!
2023-06-01,5,Stayed a few nights,Nice place! Easy to feel like home
2023-06-01,4,Stayed with kids,Was a great place to stay and very convenient to the ball fields as we were there for softball districts :)
2023-06-01,5,Stayed a few nights,I have returned home and it is still among the places that I would return to again and again
2023-06-01,5,Group trip,"The place was great, and Danielle was very responsive toward our needs!"
2023-06-01,5,Stayed about a week,"Definitely angina would come back one and other times, thank you for your attention"
2024-04-01,5,Stayed a few nights,We were in town for work and this was a huge step up from our usual hotel accomodations!
2024-03-01,5,Group trip,Daughters and I enjoyed the stay! Was just what we needed for a family function (to feel at home). Will definitely be staying at this home again! Thank you Josie for letting us enjoy your space!
2024-03-01,5,Stayed over a week,"Everything was great, the apartment was clean. Almost in the city center. The owner was helpful."
2023-12-01,5,Stayed with kids,Everything was comfortable and clean.
2023-12-01,5,Stayed a few nights,"a very cozy, clean and tidy place."
2023-11-01,5,Stayed with kids,We had a great experience with Josie! She was so friendly and the apartment was better than described. We had family in for Thanksgiving and they raved about the accommodations! Thank you for taking one thing off my list of things to worry about! We hope to book with y’all in the future!
2024-06-01,5,Stayed with kids,"Great place , that fit all our needs"
2024-06-01,5,Stayed a few nights,"Great location, very clean and accommodating and a wonderful host. Will be back!"
2024-04-01,5,Group trip,Beautiful home and great host. Keypad to the door stopped working and she responded to me immediately and helped us get in. Quiet and peaceful. Very clean and spacious
2024-04-01,5,Stayed a few nights,"Elizabeth was very responsive and gave clear instructions on how to get into the home. There was a book that explained everything about the cabin and property. this was very helpful when we needed stuff or how to get something to work. The cabin was adorable! It was clean, organized, and had everything that we needed. It was only a few minutes from Norfolk but had an country feel which was a perfect combination. My family is already asking when we can book it again."
2024-04-01,5,Stayed with kids,Spring Cabin was such a welcoming home. Very well stocked with so many extra amenities. Host was very responsive. Our family felt right at home.
2024-03-01,5,Stayed a few nights,Always a pleasure staying at this beautiful house. It's always super clean and Elizabeth is a great host. Highly recommended to all.
2024-03-01,5,Stayed with kids,Great place to stay. Our family felt right at home. We would definitely recommend if you are visiting Norfolk! Thanks again!
2024-02-01,5,Stayed about a week,nice house
2024-02-01,5,Group trip,Great place for a group to stay!
2024-01-01,5,Stayed a few nights,This is a great value for the money. Very peaceful and calm. Elizabeth was always available and very helpful. Would highly recommend this great experience to anyone.
2024-01-01,5,Stayed with kids,"Second time staying here, and it was wonderful both times. Great for a family, comfortable home. Everything was clean and in great order. We’ve only stayed in winter, so haven’t used the outdoor space but it looks great."
2023-12-01,5,Stayed a few nights,Elizabeth house was very clean and comfortable. Very informative with instructions. I would highly recommend for anyone else looking to stay in lake Dallas.
2023-11-01,5,Stayed a few nights,This was the perfect quiet get away for a weekend. We were looking for a nice place to just hang out and relax and this was perfect!
2023-11-01,5,Stayed with kids,"We enjoyed our stay tremendously! From the moment we walked in, the place was spotless and welcoming. It had all the amenities and was warm cozy and comfortable. The hosts communicated well and we’re always responsive with our needs. Highly recommend!!!"
2023-10-01,5,Stayed with kids,Great place to stay! House was cozy and laid out well for two families to stay together. Very clean and comfortable!
2023-10-01,5,Stayed a few nights,Everything was great! Highly recommended
2023-10-01,5,Stayed with kids,Elizabeth was very accommodating for making adjustments prior to our stay and very responsive to questions that came up during our stay! Great home and would recommend to anyone visiting the area!
2023-10-01,5,Stayed a few nights,Cabin was beautiful. Thanks for letting us stay there!
2023-10-01,5,Stayed a few nights,"My original reservation was cancelled by AirBnB the day of! I received notification whilst on the road. I was able to book this beautiful cabin on short notice and it exceeded my expectations.
This cabin is close enough to town to be convenient, but just far outside of city limits to feel remote. The cabin was spotless with every amenity I could have asked for.
There were plenty of nightlights, K-Cups, even foil and baggies. The beds and pillows were top notch. I enjoyed sitting on the porch, having a cuppa and watching the sunrise over the prairie.
My stay in Norfolk was enjoyable!"
2023-10-01,5,Stayed with kids,"We had an excellent stay, with room for the whole family. Home is very nicely decorated and well taken care of. Would absolutely stay here again next time we visit the area."
2023-09-01,5,Stayed a few nights,Worked for us
2023-09-01,5,Stayed with kids,We felt very comfortable and enjoyed the private location
2023-09-01,5,Stayed with kids,"We really enjoyed our stay at this beautiful cabin. Extremely clean, comfortable beds and extra touches made my family feel at home! We will book again next time we are in the Norfolk area."
2023-08-01,5,Stayed a few nights,A great location and property that exceeded out needs.
