date,rating,note,review_text
2024-06-01,5.0,Stayed with a pet,"Dustin’s place was perfect for a cozy stay on our roadtrip. It had everything we needed, was perfectly clean, the parking spot was right outside, and private. It was easy to check-in and comfortable! Couldn’t ask for a better spot to crash!"
2024-06-01,5.0,Stayed with a pet,"Perfect little spot to rest after a long drive. Super clean and comfortable, dog loved it too!"
2024-06-01,5.0,Stayed with a pet,Perfect for the overnight stay while traveling through Nebraska
2024-06-01,5.0,Stayed one night,This was the perfect place to stop off the interstate for the night! Very clean and no weird smells. Dustin was clear and responsive with messaging. The back patio space is beautiful and shaded and it was nice sitting out there in the morning.
2024-05-01,5.0,Stayed with a pet,"My boyfriend and I stayed here with our two dogs for a few days, and we really enjoyed the space. It is a tiny home, but they have maximized their space and it is extremely cozy. Definitely a cute little town and would recommend staying here if you’re passing through!"
2024-04-01,5.0,Stayed with a pet,"absolutely everything you need! lots of stores within walking distance, but quiet still. very thoughtfully decorated and cozy. my baby, dog and myself loved this little cottage"
2024-04-01,5.0,Stayed with a pet,"Dustin was a great host! His place was super clean, cute and cozy! He even left out bowls and treats for my dog. I would definitely stay here again!"
2024-04-01,5.0,Stayed with a pet,"Clean & cozy place, great directions & check-in instructions from Dustin. North Platte is a nice little town. Worth stopping."
2024-04-01,5.0,Stayed one night,"My golden retriever and I had a perfect stay at this super clean, quiet spot on our road trip. The location was excellent - close to Rte 80 and stores, and Dustin's directions were very clear and easy to follow. I especially appreciated the full, well-stocked kitchen. Dog walks were easy around the neighborhood and Dustin even provided a few other suggestions for places to exercise my pup. I would absolutely stay here again!"
2024-04-01,5.0,Stayed one night,"Just did an overnight on my way through the area, was close to the freeway, food, gas and Walmart. Super cute, pretty quiet even though you're near a major street. Hot water on demand is always great!"
2024-03-01,5.0,Stayed with a pet,Beautifully decorated above and beyond high end hotels.
2024-03-01,5.0,Stayed with a pet,What a nice tiny home to rest in. Dustin was great and communicative. I got delayed due to a blizzard and he was quick to respond and was nice enough to refund the night I had to cancel. I came in the next day and was glad to see a notebook with local suggestions. I had a delicious dinner at North 40 Chophouse and saw a little bit of North Platte. Everything was easy and the house has everything to make a stay comfortable & cozy!
2024-03-01,5.0,Stayed with a pet,This was a great stay! Cute little house with parking available off the street. I couldn’t fit my trailer unfortunately but my truck fit perfectly and we had a nice night.
2024-03-01,5.0,Stayed one night,I needed a quiet place to relax after a very long drive and the nest was just what I needed.
2024-03-01,5.0,Stayed a few nights,"The ""nest"" is adorable. It was perfect for my husband and I - everything we needed. We got to see all of North Platte that we made the trip for and everywhere was easy to get to from the ""nest"". It was just like new! And it brought us good luck as we watches our Iowa State Cycylones mens basketball team rock to be Conference Champions!!!"
2024-03-01,5.0,Stayed a few nights,Great little place with great communication from hosts. Would happily stay here again.
2024-03-01,5.0,Stayed a few nights,"The place was clean and comfortable. We were able to make the meals we wanted in the kitchen. It had everything we needed. There is limited seating, even for two, but the listing was clear that it was for two people only. We would stay again and recommend to others. Dustin was very responsive and replied quickly. We were able to experience a lot of the sandhill crane migration during our stay."
2024-02-01,5.0,Stayed with a pet,"Our stay at Noelle's Nest was wonderful! Super clean, comfortable bed, and lots of thoughtful touches. Perfect place for us to stay the night while traveling through North Platte. Quick and easy to find off of I80. Also appreciated that we could stay with our dog, Ollie. Friendly and proactive communication by Dustin. We hope to stay again on our travels!"
2024-02-01,5.0,Stayed a few nights,Very cute place really close to a bunch of places to eat and a couple of blocks from the Walgreens. Easy to get to from the interstate. I'd definitely stay here again.
2024-01-01,5.0,Stayed with a pet,"My boyfriend and I stayed here for a night during our road trip. The place was very clean and cozy, and they even left out treats for my kitties."
2024-01-01,5.0,Stayed one night,Great host and very comfy bed.
2024-01-01,5.0,Stayed with a pet,Great spot. Clean. Comfortable and a really helpful host.
2023-12-01,5.0,Stayed with a pet,"We used Dustin’s place as a quick overnight stop on a roadtrip back home—it was perfect! The nest was convenient, easy-to-find, cozy and well-kept. Thank you for allowing our two dogs to stay; we would stay here over a hotel any day!"
2023-12-01,5.0,Stayed one night,Great place to stay over on a roadtrip!
2023-12-01,5.0,Stayed with a pet,"My husband and I passed through North Platte on a road trip and booked Noelle’s Nest last-minute. Dustin checked in with us right away to give us arrival details, and their place was updated, fresh, and cozy. The bed was super comfortable and we appreciated the extra touches (treats and dog bowls for our pup, snacks and coffee for us, and easy phone charger built into the nightstand). It’s close to everything in town and convenient, but also very quiet inside. We’d absolutely stay again if we find ourselves back in town!"
2023-12-01,5.0,Stayed with kids,"This was the coziest and most beautiful home to stay in. Dustin is an amazing host!! Spotless, wonderful amenities and beautifully decorated. A terrible snow storm came through and he made sure there was a snow shovel and also informed us he would be by to shovel the walk. Being able to stay in such an amazing home allowed us to be with family for Christmas and that is priceless. Thank you Dustin and Noelle!!!!"
2023-12-01,4.0,Stayed one night,Lovely home and very clean. Everything was in its place. Would stay here again.
2023-12-01,5.0,Stayed with a pet,"This was a really great place to stay for a few days in North Platte. Although it is small, it really was the perfect size for 1 or 2 people and the layout was thoughtfully planned. Getting in was easy and the place was really cute and clean. The bed, pillows, and chair were all really comfortable. The kitchen had all of the necessities that I needed to cook for myself. I really appreciated how thoughtful Dustin was in providing pet dishes and a few treats for my pet. He also thought of his guests with coffee and a few snacks. The heater and tankless hot water heater both worked great and the instructions to use the Roku were clear. I would definitely recommend this place if you’re going to be in North Platte."
2023-12-01,4.0,Stayed one night,It was a nice little place that was clean and well cared for.
2023-11-01,5.0,Stayed one night,"Never stayed in ""tiny house"" before . such a charmer!"
2023-11-01,5.0,Stayed a few nights,"This Tiny Home was so adorable. Everything we needed and then some. Kitchen and Bathroom was spotless. Appliances, pots, pans, like new or were new. I even took the wrappers off pans that had not been used, EVER. We enjoyed our stay. Our fur baby really enjoyed treats left by Dustin. You couldn't ask for anything better."
