date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"This is our 2nd time staying at Twyla's, and it was as good as the first! We love this quaint, quirky, cozy place."
2024-02-01,5.0,Stayed a few nights,Exactly as advertised and as others had described on reviews. Clean and cozy.
2023-12-01,5.0,Stayed a few nights,"This is a great little apartment to stay in for visits and we'll definitely book with Kyla again if it's available next time we're in Oshkosh! The apartment is well stocked with anything you might need and Kyla was proactive to reach out during out visit to see if we needed anything! I expected a small, cramped place based on the pictures and was pleasantly surprised by how spacious it actually was. The furnishings and decor were great and well thought out, it left us feeling like were staying in someone's home rather than some cheap hotel like many places do. The little gifts are thoughtful and certainly unexpected, showing that Kyla doesn't treat you like just another customer, you truly are a guest."
2023-12-01,5.0,Stayed a few nights,"A great little spot, comfortable, and all amenities provided! Will definitely stay again!"
2023-12-01,5.0,Stayed a few nights,Enjoyed the stay very much. Great location for our needs and very affordable. Thanks for a helping make a fun weekend great!
2023-11-01,5.0,Stayed a few nights,we had a wonderful stay it was a very nice place for the weekend.
2023-10-01,5.0,Stayed with kids,"Words cannot express how much every one of us loved Kyla’s place - from the instant we set foot into the place until the moment we had to leave!! Comfy, creative and inviting decor. Everything you could ever need in every room and more - kitchen, bathroom, bedrooms, living room. Truly relaxing and heartwarming weekend!! Cannot wait to visit again!!"
2023-10-01,5.0,Stayed a few nights,Very good
2023-10-01,4.0,Stayed about a week,"This place is super cute (decorations). Nearly everything you could need is there. Kyla's parents are really nice. They left a few surprises too.
Internet speed was great (over 200 mbps). Off-street parking. Had AC but only in the living room and bedroom with two beds. A fan would have been nice for the master bedroom.
There is a street light that streams into the master bedroom but I do travel with a sleep mask so it wasn't too annoying.
I did have a few issues (three) with the keypad not working - they said it was the first time it happened. Hopefully the issue gets identified and fixed for future guests. They did quickly refund me the base rate for the night I was unable to get into the property due to the lock issue.
The stairs from the first floor landing to the unit are rather narrow due to the ""turning"" so this could be a difficult unit for someone with mobility issues to get into.
All in all, a good stay. If my son stays where he's at, I'll stay here again in the futur"
2023-09-01,5.0,Stayed a few nights,Convenient location and a very well-kept apartment close to the heart of downtown Oshkosh. Kyla was a great host that had check-in details and all other logistics perfectly laid out to make our trip to Oshkosh care free.
2023-09-01,5.0,Stayed with kids,The entry way was amazing and interesting. The Airbnb is just as decorated and special.
2023-09-01,5.0,Stayed about a week,"Nice place to stay, a quirky but not to quirky
Friendly they went above and beyond downtown is very nice lots of shops,farmers market and some bands on the square
We would stay again"
2023-08-01,5.0,Stayed a few nights,"This is a quirkily and delightfully decorated apartment in an older building close to downtown, convenient to the farmer's market and some good restaurants. It was cozy, charming and well-stocked with everything we would need. The owner left us some treats, which was very thoughtful (and delicious!). We will definitely return."
2023-08-01,5.0,Stayed with kids,Awesome stay.really neat design schema
2023-07-01,5.0,Stayed about a week,"Kyla is always helpful, everything was great and the amenities are unique. Thank you very much!"
2023-07-01,5.0,Stayed a few nights,We absolutely loved our stay in Oshkosh. The apartment itself was extremely charming and the balcony was great for morning coffee and breakfast. The location was a few blocks from Main Street and we really enjoyed being able to walk to the Farmers Market they hold on Saturdays.
2023-07-01,5.0,Stayed a few nights,"Kyla made my first stay at an airbnb simply outstanding. She was always responsive to messages (and I had many), kind, and full of information to make our stay seamless. The check in process was simple. The description of the property and amenities were spot on. All the extras included in the bathroom, such as shampoo, body wash and other toiletries, hairdryer, curling iron, first aid kit, bath salts and special lotions were incredible. The bed was super comfortable and the property is located in a quiet neighborhood. The little kitchen had everything we needed. When we realized the refrigerator was not cooling properly on day two of our stay, Kyla was immediately responsive and brought over a small refrigerator so our food would not spoil. What can I say about the fun and unique decor? Loved all the little quirky and fun things that were lovingly placed in the space. I would love to come back when we are in the area!"
2023-06-01,5.0,Stayed a few nights,"Kyla's place was super fun -- so much to see inside the apartment alone! The decor was very lively and artistic. We received a surprise donut delivery one morning, and great suggestions to visit the local farmer's market. The place was very clean and offered many amenities, and was just a quick walk to Main St in Oshkosh, where we found some great coffee shops, bars, and some fun shopping."
