date,rating,note,review_text
2024-06-01,5.0,Stayed one night,"We booked very late notice and the hosts were responsive and easy to work with. The apartment was exactly as pictured, clean, and comfy. Will be staying with them again."
2024-06-01,3.0,Stayed a few nights,Very clean. Just very close to main road which had traffic noise.
2024-06-01,5.0,Stayed a few nights,"If your visiting Ole Miss this is the place to stay. A short car ride to campus (less then 2 min) makes it ideal! It was exactly as described with nicely appointed furnishings and the bed was comfy!!!
Will definitely stay here again.
Nathan was kind enough to let us check out a little later in the morning which was awesome!!!
Hotty Toddy."
2024-06-01,5.0,Stayed a few nights,"Enjoyed our stay. One of the best places we have stayed in Oxford as the location was spot on and the place is cute, roomy, and comfortable! We will use them again. Thank you."
2024-06-01,4.0,Stayed a few nights,"Easy to get around Ole Miss and Oxford, close to baseball stadium, was very comfortable for two couples. Condo is upstairs so have to be able to climb stairs."
2024-06-01,5.0,Stayed a few nights,Beautiful home. Comfortable space. Peaceful back deck to drink morning coffee.
2024-06-01,5.0,Stayed a few nights,Beautifully decorated and immaculate!
2024-06-01,5.0,Stayed a few nights,"Awesome, would stay here again!"
2024-04-01,5.0,Stayed a few nights,This condo was great! Perfect for 2 adult couples! Walkable to the square and Ole Miss campus! The beds were super comfortable!
2024-04-01,5.0,Stayed one night,it was so great! nathan is very good at communicating and will answer any sort of question or concern you may have!
2024-04-01,5.0,Stayed a few nights,"This was our second stay at this condo and it was wonderful!! The condo was very clean and beautifully decorated. The beds are extremely comfortable and we just felt right at home. Great location, super close to the square and Ole Miss, we will definitely book again."
2024-04-01,5.0,Stayed a few nights,Anthony was a great host as always. His homes are always clean and in great condition. We enjoyed our stay.
2024-04-01,5.0,Stayed a few nights,Great condo!!!
2024-04-01,5.0,Stayed one night,"I/we have stayed at several of Nathan’s listings. Always responsive, helpful and thoughtful. As baseball dad, easy access to Swayzie. Jessica helped us out on a 2am arrival due to weather/planes - enjoyed it, thanks!!"
2024-04-01,5.0,Stayed a few nights,this is my fourth time staying at Nathan's property and I always am pleased with how it goes. They're extremely communicative and helpful. definitely recommend
2024-04-01,5.0,Stayed a few nights,"The place was clean, beautiful, and comfortable. It was not far away from any of the spots that I needed To go. The host was kind and quick to respond."
2024-04-01,5.0,Stayed a few nights,Great location/space for a nice Easter visit with our OM kid. The big back deck was a bonus.
2024-03-01,5.0,Stayed a few nights,"Great place, great decor. Definitely will stay again."
2024-03-01,5.0,Stayed a few nights,"Really loved Nathan's place. Super comfortable and well appointed. They were super responsive and the place was within walking distance of all the places I wanted to go and easy access from the highway/interstate. I will definitely recommend to others and be back. Thank you, Nathan and team!"
2024-03-01,5.0,Stayed a few nights,Had a great stay at this property. We were in town for a campus visit to Ole’ Miss and it was perfect location. Seemed like the property is working to update the workout/pool facility as it was closed when we were there. Would definitely stay here again.
2024-03-01,5.0,Stayed a few nights,"Nathan's condo was very clean, beautifully decorated and in a great location right near Ole Miss. It looked just like the photographs and check-in was very easy, and the host was great at communicating. Overall, an excellent stay!"
2024-03-01,5.0,Stayed a few nights,Stayed at Nathan's place for my daughters college visit at Ole Miss. This is a great location. Both close to the college and the square. Really enjoyed the two master bedrooms with giant King beds. This place is clean and comfortable. I would recommend this to others.
