date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,Very well kept and very clean
2024-06-01,5.0,Stayed a few nights,This is the second time we’ve stayed here. We enjoy the peaceful quiet beauty of the area. The apartment is furnished with everything we need. The bed is wonderful and the shower is strong. We’ll be back!
2024-06-01,5.0,Stayed a few nights,"This place is fantastic, and Larry is a wonderful host - friendly, helpful, and responsive. The place was perfect for my two-day stay, but I could have stayed much longer if needed. It has everything you need and it was spotless when I arrived. I debated between this place and another location, and after seeing both in person, I'm really happy that I chose this place. I'll book this stay again anytime I return to Enterprise. Thank you, Larry, for a great stay!"
2024-06-01,5.0,Stayed a few nights,Super impressed with the proactive anticipation of guests at this location. Clear signage and instructions along with a peaceful setting made this a place I’d come back to again and again.
2024-06-01,5.0,Stayed a few nights,"We thoroughly enjoyed our stay at The Sanctuary! Directions were clear and we had no issues finding the location whatsoever. We found the location peaceful, clean and secure. We genuinely had no issues with the stay whatsoever. Larry was readily responsive when we had inquiries and he ensured we had everything we needed for the entire duration of our stay."
2024-06-01,5.0,Stayed over a week,"We greatly enjoyed our stay. Nice quiet area, easy to navigate the facilities and Larry was super responsive to our needs. An all around great experience."
2024-04-01,5.0,Stayed a few nights,Wonderful host! I’ll be staying with Larry again!!
2024-04-01,5.0,Stayed a few nights,We've stayed here before and Larry's hospitality did not change from the first great stay here. We will definitely stay here again should we travel to Enterprise again.
2024-04-01,5.0,Stayed a few nights,Great stay!
2024-04-01,5.0,Stayed a few nights,Excellent layout! Country setting and very much like home feeling . Can not wait to book again next time!
2024-04-01,5.0,Stayed a few nights,We have stayed w Larry several times…feels like home..!!
2024-02-01,5.0,Stayed with kids,"""The Sacturay"" was a GREAT place for me and my family to stay. It was nice and cozy and VERY CLEAN!! I LOVED that there was a pack and play for my grand-daughter! And lets not forget about the Cargo lift! Mannn that was a lifesaver!!That really came in handy!! I will definitely be looking this spot up again for my next visit to Enterprise!!"
2024-02-01,5.0,Stayed with kids,"We had a great stay at Larry's. Very clean, probably the cleanest I've ever stayed in. Set up right and has everything you need. When we are back in the area this is where we will stay!"
2024-02-01,5.0,Stayed a few nights,Will definitely stay here again if I’m in Enterprise.
2024-01-01,5.0,Stayed with kids,We absolutely loved Larry’s place. He put some much thought into creating such a beautiful space. We felt right at home and I can’t express enough how clean it was! Great use of space. The cargo lift! The pictures didn’t even compare to the space. We will always come and visit this place when we are home to see friends and family
2024-01-01,5.0,Stayed a few nights,Great host and great rental. He went above beyond to ensure us a great stay. Very clean and quiet.
2024-01-01,5.0,Stayed a few nights,"Had a wonderful stay – the place was exceptionally clean, and the value for money was outstanding. Highly recommended!"
2024-01-01,5.0,Stayed one night,It was a great stay. It was cozy and comfortable place to grab a nights rest and some coffee!
2023-12-01,5.0,Stayed a few nights,"I hope I never have to look anywhere else besides here when I come to Enterprise. I cannot say enough about how much I love to stay here. It’s private, peaceful, close to everything and Larry is a great host. I highly recommend it here!!!"
2023-12-01,5.0,Stayed a few nights,Larry’s apartments are always so pristine and clean. Would recommend always recommend!
2023-12-01,5.0,Stayed a few nights,Great stay. Perfect space for two hunters in town for a few days.
