date,rating,note,review_text
2024-06-01,5.0,Stayed with kids,FAVORITE!! Love loved this place
2024-05-01,5.0,Stayed a few nights,"2nd stay at this property. As nice as the first time. We had more time to enjoy the house this time and loved sitting on the 2nd floor balcony in the evening. Historic downtown blocks away from home, loved being able to walk out to breakfast and dinner.
Sunrise on the St. Johns is a nice bonus."
2024-04-01,5.0,Stayed about a week,I will always stay at this house when I'm in town. It's a beautiful home and has everything you'd want.
2024-03-01,5.0,Stayed about a week,"A magnificent historical home, meticulously maintained, with a wonderful view of the river, with a dock! This is my 4th time to this home, and I’ll keep coming back!"
2024-03-01,5.0,Group trip,It was a great house! Would definitely stay there again! Julie was a great host!
2024-02-01,5.0,Stayed a few nights,"It was amazing to stay in a circa 1856 home, the decorations inside reminded you this is a special house with some period correct furniture and appliances. For example an old ice chest in the kitchen akin to one that might have been there over 100 years ago. It was the perfect mix of historical vs. modern in the home. Well done Julie!!
The location is breathtaking, situated on the St. Johns river, be sure to get up early and catch the sunrise which is spectacular over the river. You can very easily walk historic downtown Palatka from this home, everything you would want to walk to is under a half mile walk. We walked to breakfast each morning and dinner each evening.
The house is well appointed, kitchen has coffee in place with a Kurig style coffee maker and also a drip option if you prefer that. (bring some creamer they only have powdered which is understandable) The bathrooms has body wash, shampoo and conditioner in the showers. The linens were very nice too. Excellent stay!"
2023-11-01,5.0,Group trip,The sunrise views from porch and balconies were high value. The home and grounds provided great opportunities to enjoy the outdoors.
2023-06-01,5.0,Stayed a few nights,Julie was a great host and everything was just perfect I would recommend her place to everyone looking for a home away from home
2023-05-01,5.0,Stayed with kids,Fantastic place!
2023-05-01,5.0,Group trip,"Gorgeous home. I wish I lived in it! Comfy beds and linens. Great amenities, amazing appliances and gorgeous views. Host was super responsive and friendly. I will stay here again."
2023-03-01,5.0,Stayed a few nights,"Wow ! What a pleasure it was staying at Julie's Riverfront Home in the South Historic District of Palatka, FL, formerly known as The Quarterman House. The level of detail inside the home made the price an absolute bargain. The home is absolutely stunning and spectacular. The interior is extremely spacious and cozy and the beautiful exterior of the riverfront matched with the surrounding mossy oaks make you never want to leave! What a terrific piece of property this is and experience to stay at. Thank you very much Julie for providing us with a real treat. You have an extraordinary home and I hope to return again in the future. My best regards. Robert"
2023-03-01,5.0,Stayed a few nights,Great host and a great place
2022-12-01,5.0,Stayed a few nights,Really a nice and clean place and quiet neighborhood
2022-11-01,5.0,Stayed a few nights,"The house has the charm of a historic home and a touch of modern convenience.
We loved everything about the house. It's got a great location overlooking the river and within walking distance of downtown Palatka.
It's been remodeled recently and many things are brand new in the home.
Julie is a great host. We had to reschedule because of the hurricane and this was no issue for Julie rescheduling us to the following week.
Julie was in constant communication with us reassuring we had everything we needed in the home."
2024-06-01,5.0,Stayed a few nights,Everything was perfect. Super clean and so much attention to detail. I’m so happy to have rented from Faith! She is the best
2024-06-01,5.0,Stayed with a pet,We had a great stay at Faith’s. We are definitely thinking of staying again. The backyard is very cozy and great for your dogs. The house was very comfortable with plenty of room. It was nice and clean. Thanks Faith! I wish we could’ve brought our bikes because downtown is only a couple blocks away. The golf course and boat ramp are only a couple minutes away.
2024-06-01,5.0,Stayed with a pet,"Faith is awesome and so is her place! Lots of character, many thoughtful details, everything worked and really good value for money. We'd definitely come back!"
2024-06-01,5.0,Stayed with a pet,"This Airbnb has by far been our favorite of all time- from the lovely host, the abundance of amenities throughout the entire home, beautiful decor and back yard and the warm and cozy feel the house has. We loved our time here 🙂 Faith goes above and beyond for her guests and she is absolutely wonderful. Five stars all around ⭐️⭐️⭐️⭐️⭐️"
2024-04-01,5.0,Stayed a few nights,"charming, clean, comfortable beds, nice relaxing front porch, & felt safe."
2024-04-01,5.0,Stayed a few nights,very good
2024-04-01,5.0,Stayed a few nights,Faith was very helpful. We loved her home. We loved the front porch and the swing.
2024-04-01,5.0,Stayed with a pet,We had a great stay. Loved sitting on the front porch. Faith is so nice and helpful. Cute house. Plan to come back again.
2024-03-01,5.0,Stayed with a pet,"Faith’s home is clean and beautiful. We loved the porch, backyard, and all of the vintage charm. Beds were very comfortable with nice linens. We appreciated being able to have our fur baby join us. Faith has made sure all amenities are in place for a great stay. We will definitely be returning for another visit."
2024-03-01,5.0,Stayed with a pet,"The five stars says it all! Faith was very communicative throughout the entirety of our stay. Her place is so charming and warm. I especially loved the fenced in backyard where a lemon tree stands and squirrels and bird are happily eating at their respective feeders. The bed was super comfortable and the bathroom was spotless. I appreciated the organization and tidiness in the closets and common spaces. Overall, we felt relaxed and safe--two things that I highly prioritize. I only have positive things to say about our stay and would love to return for a longer stay. So much gratitude!"
2024-02-01,5.0,Stayed with a pet,"Very cozy, clean, and spacious getaway. We felt like we were visiting a home we grew up in. Only with a very comfortable kitchen and bathroom!:) Will come back!"
2024-02-01,5.0,Stayed a few nights,We found the place very comfortable and enjoyed our visit.
2024-02-01,5.0,Stayed a few nights,"We thoroughly enjoyed our stay at Faith’s Arts and Crafts bungalow! Faith was extremely helpful, provided great ideas for activities in the area and obviously cares about the community of Palatka. We enjoyed the reading material she provided, enjoyed sitting on the front porch and patio and loved taking walks downtown and to the waterfront."
2024-02-01,5.0,Stayed a few nights,"Want to step back into a by-gone era and reflect on a more simple, slower-paced life?
This bungalow is the perfect spot for you!
And so wonderfully affordable.
Easy to find...private...excellent location to explore the area but still kind of away from it all. (We enjoyed time in St. Augustine and Flagler Beach.)
We felt right at home and appreciated all the thoughtful touches included. Everything was nice and clean. Loved the well-suited kitchen!
Faith is an exceptional host. Proactive, very kind, and generous. Sure wish there were more hosts like her! Worthy of a 10 star rating."
2024-01-01,5.0,Stayed a few nights,Super clean. Extremely comfortable. Faith has thought of everything to make the stay enjoyable. Would definitely stay here again.
2024-01-01,5.0,Stayed a few nights,"Faith was absolutely amazing! She went above and beyond for my bridesmaids and I the night before my big day!
Highly recommended!"
2024-01-01,5.0,Stayed a few nights,Faiths location exceeded my expectations. The Airbnb is MORE than well equipped. I would definitely stay here again. The location is spacious and peaceful. My family loved it. My favorite was the bird feeder and seeing the squirrels eat the corn. Her Airbnb made me feel just at home.
2024-01-01,5.0,Stayed with a pet,This house was very clean and well decorated. It was very spacious. It was a perfect location and home for us and our dog. Would highly recommend this location. We would definitely book again.
2024-01-01,5.0,Stayed with a pet,We loved staying in the Bungalow! From the moment we walked in the door we felt like we were at home. Faith was very flexible on check-in/check-out times. We enjoyed playing the games that were provided as it was cold at the time of our stay. We would definitely like to stay again.
2023-12-01,5.0,Stayed a few nights,The place is so cute! I loved the fireplace and the squirrel feeder. Lots of happy fat squirrels were in residence. Faith offered to bring us more firewood if we needed but there was plenty and we never ran out. When there was severe weather she was more than accommodating and so generous. She really made our vacation wonderful.
2023-12-01,5.0,Stayed with a pet,"A beautiful 1925 Arts and crafts bungalow right out of the Sears catalogue will surely take you back to a simpler place in time. An atmosphere that will soothe your soul while you rock on the porch swing, cozy up by the fire, play the old records and watch the light shine through the stained glass. We had our own privacy and the place was very clean! This house made our trip! Would love to stay here again. Faith was very friendly, helpful and over generous!!!"
2023-12-01,5.0,Stayed a few nights,Faith's place is so lovely this is our third visit and we'realreadyplanning our fourth! It's a beautiful place and she is an excellent host.
2023-11-01,5.0,Stayed a few nights,Stayed at Faith’s house for the weekend. Really cozy and clean home. Short walk to downtown Palatka. Faith was very responsive if I had any questions. Would stay again.
2023-11-01,5.0,Stayed with a pet,"This was our fourth time staying at Faith’s place and we will definitely keep coming back not only because the place is beautiful, warm and clean, but also because Faith’s customer service is the best! Definitely Faith is the best!"
2023-10-01,5.0,Stayed with a pet,We love staying here! Faith has created a warm and inviting home that has everything we need. The king size bed is just as comfy as our bed at home. This home is a gem and we appreciate staying here.
2023-10-01,5.0,Stayed over a week,"Faith is a great, beautiful host. The house is decorated with so much love and consideration. Anything you could wish for, you find in this great bungalow. we felt so welcome, taken care of and so much at home. All super clean. Hope to come back."
2023-09-01,5.0,Stayed a few nights,"To say we felt right at home is an understatement. The charm of this bungalow is captivating. Every little detail you could think of was evident, including books on this period style home. We loved watching the squirrels eat the corn. What a pleasure! We highly recommend you book Faith's little slice of paradise. You won't regret it."
2023-09-01,5.0,Stayed a few nights,"Faith’s description of her place does not do it justice! It has historic charm yet had everything we needed. The home is easy to find. Very clean and comfortable. Faith herself, is kind, quick to respond and a generous host.
We have family in the area. We will book with her again next time we visit!"
2023-09-01,5.0,Stayed with a pet,"This was my first experience with an Airbnb rental. And I was amazed at how comfortable I felt right away. Faiths house was a home away from home. I loved the old artsy bungalow feel to the homes decor. Very pet friendly. You can tell Faith cared about her tenants and the four-legged friends that came with. I would definitely recommend this house and stay there again! Thank you again, Faith, for the experience!"
2023-09-01,5.0,Stayed a few nights,"Good morning dear Ms. Faith,
How are you? We are departing very happily and content! The key 🔑 is under the turtle 🐢 and covered 110%!
Please be blessed! We will see you next time! God willing!!
TY
Rashid and Masud!"
2023-08-01,5.0,Stayed a few nights,Always good and sweet
2023-07-01,5.0,Stayed with a pet,"Our stay was from July 17, 2023 - July 25, 2023. This eight-night stay we wished could have lasted twice as long. It definitely was a home away from home, and more. Faith is more than a super host; her heart is as big as the ocean. She places herself in your shoes and there is nothing she wouldn't do for you. It is an exceptional place to bring your dog. Faith told us about day trips available for us to take. Faith and Tripp kindly offered to care for our dog for the day while we went on the day trip. Faith is not only a super host, but she is also an exceptional woman whose kindness knows no bounds. The home is a relaxing and enjoyable retreat by itself. We enjoyed feeding the squirrels the corn husks and watching the colorful birds. The train is a couple of blocks away, we found the sound of the train soothing. The price is beyond reasonable, the memories you will make are lifelong. Faith and her loving, well cared for home will be unforgettable. Warmly, Patti & Scott"
2023-07-01,5.0,Stayed with a pet,Great place!
2023-07-01,5.0,Stayed with a pet,Very different experience with artistic deco and taste. Nothing flimsy nor splashy. Very clean with clear instructions to follow. Owner was very responsive and been in touch throughout our stay.Exactly as shown in the pictures. Would love to come back !!
2023-07-01,5.0,Stayed with a pet,We had an amazing stay at Faith's bungalow. The house is charming and comfortable. Our big dog felt welcome and had a blast too. There are restaurants near by and the drive to st. augustine is beautiful and goes quickly. We will stay here again if we have a reason to.
2023-06-01,5.0,Stayed about a week,There’s always let me feeling wonderful!
2023-06-01,5.0,Stayed a few nights,"Definitely a hidden gem in Palatka! This home is close to everything a visitor might want to do on a weekend visit...the St. John's River, Ravine Gardens and other activities. Clean and spacious are good words to describe this property. Hard to believe the house itself is almost 100 yrs old. Faith has done a great job of restoring and maintaining her Air B&B. Basic staples are in the kitchen to get your trip started...and grocery stores are within a couple miles so you can get yourself stocked up and ready for your Palatka adventures. Would definitely stay here again!"
2023-05-01,5.0,Stayed a few nights,This was an awesome spot to stay for the weekend! Had absolutely everything you need. Great little perks and tips were laid out for us and the location was close to downtown and by the festival. Would stay here again in a heartbeat.
2023-05-01,5.0,Stayed with a pet,We absolutely enjoyed our time here. Faith was very responsive and generous. We will definitely come back to visit again!
2023-05-01,5.0,Stayed with a pet,great place to be at for a week
2023-05-01,5.0,Stayed a few nights,It was beautiful!
2023-04-01,5.0,Stayed with kids,"Faith's home is a great home! Super clean, very comfortable and had all the touches of home. We will definitely stay here again! Thank you for a providing such a lovely home!"
2023-04-01,5.0,Stayed a few nights,Faith’s cozy place was such a welcomed need. Everything was perfect. Had an absolute great stay. Lots of things to do and great food nearby. Place is very clean and cozy. The absolute best welcome book that has everything you could possibly need to know. Definitely on a list of recommended places to stay.
2023-04-01,5.0,Stayed with a pet,"Love this little gem. This was my second time staying. Quaint little fenced in yard, easy parking, and in and out; very comfortable.
Faith thinks of everything! She had coffee, ice, some cold drinks in the fridge, the box of dog things set out. very clean and comfortable.
Would definitely stay again!
The area has lots of wonderful spots to eat. Palatka is a lovely little town; isn't far from St Augustine at much better rates! Enjoy."
2023-04-01,5.0,Stayed with kids,Great place to stay! Cute house that has been beautifully restored. Ample parking for truck and boat. Great locale close to city docks. Faith was a great hostess!
2023-03-01,5.0,Stayed about a week,Faith’s bungalow was a fantastic find and perfect for our trip. The house was decorated beautifully and immediately felt right at home. Everything was well stocked from bathroom amenities to cookware in the kitchen. Loved the supplies for the squirrel feeder and birds. Faith was prompt on communication and very gracious. We didn’t ask much or have much in the way of special requests but I don’t have a doubt that Faith would have done all she could to accommodate. Can’t wait to go back!
2023-03-01,5.0,Stayed with a pet,"This bungalow is very homey. The hostess Faith, provided lots of personal touches such as a fully stocked bbq, board games, reading materials, local restaurants and events. The place is exceptionally maintained and quaintly decorated. Faith thought of everything and also offered to provide custom items as requested. Highly recommend this place!"
2023-02-01,5.0,Stayed with a pet,"First and foremost - Faith is awesome! I mentioned I was staying at her home for my birthday weekend. She had a happy birthday sign waiting at the door and a delicious cake in the fridge. Her home was beautiful and clean. My pup felt right at home. The small yard was great for my dog. I hadn't realized the distance to St Augustine when I first booked, but the 30 min drive wasn't terrible at all. Make sure to grab a key when you get there and unload your car! I almost locked myself out!
The only complaint I'd have would be lack of light out back at night. The motion sensors don't stay on for long and I would've liked that especially when letting my dog out at night. Other than that tiny thing everything was amazing and we enjoyed our stay. Definitely take advantage of the corn for the squirrels. It was hilarious watching them all gather to get a bite.
Faith is truly an amazing host. She's incredibly thoughtful and her home has everything you need. Thanks again!"
2023-02-01,5.0,Stayed with kids,Was a great place
2023-02-01,5.0,Stayed with a pet,Faith’s place is super cute and charming. Within walking distance to the downtown area and centralized to a lot of restaurants and parks in the area. Faith was quick to respond if you have any questions. We will definitely be back ❤️
2023-02-01,5.0,Stayed about a week,"I had a wonderful time. It's a charming house and just a short walk, bike ride or drive to downtown."
2023-01-01,5.0,Stayed with a pet,"This bungalow is a treasure. She go's above and beyond. PERFECT for pets. Fenced in yard is fabulous.
Faith's recommendation for Corky Bell's @ Gator Landing was great. ( although they don't allow pets. even on the outside patio.
Everything is absolutely squeaky clean. She has messages all over explaining things. If you go when it's cool the fireplace is great. There is a log furnished but I would definitely suggest bringing a few more. There is a train track very close. I personally love the train horn but some folks may not."
2023-01-01,5.0,Stayed a few nights,This was the best Airbnb experience I’ve ever had—the host went above and beyond in being thoughtful. Can’t wait to stay again!
2023-01-01,5.0,Stayed a few nights,"Faith has gone above and beyond with making her guests feel welcome and ""at-home"". Really enjoyed the experience!"
2023-01-01,5.0,Stayed with a pet,"We had such a great time at Faith’s house.
It has all details that you can imagine and in winter the fireplace is priceless.
The state Park ravine gardens is just 4 min away from the house and it has many amazing trails to walk.
Our dog otto had one of his best weekends ever.
We are willing to come back"
2022-12-01,5.0,Stayed with kids,This Airbnb is centrally located and matches the description. We found it to be comfortable and well provisioned. The host was very responsive and thoughtful. We’d love to stay again!
2022-12-01,5.0,Stayed with a pet,"The house was very welcoming and inviting. Faith was very responsive and friendly. She left recommendations for restaurants around town with the menus. We had a very relaxing, peaceful stay and if we get a chance we will stay again."
2022-12-01,5.0,Stayed a few nights,"100 Stars!!! Perfect in every detail. 4 days of peace and relaxation in this cozy little space!!! Everything needed to have a great stay. Clean, comfortable and perfect in all the details that matter!!! Thank you Faith! You are an a number 1 host with a great little spot!!!!
Be Blessed!!!"
2022-12-01,5.0,Stayed a few nights,"Faith is an amazing host! Not only is her place beautiful and adorable, her personal touches make each stay unique."
2022-11-01,5.0,Stayed with kids,"Such a great stay! The house is charming and well equipped with any needs (son forgot his toothbrush and luckily there were new ones there)! Faith provided a great stay! Very clean, quiet, snacks and water were a nice addition, great communication! The fact that the hot water is endless was a huge plus! Would definitely recommend this to anyone and look forward to using it again if the need calls for it!"
