date,rating,note,review_text
2024-06-01,5.0,Stayed one night,"Great place, good price!"
2024-06-01,5.0,Stayed with a pet,Beautiful home we talked in person in the parking lot a little bit. Mary was super friendly and gave lots of recommendations on where to eat. Would definitely return to this place if in the area again
2024-04-01,5.0,Stayed one night,We enjoyed our stay . The apartment was very clean and the location was great!
2024-04-01,5.0,Stayed a few nights,Very nicely done garage apartment. Comfortable and relaxing.
2024-03-01,5.0,Stayed a few nights,"We have stayed in both apartments at Mugivan Manor. Both are gems! Mary is also a great, reliable host. We hope to return again when in the area."
2024-03-01,5.0,Stayed with a pet,Loved my stay! It was perfect for what I needed it for. Mary was a great host! Would love to stay again on my next visit!
2024-06-01,5.0,Stayed with a pet,"This place was very clean! They were super responsive and flexible with our late arrival time. They gave us plenty of privacy, we didn’t see them once. Would book again!"
2024-06-01,5.0,Stayed one night,Misty and Mark were so kind and accommodating! Excellent hosts
2024-06-01,5.0,Stayed a few nights,We had a great stay that provided easy access to the Nickle Plate and Pan Handle bike trails. Misty and Mark were most accommodating and the studio guest quarters were extremely comfortable. They have upgraded the seating from the gray couch to Lazy-Boy love seat recliners! Likely the cleanest Air B&B we have experienced. No steps and the curb less shower is much appreciated for us seniors. It was a little challenging finding the correct drive but there address number is on the mailbox and when you look for the white finish it is very obvious.
2024-06-01,4.0,Stayed about a week,"Beautiful place with wonderful surroundings! Quick responses from the owner and great fishing spot.
Only issue was it seemed like the shower wasn’t able to drain properly and left a lot of water on the floor, making it slick."
2024-05-01,5.0,Stayed a few nights,"Spacious, pristine, simple, charming, and everything we needed for our getaway from it all stay! Misty replied to any questions almost immediately! Mattress was softer than we were used to, so we were surprised at how comfortable it actually was - and the bedding was so cozy! The pond and woods trails provided an entertaining variety of nature for curious nature buffs like me. A beautiful, serene place. I plan to bring my daughter and her girls here soon! Tip: the bathroom is done in an industrial theme. It has a concrete floor that gets slippery when wet. There are a couple of bath mats on the floor and nice-sized non-skid mats in the shower. Those with falling or balance issues might want to bring flip-flops or shower shoes for extra precaution. We usually camp in our camper when we travel but love this place so much, we'll likely make this an annual (at least) to come visit."
2024-04-01,5.0,Stayed a few nights,It was easy to find and peaceful spot. Host was responsive and very nice. Location was perfect and apartment had everything we needed for a pleasant stay. Highly recommended!
2024-04-01,5.0,Stayed over a week,"We were in the area for work and Misty’s place worked out perfect for us until we were able to move into our house. We were able to grill outside, fish in the pond and enjoy some of the good restaurants in Peru. The dogs are super friendly!"
2024-04-01,5.0,Stayed one night,"I enjoyed our stay here! It was clean, neat, quiet and misty and her husband were great hosts! I absolutely loved the back yard and enjoyed the pond in the back. I wish we had more time to relax there!!"
2024-04-01,5.0,Stayed one night,"We had a great time here. Although our stay was short, since we mainly came just to see the eclipse, we still enjoyed our stay, and we would definitely come back. Everything was exactly as pictured, and the dogs were very friendly. It was easy to find and our host communicated everything very clearly."
2024-04-01,5.0,Stayed a few nights,"I stayed at Misty's place for a week of work. Misty is a great host. She's welcoming and responsive. She wanted to make sure I had everything I needed and did it. The efficiency apartment is an addition to the garage and is very nicely designed. It is on a beautiful property and was new, clean, and comfortable. I highly recommend Misty's place for anyone stying in the Peru area."
2024-04-01,5.0,Stayed one night,Misty's place was cute and cozy. The hosts were very responsive to messages and had a great recommendation for local food. I would definitely stay there again!
2024-03-01,5.0,Stayed with kids,absolutely perfect it was only a 7 minute drive from where my oldest was staying at grandma's the dogs were friendly and so were they
2024-03-01,5.0,Stayed with kids,"We took our grandson. He loved the dogs, had a great time fishing at the pond, and exploring the grounds. The sunset over the fields was beautiful. Town was very close and plenty of restaurants to choose from. The creative design of the accommodations is what drew us to this Air BNB. Thoughtful, private, peaceful, friendly. Great place to make memories."
2024-03-01,5.0,Stayed a few nights,Our second stay at Misty's was as relaxing as the first. It is so beautiful and comfortable. Misty is very accommodating. We really enjoyed our stay and will return. Darla Ferguson
2024-03-01,5.0,Stayed one night,Always like staying at Misty’s.
2024-03-01,5.0,Stayed a few nights,"Needed a small, quiet place to rest my mind for a few days. These guys had the perfect place to do this. Had some work to do in the area but, overall, it was outstanding. Wabash is a cool little town, too. very personable couple. Sweet pups and a little baby too.
Thank you guys."
2024-03-01,5.0,Stayed a few nights,Great place to stay. Bathroom is a little weird but not an issue. lol.
2024-03-01,5.0,Stayed about a week,Misty and Mark were incredible host. I found their Airbnb to be extremely comfortable and convenient. ￼ They were very friendly and ￼ courteous. ￼ a cute little place in the woods.￼
2024-03-01,5.0,Stayed with a pet,"Misty’s was very kind and flexible with our check in and checkout times! The place was very welcoming! She even left a sweet treat for our pup :) Beautiful, relaxing area!"
2024-02-01,4.0,Stayed with a pet,"Nice place extension of garage, did well with it. The pond in back was a great treat!"
2024-02-01,5.0,Stayed with a pet,"Very cute little apartment. Hosts were friendly, helpful, and pet friendly. I really enjoyed the electric fireplace/heater. Will stay again if ever in the area."
2024-02-01,5.0,Stayed one night,Great place. Hope to stay there regularly.
2024-02-01,5.0,Stayed over a week,"Great hosts and great unit, would recommend!"
2024-01-01,5.0,Stayed with a pet,Misty's place was perfect for our night in town to visit friends and go to a baby shower. Would definitelystay here again and she even left dog treats for our dog inside. So sweet!
2024-01-01,5.0,Stayed with a pet,Misty’s place was just as described. Beautiful place to spend a night. She had restaurant recommendations that were also spot on. Will return when we are in the area
2024-01-01,5.0,Stayed a few nights,It was a very calm and relaxing place. Wouldn’t like to go back. Misty was a very good host.
2023-12-01,5.0,Stayed a few nights,"Absolutely a perfect place at a great value. You can see all the other positive reviews and all so true. Just perfectly clean, all the amenities and peaceful."
2023-11-01,5.0,Stayed with kids,"Very clean place, nice smell of candle
Very cozy"
2023-11-01,5.0,Stayed with kids,Great Gem
2023-11-01,5.0,Stayed one night,Misty was super thoughtful and responsive!
2023-11-01,5.0,Stayed with a pet,"This was the second time staying here and it was just as great as the first time. My dog loved the trails, the relaxing pond, and their friendly pups! My fav part was fishing at the pond and the open layout of the shower! They allowed me to use their charcoal grill and the little kitchen had everything we needed to prep and make the food we packed for 3 nights. We will most likely try to come back after winter!"
2023-11-01,5.0,Stayed with a pet,Very nice place!
2023-10-01,5.0,Stayed a few nights,"Great little space for our weekend away. Very modern, clean, and comfy accommodations. Will definitely stay again when in that area."
2023-10-01,5.0,Stayed a few nights,"we were in town for a wedding so we didn't spend too much time here, but it was absolutely peaceful and such a great stay! when we walked in it smelled great and was very clean and cozy with the fireplace running. my partner enjoyed the pond nearby while I was out."
2023-10-01,5.0,Stayed a few nights,Perfect place for a quick getaway!
2023-10-01,5.0,Stayed with a pet,It was a beautiful getaway. We enjoyed staying in their homey studio apartment and enjoying their outdoors. Misty was very friendly and helpful the entire time!
2023-10-01,5.0,Stayed a few nights,This was a lovely place to stay. I am lucky I was able to stay here.
