date,rating,note,review_text
2024-06-01,5.0,Stayed with kids,"Overall we had a great experience.
The apartment has two spacious bedrooms and two full baths as listed. It was pristine and looks exactly as pictured. The apartment is located on the first floor of a traditional Philly row house and centrally located to iconic spots downtown.
One thing newcomers to Philly have to learn is that south Philly is 90% single lane one way streets. Once you get used to it, it is a cinch. Parking was really easy as long as it was before 9pm.
The neighborhood is amazing. Little did I know that 9th street is a culinary haven. We were only three blocks from Pats king of steaks (invented the Philly cheesesteak) and rivals Gino’s. There are a number of other walkable restaurants of mainly Italian and Mexican cuisine as well.
A 24 hr CVS and a full supermarket are 2 minutes away on foot.
Throughout our stay, our host was very responsive and friendly with any issues that arose. Michael and Blessing made great effort to answer all my questions and concerns."
2024-06-01,5.0,Stayed with kids,"Gorgeous place at the end of a quiet street. Didn't get to sit in the garden due to rain, but the beautiful kitchen was a close second!"
2024-04-01,5.0,Stayed with kids,"This house was really cool - we loved the decorations and furnishings. The location is fantastic - just a few blocks from the Broad Street line and close to the Italian Market. The street itself feels like a little hideaway from the hustle and bustle of the city. This is definitely an older home - the stairs are steep (the kids were careful and navigated them just fine) and there are some gaps in the (gorgeous) wood planks, but this was not an issue for us. The double bed is very firm and the pillows are very soft - to each their own on things like that so it's not a complaint, but a heads up. In addition, this house was **spotless**. Kudos to the people who take care of this home. We did not use the kitchen to cook but it seemed to have all of the required amenities. All in all, a very nice stay."
2024-04-01,5.0,Stayed a few nights,"Amalia's East Passyunk Rowhome really lived up to the description, it was super charming and very comfortable. The decor is beautiful, very welcoming, with lots of lovely antiques. The outdoor space was especially lovely, with a huge old tree and greenery and nice outdoor furniture. The beds were very comfortable. Everything was great! Communication and checking in and out was easy. It's in a nice dead end street near good restaurants and shopping. Truly a good find!"
2024-04-01,5.0,Stayed a few nights,"This home was a great location for our weekend of South Philadelphia eateries, bars and sports, celebrating my husband's bday. We were able to walk to most locations and the on-street parking was great. We even walked home from Citizen Bank Park, with two pub stops along the way.
The house is very cute and the beds were very comfortable. The outside patio was most pleasant.
Our only concern as older people (75+) was the narrow tread on parts of the stairs and the height of the claw foot tub/shower. This is really a matter of confidence and stability so something to consider."
2024-04-01,5.0,Stayed a few nights,"Amalia has been responsive and helpful, place felt like being home. Very well connected with subway. Few nice coffee places around the area. Worth the price."
2024-04-01,5.0,Stayed a few nights,Great space in a great location! Was in town for a big event at the Eagles stadium and was only a matter of minutes to reach via the subway station around the corner. Great food spots nearby and a short walk to city center. Amalia was a great host and was very welcoming. Highly recommend!
2024-03-01,5.0,Stayed with kids,"Amalia was a great host, and her place was in a great location for easy travel around the city. reAnimator coffee is just down the street and the local spot for Vietnamese cuisine, pho 75, is nearby. As others have mentioned, the staircase is narrow at parts, but manageable. We stayed with our 2 kids, and they did just fine. We had an issue with the Keurig machine (which might be resolved by the time of your stay) but opted for the coffee down the street. Amalia is very responsive and amiable if you have any questions or needs."
2024-03-01,5.0,Stayed a few nights,"This Airbnb is very quaint, charming, and aesthetically-pleasing. It's located on a quiet, small street without much traffic or noise, but it's still near a subway station and main road for easy access to Center City. There are shops and restaurants within walking distance as well.
It was easy to check in and out. The beds and rooms are comfortable and well-furnished. We especially enjoyed spending time in the cozy living room.
Just be aware that you have to be open to the quirks of an old house (steep stairs, creaky floors, vintage stovetop). There's also no microwave, but there is a toaster oven.
We enjoyed our stay at this sweet Airbnb and would recommend it!"
2024-03-01,5.0,Stayed a few nights,Amalia's place was so charming! Check-in was easy peasy. Comfy beds. Cute decor. 10/10. She was super responsive. Hope to come back.
2024-03-01,5.0,Stayed a few nights,"Very nice place, owner was available , communication was everything"
2024-03-01,5.0,Stayed a few nights,Amalia’s house is absolutely adorable. I love the charming and historic decor. It was such a peaceful place to spend a couple of days. The street is a great location near a park and lots of restaurants and shops. I was sad to leave!
2024-02-01,5.0,Stayed a few nights,"Amalia’s place is lovely and surprisingly quiet for being in the middle of everything. Lot’s of great restaurants and coffee shops nearby. I would definitely stay again.
Thanks for having me"
2024-02-01,5.0,Stayed a few nights,Amalia’s place is beautiful and comfortable. We loved the brick in the kitchen and the unique art/decor. The place is private yet close to awesome Philadelphia attractions. We’d love to come back in the summer and sit on the patio. Thanks for the great stay!
2024-02-01,5.0,Stayed a few nights,"Amalia has a wonderful 2 bedroom home with lots of interesting art, books, and decor in general. The little garden was a particular treat! I hope to book again. Thank you!"
2024-02-01,5.0,Stayed a few nights,"Location is perfect, right in the middle of Passyunk/South Philly area - super easy to walk to Passyunk Ave or Italian Markets areas, right next to the subway if you wanted to take that and an easy rideshare to most other areas of the city.
The place itself was great too, it was just my wife and I and we found it had everything we needed. Very cute, would have loved to be there to use the patio/garden in the summer. Was slightly chilly when we arrived but thermostat was easy to use and we quickly warmed up"
2024-02-01,5.0,Stayed a few nights,"Amalia’s house was cozy and beautiful, and well represented by the photos. Had a wonderful time and would highly recommend!"
2024-02-01,4.0,Stayed a few nights,"Our stay at this Airbnb was a delightful blend of historic charm and a few safety concerns. The home's ambiance was cozy and welcoming, and its location was convenient for exploring the area. The decor added to the experience, with intriguing elements that sparked our curiosity.
While we appreciate the importance of preserving historic properties, we couldn't ignore the structural issues we encountered. Holes in the floors, sagging floors hidden under rugs, and wobbly stairs raised safety concerns. The kitchen floor near the stove was particularly alarming, with boards that seemed ready to give way. Cleanliness standards could be a spot better, with noticeable lip marks on cups and neglected shower areas.
While we appreciate the charm of the home, we hope the hosts to prioritize addressing these safety and cleanliness issues for the comfort and safety of future guests. Thank you to the host, they were very helpful with local suggestions and proactive!"
2024-02-01,5.0,Stayed a few nights,"Very nice home, great location and just as described. House was charming and very clean. I was concerned with the firmness of the mattress at first, but it was wonderful, didn't wake up once and woke up with less stiffness than I have in my own bed. It is located on a quiet residential street with a school close by. There is a nice coffee house located within walking distance. The stairs in the home are steep and winding. I think it would be difficult for those with mobility issues but adds character to the home. The bathroom also has a deep tub you have to step into with a shower. Parking is tight as with any city parking. Amalia's home instructions were clear and detailed, we had no issues finding or getting into the home. She was very responsive and quickly answered a question before my arrival. We were very happy with the home."
2024-02-01,5.0,Stayed a few nights,"My friend and I had a wonderful stay! Very cozy space and the house has such unique character that I don’t usually care for as a modern-design-loving girlie, but really did appreciate. Aspects of my stay I did not expect and are things to consider:
Parking was ATROCIOUS 😩 And this is coming from a New Yorker. I was so glad my friend came along with me and could get out the car to make sure all was well while attempting to park. Those narrow 1- way streets were the worsttt - please try to avoid parking on those streets if you’re not comfortable or used to parking with very little roadspace to work with to get into the spot.
The beds were extra firm. I hopped onto the bed thinking it would be nice and bouncy like I’m used to at home, but no - Still had a good night’s sleep but just something to consider. Also I thought one of the double doors in the kitchen was a cabinet but apparently it’s a pretty creepy looking entrance to the basement so don’t open that 😅 STILL - GREAT STAY!"
2024-02-01,5.0,Stayed a few nights,Amazing !!!
2024-01-01,5.0,Stayed a few nights,Great place to stay
2024-01-01,5.0,Stayed a few nights,Great place to stay and beautifully maintained! Highly recommend
2024-01-01,5.0,Stayed a few nights,This was a great place to visit and really close to a ton of stuff in Philly. Amalia was also very responsive and pleasant to all my questions.
2024-01-01,5.0,Stayed a few nights,"The place was in a great location. Really quiet street. The stairs are harrowing, but described and pictured accurately in the post. The layout was perfect for 2 old fiends to spend some time together and catch-up while exploring the city."
2024-01-01,5.0,Stayed with kids,"This place was adorable, clean, and in a great location. Amalia was also easy to get in touch with if we needed her. Would definitely stay here again!"
2024-01-01,5.0,Stayed a few nights,"This place was lovely and well-maintained. Very comfortable. We had a lot of trouble finding parking nearby, especially for more than two hours."
2024-01-01,5.0,Stayed a few nights,"Amalia’s place was gorgeous, had everything we needed and was so close to the Broad Street Like to get downtown. Thanks for a great stay in Philly!"
2024-01-01,5.0,Stayed a few nights,"This was a gem of a place in a great location. It's a beautifully appointed row house on a private, no exit street. Will have to come back in the warmer months to use the gorgeous back patio."
2024-01-01,5.0,Stayed a few nights,"We loved Amalia’s place! It looks just like the pictures and it is so beautifully decorated, you can definitely tell a lot of love has been put into this place. The stairs may be a little tricky for some people, but the location and amenities definitely made it worth it. Amalia was a kind and responsive host. We look forward to staying here again!"
2023-12-01,5.0,Stayed a few nights,Such a quaint home! We loved it!
2023-12-01,5.0,Stayed a few nights,"The space was cute, comfortable, quiet, and cozy, everything I always wish for in an airbnb but don't always find."
2023-12-01,5.0,Stayed a few nights,"Amalia's place was absolutely beautiful! We really enjoyed the home's character and Amalia's decorations. The home was very clean and had everything we needed. The kitchen was my favorite! It's also a great spot in the city - quiet street that's very close to a subway stop (gets you into center city within minutes) and quick food/coffee spots. Amalia was also very responsive and friendly. I definitely recommend staying here. It's a classic old Philly rowhome -- if you appreciate a beauitful, well-kept and well curated home, that also has Philly character and charm, you will enjoy staying here as well."
2023-12-01,5.0,Stayed with kids,"We enjoyed staying here. It's accurately described and in a very walkable area. It's very small, but very cozy and charming. We had our 1 year old with us and it worked, but it was tight and the stairs are tricky. I would happily stay here anytime if it was just my wife and I. Thanks!"
2023-11-01,5.0,Stayed a few nights,Amalia’s place was exactly what I expected and then some. The bed was super comfortable and I greatly appreciated her responsiveness and recommendations.
2023-11-01,5.0,Stayed with kids,"Once we got over the shock of the stairs, we found this place to be cozy and home-y. We had great communication from the host and had a lovely trip overall."
2023-11-01,5.0,Stayed with kids,My children and I spent the week and we loved it. It was a charming house on a quiet block. The outdoor space was lovely too.
2023-11-01,5.0,Stayed a few nights,"Such a wonderful place! So much space, great neighborhood. Fantastic value. Hope to stay here again next time I am in Philly."
2023-10-01,5.0,Stayed a few nights,This is a beautiful home in a great location. Host was communicative and checking in and out super easy. Highly recommend!
2023-10-01,5.0,Stayed a few nights,"This place is adorable!
The decor is so fun.
Great kitchen, looking out into the garden, perfect for dining or working.
I was glad there was a washer and dryer available; although the dryer wasn't working, bummer, BUT there was a fun antique drying rack which we used instead.
The beds were comfy and we slept well.
The place has idiosyncrasies, it's quite compact--which goes with the territory for such an old home. The winding stairway to the 2nd floor may not be for everyone.
To me, it felt almost like time-traveling, with the retro decor and wooden floors.
The location is fabulous, a quiet street that's centrally located. We even found easy street parking and we didn't get a ticket, despite leaving the car all day (lucky us!).
I highly recommend Amalia's rowhome!"
2023-10-01,5.0,Stayed a few nights,Magical little cottage inside. Everything was meticulously curated in the space. It was also impeccably quiet.
2023-10-01,5.0,Stayed a few nights,made the trip to Philly relaxing and so convenient to get everywhere! already booked again!
