date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"We had a wonderful stay, great views of the golf course, comfortable and clean living space. We loved the assortment of snacks provided when we arrived. Very responsive host, loved the surrounding area of Pinehurst/Southern Pines that only took minutes to drive to. Great local restaurants nearby, easy parking and all around great price for the accommodation! We will definitely be returning!"
2024-06-01,5,Stayed a few nights,"Fantastic place, great view on golf course, wonderful welcome with snacks after a long drive. Thanks for the nice surprise!"
2024-06-01,5,Stayed one night,"Great spot, very peaceful and calm. Description was spot on and they go the extra mile by providing a handful of complimentary snacks and extra toiletry items which was extremely appreciated. We will be staying here again in the future"
2024-06-01,5,Stayed one night,"This was our first trip to Pinehurst. When we go back we will only stay at Dixie’s house. The house was comfortable, clean and quiet. The description matched the house exactly. There is a lot to do in the area or you can sit on the deck and watch the golf."
2024-05-01,5,Stayed a few nights,We had such a wonderful time in Pinehurst visiting for a friends wedding weekend. The place was so clean and close to everything! Thank you for hosting us!
2024-04-01,5,Stayed a few nights,Great few days at Dixie's place......Very clean and a great location. Dixie was first class with any questions which was great. Wish I could have stayed longer!!!!
2024-04-01,5,Stayed with kids,Wonderful little place to stay! Clean and quiet and close to all Pinehurst and Southern Pines has to offer! Would stay here again!
2024-04-01,5,Stayed a few nights,"This was the perfect weekend getaway for me and my husband! Quiet, easily accessible to downtown Pinehurst and Southern Pines. Golf aplenty, and a great location to access several courses. The condo was comfortable with lots of provided amenities that made our stay easy."
2024-04-01,5,Stayed one night,Very quiet . Peaceful. Great host .
2024-04-01,5,Stayed a few nights,"We really enjoyed our 4 days at Dixie's place. We have stayed in many Airbnbs over the past many years and this was at the top of the list. The condo was beautiful- extremely clean, well equipped, comfortable and in a great location. And not to mention that the view of the golf course was excellent. Dixie was always available and made sure everything was going well. We will definitely book Dixie's place next time we are in Pinehurst. Thanks again for the great get-away!!!"
2024-03-01,5,Stayed a few nights,"The apartment is great, good location overlooking the golf course, yet private. Comfortable, clean and neat. It had everything we needed. The deck is really nice, especially at sunset. And the host is awesome, very proactive and responsive.
We would love to go back!"
2024-03-01,5,Stayed a few nights,Great place in a great location. Dixie is great with communication
2024-03-01,5,Stayed a few nights,Great spot overlooking the golf course. Very clean and comfortable. Host was very responsive. Left a lovely selection of snacks and coffee!
2024-03-01,5,Stayed a few nights,We loved our stay - great host! We would definitely stay again.
2024-02-01,5,Stayed a few nights,"This was a perfect 4 day getaway spot, the back patio view is gorgeous. Perfect place for us two, quaint and everything we needed. Great morning walk spot too."
2024-02-01,5,Stayed a few nights,Really enjoyed our stay. We were celebrating my wife's birthday and we arrived to a birthday cake! What a great surprise and personal touch!
2024-02-01,5,Stayed about a week,Nice place to stay for a week in Pinehurst.
2024-01-01,5,Stayed a few nights,Condo was very comfortable and clean. Easy to access. Will definitely stay again in the future.
2024-01-01,5,Stayed a few nights,We had a wonderful visit and will definitely use Dixie as a host in the future.
2024-01-01,5,Stayed one night,The condo was an excellent place to stay. I highly recommend.
2024-01-01,5,Stayed a few nights,The place was amazing for a weekend in Pinehurst with my husband and one year old! It is so close to everything the area had to offer and a great home base. Dixie was very helpful with recommendations and a wonderful host. We will be back!
2024-01-01,5,Stayed a few nights,"This was perfect for my work trip to Pinehurst. It was quiet, relaxing and comfortable with plenty of options to recharge electronics. Dixie was helpful with questions and the guest book had great suggestions for places to eat and things to do. I hope to return for a fun trip."
