date,rating,note,review_text
2024-02-01,5.0,Stayed a few nights,"Home is exactly as prev reviews and host description. Check-in/out was easy, home was very clean. All and all we had a wonderful stay and hope to visit again someday. Thanks again Angie and Richard for a great stay!"
2024-02-01,4.0,Stayed a few nights,"Our stay was great, the house is clean and convenient. Our only issue was the train overnight straight behind the house, one or twice by night.
Angie and Richard are great and friendly hosts."
2024-02-01,5.0,Stayed one night,Stayed in this house a few times. Always a great place to stay.
2024-02-01,5.0,Stayed one night,Great price and great home.
2024-02-01,5.0,Stayed a few nights,Very nice house to stay at.
2024-01-01,5.0,Stayed a few nights,"Angie and Richard are wonderful hosts. Responded almost immediately to any questions and the house is beyond clean, absolutely spotless! The back bed was so comfortable I asked about the mattress for my own home. Would absolutely recommend and will stay there again when I’m visiting the area."
2024-01-01,5.0,Stayed one night,Very nice home. Looks newly updated on the inside.
2024-01-01,5.0,Stayed one night,very cute private place. Hosts very responsive and easy communication.
2024-01-01,5.0,Stayed one night,"Loved the house! Very cozy and clean in a quiet neighborhood with all the basic essentials provided (including coffee, which is crucial for me!). Would definitely stay there again."
2024-01-01,5.0,Stayed with kids,Great place at an affordable rate.
2024-01-01,5.0,Stayed a few nights,"An awesome stay at a great value. Angie & Richard were perfect hosts, very responsive and accommodating.
Would definitely recommend."
2023-12-01,5.0,Stayed a few nights,The house is comfortable and very clean. It was a great location for visiting family over the holidays.
2023-12-01,5.0,Stayed one night,In a good place of town with very beautiful houses around! Would definitely stay there again!
2023-12-01,5.0,Stayed one night,Nice place to stay
2023-12-01,5.0,Stayed a few nights,Great communication! The house was clean and just as the pictures showed.
2023-12-01,5.0,Stayed one night,"Small house with all you need. Provided coffee, sugar and creamer. Bathroom had a choice of soaps, shampoos and conditioner. Clean place with friendly hosts! I travel to Plymouth often and will be staying here again!!! Great value!!!!"
2023-12-01,4.0,Stayed one night,Great place-enjoyed our stay!
2023-11-01,5.0,Stayed a few nights,"We felt welcome and comfortable in this very clean and uncluttered home. It is roomier than it looks in the pictures, with everything necessary for a pleasant stay."
2023-11-01,5.0,Stayed one night,This was the perfect place to stay on our way home from a Notre Dame football game. It was comfortable and quiet. Angie/Richard were super kind and quick to respond. I would definitely stay here again.
2023-11-01,5.0,Stayed one night,"We thoroughly enjoyed our stay. The cottage was cute, clean and quiet. We will definitely stay here next time we come to town. I had made a mistake when booking, and asked for alteration, and they did not hesitate to accommodate."
2023-11-01,5.0,Stayed a few nights,"My very first Airbnb experience was a great one. The host was very responsive, friendly, and helpful. They are great hosts and I would highly recommend staying with them."
2023-11-01,5.0,Stayed a few nights,It was a small but spacious cottage! It worked perfectly for our needs! We would definitely stay there again!
2023-10-01,5.0,Stayed a few nights,Clean and comfortable! It was quiet for a peaceful stay.
2023-10-01,5.0,Stayed a few nights,Great as advertised. Check in simple. Perfect for our needs. Would recommend to anyone looking to stay in the area.
2023-10-01,5.0,Stayed with kids,"Stayed here for the 2nd time. Quiet and comfortable; the owners are very responsive, helpful and easy to communicate with. Highly recommended."
2023-09-01,5.0,Stayed with kids,"Lovely place! Clean, good area, walkable, responsive and kind hosts. Will definitely stay here again!"
2023-09-01,5.0,Stayed one night,It was a convenient and comfortable stay.
2023-09-01,5.0,Stayed with kids,Angie and Richard made our stay so easy! We were in town for a wedding and we couldn’t beat the price and accommodations! We had two toddlers and were worried about staying in a hotel so we were so relieved to find this place! The place was so clean and perfect for our stay! Angie and Richard were so quick to respond to questions and even helped us with an earlier check-in. We couldn’t have asked for a better stay!
2023-09-01,5.0,Stayed a few nights,Very nice place will be back!
2023-09-01,5.0,Stayed one night,Very clean and described perfectly
2023-09-01,5.0,Stayed one night,"Exactly as advertised...would love to come back for a more relaxing, peaceful getaway."
2023-09-01,5.0,Stayed a few nights,"Felt right at home. Was great walking distance to a few coffee shops.
Very clean. Felt cozy. Had everything we needed. Will use again if visiting Indiana."
2023-09-01,5.0,Stayed a few nights,the house was clean and comfortable. the owners were quick to respond and very helpful. we would deffinitely consider staying there again.
2023-08-01,5.0,Stayed a few nights,"It was an awesome place. Very quaint and quiet. Perfect house for my needs. Angie and Richard were great hosts. Very communicative, offering up ideas to do in the area. Was quite comfortable there."
2023-08-01,5.0,Stayed a few nights,"We feel at home, everything we need and clean, as soon as you open the door smells clean. Confortable beds, plenty of space and very close to everything. We visit our family just for a few days, and love to have a place where we can come back."
2023-08-01,5.0,Stayed a few nights,Angie and Richard’s cottage was perfect for our needs. It was clean and comfortable and only a short walk to downtown. Angie and Richard were quick to respond to any messages. I’d stay here again.
