date,rating,note,review_text
2024-06-01,5.0,Group trip,Great stay and great hosts!
2024-03-01,5.0,Stayed a few nights,Place as advertised.
2024-02-01,5.0,Stayed one night,"Location had a modern inside and was well kept, Sam and mike were very responsive to questions and advice upon checking in."
2023-11-01,5.0,Stayed with kids,"Sam and Adam’s place was exactly like the photos shown in the listing, everything was fully stocked and the place was very clean upon arrival. Perfect for a party of 5. Would definitely recommend!!!!"
2023-10-01,5.0,Group trip,Great Place would recommend
2023-09-01,5.0,Stayed one night,My friends and I had a wonderful stay at Sam & Mike’s place following a wedding. The apartment was very clean and we had no issues !
2023-09-01,5.0,Group trip,Nice place would stay again
2023-08-01,5.0,Group trip,"Beautiful place. Very clean and neat. Not sure I'd have a reason to go back to that area, but if I did, I would definitely stay there again. Hosts were responsive and friendly."
2023-08-01,5.0,Stayed one night,Sam and Mike's place was perfect for our stay! The beautifully updated home was spacious and immaculate and had everything we needed. Their friendliness and responsiveness was greatly appreciated and even helped us discover a Minersville connection between our families that was formed through a friendship over 75 years ago! We highly recommend staying here if you are visiting the area.
2023-08-01,5.0,Stayed a few nights,Every was as promised. Great place and exactly what we needed.
2023-07-01,5.0,Stayed with kids,Great place to stay while visiting the area. Easy access and quiet neighborhood.
2023-07-01,5.0,Stayed with kids,Sam & Mike were able to rent to us on short notice. They were easy to connect with and responded in a timely manner w/suggestions. Great to know there is a local rental for our extended family!
2023-07-01,5.0,Stayed with kids,"Comfortable home, everything was easy to find, clear instructions. Appreciated laundry access."
2023-07-01,5.0,Stayed a few nights,Great place and just as pictured. We lucked into this coming into the area to visit family last minute and would definitely stay again. Thanks again!
2023-07-01,5.0,Stayed with kids,"The house is very nicely remodeled with a well appointed kitchen. We were very happy with the nice towels, linens, and comfortable beds. Our 3 kids put the wifi to a test with all of their devices, & it worked flawlessly. There's a quiet space to sit outside in the back of the house to enjoy the evening. This is shared with the neighbor. She was very friendly and made us feel welcome. We would all love to come back. The purpose of our trip was to spend a day at Knoebel's, a 30 minute drive. This was the perfect place for us to stay."
2023-06-01,5.0,Stayed with kids,So flexible and kind. Very responsive!
2023-06-01,5.0,Stayed with kids,"Excellent hosts and townhome. The place is on a very quiet street that felt safe with good parking. Hosts were communicative and flexible in letting us charge our car overnight. A small hiccup getting into the unit was quickly resolved via AirBnB message.
The unit itself is in good shape and is well-stocked. Good kitchen supplies and adequate bathroom supplies. Washer and dryer did a good job. Internet/WiFi worked well for what we needed.
Thanks for the excellent stay!"
2023-05-01,5.0,Stayed with kids,"We breezed in and out pretty quick (this was just a place to crash on a long road trip), and the place was very nice. The bed was really comfy. Everything was clean and updated. Our hosts sent lots of info well ahead of time."
2023-05-01,5.0,Stayed a few nights,This is a great location for adults with kids. It's right near the pool and playground and walking trails. It is very walkable to many restaurants. The house itself is newly remodeled and very clean.
2023-03-01,5.0,Stayed with kids,"Great little place located on one of the nicer streets in Minersville. Easy to get in and out of, clean and spacious. This is a great hour to call home for a week or two"
2022-12-01,5.0,Stayed a few nights,nice place
2022-12-01,5.0,Stayed a few nights,Very clean and comfortable home in a quiet part of town. Some very nice soft touches to the property. We really enjoyed our stay there.
2022-11-01,5.0,Stayed a few nights,"Beautiful home, well kept, clean and all you need for your vacation or business trip. Host is great, good and quick communication. 5 stars"
2022-10-01,5.0,Stayed a few nights,Great place. Great hosts.
2024-06-01,5.0,Stayed a few nights,vary nice place felt right at home wasn't bothered or disturbed vary clean had no complaints about the stay the wifi is a little slow but that's it loved the house will be trying to get again in future thank you Sam And Mike for allowing us to stay
2024-06-01,5.0,Stayed with kids,"This home was perfect! Clean, Peaceful and fully stocked."
2024-06-01,5.0,Group trip,"It was our first airbnb experience and it was a great experience. Thank you so much.
Your home was very clean and as described. Loved it and will return again."
2024-04-01,5.0,Stayed one night,Exactly as described. Great value and house. Thanks!
2024-04-01,5.0,Group trip,"The is a fantastic house, the inside is very modern and tasteful with interesting references to the rich history of the region. The owners thoughtfully provided top quality amenities and useful information. I highly recommend this property and look forward to returning when I have more time to explore the region."
2024-03-01,5.0,Group trip,We truly enjoyed our stay at Sam and Mike's. It was perfect for our family gathering. Walking distance within restaurants and bars. Only a few miles from Pottsville and the Yuengling Brewery. Street Parking is always an issue in the small towns. However there was always a spot in front of our airbnb with more parking available at the park. It does have a lot of stairs and no bathroom on the first floor. This wasn't an issue for our family but may be an inconvenience for older people.
2023-12-01,5.0,Stayed a few nights,Very clean and a homey atmosphere.
2023-11-01,5.0,Group trip,"Our stay was great, very clean and up to dste. Would have helped if there was a 1/2 bath on the main floor as we were older. Every thing else was perfect."
2023-10-01,5.0,Group trip,"Perfect place to stay with friends while in town for a wedding! Clean, spacious and walkable to downtown."
2023-09-01,4.0,Group trip,No complaints
2023-08-01,5.0,Stayed with kids,"This is a wonderful place to stay! Very clean, spacious and comfortable!"
2023-07-01,5.0,Stayed a few nights,we enjoyed our stay
2023-07-01,5.0,Stayed with kids,"Cute place, great location. We’ll stocked, comfortable. Easy street parking. Only downside is there are LOTS of stairs. Steep stairs. It’s a mountain town so unavoidable but my older MIL wasn’t quite prepared for it."
2023-06-01,5.0,Stayed with kids,"The house was exactly what it looked like in the photos and very clean! We were traveling for a family members funeral service and did not have much time to explore the area but were pleasantly surprised that there was an awesome park a few houses down that we walked our children to in the vending and early morning. There was a really cute Shutterfly book with local recommendations and the house had plenty of space. For anyone traveling with anyone that has a hard time using stairs, note that the bathrooms are on the second and third floors (not that this affected our stay but I have found tips like this helpful in reviews).Thanks for a great stay, if we return to the area we will definitely book here again!!"
2023-05-01,5.0,Stayed with kids,We had a great stay and really enjoyed the house. Kids loved playing at the park when we were there. The house had everything we needed and we could see there was a lot of thought out into the details. Thank you for a wonderful stay.
2023-04-01,5.0,Stayed with kids,It was so wonderful! Such a beautiful and comfortable home!
2023-04-01,5.0,Stayed with kids,Sam and Mike’s place was a perfect home base for a family of four taking a long weekend to visit family nearby. It was clean and spacious and had everything we needed including a very helpful guide of things to do in the area. Communication was perfect - clear and helpful without being overbearing. We would absolutely stay here again. Thanks so much for your hospitality- we had a great stay.
2023-03-01,5.0,Stayed over a week,Very nice and cozy
2023-02-01,5.0,Stayed a few nights,"Sam and Mike were friendly and helpful. the house is beautiful and well stocked. The neighbors were friendly. Just be aware there are a lit of stairs to get into the house and to move between the bedrooms. Also, the internet is slow. However that is not an issue specific to this house. I have done a lot of work in this area and that has been my experience with all of the airbnb, hotels, and training sites I've been to. Just something to think about if you are here for work."
2022-12-01,5.0,Stayed with kids,Great stay; gracious hosts. Exactly what we wanted.
2022-11-01,5.0,Group trip,"Better than advertised. Remodeled recently and it’s done right. I have a construction background and this place was not a paint over. Very clean, very comfortable. Fantastic value. And the Main St. Sandwich Shop around the corner is world class."
2022-11-01,5.0,Stayed with kids,We loved everything about this house and the host!
2022-11-01,5.0,Stayed with kids,"Everything went well. The house design and condition was welcoming, comfortable and fitted all of our needs. It was clean, with everything we needed, and then some. We are originally from the area, so we enjoyed the local artwork and reading material about the coal region."
2022-10-01,5.0,Group trip,"Gorgeous house, in an awesome location. The public parking nearby was perfect."
2022-10-01,5.0,Stayed a few nights,Loved it
2022-10-01,5.0,Stayed a few nights,"So clean and spacious. Everything we needed was already there, only had to unpack a suitcase and relax!"
2022-10-01,5.0,Group trip,Great House and very clean. Highly recommend this house.
