date,rating,note,review_text
2024-06-01,5,Stayed with kids,"Excellent accommodation with perfect location for everything we planned to do on our vacations.. very close to several points of interest.. In a very quiet area, very comfortable beds to rest from the long day of activities. In general, a very recommended place and excellent communication with the hosts, very friendly. We would definitely stay with them again.. Thank you ."
2024-06-01,5,Stayed a few nights,Great place!
2024-06-01,4,Stayed a few nights,"Very nice place with an even nicer back porch view. Well located and convenient to Mt. Rushmore, Crazy Horse Monument."
2024-06-01,5,Stayed with kids,Location is very convenient to check out Mt Rushmore and Custer State Park. We loved relaxing on the covered deck in the evening with a glass of wine!
2024-06-01,5,Stayed a few nights,"Great location, beautiful view, quiet neighborhood, relaxing atmosphere, perfect ending to our daily excursions. Great hosts. Would stay again."
2024-04-01,5,Stayed a few nights,The view is beautiful and the location is convenient. We experienced no issues and enjoyed our stay!
2024-04-01,4,Stayed one night,A very clean and straight forward place to stay near the heart of Rapid City.
2024-04-01,5,Stayed a few nights,Great spot to stay. A little difficult to get the temperature where you want it but other than that it was as described.
2024-03-01,5,Stayed a few nights,"Very nice for the price, out the way and quiet while not being too far from stores, has all the appliances you need definitely recommend"
2024-03-01,5,Stayed a few nights,It was very clean and felt cozy. Only negative was parking. Very quick to respond to questions! It was nice that they had pamphlets on certain attractions out in the Black Hills as well.
2024-02-01,5,Stayed a few nights,Beautiful location. Recommend for touring Rapid City and surrounding areas
2024-02-01,5,Stayed a few nights,"Perfect little barn for our stay! Cute, quaint, and could see the hills in the distance. Would stay again!"
2023-10-01,5,Stayed a few nights,"Beautiful rental that was quiet, clean, and well taken care of."
2023-10-01,5,Stayed with kids,"Wonderful location for access to lots of things to do in the area. Tranquil and quiet place with gorgeous views for a nice relaxing stay, it was perfect for our small family!"
2023-10-01,5,Stayed a few nights,"We had a great stay in a great location. Close to so many things to do! The space was clean and comfortable with a beautiful view of the valley. Although we didn't use it, the kitchen is fully stocked for cooking. Made coffee from fresh ground beans, though, and took in the beautiful morning landscape. One evening, the yard was full of deer when we came back after dinner! Highly recommend if you are coming to the Black Hills."
2023-10-01,5,Stayed a few nights,Great location! Close to rapid city and the national parks. Very good host.
2023-10-01,5,Stayed a few nights,Quiet
2023-09-01,5,Stayed a few nights,Beautiful view! It’s not too far from town but feels very much like you’re way out in the country. Very homey and the bed is extremely comfortable. Loved it!
2023-09-01,5,Stayed a few nights,We enjoyed our week at the barn. The location is very good for seeing all the sights around Rapid City. The simple pleasure of seeing the country and Mountain View is amazing. Overall it was a very enjoyable stay.
2023-09-01,5,Stayed a few nights,"A cozy side of a refurbished barn with a serene view of the Hills. The space was just big enough for me and my wife, room to relax and enjoy a meal together. The finishes were clean and modern, and the bed was so comfortable. Had an issue with the a/c but J&J were quick to fix it. Would recommend this location, or any hosted by J&J!"
2023-08-01,5,Stayed a few nights,"My Mom and I really enjoyed our stay here at the beautiful apartment. The view off the porch is breathtaking. The apartment was quiet and lovely. Bed comfortable. Host very responsive. Location feels more out in the country which we loved but very close to Rapid City for shopping and restaurants and close to hop on the highway and head to Custer State Park, Keystone, and Mt Rushmore, etc. We would definitely return. Thank you!"
2023-08-01,5,Stayed a few nights,Everything was as described. Very peaceful and great for what was planned for our weekend. Clean inside and out. Would definitely stay here again.
2023-08-01,5,Stayed a few nights,"We had a great time during our stay in Rapid City! The barn is nicely located between Rapid City and Hill City, making sight seeing easy. The bed is very comfortable and the place is new and clean. Would recommend for a couple’s getaway. Overall great experience and wonderful hosts."
2023-08-01,5,Stayed with kids,Beautiful location! Cozy little house!
2023-07-01,5,Stayed with kids,J&J responded immediately to any questions. We had a great stay.
2023-07-01,5,Stayed with kids,Clean and comfortable spot to relax! The view from the porch is gorgeous. The neighborhood is quiet and peaceful. Very close to amenities in Rapid City. We had a great stay!
2023-07-01,5,Stayed with kids,"I stayed here with my husband and 2 small kids for 4 days. The place was very easy to find and adorable, but it was a bit of a squeeze for the four of us. Unless you travel extremely light, you may run into the same issue we had with clutter and limited space for all of your stuff. We shuffled furniture and personal items around a lot.
My favorite thing was the view! Loved having my coffee outside each morning and watching the wildlife.
Located in a very convenient area that was away from the bustle of town but not too remote that it was a haul to get anywhere. Very quiet and peaceful although the barn is located fairly close to the road."
2023-07-01,5,Stayed with kids,"This little cabin was perfect for our family of 4 (2 young children). It was close to all the vacation things : Rushmore, Adventure Park, Bear Country and Reptile Gardens. we loved coming back to a peaceful and quiet accommodation with a great view!"
2023-05-01,5,Stayed a few nights,"Clean, comfortable bed & furnishings; accurately represented."
2023-05-01,5,Stayed with kids,We really enjoyed our trip to the Black Hills! This home was the cutest and the surroundings were even better! We had an excellent stay!
2023-05-01,5,Stayed a few nights,"We really enjoyed our stay. Location was situated with excellent access to Rapid City and also to the Black Hills, Custer State Park and just 50 minutes from Wind Cave. Being on the outskirts of Rapid City we were able to enjoy beautiful sunrise and sunset views of rolling hills from the front patio. While small, the accommodations were very comfortable and clean. We were there for four nights. The one downside was that there wasn't a lot of space to spread out, unpack and settle in but we weren't there to spend our time inside. We felt taken care of - J&J was very responsive and provided us all of the information we needed and asked for to make our time there spectacular. I would definitely recommend."
2023-05-01,5,Stayed a few nights,Beautiful views and great distance away from the city and the hills!
2023-04-01,5,Stayed a few nights,Beautiful view and fair price for amenities listed. I recommend for couple getaways!
2023-04-01,5,Stayed a few nights,"This is a cute, unique place to stay in Rapid. Close enough to town but had amazing views and deer right in the backyard. Neighbors are close but it was very peaceful. Spring/winter storm cut our trip short but still highly recommend."
2023-03-01,5,Stayed a few nights,We spent a weekend here and loved it! The view is amazing and the space is so cozy and comfortable. My husband and I would love to return for another relaxing getaway!
2023-03-01,5,Stayed a few nights,"Excellent setup, perfectly stocked."
2023-03-01,5,Stayed a few nights,Good host. Cool place.
2023-02-01,5,Stayed a few nights,Beautiful and quiet place for a little getaway. We loved it!
2023-02-01,5,Stayed a few nights,Great place to stay! Only problem was it was a little tough to find in the dark but other than that great place would definitely stay again.
2022-11-01,5,Stayed a few nights,"Thank you so much for the space to enjoy a couple of quiet days. It was a very nice escape for some much needed R&R. The bed slept so well, and the cleanliness of the home made it enjoyable and comfortable. Thank you for making this stay so wonderful!"
2022-11-01,5,Stayed with kids,"If you are wanting a place to stay that is quiet and clean with a beautiful view and a minimal drive, this is the place. J&J are great to work with and genuinely enjoy hospitality. Don’t take my word for it though. Book your stay today and find out for yourself."
2022-11-01,5,Stayed a few nights,This home was just as described. The view is gorgeous and the home was very comfortable. It was a quick drive to town.
2022-11-01,5,Stayed a few nights,"We had a wonderful stay at the barn! When definitely recommend and would stay again! The location is great, it feels private but just close enough to the city and major attractions! Very comfy bed as well! Thank you!"
2022-10-01,5,Stayed a few nights,You can’t beat the location for the area. It is centrally located to all the attractions. Cute and clean.
2022-10-01,5,Stayed a few nights,Lovely accommodations and very clean. Coffee was so good. Bed very comfortable. Location excellent for going either direction. Maybe could include a list of suggested restaurants. Would stay again if we came to the area!
2022-10-01,5,Stayed a few nights,Beautiful views with a very nice fire pit! Communication was amazing
2022-10-01,5,Stayed a few nights,"If you’re deciding between this stay and another, allow me to help. Choose this one. The view, the location, the amenities, all of it was excellent. The host was in contact for any needs and the overall comfort of this stay was top tier. We enjoyed our stay for sure."
2022-09-01,5,Stayed with kids,Stay was great!
2022-09-01,5,Stayed a few nights,"Had a wonderful stay in rapid city SD
The barn was very nice, clean and really enjoyed the views. Will stay there again."
