date,rating,note,review_text
2024-06-01,5,Stayed with a pet,"We loved Kurt’s place! It was huge, with lots of space for 2 of us and our dogs. Kitchen was well stocked, as were the bathrooms. Beds were comfy and sheets were clean. It’s an incredible location, within 5 minutes of Penn Ave. Super easy to walk everywhere! Highly recommend!"
2024-04-01,5,Stayed a few nights,This place was within walking distance of the local restaurants. Kurt was very communicative.
2024-04-01,5,Stayed a few nights,Place was great! Warm and cozy.
2024-04-01,5,Stayed a few nights,Charming old townhouse with modern features.
2024-04-01,5,Stayed a few nights,"Great place to stay, easy walk to great restaurants."
2024-03-01,5,Stayed a few nights,We enjoyed our stay. The home is in a great location. The neighborhood was quiet and felt very safe. We would love to stay again the next time we visit Reading!
2024-03-01,5,Stayed with kids,It was a great cozy townhouse with everything we needed for our family.
2024-02-01,5,Stayed a few nights,Even nicer than the photos and much bigger!
2024-02-01,5,Stayed a few nights,"Great place, clean, lots of personality. Has a cozy, feel-good vibe to it. Close to everything you'd want to do in West Reading. Host communicated well and was very accommodating."
2024-01-01,5,Stayed a few nights,"We loved this place. It was clean, comfy, and absolutely adorable. We met friends of ours for the weekend to see a comedy show at the Santander, and it was perfect. A great place to stay in and relax, and close enough to shops and restaurants to head out and discover the neighborhood. We will definitely stay here again if we head back to Reading."
2024-01-01,5,Stayed a few nights,"Nice, conveniently located little home . Thanks"
2024-01-01,5,Stayed about a week,"Enjoyed my stay very much. Very cute townhome, walkable to Penn Ave where all of the local restaurants and boutiques are. Home was perfect for my stay and will definitely book again when in the area. Highly recommend!"
2024-01-01,5,Stayed with a pet,"This is a beautiful home in a quiet neighborhood within walking distance to shops and restaurants. The home has a lot of charm, is well decorated, very clean and cozy. The hosts were responsive and very welcoming. We had a great stay!"
2023-12-01,5,Stayed a few nights,"We loved that the house was decorated for Christmas!
The house was very cozy and furnishings were great."
2023-12-01,5,Stayed a few nights,"Quite honestly the best Airbnb I’ve ever stayed in. The photos don’t do it justice. The house is incredibly well kept and clean, small details like a flash light by the back door and snacks in the pantry were so nice!
If I ever travel to Reading again, I will absolutely stay here."
2023-12-01,5,Stayed with kids,"Kurt & Tammy’s house was perfect for our family of 4! There was plenty of room and it was well-equipped with everything we needed for cooking, playing games & relaxing. All the restaurants and pharmacy were a short walk away, which made it easy to meet up with friends. We will definitely request the place for our future visits!"
2023-11-01,5,Stayed a few nights,"Had a great stay here while in Reading, PA. The house is so cozy and comfy - my daughter said it made her feel ""tired"" because it was so warm and inviting. Perfect location in West Reading, walkable to everywhere. Plenty of parking. So many nice little touches in the house with everything that is needed. Spotless from top to bottom. I love the fall decor - thank you Kurt and Tammy, you guys are great! Will definitely stay again should I end up visiting Reading (or anywhere nearby) :)"
2023-11-01,5,Stayed with a pet,Kurt’s place was the perfect place to use as a home base to visit family for the holidays. The neighborhood was busy yet quiet and the home was well maintained and had lots of personal touches.
2023-11-01,5,Stayed a few nights,We enjoyed our stay . It was very quiet and peaceful . We will definitely be back when we come back to reading pa if the home is available..
2023-11-01,5,Stayed about a week,Very friendly host and lovely home. All amenities listed plus more! This host knows how to welcome guests. I would absolutely stay here again
2023-10-01,4,Stayed with a pet,Very cozy home! Loved the fire pit. They had all the materials for a great bonfire.
2023-10-01,5,Stayed a few nights,"House was exactly as described and
Kurt was very kind and responsive. Quiet street. We enjoyed our stay."
2023-10-01,5,Stayed with a pet,Kurt's place was so beautiful. It felt like home. Everything was very clean and had everything we needed. The beds were so comfy and there were a lot of bars and restaurants within walking distance. Would definitely recommend this place to anyone.
2023-10-01,5,Stayed a few nights,clean place. matches the description.
2024-04-01,5,Stayed one night,"Absolute beautiful home. Perfect for a quick, girls weekend getaway. So much room and stunning views. I’d definitely stay again!"
2024-04-01,5,Stayed a few nights,"Beautiful home, very clean, would highly recommend and I can’t wait to come back! Dallas was very helpful and efficient with communication. We really enjoyed our stay!"
2024-04-01,5,Stayed with kids,"This is an excellent get away with peaceful surroundings and a beautiful view of the hills of PA. It was exactly what my family and I needed. The host was kind, responsive, and helpful. We would definitely rebook again."
