date,rating,note,review_text
2024-06-01,5.0,Stayed one night,"Had the room downstairs with ensuite bathroom, very clean and quiet.
Thank you for a pleasant stay."
2024-06-01,5.0,Stayed a few nights,Good stay!
2024-05-01,5.0,Stayed a few nights,Always great to stay here.
2024-04-01,5.0,Stayed a few nights,"Clean room, good shower. Parking on the driveway. You can use the laundry. would recommend"
2024-04-01,5.0,Stayed a few nights,Thanks Kevin.
2024-04-01,5.0,Stayed a few nights,We loved staying here!
2024-04-01,4.0,Stayed a few nights,"This was the second time we stayed there. It was comfortable, quiet and clean!"
2024-04-01,5.0,Stayed one night,Thanks Kevin.
2024-04-01,5.0,Stayed a few nights,"Kevin was welcoming and open to discuss any questions we may have had.
The home and rooms were super clean and inviting.
We plan on staying here again and would recommend this home to anyone."
2024-04-01,5.0,Stayed a few nights,Convenient place to stay. Easy to get into. Had privacy. Comfortable bed.
2024-04-01,5.0,Stayed a few nights,This is a great place to stay.
2024-03-01,5.0,Stayed a few nights,This is an excellent place to stay!
2024-03-01,5.0,Stayed a few nights,Super nice!
2024-03-01,5.0,Stayed a few nights,This is the second time we've stayed. Will definitely stay again next time we're in Rexburg.
2024-03-01,5.0,Stayed one night,"We had a great stay at Kevin's place. It was exactly what we needed, and the beds were super comfortable. We look forward to returning the next time we visit Rexburg."
2024-03-01,5.0,Stayed one night,Great as always.
2024-02-01,5.0,Stayed one night,"Kevin's place was a nice, peaceful retreat. I was able to take a nap there in the afternoon and slept great at night. Beds were comfortable and every space was squeaky clean! Kevin was also very proactive and friendly in helping us with the parking situation. Would come back anytime."
2024-02-01,5.0,Stayed a few nights,"I really enjoyed my stay! Quiet, clean, excellent water pressure in the shower, nice kitchen - and wonderful hosts."
2024-02-01,5.0,Stayed with kids,Our fourth stay. We will be back!
2024-01-01,5.0,Stayed a few nights,Great place to stay!
2024-01-01,5.0,Stayed one night,"The beds were amazing! Cozy and comfy, perfect for our overnighter. It was easy to find and in a safe, beautiful location."
2024-01-01,5.0,Stayed a few nights,"I don’t know why they said there wasn’t hot water on the listing, the showers were great"
2024-01-01,5.0,Stayed one night,Great place to stay.
2024-01-01,5.0,Stayed one night,great place. there are other rooms in the house and shared space but our room was very private. nice touch to have a mini fridge in our room and our own bathroom. peaceful night's sleep.
2024-01-01,5.0,Stayed with kids,Absolutely a delight. Perfect for our needs. Really clean and spacious room. Very neat and clean shared spaces. Kevin responded quickly and kindly. Hope to stay again when we come back.
2023-10-01,5.0,Stayed one night,Kevin was VERY responsive. The home was nice and very clean. Room was very basic and plain. If all you're doing is stopping in for a sleep this is great. If I was staying for more than 1 night I would have liked to have a nightstand between the beds and maybe a small table in the corner with a chair or 2. Beds were soft (too soft for my husband but ok for me). Overall was great for a few hours of sleep.
2023-10-01,5.0,Stayed one night,"The beds were more comfortable than my bed at home, and the same goes for the shower. Would stay here again 10 times out of 10"
2023-10-01,5.0,Stayed one night,Beds were VERY comfortable. Space was very clean and it nice that there was a fridge in the room. Instructions were clear and easy to understand. Kevin was prompt in responding to our questions. We would definitely stay again and highly recommend.
2023-10-01,5.0,Stayed about a week,They are pretty nice and understanding
2023-10-01,5.0,Stayed one night,The beds were super comfy and very clean. There are multiple guests there at a time but we had our own bathroom and felt like we had privacy as well. We had a great time!
2023-10-01,5.0,Stayed a few nights,Great for what I needed. Great host with a great attitude. Nice people! Will stay here again!
2023-09-01,5.0,Stayed one night,"Kevin's place was great for me and my friends as we needed a place to stay before going to the Grand Tetons. The room itself was clean, Kevin was very responsive, and the price was well worth it."
2023-09-01,5.0,Stayed a few nights,"It was a great place to stay! Super friendly, helpful hosts, and very clean and quiet!"
2023-09-01,4.0,Stayed one night,"Great loction and super friendly. The house rents out multiple rooms and you share the kitchen and dining area. Beds were super comfortable. Very laid back, clean environment."
2023-09-01,5.0,Stayed a few nights,"The hosts are very friendly, they treated us like family. We felt like home. They were very helpful in providing whatever we needed like utensils etc. our trip to Yosemite became memorable because of them as well."
2023-09-01,5.0,Stayed one night,"The house is in the basement, the space is large and shared with the host, the people are very nice and helpful"
2023-08-01,5.0,Stayed one night,"Had a lovely stay with the amazing hosts
Recommend to everyone , really a great experience."
