date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"10/10!!!! We will absolutely be back. Perfect for a little getaway from the city. Kayaking on the river was amazing, the local wineries are a blast, and the tiny home is cozy, quiet, and relaxing. The hosts were so sweet and helpful."
2024-06-01,4,Stayed a few nights,"The location of this property is very good. It is close to Roseburg and multiple wineries. It is also close to a couple of different parks. If you are there to enjoy the Umpqua River, I would recommend launching at River Forks park this early in the season. The park is VERY close to this property, and it has a great boat launch. The park is extremely large. This property would be an ideal spot to launch a boat once the summer season arrives and the water levels drop. Over-all, this is a great place to stay."
2024-06-01,5,Stayed a few nights,"Awesome location along the River. Very quiet and peaceful. The cabin was clean, had ac and heat if needed. Anna was quick to respond to any questions or needs. I would recommend. 10 minutes from Roseburg."
2024-05-01,5,Stayed a few nights,Very private and peaceful setting along the Umpqua river with beautiful flowers and garden. Very special place.
2024-04-01,5,Stayed a few nights,We had an amazing stay! We felt right at home! Sitting out on the back deck and listening to the river was so peaceful! We can’t wait to come back in the summertime!
2024-04-01,5,Stayed a few nights,"Nice little place , right by the river. Very peaceful .
Would recommend to anyone"
2024-04-01,5,Stayed a few nights,"I was visiting Roseburg during a stressful time and the garden cottage was exactly the quiet and beauty I needed to restore myself.
I wish more had been in bloom, I'll have to come back later in spring or during summer!"
2024-03-01,5,Stayed a few nights,This was a great location! It was quiet and secluded in a beautiful area. Our host was very helpful in getting us in and out without any difficulties. She was available for any questions. This was our first time trying an air bnb. What a great host for our first experience! Great communicator. Will recommend to our friends who stay in the area.
2024-03-01,5,Stayed a few nights,"This place is amazing very quiet, love the views. Bed was very comfortable it was nice to sit on the couch read a book and watch the river run by."
2024-03-01,5,Stayed with kids,"Loved our stay, looking forward to coming back."
2024-03-01,5,Stayed about a week,"Unfortunately I didn’t get to stay at their Airbnb, pretty sad about that. The weather kept me from traveling there and Ana and her husband were nice enough to let me cancel. They are one of the nicest people I have ever known. Hopefully next time I’m in Oregon I can stay there."
2024-02-01,5,Stayed one night,My second stay here and it was lovely again
2023-10-01,4,Stayed a few nights,If you want a private quiet place in the country this is a good option.
2023-10-01,5,Stayed a few nights,"Anna’s place was lovely. The bed was incredibly comfortable, I had everything I needed to rest at the end of the day after my obligations. The chickens greeted me each morning and didn’t mix a little attention. I picked some lavender and rosemary for tea and a sprig of eucalyptus for the shower. The property is a beautiful mountain dream."
2023-10-01,4,Stayed a few nights,"The river was beautiful. The flowers garden was lovely, though not in view. Furniture and furnishings a little slap dash. Quiet country setting."
2023-09-01,5,Stayed with kids,"A fantastic location and unforgettable experience! Gorgeous flowers are blooming everywhere!! We sat by the river every evening watching the pretty sunsets. An extremely special place and a peaceful, cozy, comfortable guesthouse surrounded by a variety of U-Pick farms and wineries. Worth every penny."
2023-09-01,5,Stayed a few nights,So fun to be at a flower farm and near river. We enjoyed the use of Anna’s kayaks and gardens.
