date,rating,note,review_text
2024-06-01,5.0,Stayed with a pet,Beautifully done and comfortable space. Amazing kitchen amenities. This was a perfect spot for our family.
2024-06-01,4.0,Group trip,Easy to find on a quiet street. Lindsey is easy to communicate with.
2024-06-01,5.0,Stayed a few nights,"Great place to stay with large bedrooms, open kitchen to living room, back yard and clean kitchen."
2024-06-01,5.0,Group trip,Lindsay was a great host and was so responsive to our questions. The house has been mostly updated and had everything we needed to have a great stay. I would recommend!
2024-05-01,5.0,Stayed with a pet,"Great house! Spacious and very clean..
Lindsey was very responsive.
Neighborhood was close to everything we needed and wanted to do.
We will be back!"
2024-04-01,5.0,Stayed with a pet,Very spacious! Every room was beautiful and functional. It came with all the amenities and was layed out well. A real super host. Can’t wait to go back!
2024-04-01,5.0,Stayed with kids,"Amazing, cozy, spacious, clean, inviting, the list can go on and on. We enjoyed the space as we needed a couple of nights to stay while in town for our niece's wedding.
We would highly recommend if you need somewhere in San Angelo for a stay, Lindsey's place! She is very respectful, responsive and friendly. We had a predicament and she was very quick to assist us."
2024-04-01,5.0,Stayed a few nights,Very comfortable home. nice and quiet neighborhood. There is no driveway. Awkward parking on street. Had a slight issue unlocking the door however once I was able to figure it out had no other issues. Very spacious home. Will definitely concerd staying here again while visiting my San Angelo family. Thank you Lindsey!!!!
2024-04-01,5.0,Stayed with a pet,Lindsey really thought of everything! Great hosts! Will definitely book again when we come to San Angelo to visit family!!!!!! House was perfect for kids!!
2024-04-01,5.0,Stayed with a pet,"Very nice place! Roomy, clean and in a nice neighborhood."
2024-03-01,5.0,Stayed a few nights,thoroughly enjoyed our stay.
2024-03-01,5.0,Stayed a few nights,"Nice, comfortable stay. Quiet and safe neighborhood. Close to anything you might need."
2024-03-01,4.0,Stayed a few nights,"Very nice! Really enjoyed our stay.
The only minor issue is that all the furnishings (couch, beds, and chairs) could use updating."
2024-03-01,5.0,Stayed with kids,"Absolutely beautiful home!! We stayed here while we were visiting some family in the area, and it was exactly what we needed. The home itself is gorgeous and sooo spacious! The living room/kitchen is very open which made it perfect for my big family. Each room is also very spacious with big closets, and the 2 bathrooms are large (perfect for multiple people getting ready). Everything was very clean and organized 😊"
2024-03-01,5.0,Stayed with a pet,Very well kept home close to everything in San Angelo! We enjoyed staying here as it is close to the State Park!
2024-02-01,5.0,Stayed a few nights,"It was a great family meeting place for the weekend. Enjoyed the location, amenities and fireplace. It's a halfway place for us to meet and we're already planning for another visit."
2024-02-01,5.0,Group trip,Loved the home! Lindsey had clear instructions so check-in and out was easy. Excellent value.
2024-01-01,5.0,Stayed with kids,Lovely home in a quiet neighborhood. Great space for a weekend gathering with our family with all needed essentials for our grandbaby too!
2024-01-01,5.0,Stayed a few nights,"What a beautiful, clean, and cozy home! We enjoyed our stay very much! Nice neighborhood too! From the comfy beds and pillows to the nicely updated bathrooms, this is by far one of our favorite airbnbs. We will definitely be staying here again for future visits. ♥️"
2024-01-01,5.0,Group trip,"Lindsay's home was perfect! The home was clean, had large bedrooms, with a playground in the backyard. The kitchen had updated appliances with a gas stove. The gas fireplace was also a plus!"
2024-01-01,4.0,Stayed with a pet,Thanks for letting us stay
2023-12-01,5.0,Stayed with a pet,Lindsey was easy and quick in communication. This house was perfect for my family and I to stay to celebrate my graduation from ASU and celebrating an early Christmas.
2023-12-01,5.0,Stayed with a pet,We had a wonderful experience! The house was perfect with a nice back yard for our dog. The kitchen is beautiful! We will definitely stay again.
2023-12-01,5.0,Group trip,Great place
2023-11-01,5.0,Stayed with kids,Absolutely my favorite VRBO ever! This place is incredibly cozy!!!
2023-11-01,5.0,Stayed with kids,everything was great!
2023-11-01,5.0,Group trip,Great place
2023-11-01,5.0,Stayed with kids,"This house was perfect for two families with kids traveling to San Angelo. The home is located in a nice, quiet neighborhood. It was very clean and the beds were comfortable. Thanks for being a great host! Would book agin."
2023-11-01,5.0,Stayed a few nights,Lindsey was such a great host! Always very responsive. We loved the house. Plenty of room and two king beds and two large bathrooms that was good to have for two couples. Definitely recommend!!
2023-11-01,5.0,Stayed with kids,In town for my daughter’s wedding so in and out a lot but very welcoming and loved the back yard.
2023-11-01,5.0,Group trip,Best host ever!!! Lovely home. A must stay for San Angelo!
2023-10-01,5.0,Stayed with kids,This house was perfect for our large family!
2023-10-01,5.0,Group trip,Thanks for hosting us! Great home for trip to San Angelo.
2023-10-01,5.0,Stayed with a pet,"Charming home, especially suited for a family."
2023-10-01,5.0,Stayed with kids,"We enjoyed staying at Lindsey's place while visiting family in San Angelo. Each of my teenagers had their own room, which was great! I enjoyed having my morning coffee on the back porch and listening to the birds in the morning. I will definitely book again on our next trip to San Angelo!"
2023-10-01,5.0,Stayed a few nights,Not sure if this is our 5th or 6th stay at Lindsey's..... but it's not our last!!!
2023-10-01,5.0,Group trip,Great place for family. We were there for a wedding so it was a great place for us to hang out and wait between festivities. Highly recommend!!
2023-09-01,5.0,Stayed a few nights,"In the last two months, we have stayed at 6 AirB&B’s and Lindsey’s has been hands-down the easiest to check in, communicate with the host and be incident free.
It’s smooth sailing at this property."
2023-09-01,5.0,Group trip,"Loved staying here! It was perfect for our family- as we were in town for a wedding.
Cute house, very clean and spacious and in a safe neighborhood!"
2023-09-01,5.0,Stayed a few nights,"Great location, especially working near the airport. The house is clean and has nice amenities. Great communication from the homeowner."
2023-09-01,5.0,Stayed with a pet,"Very clean, smelled good, hot water, good water pressure, fenced back yard, excellent a/c, excellent appliances, all good, would go back."
2023-09-01,5.0,Stayed with kids,Fit our purpose of visiting relatives.
2023-09-01,5.0,Group trip,Overall great home in a great location
2023-08-01,5.0,Stayed a few nights,"Lindsey’s place was exactly as listed, and more! Super spacious, plenty of room for my family to spread out and enjoy their week long stay in San Angelo. Cute, clean, and had everything we needed. Thank you!!"
2023-08-01,5.0,Stayed with kids,"This home was even better than pics it was roomy, we were here for a funeral and everything was very close , there was a walmart not very far. If we are ever back to Texas we will definitely consider this place."
2023-08-01,5.0,Group trip,"Like Arnold says, “I’ll be back!”"
2023-08-01,5.0,Group trip,"Really loved the layout and the bedding situation. HEB and Walmart within 5 minutes from the home, perfect location for our needs."
2023-07-01,5.0,Group trip,Great place to stay. Host was extremely responsive. We will be back again!
2023-07-01,5.0,Group trip,"Great place to stay, enough space for everybody and a cozy home."
2023-07-01,5.0,Group trip,"Thanks for a great experience!! From the flexibility at check-in to the neat, clean rental, this was perfect. This was our home base during a work training and it was perfect. Definitely would book here again. Thanks for a great stay!!"
2023-07-01,5.0,Stayed a few nights,"We were pleasantly surprised to find the house met, or exceeded the look of the pictures. Because we brought our 2 Corgis, it was nice to find the back yard well kept…others haven’t been. The neighborhood was very pretty, making us feel secure. It took a while for the AC to catch up with the high temps, but it did! My husband told me I did good in choosing this house…we were very comfortable there, and since our grandson will be in college in San Angelo, we would certainly stay there again if Lindsey will have us!"
2023-07-01,5.0,Stayed with kids,Found the home was great for a large group with children. The home was clean and the playground equipment in the back yard was great. Highly recommend this place
2023-06-01,5.0,Stayed with a pet,"Lindsey's place was perfect for our family & pets! Our AC broke and we were at 95 degrees inside our home. instead of renting 2 hotel rooms and finding pet friendly amenities .. Lindsey's place was perfect. The host was super quick & responsive to all our minor questions! House was perfect for our kiddos, infant & pets.
I oved the back yard early in the morning while drinking a cup of coffee & rocking thr baby..
I highly recommend this place over a hotel stay anytime!"
2023-06-01,5.0,Stayed with a pet,"Being from out of town, we needed a place to stay for our daughter's wedding. The house was perfect. We were able to host family coming in from out of town, had room to spread out to do wedding prep, and we were centrally located for easy access to shopping and getting to the airport. The back yard was perfect for Stella, and comfortable for hanging out. Not that I needed anything, as the house had everything I needed for our trip, but Lindsey was quick to respond to my messages. I definitely recommend Lindsey's place for your trip!"
2023-06-01,5.0,Group trip,I selected Lindsey’s property because the location is conveniently close to my family’s home. It was a bonus that her property is close to shopping and restaurants.
2023-05-01,5.0,Stayed with a pet,Great place to stay if you have a family and pets!
2023-05-01,5.0,Stayed with a pet,This was a very beautiful home for our week long trip. We have a 1 and 2 year old and the backyard with playground equipment was extremely helpful to keep them happy outside of their home. I always appreciate when a home will allow us to bring in our furbabies and the neighborhood was very calm to take them for a walk. The home was very spacious and we did not have any complaints about our stay in the home.
2023-05-01,5.0,Stayed a few nights,This was a perfect place for Angelo State graduation weekend! Spacious floor plan with comfortable seating and beds!
2023-05-01,5.0,Group trip,"The air condition did go out, but the response was impressive and professional."
2023-04-01,5.0,Stayed a few nights,Nice and quite home
2023-04-01,4.0,Stayed with kids,"Patio was unkept, weeds and overgrown grass. A guy came knocking on door offering to cut the grass. The neighbor’s dog kept barking all night."
2023-03-01,5.0,Stayed with kids,Very nice place and Lindsey was very good to work with.
2023-03-01,5.0,Stayed with kids,I rented this for two families. Four adults and 4 small children 6 to 1 1/2 years. While I knew there was a crib we were surprised and pleased to find the playset in the back yard and the toys in the chest as wells as a high chair. It was a great set-up for families with small children.
2023-02-01,5.0,Stayed a few nights,"Host was very communicative,
generous and accommodating!
The house was truly prefect.
5 stars guaranteed and perfect location
and just overall the perfect place to stay.
Everything was neat, clean, and as described.
The home was stocked with everything we needed .
House was close to shopping , restaurants .
It felt just like home. It's in a nice, quiet neighborhood
10 out of 10 definitely recommend."
2023-02-01,5.0,Stayed with kids,"Lindsey's place was exactly as advertised, very easy to communicate with, clean house, all amenities avai6and working. My family and I felt safe and comfortable staying at Lindsey's place."
