date,rating,note,review_text
2024-04-01,5,Stayed over a week,Rita's place was really wonderful made me feel right at home.
2024-03-01,5,Stayed a few nights,Rita’s house was great. We worked all week and just needed a place to eat dinner and sleep. Would recommend or stay again.
2024-01-01,5,Group trip,"Great host,Property was very cozy,had the perfect layout for spending time with friends and family.highly recommended"
2023-12-01,5,Stayed with a pet,"We absolutely loved staying at this Airbnb! The house was clean, had plenty of space to move around, and was absolutely adorable! We stayed at Christmas time, and the house was all decorated for Christmas when we arrived. It was the perfect location for me when visiting family, and was right off of the highway so it made it was very convenient for that reason as well! We stayed with our dog, and Rita even made sure to leave a roll of dog bags out for us, which was so kind! Thank your the wonderful stay! :)"
2023-12-01,5,Stayed about a week,Rita was a great host. We would stay there again when in the area. she was very prompt and easy to work with
2023-12-01,5,Stayed with a pet,Great place!
2023-10-01,5,Group trip,Rita is a great host!! EVERYTHING is already at the house that you would need to feel right at home! Stayed once before and was even more exciting to stay this time with the Halloween and Fall decorations that she added. Also liked the screened in porch area that was added from the previous stay. Both additions made it more of a home like feel! Ample space in the house and for a great price!
2023-10-01,5,Stayed with kids,Our family enjoyed our stay.
2023-09-01,5,Stayed with kids,Rita was great with communication and very prompt with it! There were little notes all throughout the house that were very helpful! Lots of room inside the house! Quiet area on a one way street and easy to find.
2023-09-01,5,Stayed a few nights,Rita was an excellent communicator. We had everything we needed. A fantastic stay at cozy home in Chemung!
2023-08-01,5,Stayed with kids,"Rita was very welcoming with great communication. Spacious home with plenty of room for everyone. Great outdoor space for just hanging out and enjoying company. A small collection of toys readily available for the kids to play with really added a special extra touch for our stay. Thanks again Rita, would love to stay again in the future!"
2023-08-01,5,Stayed with kids,The home was just what we needed. Comfortable & clean. Easy check in & beautiful area. Rita communicates well.
2023-07-01,5,Stayed a few nights,Wonderful visit made better by Rita. My family will be using her again.
2023-07-01,5,Stayed with a pet,Very nice host &family.
2023-06-01,5,Stayed over a week,Good place!
2023-05-01,5,Stayed about a week,"A comfortable and cozy home in a laid-back country town. Lots of room, with a big laundry room and a big enclosed front porch. The kitchen was well-equipped. Beds were comfortable , plenty of water pressure and hot water in the shower. A big lot with lots of parking.
Rita was very responsive, and our only regret was that we didn't get to meet her because she had to go out of town. However her daughter, whom we met, was very close to back her up if needed.
If we need to return to the area, we would definitely stay there again."
2024-06-01,5,Stayed with a pet,This was probably our favorite Airbnb that we have stayed at everything was perfect! My daughter didn’t wanna leave and it’s already making plans for our next visit! Thank you for your hospitality and letting your girls play with my girl It really was home away from home!
2024-04-01,5,Stayed with a pet,Amazing and very responsive host. The place was clean and had many amenities. Thank you so much!
2024-01-01,5,Stayed a few nights,Would stay here again
2023-10-01,5,Stayed a few nights,My husband and I had a wonderful weekend! This airbnb was not far from Watkins Glen which was just what we needed!
2023-10-01,5,Stayed a few nights,This was perfect for an affordable place to stay about 20 minutes from Ithaca College. The place was super clean and our host was so friendly and accommodating. Would stay again in the future!
2023-09-01,5,Stayed with a pet,"We stayed 9/8-9/12 and the only downfall is I couldn’t live here permanently. The air bnb is chíc and comfortable. There is everything you need from shampoo, body wash,towels, kitchenware every appliance needed and even fun games. Oh and IDK what she uses but her blankets smell amazing! Abra is super thoughtful and even leaves goodies for you!
The bed is super comfortable( ive stayed in tons of air bnbs and this is far the best sleep Ive ever had)
The pool is just right it has a shallow and deep end and in the right season is amazing to enjoy. Although the house is attached we had all the privacy we asked for!
It is 40 minutes from Corning Museum of Glass and Watkins Glen park which are the two musts when visiting!
Check-in is super easy as well, which is important after a long drive! We brought our dog and she had ample space to run and I felt super safe leaving her while we went to the museum! Thank you Abra well be back !!!"
2023-08-01,5,Stayed a few nights,"Abra was great, and the guest suite was exactly as it’s described, would really recommend for a weekend getaway full of hiking and wineries."
2023-08-01,5,Stayed a few nights,"This place was wonderful. It met my requirements: clean, quiet and comfortable. The linens were high quality. The snacks were much appreciated. Would definitely stay again."
2023-07-01,5,Stayed with a pet,"We loved our stay here! Abra went above and beyond including snacks and other ammenenities we sometimes forget to pack. the place was clean and cozy, and nearby so many beautiful hikes! would come stay again"
2023-06-01,5,Stayed with a pet,"I wish that I could give this home 10 stars. My Husband and I are from the area but live out of state now. We traveled home for our wedding week and needed our own space with our fur babies. Not only was Abra’s home beautiful and peaceful, she had EVERYTHING one could possibly need. Upon arrival we noticed that the fridge was stocked with waters, eggs, coffee creamer, and syrup (all the things people usually forget to bring with them). The coffee bar was easily the highlight of the kitchen amenities!!
In the bathroom there were even extra toiletries for guest that may have forgotten some essentials!
The hospitality, communication, and flexibility has been unmatched to any of our previous Air BnB stays. Highly recommend and given our frequent visits to the area, we will definitely be returning!"
2023-06-01,5,Stayed with a pet,Definitely would want to stay here again!!!!!!
2023-05-01,4,Stayed with a pet,"The place was definitely clean. Abra made sure to communicate with us to make sure all was going well and ask if we needed anything.
For our purposes to get to the state parks and finger lakes, this was a good choice."
2023-05-01,5,Stayed one night,Very nice quiet location.
2023-04-01,5,Stayed with a pet,"I was visiting a friend in Ithaca and this place was perfect, far enough to feel like a little escape, and close enough to hop right over in the morning.
It was such a treat to be able to bring my dog with me! We appreciated the calm and clean space Abra provided."
2023-04-01,5,Stayed a few nights,"This was a great please to stay! A beautiful, quiet, peaceful little place. Abra was very responsive and made sure our stay was all good! The only con to staying was that it was a little far away from things to do but besides that it was great!"
2023-04-01,5,Stayed a few nights,"Clean & Cozy!
This is the cleanest AirBnB I’ve ever stayed in. It was spotless!
And everything was so cozy. The couch and the bed. Ohhhh, the bed!!! The bed was SO comfortable! I want to buy the same exact one for myself! Even the sheets & towels were soft and cozy. I kid you not, they were the softest I’ve ever used.
Icing on the cake - This place is so darn cute. Love the decor! Tasteful but not overdone. Will definitely be staying here again!!"
2023-02-01,5,Stayed a few nights,This is a great place for all types of stay. Definitely recommend this property and will be going again in the near future. 10/10
2024-06-01,5,Stayed a few nights,This was by far the best experience we ever had . The place and surroundings were beautiful and peaceful. Would highly recommend. Will be using this place again for sure.
2024-06-01,5,Stayed one night,This is the second time we stayed at this AirBnB and it’s always so nice and super clean. My family enjoyed the stay and the nice space offered. Thank you.
2024-06-01,5,Stayed with a pet,Thank you for the relaxing night stay! Stayed here before a trail race at Mt. Pisgah. We didnt get in til late and Stacy was very accommodating and helpful. The farm is beautiful and peaceful. We loved the complementary handmade milk soap!
2024-06-01,5,Stayed one night,"Very nice and comfy, it was exactly what we needed"
2024-06-01,4,Stayed with a pet,Used this as a stopping point for a road trip with two dogs and two kids and it worked for what we needed it for!
2024-05-01,5,Stayed with kids,Stacey’s place was very close to Mt Pisgah State Park. We loved the fireplace in the living room and the country setting was restful.
2024-04-01,5,Stayed with a pet,"Stacy’s was amazing! Incredibly clean, wholesome, and comfortable home feeling! Would stay again and recommend anyone thinking about staying to do it! Thank you Stacy and her family! The farm is beautiful!!"
2024-04-01,5,Stayed one night,This is the most cozy and relaxing getaway you could dream of- we were very grateful for this place came with everything and especially comfort. Perfect place to be in!
2024-04-01,5,Stayed with kids,"Clean, quiet space in beautiful surroundings"
2024-03-01,5,Stayed with a pet,Always a lovely stay at Stacy's Airbnb. My son loves getting to see the cows & thinks the tub is the coolest thing ever!
2024-03-01,5,Stayed with a pet,We loved staying on the dairy farm! The sunrise was incredible and the area beautiful.
2024-02-01,5,Stayed one night,Great place loved it!
2024-02-01,5,Stayed a few nights,Great get away place to stay with all the accommodations
2024-02-01,5,Stayed with a pet,This place was perfect for what i needed. Stacy was extremely quick to respond to any questions or concerns. Would stay here again.
2024-02-01,5,Stayed a few nights,"Very kind family, great house, just not great cell service. Family is very kind and the dog there is a sweetheart, he comes to say hello most mornings and nights"
2024-02-01,5,Stayed a few nights,Very sweet and kind people. Would stay again.
2024-02-01,5,Stayed with a pet,Lovely place
2024-01-01,5,Stayed with a pet,Great place!!
2023-12-01,5,Stayed a few nights,This is a very nice play to stay. I've stayed here several times now. The host is super friendly and respectful. I would recommend to anyone.
2023-12-01,5,Stayed with kids,I enjoyed my stay and can't wait to come back
2023-11-01,5,Stayed with a pet,"Stacy’s place is clean and cozy. We were only here overnight, but I’d happily come back.
I see several other reviews mention road noise - it’s true that the house is close to the road, but I personally didn’t find there to be much noise, if any. The cows were louder ;)"
2023-11-01,5,Stayed a few nights,"As always, peaceful and relaxing!!! Perfect for us!!!"
2023-11-01,5,Stayed a few nights,I really enjoyed the comfort this home. Really nice place. Very cozy.
2023-10-01,4,Stayed with kids,"Overall we had a good stay! We came up to visit my son for the weekend who is a student at Mansfield and this worked out because it is only about 30 minutes from campus. The farmhouse has all amenities of home (minutes a microwave) with a huge bathroom, fireplace and a nice firepit with firewood provided. There were also sanitary napkins available in the bathroom which came in handy. There is also a dog and cat that roams around. The only things I noticed were the steps are wobbly coming up onto the porch, the bedrooms do not have dedicated doors; they have barn doors which can be difficult maneuver (declined to have the host fix it when I brought it to her attention) so you can't fully close off the bedrooms. There is a lot of road noise, so if you are a light sleeper you will not enjoy the location. Communication was fine while we were there but beforehand it was slow and I had to follow up each time before receiving a response which is surprising for a super host."
2023-10-01,5,Stayed with kids,"The stay was great,everything was provided that we needed. We had a rainy weekend,but the place was warm and and cozy."
2023-10-01,5,Stayed one night,We’ve been here a few times. It’s such a beautiful spot!
2023-10-01,5,Stayed with a pet,Very comfy accommodation. Stacy is very responsive. Well maintained neat and clean place
2023-10-01,5,Stayed about a week,"Great place to stay if you are in the area!!! Sure beats the local motel!!!
Stacey and her family are great hosts….. highly recommended."
2023-10-01,5,Stayed one night,"It was only a quick overnight stay. My boys were going up to run a tough mudder race. The location was convenient, clean and matched the description. Saving this location for a return trip."
2023-09-01,5,Stayed with kids,We had a great two night stay. We had an issue with heater and Stacy was quick to resolve it. We also had a wonderful time meeting the cows in the farm up-close!
2023-09-01,5,Stayed with a pet,Adorable farmhouse! My family and 2 dogs thoroughly enjoyed our stay. We had a friendly visit from a farm dog and an adorable farm kitten! Our pups made fast friends! We enjoyed sitting on the front porch and just catching up with our daughter! Very homey!
2023-09-01,5,Stayed one night,Just a quick overnight stay but everything was great!
2023-09-01,5,Stayed with a pet,"We were so glad to be back at Stacy's dairy farm residence. We feel so at home in this fully equipped yet quaint house in its glorious hilly setting, we might just stop by to say hello when passing through."
2023-09-01,4,Stayed with a pet,"It was fun being on the farm and seeing the friendly cats, dog, and cows! Only 15 minutes to ""The Barn"" wedding venue in Ulster, PA. We also enjoyed our lunch at Shore Sisters in Towanda."
2023-08-01,5,Stayed one night,The area is lovely and the cats are welcoming you on the porch. Very nice and relaxing.
2023-08-01,5,Stayed with a pet,"a simple but very clean place. we had a restful stay for one night on our way home from Canada, with our dog. it was fun to play with the animals on the farm."
2023-08-01,5,Stayed with kids,A cute and comfortable farmhouse located right on a dairy farm. Everything was as described and the room was clean and tidy. Definitely would stay here again! Thank you!
2023-08-01,5,Stayed one night,"This is a self-contained apartment in a farmhouse on a large dairy farm that is located far from any restaurants or stores. The kitchen would be great for cooking ones own meals (but my family only was there one night, unfortunately). The host's family is very friendly, and so are the kittens and dog. We loved this stay. We will definitely return one day. Just to set expectations, it is important to realize that a dairy farm includes strong smells. We got used to it quickly. The tranquility of the setting is unique and much appreciated"
2023-08-01,5,Stayed a few nights,This is a great place to stay!
2023-08-01,5,Stayed with a pet,The cottage had beautiful sceanary and was cleaned well. We’d definitely stay here again. Our dog enjoyed the open yard. Our car had a flat and the owners helped get us up and running! Great stay :)
