date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"Kari's place was great! Cute, clean, and close to anything you'd need! Would absolutely recommend!"
2024-06-01,5,Stayed a few nights,My wife and I love to travel and have a hard time with ANYTHING that is scented. This home was our safe haven! We even thought to ourselves that we could one day live in a little home like this. Kari’s communication and care for our family was felt by all of us.
2024-06-01,5,Stayed a few nights,"Such a lovely little airbandb! Clean and neat, super easy check in, and they even provided a list of fun things to do in Searcy. Would return!"
2024-06-01,5,Stayed with kids,Wonderful place to stay!!!! Easy access to town. Very beautiful back yard!!! Very Happy with our stay!!! Definitely recommend!!!!
2024-05-01,5,Stayed a few nights,We truly enjoyed our time at the Cottage and would book it again if ever we come back to Searcy AR.
2024-05-01,5,Stayed a few nights,The Cottage on Cross Street was welcoming and cozy. I hope to stay there again next time I'm in the area!
2024-04-01,5,Stayed a few nights,"Kari’s place was perfect for me and my partner’s parents! Everything we needed was provided, and in great condition. The bed’s were comfortable and we all slept like babies. The area was calm, and we loved hearing the birds in the back yard. Kari was extremely accommodating and responsive. I would definitely recommend this place if you’re passing through or even just need a quick getaway!"
2024-04-01,5,Stayed with kids,"We had a great stay at Kari’s home in Searcy. The house was SO cute, clean, and had everything we needed. My children especially loved the large, private backyard. We would definitely love to stay again if we come back to Searcy."
2024-04-01,5,Stayed a few nights,"Had a wonderful stay at Kari’s little cottage! Felt right at home the minute I walked through the door! Super cute, love the style of decor in the house, very clean, comfy bed, lovely backyard, convenient location, easy check-in/check-out, friendly host - I can’t say enough great things about the home! Would definitely recommend it - and would stay there again if I find myself back in the area!"
2024-04-01,5,Stayed a few nights,"We were in town for the April 8, 204 solar eclipse, and Searcy was in the path of totality. Kari did some extra research for us in advance. She also provided the door code early enough that we could share it with members of our group who arrived separately. The shady back yard was comfortable for socializing. The front yard was sunnier and great for watching the moon cover up the sun for a few minutes. We were surprised that not many neighbors were out watching the eclipse. Maybe they were at one of the public parks or stadiums that had special events."
2024-04-01,5,Stayed a few nights,"The house was quiet and clean. Kari gave friendly, clear instructions and was a great communicator. The house was clean and so cute. We already scheduled our next visit."
2024-03-01,5,Stayed with kids,We highly recommend this cute cottage for your stay if you are traveling through or visiting Searcy. The pictures don’t do justice to how cute this cozy cottage is! It also has a really nice backyard. The little touches and decor makes this a very unique space. The beds and furniture are comfortable as well. Thank you for such a wonderful stay!
2024-03-01,5,Stayed with kids,We had a great time staying in Kari’s home! It was perfect for our family of four. The cottage was adorable and there were so many cute touches all over the home I even took inspiration photos to decorate back at our place! The kids loved running around in the backyard and it was the perfect location for us to visit family and get around Searcy. We would love to come stay here again!
2024-03-01,5,Stayed a few nights,"My family and I feel in love with the little cottage. It was clean, neat and adorable. we especially love the back yard. We plan on making this our go place to stay in Searcy."
2024-03-01,5,Stayed a few nights,We loved our stay! The house was cozy! It was just as described and even cuter in person. Nice bedroom space and the beds were comfortable. Close to Harding and downtown. We would definitely stay again!
2024-03-01,5,Stayed a few nights,"We had a great experience at Kari's place! It is super close to Harding University which was really convenient as we were in town for my son's college tour. The cottage was a great place to end each day with all the comforts of home and plenty of space. The beds were so comfortable and the living room is cozy. We didn't use the kitchen much but it appeared as though everything you could possibly need was provided.
I have stayed at many different AirBnB's and I really appreciate when a host goes out of their way to make you feel welcome which Kari did! We appreciated the book of local places and the welcome basket of snacks. If Harding is where my son ends up next year we will definitely be back to stay at The Cottage on Cross."
2024-06-01,5,Stayed with kids,Host is very responsive house is very quite and in quite area beds were super soft everything is less then 6 minutes either direction
2024-06-01,5,Stayed a few nights,Thank you for your flexibility with our schedule and a wonderful stay!
2024-06-01,5,Stayed a few nights,Nice place . Great stay . Everything we needed for our stay . Thanks guys
2024-06-01,5,Stayed one night,We had a great time at Conlee’s place and would definitely recommend. Everything was as advertised.
2024-06-01,2,Stayed a few nights,The place needs some maintenance.
2024-05-01,5,Stayed a few nights,Our family had a very nice time here. The location was wonderful and there was plenty of space inside and out.
2024-05-01,5,Stayed one night,Exactly as pictured! Great location and easy checkin!
2024-04-01,5,Stayed a few nights,We love staying here ! This was our 2nd time staying ! We live this place !
2024-04-01,5,Stayed with kids,"Cozy little house, great price, one block from the college. Tough to beat"
2024-04-01,5,Stayed a few nights,Great place close to Harding. Hosts were very helpful and accommodating. Enjoyed my stay!
2024-04-01,5,Stayed a few nights,This was my 2nd time to stay at Conlee’s. It’s a great location to Harding and close to all the amenities of Searcy. It was nice going back to the same place I’ve stayed 2 months prior. I knew what to expect and felt at ease.
