date,rating,note,review_text
2024-06-01,5,Stayed a few nights,Easy and convenient stay!
2024-06-01,5,Stayed with kids,This place was a wonderful visit. It provided us with space and comfort.
2024-03-01,5,Stayed a few nights,"Older house with renovated interior. Hosts are responsive, interior is clean with amenities (kitchen supplies, shampoo/conditioner, coffee, etc). Comfortable weekend stay!"
2024-03-01,5,Stayed a few nights,Great stay would recommend and will stay again when in the area
2024-03-01,3,Stayed with a pet,"The floors were all slanted and soft, the refrigerator door wasn’t able to open all the way due to the warped floor. Stairs to the upstairs were pretty steep so if you’re handicapped or older, beware, beds were very hard, it’s an older house in an older neighborhood, we wouldn’t stay here again. If you’re looking for basic this place is for you"
2024-03-01,4,Stayed a few nights,"The house worked well for us as we visited family nearby. Must keep in mind that it is an old house, but the furnishings are up to date and it is clean and pleasant. Would stay here again."
2024-02-01,5,Stayed with kids,Nice place to stay with my family while traveling. Plenty of space for all of us!
2023-07-01,5,Stayed one night,"The owner was very responsive. I accidentally put the wrong number of visitors on the initial reservation and they did not get upset and even let us check in a little earlier. That was truly a blessing because we were coming off a 6hr drive. Thank you for your kindness as well as a place that felt like home. We will, when in town, be utilizing this place again. God bless!!!
A Franklin"
2024-06-01,5,Stayed over a week,Great place definitely would recommend very friendly and easy going
2023-11-01,5,Stayed one night,"Unique layout and pleasant surroundings. Plan on coming in spring so we can use the porch, fire pit and grill!"
2023-05-01,5,Stayed a few nights,Owners were very accommodating and kind. The space is much more than expected. Very nice and has everything you need.
2023-01-01,5,Stayed a few nights,"Had a great stay at Mike’s deer track lodge
I would definitely recommend it to anyone looking for a place to stay in sidney"
2022-11-01,5,Stayed a few nights,Very clean
2022-10-01,5,Stayed one night,"The place was fantastic in every way. Comfortable, had everything we needed and Mike was super helpful. Would definitively stay again, beats the hotels hands down. The kitchen and the apartment had everything we needed, even the OH game on the Big Ten network. A great stay."
2022-08-01,5,Stayed about a week,Probably the best Air B&B I ever stayed at. Such a clean place in a great location. The hosts are great. Very friendly and down-to-home. I give it an 11 out of 10.
2022-07-01,4,Stayed with kids,Great space! Especially enjoyed the outside patio in the evenings. It was a perfect stay for our small family of 4 while we visited family in the area. Nothing like having a home base with a kitchen and living area while traveling.
2022-07-01,5,Stayed a few nights,Very nice
2022-07-01,5,Stayed one night,"Everything is just as pictured, the home was clean & had everything we needed. Mike & his wife were so friendly and hospitable, would love to stay again!"
2022-07-01,5,Stayed a few nights,Staying at This AirBnB was an absolute treat. Mike and Wanda were excellent hosts and very knowledgeable about the area. They gave us wonderful recommendations for food and entertainment. The location was private and pristine. Would absolutely stay again! Thank you
2022-06-01,5,Stayed a few nights,"Wonderful stay, Beautiful Place Mike and Wanda are wonderful hosts. They communicated every step of the way. The room was spotless, quiet, warm and comfortable. If I am in the area again, I will be staying at Deer Track."
2021-12-01,5,Stayed a few nights,"Very nicely furnished, close to town. Mike is a great host. I highly recommend this accommodation."
2021-11-01,5,Stayed a few nights,"Great place to stay! Cozy, clean, centrally located in Sidney! I would definitely stay again if I was in the area!"
2021-10-01,5,Stayed a few nights,Great place and would highly recommend!
2021-09-01,5,Stayed one night,A great spot with great hosts!
2021-08-01,5,Stayed a few nights,"What a beautiful, cozy atmosphere- would definitely recommend and come back for another stay!!"
2021-08-01,5,Stayed one night,Great place to stay. Very clean. Will recommend. Susan
2021-07-01,5,Stayed a few nights,Quiet secluded spot yet close to downtown and highway. Everything is like new and the space is fully equipped with all the necessities.
2021-06-01,5,Stayed one night,Really great place owned by great hosts! So clean with a really nice feel.
2021-06-01,5,Stayed with kids,"Mike’s place was incredibly comfortable, extremely clean, and beautiful! Close proximity to the Buckeye Barn in Piqua! We stayed here for a wedding and couldn’t love it more! Mike & Wanda were gracious, flexible, and just overall wonderful people! Would highly recommend! Can’t wait to visit again!"
2021-01-01,5,Stayed a few nights,Absolutely great place to stay. Very clean and Mike provides everything you need. Five star for this place.
2020-09-01,5,Stayed about a week,"Friendly hosts, great atmosphere, relaxing wooded patio view. Just a good experience."
2020-06-01,5,Stayed a few nights,Very clean and spacious. Hosts were nice and location is convenient to town.
2019-10-01,5,Stayed over a week,Very nice place with nicer people.
2019-10-01,5,Stayed a few nights,"Appreciated the amazing hospitality shown to our guest. Wonderful living space with lots of amenities. Very quick responses when communicating with Michael. Overall, great customer service and will recommend to others that may need a place to stay."
2019-08-01,5,Stayed a few nights,The place was extremely nice and Mike and his wife were as hospitable as they could of possibly been! If I ever venture back to Sydney this will for sure be my first choice in places to stay!
2019-06-01,5,Stayed a few nights,"Beautiful home, nice and quiet location. Mike and his Wife are two of the most amazing hosts I’ve had since using Airbnb. 10/10 highly recommend staying here."
2024-06-01,5,Stayed a few nights,amazing experience peacefully and very quiet
2024-04-01,5,Stayed a few nights,Love the place! Very comfortable and relaxing in a beautiful setting! Great host! Highly recommend!
2024-04-01,5,Stayed a few nights,"What a great place for the Eclipse. It was dead center for Totality. The park nearby the house offered a wonderful atmosphere for viewing. We are so glad we chose this house for our stay.
You can really tell that Kayla put a lot of love into decorating the house. It is comfortable and welcoming."
