date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"This place was perfect for a weekend get-a-way. It was far enough out of the city to be very peaceful and quiet but close enough to Sioux Falls so we could easily get to all the amenities there. Tanya was an excellent and responsive communicator - she gave us a couple recommendations (Memorial Day Service and Good Earth State Park) that we followed and very much enjoyed what was recommended. I didn't make time to sit in the steam room until the morning that we left -- but that was a mistake on my part -- If you like steam rooms make that part of your everyday plan!! Also, appreciated the Noon checkout ... so many are moving to the 10:00 AM checkout which does not give time to go have breakfast and leisurely pack the car."
2024-06-01,5.0,Stayed one night,"Tanya’s place was great!! Took advantage of her kitchen. She had everything I needed Easy to find. Very close to Good Earth state park and some great hiking. Convenient to all things Sioux Falls. I can’t remember if that steam shower was in her description, but you she definitely use it. A great place to stay along our way."
2024-06-01,5.0,Stayed one night,Nice and clean in a good location
2024-06-01,5.0,Stayed one night,"Very private, comfortable and relaxing little place. Perfect for a weekend away."
2024-06-01,4.0,Stayed a few nights,The place is little small than I expect
2024-06-01,5.0,Stayed one night,Great little apartment getaway. Close to Good Earth and had some great wildlife views.
2024-06-01,5.0,Stayed a few nights,Very comfortable place to stay. Everything was as described. Will return if we return to Sioux Falls.
2024-04-01,5.0,Stayed one night,"Such a cozy, peaceful place! We were very comfortable, and enjoyed the feel of nature, such a pretty area. It was perfect. Close to everything we needed to get to, but outside away from the busy. The host was great, communicated well, let us check in a little early since we made it to town early! The setting of the whole space was clean and cozy.. the bed was so comfortable, and the steam shower was really nice!! We enjoyed the windows that looked out into a woody area in their backyard. We enjoyed our stay! Definitely recommend. Thanks again!"
2024-04-01,5.0,Stayed a few nights,"Great place to stay Tanya Steve are excellent people
very nice ans quiet and the steam shower is amazing."
2024-04-01,5.0,Stayed a few nights,"This is such a peaceful quiet place just a few minutes out of Sioux Falls. It was easy to find, nice and quiet, and well thought out. We thought the bed was one of the most comfortable we've ever had in a rental or hotel, nice heavy blankets and plenty of extras if needed. Kitchen was well stocked, good coffee and tea and cold water in the fridge. The steam room/shower was amazing!! Great communication with Tanya and we saw squirrels, birds, turkeys and even a deer ran thru right outside our window. Would certainly stay there again if we get to SF again."
2024-04-01,5.0,Stayed one night,"We had a wonderful night at Tanya’s place, it is one of the nicest Airbnb’s we’ve stayed in over the years! The apartment is extremely spacious and attractive, the kitchen well-stocked with a variety of pans & utensils, great lighting, and a VERY comfortable and cozy bed. The eight mile drive off the highway was a good road through beautiful farmland which we enjoyed - well worth it (and the house was easy to find)! Tanya was consistently positive and responsive, we’d love to return!"
2024-04-01,4.0,Stayed one night,lovely secluded space. very quiet. Tanya was great.
2024-04-01,5.0,Stayed one night,Cute little unique getaway. Amazing shower and beautiful woodwork throughout the place and outside. Worked well for an event nearby.
2024-03-01,5.0,Stayed with kids,Such a beautiful space in a beautiful area! We ran into a hiccup with our travel plans and Tanya was very accommodating and helpful! Thank you again!
2024-03-01,5.0,Stayed a few nights,A wonderful place to stay. Very comfortable and relaxing along with great hosts!
2024-03-01,5.0,Stayed one night,This retreat was exactly what my soul needed! The location was serenely peaceful. The airbnb space offered ample accommodations = all expectations met. The wind literally sang beautifully through the trees. Grateful that Tanya offers such thoughtful hospitality!
2024-03-01,5.0,Stayed a few nights,I enjoyed my stay.
2024-03-01,5.0,Stayed a few nights,would definitely stay again! perfect spot for a couple wanting to see the area
2024-02-01,5.0,Stayed a few nights,great place and great host we will be back
2024-02-01,5.0,Stayed one night,Excellent stay. Just as described.
2024-02-01,5.0,Stayed a few nights,"Tanya was an amazing host, excellent value and great accommodations. They have an amazing steam room/ shower and the King bed was very comfortable (I am extremely picky about beds and theirs was awesome) We would definitely stay again and a huge shout out of thanks to our hosts!! Thank you so much Tanya!!!"
2024-02-01,5.0,Stayed one night,We loved our stay! A very nice place to get away from the city. Everything you could ever need from pots and pans to cutting boards. It is a perfect little getaway.
2024-02-01,5.0,Stayed one night,Quiet place to stay. Grateful to be able to stay here.
2024-02-01,5.0,Stayed one night,"Cute, cozy apartment attached to the owner's home, with a private entrance. Spacious living quarters and a nice kitchen. Loved the natural lighting with windows facing a wooded area. The steam shower was a hit too! Very peaceful getaway just outside the city."
2024-01-01,5.0,Stayed a few nights,We loved our stay here! Would definitely book again for a nice weekend getaway!
2024-06-01,5.0,Stayed one night,"Our 2nd time staying at Beth’s place and once again we absolutely loved it. The house is located right by Augustana University and is in a great neighborhood. It is so tastefully decorated… thoroughly enjoyed sitting in the living room reading one of the many books that were on the books shelf, enjoyed sitting outside on the deck in the morning having coffee, and loved walking around the beautiful neighborhood. The beds were extremely comfortable and the entire place was spotless. We absolutely plan to stay here again in the future! If you are considering this Airbnb, book it. You won’t be disappointed!"
2024-06-01,5.0,Stayed a few nights,Located in a quiet safe neighborhood with easy access to Augustana and everything on the southeast side. The kitchen was well equipped and there are helpful notes. Beth is very responsive and we enjoyed our stay.
2024-06-01,5.0,Stayed with kids,Such a cute little place to stay!! My girls and I enjoyed it so much. It was so homey and adorable!! Thanks so much for a home away from home😁
2024-06-01,5.0,Stayed one night,"Loved the house….. plan on coming back when possible.
Thank you, Beth……very nice wkend😊😊"
2024-06-01,5.0,Stayed a few nights,Met our needs perfectly. Close to everything.
2024-04-01,5.0,Stayed a few nights,This house is near restaurants and has surge protectors for plugging in electronics.
2024-04-01,5.0,Stayed a few nights,Was our first time renting this house and it was great. Very clean and decorated really nice - felt at home. Didn’t have any issue with people above or below us. Love all of Beth’s properties would highly recommend all of them!!
2024-04-01,5.0,Stayed a few nights,Beth’s place was a cozy and ideal stay!
2024-04-01,5.0,Stayed a few nights,"Although our stay was brief, the accommodations were wonderful and much larger than anticipated. Beth was such a friendly and helpful host. We would definitely recommend this stay!"
2024-04-01,5.0,Stayed with kids,Nice and cozy!! Beth communicated great and is very attentive! We would stay again.
2024-04-01,5.0,Stayed a few nights,Had great amenities and very large place so had lots of room. Also has small little items like makeup wipes and lotion in case you forgot something!!
2024-03-01,5.0,Stayed a few nights,We absolutely love staying at this air b&b when visiting our daughter at Augustana. The location is perfect and everything is exquisite.
2024-03-01,5.0,Stayed a few nights,We enjoyed our stay here. Was nice and clean easy to find. This was my first time renting an Airbnb and I definitely will again. So much nicer then staying in motel. My husband and I were in town as we had a booth at a show for 4 days and was sure nice to come home to a quiet house and relax.
2024-03-01,5.0,Stayed a few nights,This is a great stay with plenty of space. We would not hesitate to stay here again.
2024-03-01,5.0,Stayed a few nights,Great place. Would stay here again.
2024-03-01,5.0,Stayed a few nights,"It could not have been more perfect. Clean, comfortable and homey. It had everything I needed. Great location. Owner was very quick to respond. Highly recommended!"
2024-02-01,5.0,Stayed a few nights,"Great place to stay! Everything was clean, cozy, and well decorated. We had everything we needed. Would definitely stay here again!"
2024-02-01,5.0,Stayed a few nights,"Beautiful comfortable home! Loved location.
We were able to bring granddaughters over one by one. Watch TV, bathe
, feed.
1 slept over 3 nights. She felt like a princess!
Loved all the extras
Fireplace, Kleenex, spices,cocoa bar, coffee, laundry! Thank you so much. Great location!"
2024-02-01,5.0,Stayed a few nights,Always a great place to stay !
2024-02-01,5.0,Stayed over a week,Beth was a great host. Thanks for everything! Highly recommend.
2024-01-01,5.0,Stayed about a week,Beautiful place! Felt like home away from home. Had everything we needed and Beth was very responsive and communicated well ahead of time. We would definitely rent this adorable home again or any other properties Beth has.
2023-12-01,5.0,Stayed one night,Everything was satisfactory.
2023-12-01,5.0,Stayed one night,This was such a sweet stay+
2023-12-01,5.0,Stayed one night,this was a very cute place to stay.
2023-12-01,5.0,Stayed a few nights,"Very great experience! less than $100 for a day and you can have a whole floor(2 living rooms, 2 bed rooms, kitchen and bathroom). Well equipped unit with comfort rooms, strongly recommend to those traveling with families."
2023-11-01,5.0,Stayed a few nights,"She is a great host from a communication standpoint. The place was excellent and my stay was quiet, peaceful and comfortable just what I was looking for the holidays. Couldn’t ask for better."
2023-11-01,5.0,Stayed a few nights,Beth is a great host lovely home!
2023-11-01,5.0,Stayed one night,Great find! This house was better than expected. The house was beautiful and inviting. I was very pleased with the kitchen that had all the utensils and gadgets we needed and wanted. We enjoyed watching a little TV in the front of the electric fire to end our night. We would love to stay again!
2023-11-01,5.0,Stayed a few nights,Excellent stay. I highly recommend this bnb!
2023-11-01,5.0,Stayed a few nights,What surprised us is just how many amenities there were in the kitchen and bathroom. We have not experienced that in other Airbnb rentals. The house was so cozy and we felt like we were in our own home. Loved being in a university neighborhood. Beth was so responsive and we even got to meet her. Such a warm and caring person. We will return.
2023-10-01,5.0,Stayed a few nights,"Beth’s place is clean, comfortable, great beds and linens. Perfect location for visiting our kids in college. Loved the kitchen amenities and big dining room table for having some home away from home, cooked meals with them. Would stay here again."
2023-10-01,5.0,Stayed a few nights,Beth is a great host very responsive and flexible to work with. We have stayed here many times and will continue to come back.
2023-10-01,5.0,Stayed a few nights,"This is a beautiful home, nicely furnished and comfortable. It was exactly what we needed. The home was very clean, fresh, and accommodating. The host was very responsive and helpful. We will definitely be back."
2023-10-01,5.0,Stayed with kids,"We had a great stay, Host was very responsive and did a great job accomidating our early check in. All was great."
2023-10-01,5.0,Stayed a few nights,"Beth was very responsive. The cottage was clean and described exactly the way it appeared. It is a quiet area, easy to walk to coffee shop or surrounding areas."
2023-09-01,5.0,Stayed over a week,"What an awesome home away from home. Every detail was well thought out to make for a perfect stay. From the welcome baskets of chips and chocolates upon arrival, to the clean homey atmosphere, beautiful deck, walkable neighborhood, beautiful decor and furnishings, to the delivery of pumpkin muffins. Beth’s timely communication helped make the stay stress-free. A five star rating is hardly adequate to rate this awesome rental."
2023-08-01,5.0,Stayed one night,Beth responded quickly to my question and was so helpful. Great place!
2023-08-01,5.0,Stayed a few nights,"Beth's place is wonderful! She clearly enjoys being a host....she was very friendly when she reached out and offered suggestions on things to do and places to eat in the area. Beth has thought of everything to make staying here perfect - comfortable beds with beautiful bedding, a fully stocked kitchen complete with a Keurig and coffee pods, a beautiful dining room with the table set with lovely dishes and cloth napkins, and a tastefully decorated and comfortable living room for relaxing in the evening. I was here with my college aged daughter helping her move into her off campus house. We loved the house so much that we canceled our dinner reservations because we decided we would enjoy having a relaxing meal there more than going out. I will likely make several visits to Sioux Falls over the next few years, and I would love to stay at Beth's place every time!"
2023-08-01,5.0,Stayed one night,It felt very clean and safe.
2023-08-01,5.0,Stayed a few nights,"We absolutely Loved Beth’s home. Lots of room, very spacious & clean. Comfortable furnishings. Lots of extras. Kitchen full of any & everything you’d need to cook meals. Big bonus She even had a standing oscillating fan in one of the bedroom closets. Hope to stay there the next time we visit SD. The Meyers"
2023-07-01,5.0,Stayed over a week,"It was comfortable, clean, and we felt safe! Beth was quick to get back to us if we had any problems! I would recommend it highly to someone! We are considering it for next Summer also!"
2023-05-01,5.0,Stayed a few nights,Beautiful comfortable home and wonderful location!
2023-05-01,5.0,Stayed a few nights,We have stayed three times at Beth's flats and it has always been pleasant stays. She has her places finished well and always clean. She communicates well any arrival and departure details and responds quickly to inquiries. We enjoy staying in Sioux Falls because of Beth.
2023-04-01,5.0,Stayed one night,"Wonderful place to stay in Sioux Falls. Walkable neighborhood, clean and nicely decorated house. Would stay here again in a heartbeat."
2023-04-01,5.0,Stayed a few nights,Excellent spot near Augustana University.
