date,rating,note,review_text
2024-06-01,5,Stayed one night,Very cute place! A hidden gem for sure
2024-06-01,5,Stayed a few nights,"Absolutely beautiful estate and grounds! Extremely peaceful, safe and quiet! Lovely family host!"
2024-06-01,5,Stayed one night,My second stay here. It is charming and I love it.
2024-05-01,5,Stayed a few nights,"This place was perfect. Easy to find and get into and very private and peaceful. Caroline was a fantastic host
This would not be a good place to drive a truck and trailer into. A regular truck or other vehicle is fine but a trailer would be very difficult to turn around in!"
2024-04-01,5,Stayed a few nights,"I came for a writing retreat. I needed a quiet place to write and work. This is the ideal location. The scenery is beautiful. The place gets wonderful lighting during the day. It was clean and the bed was very comfortable. It is a historic home, so if you don't appreciate the charm and traits of such, this will not be the place for you. Unfortunately I had to cut my trip short, but if I get the chance, I definitely plan to return."
2024-04-01,5,Stayed a few nights,"Caroline was a great host. She even brought a TV up for us to watch during our stay. The carriage house is clean and feels very private even though you’re right behind the main house. The property is awesome and has lots to look at. Not far from the downtown area, about 10 minutes. I would highly recommend this spot if you like unique stays with a lot of history."
2024-04-01,5,Stayed with kids,No complaints & we had a great weekend.
2024-04-01,5,Stayed one night,Caroline was a great hostess and very understanding. Would stay here again!!
2024-04-01,5,Stayed a few nights,Great place to stay in St. Joseph...such a peaceful and cozy getaway. Highly recommend!
2024-03-01,5,Stayed a few nights,Cute spot close to downtown. It felt a little bit like the Cotswolds. Enjoyed our stay.
2024-03-01,5,Stayed a few nights,"The place to stay in St joe! This is a beautiful apartment which apparently was the old carriage House on the property. It was quiet, peaceful and just lovely!"
2024-03-01,5,Stayed one night,"Caroline’s place is a wonderful place to lodge. We enjoyed the comfortable accommodations; the fireplace was particularly cozy on this chilly Saturday. The reading material was appreciated (historical information about the Carriage House and other interesting architecture around St Joseph), even the inside of the bathroom door provides interesting reading.
We took advantage of the sunny afternoon and walked around the grounds. Early spring flowers were in bloom all over the grounds.
All in all, a great place to stay."
2024-02-01,5,Stayed a few nights,Nice little private place on beautiful grounds. Waking up to hear all the different birds was one of my favorite parts of Caroline is extremely nice and an over the top host who made sure my stay was pleasant. Thank you!
2024-02-01,5,Stayed a few nights,It was just what I was looking for
2024-02-01,5,Stayed one night,This was such a beautiful magical little gem! Caroline was so thoughtful and responsive! I love this quaint little cottage!
2024-01-01,5,Stayed a few nights,"Great carriage house. There was no TV and so they put one in for my stay! The weather was bad so they met
E when I arrived late. Even helped me get inside. So friendly and a beautiful place. Highly recommend!"
2024-01-01,5,Stayed a few nights,"Quiet with pleasant ambiance in the winter. The gas fireplace used for heat offered flickering light in the bedroom. Perfect to disconnect, simple decor. Worth staying at instead of a hotel: less expensive, less noisy, more privacy, complete kitchen for light meals."
2024-01-01,5,Stayed one night,"Amazing place to stay. Very peaceful, private and beautiful. We wish we could've stayed longer!"
2023-12-01,5,Stayed a few nights,"Amazing place, very neat and tidy when I was there, beautiful surroundings and Caroline was extremely nice during our stay, would 100% come back again."
