date,rating,note,review_text
2024-06-01,5,Stayed a few nights,Enjoyed the stay! Beautiful location and good accommodations.
2024-06-01,5,Stayed a few nights,"Great stay. Clean room, beautiful view, good location. Would recommend."
2024-06-01,5,Stayed a few nights,Great place
2024-05-01,5,Stayed a few nights,"Matthew is home was a really good place to stay for a short period of time. Easy check-in good view clean. I’ve stayed in this apartment complex before it’s pretty small. All the bathrooms are very small so it’s not just his unit, the bedroom was very nice, the only complaint I have, which is very minor is that the sheets that are on the bed kept sliding off I would suggest to get new sheets that go for the depth of the mattress because I think they’re two that are stacked on top of each other. there is no induction stove, the other unit I stayed in this complex had one and it was honestly super convenient. But again it’s pretty worth it to stay here for the price that we paid very clean fairly quiet. The walls are thin in this complex so I would keep that in mind that people can hear you vice versa."
2024-04-01,5,Stayed a few nights,"We had an excellent stay. Host was great, location was perfect, and place was very clean. I would recommend an upgraded mattress though."
2024-04-01,4,Stayed a few nights,The place was great and we loved steamboat springs. I just wish there was more to do in steamboat
2024-04-01,5,Stayed a few nights,"The Nook is a perfect place to stay in the Boat and Mathew was such a wonderful host!! We had great communication, easy peazy check in and an ideal location. Would stay here again 1000%!!!"
2024-03-01,5,Stayed a few nights,A quaint little condo with million dollar views! Mathews place was perfect for our quick getaway to do some spring skiing in the boat!
2024-03-01,5,Stayed a few nights,An amazing stay and get location! Also very friendly! Would recommend to anyone!
2024-03-01,5,Stayed a few nights,Good and easy commute to the mountain and downtown! Small but has everything we need for a week stay
2024-03-01,5,Stayed a few nights,"Clean unit with good amenities. Easy to access and parking was good. Views are excellent off the front of the unit.
Nice location with good access to restaurants, shuttle etc."
2024-03-01,4,Stayed a few nights,"Mathew’s place is just big enough for 2 people and is very true to the ad. The bathroom sink was very slow to drain, but beyond that the apartment was super functional. We really enjoyed staying there!"
2024-03-01,5,Stayed a few nights,Thank you! Excellent location in the Boat!
2024-02-01,4,Stayed a few nights,"We enjoyed our time at Matthew's place. It is conveniently located w/ easy access to slopes. Bus stop is a solid 8-10 min walk in either direction (uphill on the way back) so we opted to drive to free parking lot instead to save some time. As described, the place is small but had everything we needed - except for closets/ places to hang wet ski gear, as others have mentioned. There was an issue with the sinks draining slowly, but hopefully that's resolved for future guests. All in all, a solid, convenient home base to play in the snow :)"
2024-02-01,5,Stayed a few nights,The property was exactly as pictured and described. Convenient location. Gorgeous view. Matthew was very responsive and nice.
2024-02-01,5,Stayed a few nights,Super great stay and easily accessible to the resort! We loved it
2024-02-01,5,Stayed a few nights,"Great spot for a ski weekend! Clean, comfy bed, top floor apartment & never heard any neighbors the entire stay"
2024-02-01,5,Stayed a few nights,Amazing view! And super close to the ski mountain and downtown. We had a great time. Would definetly stay again!
2024-02-01,5,Stayed one night,"Perfect spot for a quick getaway, cozy home and beautiful views."
2024-01-01,5,Stayed a few nights,Awesome place to hang your hat. Centrally located and clean and comfortable.
2024-01-01,5,Stayed a few nights,great stay!
2024-01-01,4,Stayed about a week,"The apartment is exactly as advertised and is perfect for a 1-2 folks skiing at steamboat - the view is also not oversold at night it’s beautiful! That being said communication for issues will not be great as it’s clear its an automated service and not host responding.
1 example - I asked for early checkin. I got a message less than 1 minute later telling me they couldn’t guarantee it but would check with their cleaning service (clearly automated) and if it was cleaned already I could checkin early. I didn’t get another message from them and couldn’t check in early. When I got to apartment there was a notecard that clearly stated the apartment had been cleaned and was ready from cleaning service an entire day earlier. So they clearly never even looked into it.
Small things. But for a barebones getaway it’s great for the price. The free coffee offered was also nice. Just don’t expect any service while at the apt."
2024-01-01,5,Stayed a few nights,Matthew was always very timely with all questions.
2024-01-01,5,Stayed one night,Very clean and good location!
2024-01-01,5,Stayed a few nights,everything was great. nice cozy place to stay
2024-01-01,5,Stayed a few nights,"Matthew was the most responsive host I’ve ever had on AirBnb! We realized a pan was missing within being there for 30 minutes and let Matthew know. He responded within a minute and delivered a new pan to our doorstep with an hour! I highly recommend this Airbnb. Amazing hot, walkable location, great amenities in room, easy parking, etc!"
2023-12-01,5,Stayed one night,Cute little spot!
2023-12-01,5,Stayed one night,Easy and Amazing location! The host was more than helpful! Book this unit you won’t be disappointed!
2023-11-01,5,Stayed a few nights,"Great little condo. Close to the mountain, and beautiful views. Definitely cozy, I agree with previous reviews could use some storage for clothes but otherwise stoked with everything you need!"
2023-11-01,5,Stayed a few nights,"Nice little place, in a good location. More like a hotel room since the kitchen was very small but they do have a nice coil burner if you need to cook something. Good place, good location, and super quiet!"
2023-11-01,5,Stayed a few nights,Cute place in Steamboat. Small but just big enough for a couple.
2023-11-01,5,Stayed a few nights,"A nice spot with easy access to downtown and the mountain base. A good size space but very minimal space to put items or hang towels/clothes/jackets. Also very small kitchen that would only be ideal for microwave meals or snacks, not really able to fully cook. Clean and comfy!"
2023-10-01,5,Stayed a few nights,"Such a fantastic cozy nest in Steamboat Springs! Minutes from everything from ski resort to downtown to Strawberry Hot Springs to Fish Creek Falls!
Had everything we needed and the fridge and the microwave were great for leftovers. Bed was super comfortable and the decorations were cute and fit right in for the charming mountain-town vibe!
The stairs closest to the actual unit were closed down for construction but there was plenty of parking on bottom or top level!
10/10 would stay again- great value for the time we were there!"
2023-10-01,4,Stayed a few nights,"Small space, but that was expected. Really wish they had provided some space for clothing. No dressers, no closet, not even hooks to hang up wet towels. (There was one dresser in the bedroom but it was full of extra sheets and towels.) A shelf in the bathroom would have been nice. Loud construction next door and out back made it difficult to enjoy coffee on the patio or sleep. Easy 10 min walk to free shuttle was nice."
2023-10-01,5,Stayed a few nights,Loved this stay! Gorgeous view of the mountains surrounding Steamboat Springs. Affordable for the area. We will definitely stay again if we visit again.
2023-10-01,5,Stayed one night,Thanks for the stay! Perfect for a quick weekend getaway.
2023-10-01,5,Stayed one night,We had a great stay! Thank you!
2023-10-01,5,Stayed a few nights,Great place for a weekend getaway and great host!
2023-10-01,5,Stayed one night,Great place
2023-10-01,5,Stayed a few nights,We had an excellent Honeymoon in this cute little place! It was a beautiful 360-view of the changing colors.
2023-09-01,5,Stayed one night,Very pleasant in a fascinating environment
2023-09-01,5,Stayed a few nights,"Would stay here again! Great location, clean, host was very responsive"
2023-09-01,5,Stayed a few nights,Mathew’s place was exactly what he advertised. It was a great spot for a little weekend getaway. I would recommend it for any couple’s looking to visit Steamboat!
2023-09-01,5,Stayed one night,"Nice, clean, and cozy! Perfect place for 2. Really close to the resort and downtown. I would definitely stay again"
2023-09-01,2,Stayed a few nights,"The location of this property is great, but it could use some serious TLC. The condo was dirty upon arrival (dusty and food on the floor). The pictures in the listing are old as everything inside is very beat up (furniture/walls). The kitchen sink had food in it and the bathroom sink would not drain properly. We also had dirty linens. Also beware of the construction for exterior structural issues that are ongoing if you missed in the listing. Mathew is a very communicative host but this property needs work."
