date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,Very nice place would definitely recommend.
2024-04-01,5.0,Stayed a few nights,good
2024-03-01,5.0,Stayed a few nights,👍🏽🔥👍🏽🔥
2024-06-01,5.0,Stayed with kids,Great place great hosts
2024-06-01,5.0,Stayed a few nights,Very easy check in host was accommodating and had great communication. Would love to stay again
2024-06-01,5.0,Stayed a few nights,Great little place. Great hosts!
2024-06-01,5.0,Stayed a few nights,"Great place to stay and great hosts. The check in was easy and straightforward, greatly priced and such a pretty little view that makes you feel right at home. If you’re looking for a quiet clean place for a weekend getaway this is the spot. There is wifi available and two tvs for streaming in the kitchen and bedroom. Comfortable bed and pillows/blankets available. Once again, great spot and thank you to the hosts!"
2024-06-01,5.0,Stayed a few nights,"I have to say when looking on Airbnb ,checking in acontainer we were very confused, worried.but it was amazing,fun,
very comfortable, again thank yous for being great host, allowing us to enjoy your Airbnb God Bless"
2024-06-01,5.0,Stayed one night,"Overall, our stay at this container home was 5-stars. Absolutely no complaints. This place is a hidden gem in Stockton! It was so quiet and peaceful, that I could hear the crickets chirping during the day.
I was pleasantly surprised at how spacious the home felt! There was a door that sectioned off the bedroom from the bathroom and another door from the bathroom to the kitchen, so there was privacy amongst other guests. The windows were mirror tinted, so we were able to enjoy the view of the large oak trees and pond without having to worry about anyone looking in.
During the day, we hung out by the pond and sandy beach-like area. The pond was so massive, it seemed more like a lake! At night, we lit a fire pit, put the lights on to the pond waterfall and enjoyed the quiet sounds of nature and water. It was quite the experience.
Shelly and Brian were an amazing host. He was very communicative with us with when we had any questions. I will definitely be renting from them again!"
2024-06-01,5.0,Stayed a few nights,This was absolutely the best experience ever. Very clean location and Kate was always responsive and felt right at home. Would love to stay here again in the future.
2024-06-01,5.0,Stayed with kids,"We loved our stay here. It was me my wife and our 7 month old, and we were comfortable the entire time. The place doesn’t have laundry but the hosts were so helpful and allowed us to use their washer/dryer. It’s a clean, well decorated place in a safe and quiet neighborhood."
2024-04-01,5.0,Stayed a few nights,Great place to stay in a wonderful location!
2024-04-01,5.0,Stayed a few nights,"The hosts were so kind and welcoming, and the space was so peaceful and clean!"
2024-04-01,5.0,Stayed a few nights,Great host. Would definitely recommend or stay again
2024-04-01,5.0,Stayed a few nights,Spotless clean and full kitchen which I did not need. Both Kate and her husband couldn’t have been nicer. Close to freeway which made getting around very easy
2023-11-01,5.0,Stayed a few nights,"This was our second time staying here. It is a great and peaceful place to stay while visiting family (or whatever you have to do in Stockton). It's super clean, modern amenities, and extremely comfortable. Highly recommend this place for any length of stay in Stockton."
2023-10-01,5.0,Stayed a few nights,We were attending a wedding at the golf course and this was the perfect location!! Kate was excellent and greeted us at check in. Safe neighborhood and a very comfy/cozy stay. Don’t hesitate to book:)
2023-10-01,5.0,Stayed a few nights,Nice private place! I’d stay again.
