date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"We had a great stay! It was the perfect location for the event at the speedway we attended. Everything was as described and the space was much bigger than we expected! Clean, neat, had everything you’d need. The hosts were very accommodating and quick to respond. Great hosts, great home, we would recommend 100%!"
2024-06-01,5.0,Stayed one night,The cottage was very cute. It was clean and had everything I needed. Tom was very responsive. I look forward to visiting again.
2024-06-01,4.0,Stayed one night,"I wish we could have spent more time there, but for the we short time we were there, it was lovely! I would consider staying here again, near the top of the list, if we are ever in the area."
2024-06-01,5.0,Stayed a few nights,"With 4 guest the home was super affordable and fit the bill perfectly for our needs, loved having a bathroom located in each bedroom, the home was clean and furnished with extra linens and plenty of towels, will definitely stay here again our next trip into town!"
2024-06-01,5.0,Stayed a few nights,It’s was all good
2024-04-01,5.0,Stayed a few nights,Very clean and roomy.
2024-04-01,5.0,Stayed a few nights,"Clean, cozy and comfortable in a very nice neighborhood. The set up of the home was perfect with two bedrooms and 2 full bathrooms. Great location for our daily trips to Talladega Superspeedway. Victoria and Tom were great hosts. Highly recommend their home for anyone traveling to the Talladega area!"
2024-04-01,5.0,Stayed one night,It was perfect and they were so helpful!
2024-04-01,5.0,Stayed a few nights,Had a great stay at Tom & Victoria's. The amenities and details were just as described on the listing. Very clean with very thoughtful touches like a plate of fresh baked cookies awaiting our arrival. Thank you Tom & Victoria!
2024-04-01,5.0,Stayed with kids,My family really enjoyed staying at Victoria and Tom’s cottage house. The photos don’t do it justice for how cozy and comfortable the space is. Our gps gave us bad directions and Tom was so helpful in guiding us to the house in the dark. We are excited to return again!
2024-03-01,5.0,Stayed one night,The cutest little Sunflower cottage stay! Loved staying here with my babes. It was perfect. Homey and cozy!
2024-03-01,5.0,Stayed one night,"Victoria and Tom’s place was exceptionally clean, comfortable and an excellent place to stay. It was quite, safe
And Larger than pictures show. Would definitely stay again and highly recommend to others.
We enjoyed our stay and the cookies!
Had books, games and travel information as well as restaurant menus for the area."
2024-03-01,5.0,Stayed a few nights,Great place- felt like home with a washer and drier and a tv and a full kitchen. Everything was like new. Made the work trip out to Talladega so much better for us. Excellent hosts. Will stay again if I’m in the area.
2024-03-01,5.0,Stayed a few nights,"this is the second time I've stayed at the house and if I am shooting a match at the Talladega marksmanship Park, I'll look at booking again."
2024-03-01,5.0,Stayed one night,Great place to stay
2024-03-01,5.0,Stayed one night,"This home was so spacious and immaculate! We got in very late, and they literally had a midnight snack waiting for us. So thoughtful and very appreciated! We would definitely stay here again and highly recommend it!"
2024-03-01,5.0,Stayed a few nights,Very nice people fast response and I love the home
2024-03-01,5.0,Stayed a few nights,great place to stay and very private and quiet at nights. Would definitely stay again when in the area.
2024-02-01,5.0,Stayed one night,"The place was very clean, easy check in and check out."
2024-02-01,5.0,Stayed one night,Fantastic stay! Highly recommend!
2024-02-01,5.0,Stayed a few nights,It was a wonderful place to stay and we will definitely be bavk
2024-02-01,4.0,Stayed with kids,We had a very pleasant stay
2024-02-01,5.0,Stayed with kids,"Didn’t stay long, but it was great and peaceful. Booked for attend a local gymnastics meet and will definitely be back next year!"
2024-02-01,5.0,Stayed with kids,"It is a nice getaway, I would definitely stay there again if I was down that way"
2024-02-01,5.0,Stayed over a week,They were responsive with all of the questions
2024-01-01,5.0,Stayed a few nights,Very nice cottage
2024-01-01,5.0,Stayed with kids,"We enjoyed our stay at Victoria and Tom’s Talladega Cottage, we were in town for an event and it was perfect for our needs. Thank you Victoria and Tom for being a great host."
2023-12-01,5.0,Stayed with kids,"Beautiful place, nice area and I will be returning there my next visit in Alabama."
2023-12-01,5.0,Stayed one night,Thank you for a great stay!
2023-11-01,5.0,Stayed with kids,"Victoria and Tom's place was very nice, clean and comfortable. It was great having an extra bathroom! We will definitely stay there again."
2023-11-01,5.0,Stayed with kids,Cozy and welcoming.
2023-11-01,5.0,Stayed one night,Gracious hosts.
2023-11-01,5.0,Stayed a few nights,Very cozy! Felt like home. Highly recommend.
2023-11-01,5.0,Stayed a few nights,Great place to relax and unwind
2023-10-01,5.0,Stayed a few nights,The place was pristine clean. Plenty of towels and extra blankets. Shower gels were a nice touch along with books and games. Beds were comfy.
2023-10-01,5.0,Stayed with kids,"We enjoyed our stay here. This may not mean much to anyone else, but one thing I really appreciated was the blankets. They had so many plush blankets in the linen closet, folded neatly, and they were freshly washed. My kids didn'tbring their blankets and that made our stay so much more comfortable. You could tell the quilts on the beds had been washed, too. That is a big deal to me. Everything was labeled and organized. Like other reviews stated, we had a plate of fresh cookies when we arrived. That was a very nice touch. The only thing is, I didn't realize this was basically a guest house. it is on the property, at the end of the driveway of a larger house. We still had privacy and enjoyedour stay, but It made it a little confusing to find in the dark."
2023-10-01,5.0,Stayed a few nights,Just perfect! Four of us stayed there and had plenty of room. Everything was super clean. The HUGE carport is a spectacular bonus… we were able to load and unload luggage in the rain and stay dry. Quite a treat! We’d stay here again in a heartbeat.
2023-10-01,5.0,Stayed a few nights,loved the place! Close to the CMP marksmanship park and Mt. Cheaha. Loved the cookies 🍪 that were waiting for us !
2023-10-01,4.0,Stayed a few nights,"Stayed here for the Talladega 500, was a short 15 min drive. Place is quite and away from traffic, and busy life. It’s a perfect spot for the race"
2023-09-01,5.0,Stayed a few nights,Hospitality second to none !
2023-09-01,5.0,Stayed a few nights,Great and comfortable place to stay.
2023-09-01,5.0,Stayed a few nights,The Chocolate Cookies were a great touch!
2023-08-01,5.0,Stayed a few nights,Great communication and very affordable for our trip to Top Trails. Will definitely stay again!
2023-08-01,5.0,Stayed one night,"Very nice place, host was very responsive with the late check-in, we enjoyed our stay, would definitely go back here!"
2023-08-01,4.0,Stayed a few nights,Enjoy the stay nice location and very friendly Landlords comfortable place for four people and Ihave high allergies so they made sure it was safe for me
2023-08-01,5.0,Stayed one night,"For my team, it was a good night's rest after our first day at the local Watermelon Festival. Tom & Victoria are definitely great host! Lord willing, we look to stay at their place for next year's festival."
2023-07-01,5.0,Stayed a few nights,Thank you for sharing your lovely cottage with us. The fresh out of the oven chocolate chip cookies were a welcome treat. We will definitely be back when we are in the Talladega area.
2023-07-01,5.0,Stayed one night,Really lovely Airbnb in a nice and peaceful neighbourhood. The welcome cookies were a lovely treat! Thanks for a great stay.
2023-07-01,5.0,Stayed a few nights,We enjoyed our stay at this property. The cookies was a sweet gesture and a surprise. I've never gotten cookies before at one of my other stays. It was easy entry and the place is just adorable. I wished it wasn't so hot so we could have enjoyed the fire pit. They are great host that does what they can to make their place feel like home. I would definitely stay here again.
2023-06-01,5.0,Stayed with kids,"Very nice, clean and private place. Would stay again."
2023-06-01,5.0,Stayed one night,"Great getaway, very clean and host was very responsive"
2023-06-01,5.0,Stayed one night,The cottage was exactly as described. It was the perfect place for us to stay at while we were in Talladega. Tom answered all of our questions immediately and was very helpful. We would definitely stay here again if we are in the area!
2023-06-01,5.0,Stayed one night,"Great stay, great hosts! They really thought of everything!"
2023-06-01,4.0,Stayed one night,"Clean and cozy and greeted with chocolate chip cookies! Had fire pit, grill, and coffee. Host was friendly and easy to interact with. Beds and couch were not comfortable and neighbor dog barked throughout the night. Extra blankets was a nice touch though!"
2023-05-01,5.0,Stayed with kids,We loved the quaint & quiet neighborhood! The cottage had everything our family needed. We appreciated the homemade chocolate chip cookies waiting for our arrival. We would definitely return the next time we come to visit family. Thank you!
2023-05-01,5.0,Stayed with kids,This is our second stay and was just as good as the firat. Quiet neighborhood. Beds are comfortable. Tom and Victoria provide lots of local recommendations. Homemade chocolate chip cookies were a welcome treat after a long travel day.
2023-05-01,5.0,Stayed a few nights,"We were up there to pre-fish for a tournament and wanted to stay on the lake,but it was overpriced/booked. Found this place and thought it might be too far from the lake, but it is an easy 12 min drive to Lincoln Landing. The house has a carport that will fit 2 boats with power poles under it which was nice since it was raining while we were there. When we entered the house the host had left us some homemade chocolate chip cookies, which were delicious. We left for dinner and when we returned the power was out, but the host left us a battery powered lantern and a note saying Alabama power will have it back on by 9. The place is clean and great, The host is great, we will definitely be back next time we are up here fishing."
2023-05-01,5.0,Stayed a few nights,We had a wonderful stay. We would stay again when in the area.Hists we’re super helpful and very quick to respond to any questions
2023-04-01,5.0,Stayed a few nights,great peaceful and quiet spot.
2023-04-01,5.0,Stayed a few nights,"If you are looking for a quiet retreat from the everyday hustle, this is the place for you. EXTREMELY CLEAN, roomy, and has everything you need for a stay in the country! I would stay here again when I need to recharge!!!"
2023-04-01,5.0,Stayed a few nights,Great stay! the house is beautiful and very homey. i would definitely stay again!
2023-04-01,4.0,Stayed one night,Description was accurate. Clean & perfect location.
2023-03-01,5.0,Stayed a few nights,"Great cottage! Roomy, clean, quiet and fit our needs perfectly. Easy check-in and check-out. Thanks!"
2023-03-01,5.0,Stayed one night,My stay could not have been any nicer! The place is cozy and comfortable and Tom and Victoria went out of their way to make sure that we had everything we needed! We’ll definitely stay here again if we are in the area!!
2023-03-01,5.0,Stayed a few nights,"A wonderful place to stay while my co-worker and I were doing fire fighting training at Talladega: homey, well-equipped and comfortable. Definitely recommend!"
2023-02-01,5.0,Stayed one night,"Always an ideal stay. Tom and Victoria provide everything you need to work, rest, write, and be near enough to the Colleges and the Campus work, but secluded enough for quiet. Fast WiFi for working, full kitchen is always a blessing, and they are SuperHosts! Thanks, Tom and Victoria. And, I love the option for fresh eggs nearby. Farm life, city accessibility, safety, and security. You two provide it all. Thank you so very much!"
2023-02-01,5.0,Stayed with kids,"This was a great place for a small family. Everything we needed was clearly labeled on cabinets making it easy to locate. Fresh baked chocolate chip cookies were the perfect welcome treat, especially after a long travel day! Would highly recommend! We have already booked a second stay!"
2023-02-01,5.0,Stayed one night,"Very nice and comfortable place to stay. Mr Tom was very nice and answered any questions we had with no complaints.
Bedding and bathrooms were very clean and the kitchen had all the essential to cook a few meals.
Enjoyed sitting around the fire pit at night also.
I would stay there again the next time I am around this area.
Thanks"
2023-02-01,5.0,Stayed one night,Loved it! Home away from home!!
2023-02-01,5.0,Stayed a few nights,"This could not have been a better stay. Victoria and Tom are fabulous, attentive hosts. Their home is much larger than the photos show, and much more beautiful than the photos show. Their sunflower theme is charming. Perfect kitchen to cook. Quiet and peaceful neighborhood with families. Safe and secure. Short distance between the parking and the entry door, so luggage and my “traveling library for work” were easy to manage. They are smart to provide a local channel in addition to streaming services, as a traveler needs to know the status of local weather, at times. They provided games, cards, books, welcome snacks, coffee, tea, and more. I highly recommend! Thanks, Tom and Victoria! Our staff will be back to work hard and rest well again. You’re fabulous hosts!"
2023-01-01,5.0,Stayed a few nights,"As a Talladega native, I planned a last minute trip home. Unfortunately my mom house is not handicap accessible for my mother in law. I requested the gorgeous cottage at the last minute but before I reserved I needed to make sure it was handicap accessible. Victoria and Tom answered within minutes to my questions. I highly recommend the cottage, it was everything and more. I will be staying here again when I come home back home for a visit. Thank you for the responsiveness and the lovely home."
2022-12-01,5.0,Stayed about a week,Was exactly like the listing stated. Nice place for a few days of work. Would definitely recommend
2022-11-01,5.0,Stayed one night,"What a comfortable, clean, cozy, and cute place! Very clear instructions. With two bedrooms and two baths, a big kitchen, and a very large living room/dining room. It was plenty of room for at least four people. I would love to be able to go back."
2022-11-01,5.0,Stayed with kids,Great
2022-11-01,5.0,Stayed with kids,Great place to stay
2022-11-01,5.0,Stayed a few nights,"Nice cottage with plenty of space, I was on my own, so I had plenty of room to stretch out and relax after a full day's shooting at the Talladega marksmanship Park."
2022-11-01,5.0,Stayed a few nights,I was pleasantly surprised by the accommodations. Everything was just as it was described. A list of places to eat was extremely helpful and a welcome gift of homemade cookies was appreciated after a long flight. I will definitely stay again when I travel to the area. So much better than an impersonal hotel.
2022-11-01,5.0,Stayed a few nights,LOVE THIS PLACE...
2022-10-01,5.0,Stayed with kids,"Great location, peaceful and quiet."
2022-10-01,5.0,Stayed about a week,Victoria and Tom are excellent hosts. The cottage was perfect in every way. It very clean and well appointed. I highly recommend it to anyone interested in visiting the area!
2022-09-01,4.0,Stayed one night,Very cute and cozy place!
2022-09-01,5.0,Stayed a few nights,Was a wonderful place to stay. Really enjoyed the safely and the peacefulness. Everything I needed was there. Thank you. I will be back.
2022-09-01,5.0,Stayed a few nights,"Great location, close to the CMP Range. Very clean and comfy"
2022-09-01,5.0,Stayed a few nights,Great place in a secluded neighborhood. Very good value and amazing hosts. Look forward to more stays there when in Talladega!
2022-09-01,5.0,Stayed with kids,Such a gem! Victoria and Tom are great hosts. Their cottage is very clean and has all the essentials for a comfortable stay. They even made us some delicious cookies!
2022-08-01,5.0,Stayed with kids,everything was amazing like normal. this is one of my favorite places to stay when I'm in town. Always a pleasure and Tom and Victoria always cook cookies the kids love it
2022-08-01,4.0,Stayed a few nights,The cottage was nice and very clean! I loved that both bedrooms had their on private bathroom.
2022-08-01,5.0,Stayed a few nights,We truly enjoyed our time at your cottage!
2022-08-01,5.0,Stayed over a week,"The Talladega Guest Cottage was an excellent place to stay! I was interning in nearby Anniston, and this place was comfortable and reasonably priced. Although I was by myself, the cottage is quite large, and could easily support a family for a trip. The standard amenities were great (WiFi, washer/dryer, etc.), and the neighborhood is very peaceful. Victoria and Tom were excellent hosts, responding quickly and thoroughly to any inquiries I had. I truly enjoyed my stay here, and I would seriously recommend this place to anyone needing to stay in Talladega (especially if it is for the great hiking spots)!"
2022-06-01,5.0,Stayed a few nights,"You will fall in love with this ""sweet, spacious, quiet cottage. The location is perfect. The owners have done a very good job with this Airbnb. Best one yet! I will be returning!"
2022-06-01,5.0,Stayed a few nights,"Fabulous value, super quiet and clean, and perfect for our visit."
2022-06-01,5.0,Stayed one night,"Nice comfortable, clean place in a cute neighborhood near downtown. Good communication and convenient to the track event we were attending."
2022-06-01,5.0,Stayed a few nights,"10/10. Very clean, well organized, and peaceful stay that is convenient to several attractions in the area. I could not be happier and hope to return for our next adventure out that way."
2022-06-01,5.0,Stayed about a week,"very nice cottage. in a great neighborhood.
everything you need in one place"
2022-05-01,5.0,Stayed one night,Great place. More than expected!
2022-05-01,5.0,Stayed one night,"This unit is clean, spacious and comfortable. I highly recommend it and will book again next time I come to Talladega!"
2022-05-01,5.0,Stayed a few nights,Great little place to stay for a long weekend. We sat in the back and watched the lightning bugs as the sun went down.
2022-05-01,5.0,Stayed one night,The best guest house I have ever lived in. Clean and comfortable
2022-05-01,5.0,Stayed one night,"Really great place, definitely in a great and safe neighborhood. Everything you can think of was there. It was a little warm, not sure if the A/C was locked, but there were fans, so not too terrible. There were clear instructions for the wifi and TV. We tried to use the guest account on Netflix, but the account was expired. However there were games and books and the wifi worked well enough we just used our phones and laptops. It's all in all a great place. Would travel there again."
2022-05-01,5.0,Stayed one night,"The Talladega Guest Cottage was exceptional. We were in town for the weekend, and it is the perfect distance from where our events were located. The area is peaceful, quiet, and spacious. The pictures posted are accurate of the house. The cottage is stocked with everything to make you feel at home. The host has thorough instructions and information for the area if you are looking for anything in particular. We definitely will be booking again in the future (if available) when we come in town."
2022-05-01,5.0,Stayed a few nights,Best kept secret in Talladega
2022-05-01,5.0,Stayed a few nights,Love staying here. Hosts are amazing and make you feel welcomed. Great stay overall
2022-05-01,5.0,Stayed one night,Such a great place to stay! Thank you so much Victoria and Tom!
2022-04-01,5.0,Stayed one night,Accommodations were exactly as advertised. Extremely clean and comfortable with all needed amenities. Will definitely stay again!
2022-04-01,5.0,Stayed a few nights,This cottage is better then any 5 star hotel. super super place to stay. Everything was perfect right down to the brand of TP
2022-04-01,5.0,Stayed with kids,Awesome place to stay! In a great location! The cottage had everything we could have needed! Will definitely stay again when we are in the area!
2022-04-01,5.0,Stayed one night,Victoria and Tom's place was perfect for two couples to stay on talladega race weekend short drive to the track and to the town of talledega. the house was very cute and roomy. easy check in and we loved the freshly baked cookies when we arrived!
2022-04-01,5.0,Stayed over a week,Great location near everything we needed. Very clean and comfortable. Hosts were excellent to work with.
2022-03-01,5.0,Stayed about a week,Tom was very easy to talk to and the home was great!
2022-03-01,5.0,Stayed one night,Lovely place with great location!
2022-03-01,5.0,Stayed one night,"Super clean, super nice, very easy to access, would recommend this play to everyone!"
2022-03-01,5.0,Stayed a few nights,Second time staying here and I absolutely love it. Highly recommend to everyone.
2022-02-01,5.0,Stayed a few nights,"This was a great cottage with great hosts. The place was clean, roomy and covered parking right at the door. Zero steps into the cottage, so not only was it convenient, it’s great for anyone with disabilities.
A great place to stay.
Easily 10/10 recommend!!"
2022-02-01,5.0,Stayed one night,"Fully equipped, quiet country cottage. Great for relaxing. Spent the night here after a 50 mile hike and it was perfect."
2022-02-01,5.0,Stayed one night,"The house was clean and set up well. They made us some bread which was a nice touch. Our only qualm was that the neighbor's dog was barking for part of the night, everything else was great."
