date,rating,note,review_text
2024-06-01,5,Stayed one night,"I hesitate to comment on how perfect this place was, because I want it all to myself!!! But the host deserves it. Great space. Exceeds expectations. Gracious host. Would highly recommend for anyone considering a stay in Thomasville"
2024-06-01,5,Stayed a few nights,"Zach was very attentive when checking in and responded to every question that I had. If I ever have to be back in Thomasville, I will definitely stay here again."
2024-06-01,5,Stayed one night,Super cozy and nice neighborhood
2024-05-01,5,Stayed a few nights,"Place was perfect for our stay. Excellent location and very nice accommodations. Zachary was VERY responsive and was accommodating in every way, would stay here again if I ever visit again, much appreciated!!!"
2024-04-01,5,Stayed one night,This is our 3rd time staying in Zachary’s place. The bed was so comfortable. We will always choose this ABNB when we visit Thomasville.
2024-04-01,5,Stayed one night,Zachary was a delightful host. I enjoyed my stay at his cozy apartment in a nice neighborhood. I would definitely stay again. Thanks Zachary!
2024-04-01,5,Stayed one night,"Zachary was a great host. My husband and I were in town for a fundraiser was decided last minute to book an air bnb. Zachary’s was close to the downtown area we were in so it was the perfect choice. He responded back almost immediately and accepted. His check in instructions were simple and easy. We had no problem finding the place and checking in. It was just what we were looking for. Super clean. Had a tv, sitting area and a variety of coffee and chocolates. Bed was probably the most comfortable bed I have ever slept on. The pillows were perfect. If we are ever back in the area we will definitely book with him again. 10/10"
2024-03-01,5,Stayed one night,"The room was exactly as listed, clean, and comfortable. Zachary did a great job of communicating throughout the process. It was a short 2-mile drive to downtown Thomasville. I would recommend this location and would stay again."
2024-03-01,5,Stayed one night,Always a great stay at Zachary’s. Very proactive and friendly.
2024-03-01,5,Stayed a few nights,"Zachary is an excellent host. His place is clean, easy to get to and he is very responsive with friendly answers. We will continue to stay here."
2024-02-01,5,Stayed one night,"We stayed in town for a wedding and needed a place to stay and I am so grateful we found this spot! It was exactly as listed, quiet and super clean! We had a wonderful stay and will be back if we ever find ourselves back in town."
2024-02-01,5,Stayed one night,Great place to stay. Comfortable and clean. Needs ice in the freezer
2024-02-01,5,Stayed a few nights,"Very nice place to stay. Everything was just right for two! Nice, quiet neighborhood. Very clean. Would definitely stay here again!"
2024-02-01,5,Stayed one night,"Beautiful area, feels like a Hallmark movie."
2024-02-01,5,Stayed a few nights,Unit was as Zachary described it. Very clean and comfortable. Also super quiet. Hrest location to visit Thomasville and surrounding areas.
2024-01-01,5,Stayed one night,"Clean, great neighborhood , comfortable , we recommend Zachs place!"
2024-01-01,5,Stayed a few nights,"Very quiet, private property. The furniture was very comfortable and everything was extremely clean."
2024-01-01,5,Stayed about a week,Great location on the south side of Thomasville. Quiet neighborhood. Easy to get downtown. I'll stay again
2024-01-01,5,Stayed a few nights,"I had a very pleasant stay at The Club. It was my second time staying and I will continue to look here for a booking reservation anytime I visit Thomasville again in the future. As a woman traveling alone, I felt very safe and secure here at Zachary's bungalow. I highly recommend it!"
2023-12-01,5,Stayed a few nights,Such a great spot. Loved the location and so much better than a hotel room.
2023-12-01,5,Stayed one night,Nice place to stay
2023-12-01,5,Stayed a few nights,"The King bed seemed wonderfully gigantic and comfortable!
Cute modern furnishings and very quiet. All in all a perfect weekend getaway."
2023-12-01,5,Stayed one night,"This was a wonderful place to stay. it was immaculate, nicely appointed and restful. Thanks Zacchary!"
2023-11-01,5,Stayed a few nights,"clean , quiet, just like the pictures. Great location."
2023-11-01,5,Stayed one night,Nice place to stay
2023-11-01,5,Stayed one night,Nice place & close
2023-11-01,5,Stayed a few nights,Great spot. Comfortable and close to town. Will be back.!
2023-11-01,5,Stayed a few nights,Cozy and very clean space. We were in town for a wedding and Zachary’s place was perfect. Would stay again!
2023-10-01,5,Stayed a few nights,Thank you!
2023-10-01,5,Stayed a few nights,The location and setup was perfect for our needs. The owner responded to the few questions we had in a very timely manner. The drive to town and the venue we were traveling to was short and easy to navigate.
2023-10-01,5,Stayed one night,Safe parking. Great neighborhood. Lots of restaurants nearby
2023-10-01,5,Stayed a few nights,We were in town for a wedding & stayed here for (2) nights. Check in was easy and the place was comfortable and clean. Zach was very friendly and responsive. Great experience! Thanks again Zach!!!
2023-10-01,5,Stayed one night,Perfect for 1 or 2. Nice neighborhood
2023-10-01,5,Stayed one night,Quiet neighborhood & nice place
2023-10-01,5,Stayed one night,"Everything was very clean and comfortable, and it had everything we needed. The place was quiet and peaceful as well. We would stay here again."
2023-10-01,5,Stayed one night,This was my second time staying here - great again! Highly recommend.
2023-10-01,5,Stayed one night,"Super comfortable bed, did not want to leave. Thanks for hosting us!"
2023-09-01,5,Stayed a few nights,Great quiet place to stay.
2023-09-01,5,Stayed one night,Great place to stay in Thomasville
2023-09-01,5,Stayed one night,Great place for 2. Comfy & quiet.
2023-09-01,5,Stayed one night,Nice neighborhood and just minutes from a great downtown
2023-09-01,5,Stayed one night,Very clean and peaceful. The bed was extremely soft and comfortable.
2023-08-01,5,Stayed one night,It was a great place! Neighborhood is so quiet and was in a great location. Would stay there again!!
2023-08-01,5,Stayed one night,Zachary went above and beyond to make sure that I had a great stay. Communication is a 11/10. Very prompt when trying to resolve a problem. Anytime I need an Airbnb to just get away this is my go to. Quiet. Clean. Cozy. Bed as soft as a dream. GREAT STAY!
2023-08-01,5,Stayed one night,.
2023-08-01,5,Stayed a few nights,"Comfy & cozy space, nice peaceful surroundings. It was just what we needed. Everything was clean and ready to use. Mini fridge, coffee maker & small microwave, A/C unit. I really enjoy not having to bother the host with anything."
2023-08-01,5,Stayed one night,Zachary's place is so cute and cozy. The bed is like sleeping on clouds! Would definitely recommend this listing!
2023-07-01,5,Stayed a few nights,Great place to stay. Convenient to anywhere in Thomasville and very clean. I would stay there again no questions asked.
2023-07-01,5,Stayed one night,Always a great start
2023-07-01,5,Stayed one night,This space was exactly what we needed for a quick stay in town.
2023-07-01,5,Stayed one night,Thank you
2023-07-01,5,Stayed one night,We stay in Thomasville often. This place is great.
2023-07-01,5,Stayed a few nights,Zachary was very helpful and responsive. He even checked in on us just because. The room was clean and we were very comfortable! No complaints.
2023-06-01,5,Stayed one night,Such an easy and comfortable stay!
2023-06-01,5,Stayed a few nights,"Helpful host and nice, quiet location.Very clean and comfortable. Will book again!"
2023-06-01,5,Stayed one night,"Very nice peaceful location. Close to downtown. The room was clean, spacious and nicely decorated. Would definitely syay again."
2023-06-01,5,Stayed one night,Really awesome space and very nice neighborhood. The bed was super comfortable and the sheets and comforter were super soft! Very easy to get to and Zachary was very responsive and helpful! We had a great time! Would definitely stay again and recommend to friends and family!
2023-06-01,5,Stayed one night,Great place in Thomasville to stay
2023-06-01,5,Stayed with kids,"Great place.
Pretty, well designed, CLEAN!
Comfortable bed, quiet location, restful
Awesome host"
2023-05-01,5,Stayed a few nights,"What a great place. It’s comfortable, clean, has a lot of thoughtful amenities, and I love the location. This was my second stay, and I’ll definitely be back."
2023-05-01,5,Stayed one night,Great location! Very private & comfortable
2023-05-01,5,Stayed one night,"Great stay, just as described. Super peaceful."
2023-04-01,5,Stayed a few nights,"Zachary's place was exactly what we were hoping for: a clean, comfortable, private place to stay while attending the Rose Festival. The apartment was as ""advertised"", and we would definitely love to revisit!"
2023-04-01,5,Stayed one night,2nd time staying here. Quiet area. Loved the bed. We’ll book again.
2023-04-01,5,Stayed one night,"Enjoyed our stay, very clean and host was great to communicate with. Definitely recommend his house."
2023-04-01,5,Stayed a few nights,"Our overall stay was amazing, we enjoyed our stay at Zachary’s place. Clean and cozy, did feel very homey. I recommend staying here 10/10. He was also great and easy to communicate with, very accommodating to us."
2023-04-01,4,Stayed one night,Lovely neighborhood and nice place
2023-04-01,5,Stayed one night,Great location. Very comfortable. Very nice place Zachary!
2023-04-01,5,Stayed one night,Great location & very private
2023-04-01,5,Stayed about a week,"I had lived in Thomasville before, so I knew Zachary's location. It was perfect for me because I was there to meet my first grandchild, so I was coming and going every day. His place was exactly what I needed. Very well kept, pretty decor and central to shopping and eating out. I would say that walking to downtown Thomasville would be a little bit of a hike, but is doable. Overall, I would highly recommend his place to anyone. I will be staying there again my next trip!"
2023-03-01,5,Stayed one night,We had a very nice stay. We enjoyed sitting in the sun in the yard after our 6-hour drive. The place was clean and quiet. I would recommend it!
2023-03-01,5,Stayed one night,Great place - good value- close to downtown Thomasville - quiet and peaceful- comfortable bed . Will stay again if it is available. Great host
2023-03-01,5,Stayed one night,Awesome place to stay while in Thomasville.
2023-03-01,5,Stayed one night,Again we enjoyed our stay. Very peaceful and clean
2023-02-01,5,Stayed a few nights,Great location and quiet Easy in and out. Great bed Thanks Zach
2023-02-01,5,Stayed one night,Really enjoy our stay!
2023-02-01,5,Stayed one night,"Very clean, modern, Zachary thought of everything to make this an enjoyable stay! So many nice details including cotton rounds to take your makeup off which I’m a huge fan of! The bed was so comfortable and the sheets were incredibly soft. Thank you so much and we will be back to stay again :)"
2023-02-01,5,Stayed one night,"Absolutely fabulous stay!
Zachary's place is definitely a 5star+!!
What a great experience for our first Airbnb!
We would highly recommend.
Zachary has excellent communication,
easy to chat with and answered all our questions promptly.
Upon entering neighborhood we felt safe.
Smooth, easy driveway and walk path lined with rocks so no muddy feet... Lower entry had a door overhang which again beneficial since it was raining.
Immediately from opening the door,we were so impressed with the accommodations.
Everything was extremely clean, well placed and truly everything we needed for our short stay . Super comfortable bed and probably the best pillow I've ever put my head on. Slept like a baby.
Property location was ideal for attending our wedding event at South Eden plantation.
Don't hesitate to book this one. You will be very pleased!!
Thank you again Zachary for such a wonderful experience!"
2023-02-01,5,Stayed one night,Close to downtown and anything else you need
2023-02-01,5,Stayed a few nights,Great place. Convenient location and very peaceful.
2023-01-01,5,Stayed one night,"very clean in a nice neighborhood.
highly recommend"
