date,rating,note,review_text
2024-06-01,5,Stayed one night,"Came here with a group of friends and did some touring around the area. Perfect location so easy to get to the CT wine trail, Litchfield distillery and hiking on Sunday after the hangover. The house was great for our large group- we even rented hibachi one night the host approved it for an extra fee! Awesome spot for events."
2024-06-01,5,Stayed one night,Wow what a property!!! The photos don’t even do it justice. Walking around the grounds is a magical experience. I really got the escape I needed staying here. Thank you Rachel for being an excellent host. Can’t wait to bring a group of girl friends back here!
2024-06-01,5,Group trip,"Staying at this farm stay was such a wonderful experience! It was the perfect place for our little family to get out of the city for a peaceful weekend away! The property itself is breathtaking. Our son loved watching the horses and we enjoyed a morning cup of coffee to the sounds of the creek! There is lots to do in the area, but honestly our time on the farm was the best part of our stay! Rachel was a lovely and accommodating host. We will definitely recommend this place to our friends and hope to go back again ourselves!"
2024-06-01,5,Stayed one night,"Property was beautiful. House was historic and felt like home. Provided easy access to Torrington, Waterbury, and Hartford. Rachel was a great host to us."
2024-06-01,5,Stayed one night,I loved this house and all it's history. Stayed on the pull out couch in the tv room and it was incredibly comfortable. The host Rachel was easy to talk to and get in touch with. All the amenities were as described as well.
2024-05-01,5,Stayed with a pet,"jonathans place was wonderful for a two month stay while i waited to move into my home. it is very clean and jonathan is super responsive. as a single female traveling alone, i felt at ease and safe in the home and surrounding neighborhood"
2024-02-01,5,Stayed with a pet,Jonathan was very helpful during our stay!
2023-12-01,5,Stayed with a pet,"Using my wife's words, the place is terrific. It has a unique upper floor apartment vibe. Very cool appliances, cool bathroom. The place feels very authentic --and it is perfect for one or two people. My wife and I will definitely use Jonathan's place again!"
2023-12-01,5,Stayed over a week,"My son stayed at the 1-bedroom unit for 7 months during his internship in New Milford. From his account, the place was excellent. All necessary living amenities were available, the unit was clean and felt like home. Jonathan was friendly and responsive host. Highly recommend this place for a short or long term stay."
2023-05-01,5,Stayed one night,Jonathan was outstandingly kind and hospitable. The small unit is attractive and well designed and very comfortable for a short stay. I am from the UK and was impressed by the thoughtful information in an informative handbook. I can highly recommend this accommodation.
2023-04-01,5,Stayed a few nights,My friend and I loved our stay at Jonathan’s place! It was such a cute little cottage suit for us! We had the whole place to ourselves. Highly recommend!
2024-06-01,5,Stayed a few nights,"Great place to stay, great location. Will stay here again!!"
2024-06-01,5,Stayed a few nights,"The apartment was just right for me and my daughter (and her friend). I couldn’t believe how incredible the gardens were in the property. Absolutely gorgeous.
Short walk to an up and coming revitalization of downtown, with lots of interesting shops and restaurants. This was a perfect place to stay while visiting my daughter at boarding school.
Highly recommended..! :-)"
2024-04-01,5,Stayed with a pet,Comfortable home with a beautiful backyard/garden. Molly was very friendly and responsive. Will stay there again if I visit!
2024-04-01,5,Stayed a few nights,"For being on Main Street near the center of town, the apartment is at the rear of the house which made traffic noise practically unnoticeable. Having a designated private parking space off the street is a plus. The place is clean, quiet, and conveniently located. Entry instructions were clear and Molly was responsive to all communications. I'll add this location to my favorites list for future stays."
2024-03-01,5,Stayed about a week,I've stayed in this unit twice and I'd go back any time I'm in the area. It's spacious and has everything I need.
2024-03-01,5,Stayed a few nights,We had a great stay at this little apartment for a dance competition at the Warner. The location was very convenient and surprisingly quiet for its location
2024-02-01,5,Stayed a few nights,Always a good place to stay.
2024-01-01,5,Stayed with a pet,"I was born and raised in Torrington and remember when this property was a greenhouse. I was quite surprised to find it renovated so beautifully. The apartment we stayed in was perfect! Private setting, quiet, comfortable, clean and every amenity that you could need was available. Comfortable bed and lots of extra blankets. The kitchen was stocked with everything you’d need to cook meals. The bathroom has plenty of towels and toiletries available. All the little homey touches throughout was very appreciated. The backyard is gorgeous and shockingly large for the neighborhood and even has a pond,. I’d love to see it in the summer time. Every little detail has been thoughtfully thought out including signage for parking, lighting on walk paths and a bistro set on the balcony with a vase and fairy lights. I will definitely be recommending this property to everyone and plan to return on my next visit! Well done to the owners and thank you for such a wonderful stay!"
2024-01-01,5,Stayed with a pet,This was my second stay at Molly's. I bring my dog Sonic and the space is located in walking distance to many shops (as well as close to where my friends in town live). My stay each time was wonderful. Thank you!
2024-01-01,5,Stayed with kids,"Was such a cute apartment! Felt safe in the area and it was very quiet. Had everything you need, including shampoo, conditioner and body wash. Would definitely stay again!"
2023-12-01,5,Stayed a few nights,"Molly and Victor were great hosts & very responsive. Added bonus by having a garage space to park our car. Very comfortable bed and linens. Other end of room spacious sitting area with couch , chair and TV. Eat in full kitchen. Felt at home and we loved the light up Santa that greeted us upon entry! Easy check in. Instructions were very detailed with great recommendations for meals and things to do. We would definitely stay again. Thank you Molly and Victor, have a Happy New Year!"
2023-11-01,5,Stayed a few nights,Would go back without hesitation.
2023-11-01,5,Stayed with a pet,Molly and Victory are amazing hosts. Their place is great and has everything I could possibly need. I really appreciate how responsive and friendly they both are. Would definitely recommend staying here.
2023-11-01,5,Stayed a few nights,Our second stay here. Both times have been great. Nice and quiet location. Perfect location for Torrington and the area
2023-11-01,5,Stayed with a pet,"Molly and Victor were great, the apartment was clean, are was quiet, lot of great restaurants, Sassos was the best."
2023-10-01,5,Stayed about a week,Will stay again
2023-10-01,5,Stayed a few nights,Visited Torrington for a work trip and Molly & Victor’s place was awesome. Nice clean living space within walking distance to downtown. Very communicative and friendly hosts :)
2023-10-01,5,Stayed a few nights,Great communication. Great place for the weekend. Great location for visiting our son. Would go again in a heartbeat.
2023-10-01,5,Stayed a few nights,Molly’s place was clean and location is perfect.
2023-10-01,5,Stayed a few nights,"Molly and Victor were able to accommodate a late reservation so I could spend some time with my mom nearby. Communication was clear and responsive from the get-go. Instructions for check-in and where to park were sent the day before as promised. Everything fresh, clean, and neat as a pin. Appreciated the option to park in the garage. Wish I'd had more time to hang out on the porch or explore the backyard. Received apologies that the a/c had been taken out for the season (who expected temps in the 80s in October??), but there were two ceiling fans plus a floor fan and I was able to make it comfortable with those. Didn't do any cooking, but looked like most of the basics were there for putting together a meal. Coffee and tea were available, as were a shelf of assorted books and suggestions for things to do in the area. Walkways and hallways were well lit. A little bit of road noise but not intrusive. Would definitely stay here again!"
2023-09-01,5,Stayed a few nights,"The place is beautiful and impeccably clean. Coupled with the provision of all the essential amenities to ensure a warm and homely stay, we extend our heartfelt gratitude to Molly and Victor for their hospitality."
2023-09-01,5,Stayed a few nights,"Everything was easy, straightforward, and communicated clearly. The place was even more spacious and well appointed than expected. Excellent all around."
2023-09-01,5,Stayed a few nights,The location is convenient and would be perfect if there was a washing machine.
2023-09-01,5,Stayed with a pet,"Central, cozy and convenient! Exactly what I needed during my visit home. Molly and victor were always responsive and flexible. This place was also great for my dog. She goes wherever I go so it’s nice to have a host who understands that."
