date,rating,note,review_text
2024-06-01,5,Stayed with kids,"Madeline's place was just what our family needed for a relaxing memory making weekend. The lake right out the back door was amazing. The kids, both old and young, all really enjoyed the kayaks, pedal boat and the flat bottom boat. It was much different than being on a big lake where you have to worry about motorized boats coming through. Plus, it was very peaceful with not many people around. There are some beautiful sunsets over the lake, as well. I can't say how peaceful and relaxing it was on that deck! The house was great, too. Everyone loved pool and pingpong and the arcade games. It's a short 10-15 minutes to restaurants, as well as Kroger and Walmart, so that was a plus. I can't say enough good things about our stay! Everyone wants to know when we are going back!"
2024-06-01,5,Stayed with kids,"Spacious, clean lake retreat. This rental is a gem. So much space inside & out. Kayaks & pedal boat provided along with life jackets. Plenty of seating indoors & outdoors. This worked perfectly for our family. Definitely recommend, you will not be disappointed."
2024-06-01,5,Group trip,"The house is incredible and having such easy access to the lake was amazing. Would highly recommend to large groups of people who love late night campfires, floating out on lakes, and a homely feeling house."
2024-04-01,5,Group trip,"Just what you want in a rental. Everything was clean, house was very nice with great scenery. Neighbor was very nice as well."
2024-01-01,5,Stayed a few nights,"This is our 2nd year here so you can imagine how much we like the place to come back. The hosts were responsive, kind & flexible with our schedule. The house is clean and spacious and the kitchen is fully equipped. We needed to bring very few things. Since we were there at New Year's we didn't use the lake, but the location is gorgeous and peaceful. The kitchen/gathering area is great for our group to hang around with each other and we rarely turned on the TV because the space was so inviting to just ""hang with each other"". The bedrooms are clean, comfortable and flexible. If you have small kids, you should be aware of the stairs, but our grandsons loved going to the basement and playing the ""vintage"" video games (man am I old that these games I played in HS are now ""vintage"" (Pac-Man, Galaga, DigDug)).
We brought firewood and kept a fire going each day and enjoyed S'mores and just time around the fire drinking hot chocolates. The deck has been rebuilt and it is spacious & welcoming"
2023-11-01,5,Stayed with kids,It was exactly as described. It was a shame on our part we couldn’t enjoy the amenities they had to offer. The beds were very comfortable and bathrooms were very accommodating….
2023-10-01,5,Group trip,We absolutely loved our time at this location. It was so gorgeous looking out at the lake in the mornings and evenings. A very nice place.
2023-09-01,5,Stayed with kids,Enjoyed our stay and found it very relaxing.
2023-07-01,5,Stayed with kids,"We had an AMAZING family reunion and this house was perfect for everyone. We enjoyed the games, fire pit, kayaking, and fishing. There were plenty of bathrooms and bedrooms. Thank you!"
2023-06-01,4,Stayed with kids,"Overall was a great experience, just have to mention that one of the neighbors had two dogs that it seemed not very friendly to people every time we were outside they’ll be barking at us ,,, other than that was pretty good we enjoyed it .."
2023-06-01,5,Group trip,Madeline is an excellent host and her home is a great place to stay. The lake view is gorgeous. 10/10
2023-06-01,5,Stayed with kids,"This house was so beautiful, the whole family enjoyed this vacation and stay!"
2023-05-01,5,Stayed with kids,"Outstanding place, spotless and beautiful"
2023-05-01,5,Stayed with kids,"This was my second stay here and my family and I absolutely love this house! We bring our 85 yr old father here to fish because the water is easy to access and he doesn’t have to worry about others crowding his space or having traverse steep hills or stairs to get close to the water.
I wish I could stay here year round. It’s a beautiful and spacious home located in a quiet, cozy neighborhood. The hosts are great; they provide clear concise instructions and are extremely responsive to questions."
2023-05-01,5,Group trip,Pics were exact! Extremely easy to enter! Fun and comfortable home! Hosts were very responsive!
