date,rating,note,review_text
2024-06-01,5,Stayed one night,Super cute place in a great area! Definitely will be back next time we’re in the area!
2024-06-01,5,Stayed one night,A wonderful place to stay. The bathroom with its incredible tub + shower are fabulous highlights. Very quick & easy check in. Excellent communication throughout.
2024-06-01,5,Stayed one night,Cory & Emma were great hosts! This cozy apartment was just what I needed for a solo night of relaxation. The giant soaker tub and rainfall shower were amazing! Bed was comfy and white noise machine was super helpful when I fell asleep. I will definitely stay again!
2024-05-01,5,Stayed one night,We loved the stay. everything was very clean. host was friendly and worked well with check in/out flexibility!
2024-04-01,5,Stayed a few nights,"Went for the eclipse, and little town of Urbana didn't disappoint. Parked the car when we hot there & walked to everything!! Great restaurants too!"
2024-03-01,5,Stayed one night,Great spot will definitely be back.
2024-03-01,5,Stayed one night,"Thank you for having us stay at your place! It was perfect for our one night stay on the way back to Ontario. It had everything we needed, and we immediately felt comfortable there!"
2024-03-01,5,Stayed a few nights,"Loved staying here. This was our second time and it was cozy, clean, and cute. Quiet neighborhood. Everything was close by. I’ll definitely recommend. Great getaway spot."
2024-02-01,5,Stayed one night,I adore this room. The hosts are the best and I’ve stayed often. You won’t be disappointed. In fact it’s my favorite place to stay in Ohio! I love coming here because it’s relaxing. The tub is the best. Nicest people. Highly recommended.
2024-02-01,5,Stayed a few nights,"Such a amazing little spot with everything at your reach. Quiet neighborhood. The room was super cute and warm. The bathroom was beautiful, that tub makes you don’t want to leave. I’ll definitely book again when I’m in town. Very friendly host."
2024-01-01,5,Stayed one night,"thos is the second time we stayed at your place, and i was not disappointed! comfortable, clean, and cozy. AND THAT TUB!!!"
2023-11-01,5,Stayed one night,I had a lovely stay here!
2023-11-01,5,Stayed a few nights,Comfortable stay close to everything
2023-11-01,5,Stayed a few nights,This was the cutest place in such a charming little town. The space was beautifully decorated and made me feel right at home. Definitely recommend staying here!
2023-10-01,5,Stayed a few nights,Me and my girlfriend had just stayed this last weekend and had such a good time. It was a beautiful place and everything was very neat and clean. The hosts are responsive and made sure we were very comfy. Thanks for an amazing stay!
2023-10-01,5,Stayed a few nights,"We loved our stay in Urbana! Very cozy Cottage, well decorated, comfortable bed, and loved the soaker tub after running trails. The cottage is also walking distance from several shops and restaurants. Cody and Emma are great hosts. We'd definitely stay here again when we visit the area."
2023-10-01,5,Stayed one night,Always a great stay! ❤️
2023-10-01,4,Stayed a few nights,"Really enjoyed our stay, excelent location and cute place."
2023-09-01,5,Stayed one night,"This is the single best Airbnb that I’ve ever stayed at! Having the bath tub to relax in, was my favorite part of the stay. I felt very comfortable and like I was at home."
2023-09-01,5,Stayed one night,"This was an absolutely perfect stay, and was everything we needed! Would highly recommend, and definitely plan on staying again."
2023-09-01,5,Stayed a few nights,"Hi! I really enjoyed staying here. I wanted a chill vacation of sorts and this was the perfect place to do it. It was beautiful to walk and drive in. The Taco bell is great:) The lovely hosts even gave me some home grown cucumbers (Delicious by the way).
Highly recommend, Great place to stay!"
2023-08-01,5,Stayed one night,Awesome place to stay! Wish we could have stayed longer. So many neat places to eat in the area. The bed was super comfortable and I the bathroom! Several games and puzzles. Well worth the time and money!
2023-08-01,5,Stayed one night,"Great location. Responsive, host. The unit was very clean and had everything we needed. Would stay here again."
2023-08-01,5,Stayed a few nights,"What's in Ohio? I often asked that, until we stayed here. Urbana is a city of dollhouses. When you're not admiring the sunsets, or the cute town, you can hang back in this cute, comfortable studio.
Some pros:
-The tub, have you ever bathed in a $4k tub? You can here.
-The bed is super comfy, my fiancee wants to know what the pillow brand was.
-The tv- Works great with plenty of apps/easy to use.
-The hosts- They went above and beyond. Super kind, responsive, and generous.
-Murray the orange cat- She runs the Airbnb well, the best greeter you can have.
-The shower- It's like being on MTV Cribs.
Living without a full fridge posed some challenges because we're ice cream junkies, but we were able to fit some in there anyway, so it worked out.
The town is walkable, photogenic, and overall friendly. The lady and selection at The Merchant Shops are outstanding. People in reviews complained about the kids, but we had no trouble with anyone's kids.
We hope to return, and loved our stay"
2023-08-01,5,Stayed a few nights,"Stay was very clean, quiet, modern. Would definitely stay again"
2023-07-01,5,Stayed a few nights,"The place was very small, but homie and cute. It was in a very nice area. Would definitely go back."
2023-07-01,5,Stayed a few nights,Awesome little nook. Perfect place to get away for the weekend and escape the busy loud world. You'll fall in love with the tub no doubts. Comfy space and the little downtown area is walkable. Highly recommend Depot Coffee House down the street.
2023-07-01,5,Stayed one night,"My husband and I stayed here for our anniversary and we were so impressed! The inside was tranquil and the bathroom was a dream! We loved being able to walk to dinner, the local brewery, and walk around the neighborhood with all of the large old colonial homes. What a spectacular time!"
2023-07-01,5,Stayed a few nights,We had a great time relaxing for the weekend at the Bungalow. I loved that we had a private entrance. My favorite part was the tub - I haven't relaxed like that in years!
2023-06-01,3,Stayed a few nights,"if your there to get away and rest, don't mind the noise from the kids screaming and crying and a barking dog. host was very nice and accommodating. I have never stayed at airbnb and wasn't expecting the excess noise from the front of the house."
2023-06-01,5,Stayed one night,It was so lovely. I definitely recommend!
2023-06-01,5,Stayed a few nights,Great location! Lots within walking distance!
2023-06-01,5,Stayed one night,The ultimate relax getaway suite. I adore staying here. You will want to stay longer or find reasons to return. I am a frequent flyer at the suite. I stay at many many other spots on my work travels but this one’s my absolute favorite. Safe and peaceful. Easily walk the fun town to get food or see the shops.
2023-06-01,5,Stayed one night,"Cory and Emma were accomodating with a last minute booking for me, and I am beyond grateful! This momma needed some R & R while touring the Dayton area and starting a move. This place was so beautiful and peaceful. It is just as described and probably more gorgeous than the photos, in my opinion. The perfect size for a single person or a couple. The host has thought of everything, right down to cell phone charging cables, (because who hasn't ever forgotten those on a last minute trip!?) Thanks again Cory and Emma for everything!"
2023-06-01,5,Stayed a few nights,"Exactly as described and cozy accommodations. Great location for a short stay while working nearby. Wish I would have had time to explore the area nearby, there seemed like there was a lot to do. Urbana seemed like a very nice town. Exactly what I needed."
2023-05-01,5,Stayed a few nights,Great place for access to the heart of Urbana!
2023-05-01,5,Stayed a few nights,"This was my second time staying at Cory and Emma’s home and I loved it even more than the first time! You can’t beat the price for the location and quality of this AirBnB. Super comfortable bed, LUXURIOUS bathroom…..what more do you need? Also, Cory is a very attentive and communicative host - easy check in and a easy check out. I’ll stay here every time I am in the area, no question!"
2023-05-01,5,Stayed one night,We were in town for a wedding at the Fairgrounds. We were able to walk to the wedding! It was the perfect amount of space and location for our 1 night away. Everything was so clean and cute! Cory was great at messaging!
2023-05-01,5,Stayed one night,Cute little place in a prime location in Urbana. Very helpful and kind hosts. Great value!
2023-05-01,5,Stayed a few nights,"It is an awesome little place. Definitely a place we will use again! And Yes, I used the bath tub and it was great! Lots of little touches/supplies to make our stay more comfortable. Host was very responsive to any questions."
2023-05-01,5,Stayed a few nights,"This cute, quaint little place was just what was described in the listing. We can’t wait to go back and hopefully stay longer than 2 nights."
2023-04-01,5,Stayed with kids,Great place to stay and relax. We were in town for a sports tournament and will stay again if playing nearby in the future.
2023-04-01,5,Stayed one night,Great place!
2023-04-01,5,Stayed a few nights,Perfect place to stay for work! Walkable to anything in downtown Urbana. The room was spotless along with the bathroom. Very homie and I would book again! The host always responded right away and very helpful
2023-04-01,5,Stayed one night,"Such a lovely little place, I highly recommend. It was the perfect place to spend a relaxing night away. Oh and the bathtub is divine!"
2023-04-01,5,Stayed a few nights,The tub was amazing and the sole reason I booked. Perfect quick birthday getaway!
2023-04-01,5,Stayed one night,"Our stay at the Scioto Bungalow was a home-away-from-home getaway! You thought of everything imaginable to make our stay comfortable, cozy, and clean...AND THEN SOME! The state of Ohio chocolates were an extra special touch. And we would have changed our trip plans just to spend one more night there in your beautifully-decorated historic, completely modernized unit. You were easy to communicate with, accessible, and we felt safe and snug as bugs in a rug! We will look for more reasons to visit Urbana, OH!"
2023-03-01,5,Stayed a few nights,I loved this cute bungalow. It was so quiet and peaceful. Just what I was looking for while visiting family in the area. Everything I needed was there. Comfy bed and that TUB! I can’t say enough about how relaxing that tub was. Emma and Cory were very fast at responding to my messages and very friendly. I will want to stay again.
2023-03-01,5,Stayed with kids,"Our stay was amazing! The hosts went above and beyond by providing coffee pods, creamer, chocolates, games, tourism pamphlets, a binder with all the essential information and bath bombs for their gorgeous copper tub. They really thought of everything and it was so cozy and perfect. Highly recommend staying here even if you live nearby and need a getaway!"
2023-03-01,5,Stayed one night,"Absolutely lovely stay, thank y’all so much, the board games and bath bombs were a nice touch!!"
2023-03-01,5,Stayed a few nights,"This bungalow had everything we could have ever needed for a weekend getaway. The bathroom was an interior decorator’s masterpiece with the walk in shower, rainfall shower head, antique copper oversized soak tub. This place was beautiful decorated and had everything we needed for the weekend.
Thanks Cory,
We look forward to staying here again!!"
2023-03-01,5,Stayed one night,"First off, they provided anything I could ever imagine needing (first aid kit, coffee, water, games, and kitchen accommodations for a kitchenette). Secondly, the place was decorated LOVELY. You can tell they spent time, money and thought in every touch. They even provided a cozy robe to wear after my amazing bath experience! To top it all off I had some trouble turning the TV on (it was installing updates that I was unaware of) and asked for help. He left me extra batteries outside the entrance door in the middle of the night. This bungalow was everything I was looking for, for my 1 night stay. They were quiet and I never heard a peep even with them having a small child and dog. I would absolutely book any Airbnb they would have. Thanks Emma & Cory! You guys are really doing it right! ;) 10 stars!!"
2023-03-01,5,Stayed a few nights,My boyfriend and i had a fantastic time. The bathtub is an absolute luxury and the shower was a treat I will miss when i'm home.
2023-03-01,5,Stayed one night,"Great quiet spot to get some work done, very flexible overall and super responsive!"
2023-02-01,5,Stayed one night,"the Scioto Bungalow was perfect for a girls' getaway for one night. The Ohio shaped chocolate in our room from a local vendor was a nice personal touch. The keypad on the door allowed us to come and go easily, and the location was just steps from town. Cory and Emma were very responsive to our questions and were flexible when we had to reschedule at the last minute. The roku tv was great at the end of a busy day, which gave us a variety of choices of movies to watch. We loved the bathrobes, such a classy touch !"
2023-02-01,5,Stayed one night,Such a cute space and in a perfect location!!
2023-02-01,5,Stayed one night,"Fantastic stay! Everything was clean and easy to navigate! The noice machine, ceiling fan, bath bombs, and easy wifi connection made our stay incredibly enjoyable!"
2023-02-01,5,Stayed a few nights,"Perfect spot for a gateway. The place was just like described in the listing. Very cozy, clean and spacious. Everything that we needed was provided. Bathroom with an amazing bathtub. Easy communication with the hosts who recommended good places for food and things to do. Thank you. We are planning to come back."
2023-01-01,5,Stayed a few nights,"This place is seriously just the cutest, coziest little place EVER. I could hole up and stay there forever!"
2023-01-01,5,Stayed one night,"We stayed one night, and loved the place. It was clean and modern! I loved the style. The main reason I booked this was for the bathroom, and it was so serene. We will hopefully be going back!"
2022-12-01,5,Stayed a few nights,Great location and very comfortable.
2022-12-01,5,Stayed a few nights,"Absolutely wonderful place to stay. I love it here and find any excuse to come for a tranquil get away. The place is so comfortable and the hosts are amazing people! The town itself is fantastic too. Top notch bathroom!! Love it all. Comfortable , safe and quiet."
2022-12-01,5,Stayed one night,Great little place within walking distance to town. Comfortable and super clean. Would definitely stay again.
2022-12-01,5,Stayed one night,Cute and quaint space for my overnight stop while passing through. Very clean and quiet. Everything is just as it is described in the listing. The soaking tub was amazing!! I wish I would have had more time to explore the town shops.
2022-12-01,5,Stayed a few nights,Our plans changed last minute and we could not make it to Urbana. Too bad for us because Cory and Emma’s place is great! Will definitely be back as soon as we can.
2022-11-01,5,Stayed one night,it wasa relaxing time...loved the tub and shower
2022-11-01,5,Stayed one night,Fantastic decorating! Very cozy and comfortable!
2022-11-01,5,Stayed one night,We loved this place! We would recommend it to everyone- love that it’s in walking distance to good food and cute shops!
2022-11-01,5,Stayed a few nights,"A delightful stay, my second time here!"
2022-11-01,4,Stayed a few nights,Cute and cozy unit with lots of good food and drinks within walking distance
2022-11-01,5,Stayed a few nights,"Everything is just as described and pictured, it was great! They have thought of everything so whenever I thought of something I needed, I looked around and they had already supplied it! Would definitely recommend."
2022-10-01,5,Stayed one night,Such a cute little place and perfect for a weekend away! Hosts were wonderful and accommodating.
2022-10-01,5,Stayed a few nights,What a great great away!!!
2022-10-01,5,Stayed a few nights,"Everything is perfect. The tub is huge, the space is super clean and decorated well. You are within walking distance of everything you could need. I would stay here in a second."
2022-10-01,5,Stayed a few nights,This place is perfect and so relaxing. The bathroom is everything! And the town is the cutest! A perfect weekend getaway!
2022-10-01,5,Stayed one night,This is the best place. I love staying here. I’m a repeat guest. It’s the absolute best place I’ve stayed! So cozy and also feels like a private get away. The bathroom is divine. The hosts are so easy to talk with. Everything you need to stay is provided and thought out.
2022-10-01,5,Stayed one night,Extremely clean and well appointed little bungalow. The tub was beyond amazing! These hosts thought of everything to make our stay relaxing and comfortable. Just what these exhausted parents of the bride needed. Will definitely be back for a longer stay.
