date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"The bungalow was great!
It was exactly what we needed for a graduation weekend. The house duplex is in a good area of town. Close to all activities. The host
was responsive and helpful."
2024-06-01,5.0,Stayed one night,Great place. Cute and cozy. Even though it’s a duplex there was a lot of privacy.
2024-06-01,5.0,Stayed one night,Liia's place was just what we needed for a quick overnight trip to Uvalde. Well equipped amenities made it feel like home.
2024-04-01,5.0,Stayed about a week,Thank you Liia for making my husband's stay comfortable! He had everything he needed for an enjoyable few weeks in Uvalde.
2024-04-01,5.0,Stayed a few nights,"Liia's place is a charming vintage gem set in a lovely walkable neighborhood with awesome trees. We had everything we needed except a garbage disposal in the kitchen sink & a dishwasher - but that's just part of the old world charm! AC units kept the place very comfortable. Liia is a great host. She answered all our questions and was easy to reach. The house is lovely, everything was clean and we really enjoyed our stay. Deer came to visit the spacious backyard in the evenings, and there were magical fireflies in a nearby park (we live in the arid Southwest and hadn't seen those in ages). Location is convenient to exploring the town. Parks, groceries, restaurants are all nearby."
2024-03-01,4.0,Stayed a few nights,"We enjoyed our stay, we only had two issues with our stay but considering it’s an older home it’s understandable. The first being a security issue since a couple of windows were unable to be locked. The second being bugs, both dead and alive throughout the house. Other than that we enjoyed our stay, it was in a good location and was near everything. We had no issues with check-in or parking and the host was generous enough to leave a stocked medicine cabinet and complimentary drinks in the fridge. The rental did have lots of space and was decorated well."
2024-03-01,5.0,Stayed one night,The place meet our needs while in uvalde visiting family for a day. I like that it has a smart TV to watch my shows. And the host has some soft drinks available for us which was very kind and convenient.
2024-03-01,5.0,Stayed a few nights,"Great value
Clean"
2024-03-01,5.0,Stayed a few nights,"Just as described. A comfortable, tastefully quirky old house in a residential neighborhood within a 10-minute walk of the downtown square. More thoughtful amenities in the kitchen than I had expected or had seen in other airbnbs. Would definitely choose her vintage bungalow again when back in Uvalde."
2024-03-01,5.0,Stayed one night,"Great stay for one night passing through town! Clean, comfortable and friendly host."
2024-02-01,5.0,Stayed a few nights,"This place was whole vibe, great lighting in the afternoon. Very quiet and peaceful."
