date,rating,note,review_text
2023-09-01,5,Stayed one night,They were very responsive. There was an error at checkin & once we brought it to their attention they took care of it immediately.
2023-09-01,5,Stayed a few nights,"Nice rooms, quiet and comfortable. Wonderful common areas and deck to enjoy the view! Delicious breakfast! Will definitely stay again!"
2023-08-01,5,Stayed a few nights,Great accommodations! The breakfast was a great way to start the day. The regular business of the winery did not disturb us at all.
2023-07-01,5,Stayed a few nights,Great stay and the staff was very welcoming! Will stay here next time I travel to Vermilion!
2023-06-01,5,Stayed one night,We had a wonderful stay at Valiant. We enjoyed time on the deck drinking wine and playing cards. It was very quiet at night and the breakfast was delicious. We would definitely chose to stay here again.
2023-04-01,5,Stayed a few nights,"We had a great stay in Vermillion! Our hosts at Valiant were super kind and flexible, even though we had a last-minute change to our booking. Tasting their wines and spirits was another fun experience.. you have to try their Bourbon:)"
2023-04-01,5,Stayed with kids,"Very friendly staff and kind,Highly recommend for a stay :)"
2023-03-01,5,Stayed one night,"Our second stay here. It’s clean and peaceful, welcoming and hospitable. The breakfast is a nice addition. Thank you."
2023-02-01,5,Stayed a few nights,"Super! It was chance that we stayed here in winter but what a magical time of year. Everything is spot on, great place to stay and the staff, wine and breakfast is superb Cant go wrong"
2022-12-01,5,Stayed one night,We always enjoy staying at Valiant! My only issue is getting up two flights of ice covered metal stairs to get in. But it was Christmas so I didn’t expect people to be around to help.
2022-11-01,5,Stayed one night,"It's great to stay where you get treated like a long lost friend and spoiled from start to finish. Super friendly staff, great breakfast and location! We can't wait to find back!"
2022-10-01,5,Stayed a few nights,"We had a very comfortable stay. The space was very clean and the whole staff was amazing, especially Adrienne! She was very welcoming."
2022-09-01,5,Stayed one night,"The hosts were very welcoming, and the balcony was beautiful!"
2022-08-01,4,Stayed a few nights,Comfy beds and nice location!
2022-08-01,5,Stayed one night,"Nice place, very clean and great breakfast"
2022-08-01,5,Stayed one night,Beautiful location and a nice big room! We were warmly welcomed with a glass of wine and some ideas about how to spend our evening downtown. Breakfast was yummy and right on time! It was a great girls night out....we will be back!
2022-07-01,5,Stayed one night,Beautiful peaceful setting. Love the deck with the overlook.
2022-06-01,5,Stayed a few nights,Was great! Loved the outside space. Beautiful views. 
2022-06-01,5,Stayed one night,Great place to stay. Its located in a nice quiet area off the beaten path with a great view.
2022-06-01,5,Stayed one night,"A beautiful setting. Our favorite spot was the balcony playing games, enjoying the wildlife, and sunset. We also had a delicious breakfast!!! We would stay again 🙂"
2022-05-01,5,Stayed one night,"A nice, quiet and safe place to spend the night."
2022-02-01,5,Stayed a few nights,fantastic place for our weekend getaway!
2021-12-01,5,Stayed one night,"Nice room, good breakfast, and complimentary wine tasting"
2021-09-01,4,Stayed about a week,"Valiant was a fantastic place to stay in Vermilion. Good location with pretty views. Very friendly staff, very clean rooms and great value."
2021-08-01,4,Stayed one night,Convenient location for visiting both Vermillion and Yankton.
2021-06-01,3,Stayed a few nights,"Rooms are clean, beds are comfortable but the decor is very outdated. The good was fine but not what we have experienced at other bed and breakfast."
2021-06-01,5,Stayed a few nights,Valiant is great! Both hosts were so nice and sweet!
2021-06-01,5,Stayed a few nights,This is an amazing place to stay! Comfortable! Peaceful! Beautiful! Clean! Great breakfast! Kind and helpful folks own and operate this wonderful bed and breakfast! I highly recommend it and will definitely return when in Vermillion!
2021-05-01,5,Stayed a few nights,"Thanks to Sherry and Adrienne for making our stay enjoyable while we visited family in Vermillion for the first time since the pandemic. We really liked our Bloody Mary Sunday at the Winery. We had never heard of it before, and it was very tasty. We did the wine tasting on the second floor deck with a great view. Breakfasts were hearty and wonderfully prepared! We were in the Buffalo room, which was clean and comfortable. Definitely would stay again, if we are back in town."
2021-05-01,5,Stayed with kids,It was a great stay. love it!!! highly recommend!
2021-04-01,5,Stayed a few nights,The best accommodations and a special place to visit. Adrienne was warm and welcoming and provided excellent service at check in and dining. Rooms are roomy. Will definitely stay again.
2020-12-01,5,Stayed a few nights,Quiet and cozy. Lots of character. Close to downtown Vermillion with lots of great eateries.
2020-10-01,5,Stayed a few nights,"This is a very comfortable hotel like room. Our after hours check in was convenient, no contact, and fast.
The homemade breakfast was made fresh at the time we requested and was mouth wateringly delicious.
We had an excellent stay and would definitely return.
We enjoyed the wine tastings as well."
2020-10-01,3,Stayed one night,"Great location and sparkling clean rooms. Tasting room is very cool, but only open Thursday through Sunday."
2020-10-01,5,Stayed one night,Great B&B with wine tasting included. A real treat in the fall is sitting out on the back porch in the golden leaf canopy tasting the vineyard's offerings.
2020-09-01,5,Stayed a few nights,Valiant is a friendly place to stay. Adrian was very pleasant and was able to help you with anything you needed. The room as lovely and very clean! The shared kitchen and balcony was an added convenience. Breakfast in the morning as delicious and relaxing. We would definitely go back if we are in the area again.
2020-08-01,5,Stayed a few nights,"Comfortable, feels private, breakfast is good & good host"
2020-08-01,5,Stayed one night,Beautiful views. Quiet space. Nice clean room with great amenities. Friendly staff and love the wine/whiskey tasting!
2020-08-01,5,Stayed one night,"We had a quiet stay at the B&B.. Though we arrived after 5pm, there were two glasses of wine waiting for us since the tasting hours were over. We really enjoyed sitting out on the deck later in the evening, it was a perfect night for it! Our host provided info on local running trails and the breakfast was great! Plenty of tables were available to ensure social distancing was possible. Everything was clean. My only critique was that the shower could have had a better head or pressure, or something - it was fine, but not great for washing my thick hair."
2019-11-01,5,Stayed a few nights,Amazing view and even better breakfast!
2019-10-01,4,Stayed a few nights,Our first time using AirBNB and was pleasantly surprised with the experience. Valiant's was the quietest place I have ever stayed. Breakfast each morning was delicious and ready when we came downstairs. I would definitely stay here again when in Vermillion.
2019-07-01,4,Stayed one night,"Nice place, convenient locations for us. Breakfast was good."
2019-02-01,4,Stayed one night,"An adorable place with a cute atmosphere, kind people, great wine, and delicious breakfast!"
2018-09-01,4,Stayed a few nights,Good value - a very nice place at a reasonable price. Fine view of the bluffs. Room was spacious and nicely decorated. The wine tasting is a nice touch as well. Plus warm cookies at bedtime !
2018-09-01,5,Stayed one night,This was a great find for my wife and I. Wonderful staff and accommodations. Such a nice option when you visit a college town.
