date,rating,note,review_text
2024-06-01,5,Stayed a few nights,We have stayed at multiples of Anthony's places and they are all just as adorable as the next. This place is small but perfect for a short stay for singles or a couple. We can't wait for our next reason to stay in the area!
2024-06-01,5,Stayed about a week,"Excellent rental unit. Well appointed. Washer, dryer and laundry supplies were available right inside the unit and free of cost. That's very rare for a small cottage of this size. Although the unit is within a small RV park, no problems whatsoever from other residents. Very quiet. Small town. Town center is somewhat rundown but probably being reconstructed. Nearby towns and cities like Iowa Park, Wichita Falls have very beautiful parks which I highly recommend. Communication from the host was efficient and prompt. I recommend this rental unit."
2024-04-01,5,Stayed one night,"I completely valued the price, very good lodging"
2024-04-01,5,Stayed with a pet,"I enjoyed staying at Anthony’s place, it was exactly what I was looking for on a cross country overnight stop."
2024-04-01,5,Stayed one night,Awesome. Great place to stay. Everything was perfect!
2024-04-01,5,Stayed a few nights,Great place !!
2024-04-01,5,Stayed a few nights,It was a cute little home with enough space for anything
2024-03-01,5,Stayed one night,It was a very nice place to stay it was nice and comfortable. Would most definitely stay again if I’m ever in the area!
2024-03-01,5,Stayed one night,The place was perfect just as described. My gf and I had a wonderful time. Would def book again.
2024-03-01,4,Stayed a few nights,I’m good
2024-03-01,5,Stayed a few nights,Anthony and his team were great.
2024-03-01,5,Stayed one night,Anthony’s place was a great little overnight get away! Just what us girls needed! Beautifully done!
2024-02-01,5,Stayed a few nights,Great place
2024-01-01,5,Stayed one night,Great place for the money.
2024-01-01,5,Stayed about a week,"I rented Anthony's place for a friend to stay. It was exactly as described and perfect for my needs. The weather was dreadful, but Anthony and his staff were all very personable and available to help. I would definitely recommend his places."
2024-01-01,5,Stayed a few nights,Excelente place to stay
2023-12-01,5,Stayed with a pet,Just a beautiful place. Will stay again
2023-12-01,5,Stayed one night,Anthony’s place was very comfortable and cozy. It’s near our land and made for a good home base. We will definitely stay again!
2023-12-01,5,Stayed with a pet,"Anthony’s cottage was a very nice place to fall on our long drive home. It was super comfortable and very well outfitted. We were able to prepare a meal and enjoy streaming our favorite channels. Would definitely stop here again! Thanks, Anthony!"
2023-11-01,5,Stayed one night,Always look for Anthony’s places when needing a place in Electra ! Always a great spot !!
2023-11-01,5,Stayed with a pet,Loved it!
2023-11-01,5,Stayed a few nights,"Great place! Close to town, very clean and easily accessible."
2023-10-01,5,Stayed a few nights,Very nice place. Host was very responsive and extremely nice. Would definitely stay again
2023-10-01,5,Stayed a few nights,"I have had multiple stays with Anthony, I can’t recommend any of his places enough! Not only are his stays the best around, he is a great host, and always responsive! Thank you very much for the wonderful stay! I highly recommend looking through Anthony!"
2023-09-01,5,Stayed a few nights,"Wonderful place to stay, if I’m back in the area, will be staying again!"
2023-09-01,5,Stayed a few nights,great
2023-09-01,5,Stayed a few nights,"This was my 2nd stay at the cottage. Just like the first time, it was awesome!! Definitely worth it!!"
2023-09-01,5,Stayed a few nights,What an awesome cabin!! As a traveling worker I stay many different places and this cabin was EVERYTHING I needed!! Very clean and comfortable. Great job with the cabin. Definitely would recommend!!
2023-08-01,5,Stayed a few nights,"We enjoyed our stay more this time than last time we were here! we were very comfortable this time. Nice and cool inside, smelled clean when we walked in."
2023-08-01,5,Stayed with a pet,"Fantastic airbnb, perfectly clean, modern space with everything you need. I hope to return, absolutely recommend!!"
2023-08-01,4,Stayed with a pet,Place was just as described. Check in was easy.
2023-08-01,4,Stayed a few nights,Nice little place to stay. Stayed cool inside and was convenient for our needs
2023-08-01,5,Stayed with a pet,"This was the perfect little place to cut a drive in half & lets not forget to mention that it is the most precious little cabin ever. Very easy to find, although it is right off the highway it was so quiet & peaceful we arrived later that evening & left out early but the time we spent there was perfect."
2023-08-01,5,Stayed with a pet,"Anthony’s Cottage was the perfect spot to rest after a long day on the road. It was quick off the interstate and easy to find, keyless door code check in, cold AC, and spotless. It's so much more relaxing than checking into a hotel. Anthony really thought out the space, it felt very spacious and had a kitchenette with coffee and tea. Full bathroom with shower and a washer/dryer! All were much appreciated! We enjoyed our stay and wish we had more time there. If it's available, end your search and stay here!"
2023-08-01,5,Stayed a few nights,A nice little spot to stay. Very proactive and easy to speak to. Very clean and everything you might want for a stay. Will definitely stay again next time we are in the area.
2023-08-01,5,Stayed one night,"we had a nice stay! the bed was so comfortable, we had a great night of sleep. AC worked well. thanks!"
2023-07-01,5,Stayed a few nights,Great stay!
2023-07-01,5,Stayed one night,it was such a beautiful place to stay especially with the price! im constantly driving back and fourth through texas and this will def be the place i come back to when needed!
2023-07-01,5,Stayed a few nights,"We needed a place to stay in Electra so we could attend a family funeral. This cottage was clean, comfortable, and absolutely perfect for the two of us to de-stress and relax. We even laughed about whether or not Anthony arranged for the spectacular thunderstorm to lull us asleep one night. If we are back in the area we won’t hesitate to book again!"
2023-06-01,5,Stayed one night,"Anthony was very responsive and we felt very welcome. The accommodations were fresh and clean. Loved the details like having tea and coffee, fridge, and a fully equipped kitchen. Thank you for a peaceful rest on a very long car trip!"
2023-06-01,5,Stayed with a pet,If you want a nice little getaway that is modern and clean this is the place
2023-06-01,5,Stayed one night,Great place! Always a perfect host! Highly recommend this spot!!
2023-06-01,5,Stayed one night,"A perfect spot! This was booked along with other cottages for a work trip and it for our needs perfectly. Nice and clean, beautifully put together, very comfortable and what brings it all together is the top notch host. Highly recommend Anthony and this cottage! Thank you!!"
2023-06-01,5,Stayed a few nights,I was in town on business and tired each day after work. It was so nice to have a relaxing and clean place to come back to each evening to recharge. The host was very nice and provided all you could want in a relaxing cabin! I will be staying here again when business takes me out this way.
2023-06-01,5,Stayed one night,"Wonderful stay again! I highly recommend all of the AirBNB’s that this owner owns. Great host, helpful and place was perfect! I will be back again for sure!
Thank you!"
2023-06-01,5,Stayed about a week,Lovely place for the price especially. Great for 2 people. Only issues were the dryer is older so it took a couple times to fully dry clothes and the view is meh but regardless was an amazing time. A lot of accommodations and a gracious host who helped us out multiple times without issue. Couldn’t have asked for a better place. Beautiful cottage with practically everything you’d need. Overall phenomenal stay! 10000/10
2023-05-01,5,Stayed one night,Great stay after a long road trip/drive. Very clean and very nice. Would certainly recommend and stay again!
2023-05-01,5,Stayed with a pet,.
2023-05-01,5,Stayed with a pet,Anthony was a great host and very responsive. Highly recommend!
2023-04-01,5,Stayed a few nights,.
2023-04-01,5,Stayed with a pet,"Nice quiet place, we definitely enjoyed our stay."
2023-04-01,5,Stayed about a week,Super fast communication and a lovely place! Thank you!
2023-04-01,5,Stayed one night,"We had a great stay, small quite town not much around. We had been traveling all day and this was the perfect place to get some rest and feel at home! Quick response time."
2023-03-01,5,Stayed one night,Always a great place ! Has everything you need for a comfortable stay !
2023-03-01,4,Stayed one night,"Great little cottage . Location was not ideal, but considering the immediate surroundings it was very nice. Electra is a small town and not a lot to do there but if you are traveling and need a comfortable place to stay that is clean and reasonable, any of Anthony's places are great. We would definitely stay again."
2023-03-01,5,Stayed one night,Just stayed for a night passing thru to the Grand Canyon. House was very clean and exactly as listed.
2023-03-01,5,Stayed one night,"Our favorite quick stop while traveling!! It’s an easy in/out plus perfect little location that has everything you need for a night away! Not our first visit, or our last!"
2023-03-01,5,Stayed with a pet,Anthony’s cottage was perfect for my wife and me as we traveled cross country. The pictures show exactly what is offered. Everything is near new and spotless. This is tiny home like living at a campsite setting. Just off of the freeway in a small town made it easy to find and convenient to get back to the freeway and on our way. Thank you Anthony for giving us a pleasant stay.
2023-03-01,5,Stayed a few nights,Amazing!!! would definitely stay here again
2023-02-01,5,Stayed with a pet,Great place to stay! Had everything we needed and was very clean. Highly recommended and will definitely stay here again the next time we are in the area
2023-02-01,5,Stayed one night,Anthony’s place was perfect for my stay in Electra. It has everything you need for a great stay !
2023-02-01,5,Stayed a few nights,"The cottage was perfect for my weekend stay. I was meeting my partner who is training at Shephard AFB, and I highly recommend for people visiting."
2023-02-01,5,Stayed one night,Was a great place to stop on our move across the country! Had plenty of space for our moving truck. We would absolutely stay here again.
2023-02-01,5,Stayed a few nights,This place was definitely in my top 5 places and I stay at a lot of ABNBs. I wish they were all like this. I’m actually looking into putting some of these units on my property I liked them so much!!
2023-02-01,5,Stayed one night,Great place for a weekend trip
2023-02-01,5,Stayed one night,Perfect place for us when we visit family. Had everything we could possibly need. Very clean!! Will definitely recommend!!
2023-02-01,5,Stayed one night,Such a great spot and Anthony was very responsive! We arrived late and desperately needed to wash some clothes after a long trip. We were out of laundry detergent and Anthony brought us some within a few minutes!
2023-01-01,5,Stayed one night,Great Place to stay. Anthony was a great host. Wouldn't hesitate to book another stay.
2023-01-01,5,Stayed one night,"Very clean little cabin. We needed a quiet, clean, safe place to sleep and this checked all the boxes!"
2023-01-01,5,Stayed with a pet,"Had a wonderful stay, was very happy to find such a nice pet-friendly location. The outdoor motion-sensor light turned on whenever a car passed on the road, but this did not bother me once I closed the blinds. I was grateful to have such a well-lit outdoor area as I arrived after sunset."
2023-01-01,5,Stayed with a pet,It’s always nice to stop here after a long drive. Great hospitality and pet friendly.
2023-01-01,5,Stayed a few nights,Super host - very responsive and extra helpful! Very comfortable cabin but with all the extras! Will definitely be back!
2023-01-01,4,Stayed one night,"Cute tiny home. We stayed one night. Was a little difficult to find. It was out in “no man’s” land. The address wasn’t on the home that matches the listing. It had all the amenities listed. We loved the washer and dryer. Sitting on the front porch on rocking chairs at sunset was the highlight. Host was very responsive.
Might bring your own towels. The ones provided were just bigger than hand towels. Place was very clean. Lots of traffic in the morning. You are literally next to the road. Overall, it wasn’t the best we’ve stayed in but definitely not the worst. This was our 21st."
2023-01-01,5,Stayed with a pet,"Great spot to stay during our road trip! We stayed in Anthony’s other cottage on our way there, and loved it so much that we booked his other place on the way back. The place is spotless, with a big tv, and fully stocked kitchen. Anthony also communicates proactively to make sure check-in is seamless."
2022-12-01,5,Stayed one night,this was a great stop along our trip. Anthony was super helpful and accommodating. We appreciated how convenient it was to get to from the highway and all of the thoughtful little details they had in the Airbnb.
2022-12-01,5,Stayed with a pet,"This AirBNB is 20 Minutes from Wichita Falls. Close to a gas station. 10 minutes from Starbucks. Anthony did great with the freezing weather, He made sure we had Running water. The inside is beautiful. Well cleaned. Plenty of kitchen ware. The heating and cooling is very nice and super quite. We will be staying here Everytime we visit our Texas family."
2022-11-01,5,Stayed a few nights,Great place to stay in Electra
2022-11-01,5,Stayed with a pet,"These cottages were great . The bed was comfortable, the kitchen was very usable, the washer being full size was a huge bonus , as we were already on the road 5 days."
2022-11-01,4,Stayed over a week,Excellent cottage for a few days (not designed for long stays). Can be a bit loud as the cottage is on a main road into town. Overall great place!
2022-11-01,5,Stayed a few nights,"This was the cutest little house, I rented this out for my parents they absolutely loved it. Perfect for a weekend getaway for two. I highly recommend this cute little house , we will definitely be rebooking ."
2022-11-01,3,Stayed with a pet,"Cute and cozy space. Anthony was great, communication and checkin/checkout was seamless."
2022-11-01,5,Stayed with a pet,Such a lovely cottage! Well-kept with easy parking. Anthony was a great host. He was very communicative. We will definitely try to stop by again!
