date,rating,note,review_text
2024-01-01,5.0,Stayed a few nights,We had a wonderful visit
2024-01-01,4.0,Stayed with kids,"This house was a great space for our two families meeting for the new year holiday.
The carpets are stained, it needs a deep clean and a refresh but overall it was functional.
We couldn’t get the sauna to work while we were there but it could have been because of one of the 29,000 unlabeled light switches around the house being flipped in the wrong direction."
2023-12-01,5.0,Stayed with a pet,This place was amazing! It was secluded but still close to things that were needed. Natasha the property manager was amazing! She provided kids toys and a Christmas tree when she found out our daughter was going to be there. Alex was always quick to respond and very accommodating. If we come back to the area we will definitely rent here again!
2023-12-01,5.0,Stayed with kids,"What an incredibly peaceful location where we were able to enjoy seeing wildlife, complete privacy, and spectacular views from every location of this home. We have a large family and everyone was so comfortable. Our hosts were so helpful and made sure our stay was 5 stars in every way. We will definitely stay again. Thank you!"
2023-12-01,5.0,Stayed a few nights,Our family had a very comfortable stay at this lovely home. We enjoyed the views of the wooded property from the home’s large windows.
2023-11-01,5.0,Stayed a few nights,"This is an amazing place to relax in nature and go back in time to the 70's. We loved the styling of this Frank Lloyd Wright inspired house where unique comfort was seamlessly blended into nature. We enjoyed grilling, having a fire, watching the deer and buzzards, playing billiards, watching the large TV and relaxing in the huge house with plenty of space to stretch out.
The house was very clean despite some of the reviews I read. The cleaners were leaving as we arrived and they seemed to take pride in their job as they even left their shoes outside to go in the clean house.
Beware of the many light switches and stovetop that seems to have a mind of its own but everything else was perfect.
Would highly recommend this unique stay to anyone that needs to relax in the Weirton Area."
2023-11-01,5.0,Group trip,"We were looking for a venue to have a 90th birthday party for our aunt who lives in Steubenville. We had relatives coming in from all over the USA... as far away as Anchorage. It was perfect! It was spacious and had entertainment both inside and out (pool table, dartboard, foosball, hiking trails, deer watching). The vibe was Frank Lloyd Wright's Falling Water meets The Brady Bunch. The bedrooms were large with plenty of storage space. The beds were very comfortable. The master bedroom bathroom had a sauna as well as a step-down tile bathtub and full body shower. We loved the full frontal windows which brought in lots of sunlight and provided excellent views. The owner was extremely accommodating and welcoming. She even had a little gift bag and card waiting there for the birthday girl! We were just there for a long weekend so we didnt get to enjoy everything this bnb had to offer. We'll just have to come back!"
2023-10-01,5.0,Stayed a few nights,"Perfect in every way, this house will exceed all your expectations!"
2023-10-01,5.0,Group trip,Very professional and amicable making us feel right at home during our stay
2023-10-01,5.0,Stayed a few nights,Great place!
2023-10-01,5.0,Group trip,"Alex was very easy to work with. The wildlife was constant around the house and great to see from the main living area. The kitchen counters and table weren't wiped off and I don't think that all the rooms were swept/vacuumed before we entered as there were still things on the floor. All in all a great spacious house to stay at. If I could recommend anything, it would be to note or label what all the light switches go to. There are so many and it was a little difficult to figure out."
2023-09-01,5.0,Stayed about a week,As comfortable and equipped with nice amenities the house was the highlight for us was the daily parade of the deer herd and flock of turkeys! Bring a bag of corn and enjoy the show!!
2023-09-01,4.0,Group trip,"Large house. Great for families. Outdoor space is deceiving in photos.
Was able to have a space for my dogs to run without being close to the road."
2023-09-01,5.0,Stayed a few nights,Very accommodating hosts. Very responsive to our late check out request.
2023-08-01,5.0,Group trip,"The house is on a very lovely property. There are lots of trees and space. The house itself is very roomy. There are 3 separate rooms on the ground floor which was very helpful for those with limited mobility. My family enjoyed the billiard room. The laundry facilities are excellent. The kitchen is very functional with many small appliances and well stocked with plates, cups, etc.
Beds are comfortable.
The one drawback is that despite the large gorgeous front windows, the house was a bit dark. But overall we really enjoyed the house."
2023-07-01,5.0,Group trip,The home is perfect for a large group or family. Lots of sitting areas and dining tables. It is fully stocked and everything is provided. I will be booking here again!
2023-07-01,5.0,Group trip,"It was a great time, very peaceful and loved appreciating all the odd choices this home has seen via renovations."
2023-06-01,5.0,Group trip,Wonderful stay - we were pleased with the house! It’s got a fun vibe and was perfect for a weekend with friends!
2023-06-01,5.0,Stayed with kids,Great place. Spacious loved the deer and fawn outside beautiful window view. Very accommodating
2023-06-01,5.0,Stayed with kids,"The house itself was amazing, so spacious and cozy at the same time. I loved that the property it’s private worth tress around the house. The sauna was worth to try 🤗I’m definitely satisfied with the stay in this beautiful place."
2023-05-01,5.0,Group trip,"Alex provided flexibility and was very responsive to our questions. The house reminds me a bit of a Frank Lloyd Wright design and is very spacious, with kitchen upgrades. I liked that there was plenty of sitting space to either watch TV, and still have a room for quiet conversation in the next room. The grounds allow for restful and private sitting outside or short walks."
2023-05-01,5.0,Stayed with kids,Great experience
2023-05-01,5.0,Group trip,"This house is super cool, great for larger groups due to the two levels and lots of space. The property is beautiful and it was so relaxing to have coffee outside every morning. Just secluded enough. Alex was a really helpful and responsive host and everything felt super easy and relaxed which was lovely. The dogs had a great time as well!"
2023-05-01,5.0,Stayed a few nights,Beautiful and comfortable home. We enjoyed our stay and look forward to staying here again in the future.
2023-04-01,4.0,Stayed with kids,The place was great. The air did not work on our first night there and that was a little uncomfortable but somebody came the next day to take care of that. There was a little smell but I just took it as the place being shut up. The property itself was very peaceful and serene. Everything was as described. It did take me some time to figure out the stove as it was digital. Overall the stay went good.
2023-01-01,4.0,Group trip,"A unique home in a beautiful location. It's an old house so there is some wear and tear (stained carpets, out of order bathroom, lights out) but if you can deal with some minor issues, its a wonderful space for a getaway."
2022-12-01,5.0,Group trip,Great hosts and comfortable home.
2022-11-01,5.0,Group trip,Excellent hosts. Attentive to your needs. Dedicated to making you feel at home.
2022-09-01,5.0,Group trip,Phenomenal hospitality. Quick responses by host. Comfortable home.
2022-08-01,5.0,Stayed a few nights,"We loved staying here, mainly because my husband was raised in nearby Newell, and he has family in Steubenville, so it gave us a central location to be our home base for this trip. It was also a place where our family could spread out, relax, watch the deer, and just de-compress. The home was super unique. While the home is dated, it is appropriately dated and brings about a feeling of nostalgia as you walk through the doors. I would highly recommend this as a place to stay if you are ever in the area, our whole family loved it and quite honestly didn't want to leave. It will be our go-to place to stay for future visits to the West Virginia panhandle."
