date,rating,note,review_text
2024-06-01,5,Stayed a few nights,The boat house was very beautiful. The service was excellent and when something needed looked at they immediately came to look into it. I would very much recommend a stay at the Boat House.
2024-06-01,5,Stayed with kids,We had the best experience. The villa was super clean and beautiful. The hosts provided clear instructions and were quick with responses. We look forward to returning!
2024-06-01,5,Stayed a few nights,Lovely place. Friendly atmosphere.
2024-06-01,5,Group trip,"We rented the house boat while family was visiting in town. It was in an amazing location, walkable to the riverwalk, restaurants and shopping. The house was clean, well stocked and very comfortable."
2024-06-01,5,Stayed a few nights,"A very pleasant stay and quieter than we expected for the houseboats. Very walkable to downtown and all the excitement, but far enough way to not have to be in the middle of it."
2024-05-01,5,Stayed one night,"WOW! What a fun and unique stay - like staying in a luxury hotel, only this one floats! :)
Perfect location - walkable to all the shops, restaurants, and activities on Wilmington’s lively riverfront.
One of our favorite Airbnb experiences!"
2024-05-01,5,Stayed a few nights,"Staying at Adrift was a wonderful experience - the place was clean, beautiful, and roomy for two. The hosts were helpful, informative, and very responsive. Great location in terms of being near restaurants and bars. The rear deck was large and enjoyable. Only issue (not their fault) is that parking is not adjacent, making it inconvenient to load and unload. We loved our two-night stay and highly recommend!"
2024-04-01,5,Stayed one night,"We had the best girls weekend here! It was the perfect location - walkable to the riverwalk so we were able to just wonder between restaurants and bars to get apps and drinks but we loved being about to just hang out at the boat on the upper deck. It was such a cute, very clean place with a great host!"
2024-04-01,5,Stayed a few nights,"This villa looks exactly as it does online. Erin was very responsive and the villa was very clean. The towels as well as the bed sheets were great quality! The villa is located within walking distance of some awesome restaurants downtown Wilmington. I've already recommend this location to family and friends and I will certainly return. It is worth the cost.
Judy & Delroy"
2024-04-01,5,Stayed one night,👍🏿
2024-04-01,5,Stayed a few nights,"This was one of the TOP Airbnb stays my wife and I have experienced. Not only was it comfortable & convenient, it was one of the most peaceful and serene stays we’ve experienced with Airbnb (easily in our top three).
My wife found the ad on social media and it lived up to the hype. We stayed during the week so there wasn’t a lot of traffic-noise while we were there. The host provided detailed instructions on how to make the most of our time (nearby restaurants, shopping, etc) which were PERFECT for us.
We will definitely be returning to Airbnb the next time we’re in Wilmington."
2024-04-01,5,Group trip,Wonderful stay at The Cove Adrift!
2024-04-01,5,Stayed one night,"I've lived in Wilmington my whole life and booked it for one night for my friends & I. Their staff & support team were great, super responsive and made the whole
process easy. I don't think I've stayed at a nicer AirBnb or hotel that offers this kind of experience. The boat houses are designed very well and all of my friends were shocked that this existed in our hometown. Even the people staying in the other boat houses were friendly! I'll be back again, thanks for a great night."
2024-04-01,5,Stayed with kids,Wonderful and would love to come back soon!
2023-11-01,5,Group trip,My buddies and I stayed here for the Marine Corps ball next door at the Convention Center and it was definitely a good call. Less than a 2 minute walk to the venue. Super clean and cozy🤌🏼
2023-10-01,5,Stayed a few nights,"We loved staying on the house boat. What a neat experience!
The place felt brand new, extremely clean and comfortable, beautiful furnishings, comfortable beds and well stocked kitchen. We also appreciated that parking was included, since its pretty expensive to find parking in downtown Wilmington.
The upstairs porch was such a great place to sit in the morning with a cup of coffee, and after dinner with a glass of wine. We loved our time there and wished we could’ve stayed longer."
2023-09-01,5,Stayed a few nights,What a great place. Wish we had more time to stay and relax.
2023-08-01,5,Stayed one night,"Marcia’s place was fantastic. Much larger than I expected. Beautifully kept, very clean and beautiful place. Very serene and quiet and close to downtown. Would definitely recommend."
2023-08-01,5,Stayed one night,"Awesome House Boat - Tyler Childers Concert!
What an awesome Friday Night at Adrift in Wilmington. We brought our boat up from Bald Head Island for The Tyler Childers concert at Live Oak Bank Pavillion. Summer's House Boat in Adrift @ The Cove was the perfect place for our Friday Evening of Fun. Very easy to book a slip @ Port City Marina very close to this wonderful house boat. Perfect for 2 couples to enjoy the Patio w a cocktail before & after the show. We made the short walk to Marina Grill for Dinner and down the Boardwalk to the Concert.
The house was beautifully decorated, the perfect size for our group, well furnished for breakfast the next morning and our host was wonderful and responsive to work with.
We will be back for any future events and will recommend to all our friends on BHI!"
2023-08-01,5,Stayed with kids,Marcia was great! She was very responsive and accommodating. We loved our stay and will definitely book again!! Thank you Marcia!!!!
2023-07-01,5,Stayed a few nights,My husband and I enjoyed our getaway at the cove. The house was very clean and convenient to walk or take a trolley ride around the city. We definitely want to visit again . Thanks for being such an awesome and responsive host.
2023-07-01,5,Stayed with kids,"Great place to stay in Wilmington, walkable to everything! unique experience on the water! Host was perfect and attentive. A little costly for the fourth but worth it for our needs!"
2023-06-01,3,Stayed a few nights,"The houseboat is beautiful. The AC had some issues and were fixed. However, the dead bugs were not ok. Apparently, that's something to expect near the water. It was a first time for us staying on a houseboat. One and Done for us"
2023-06-01,5,Stayed one night,We had a blast definitely would recommend
2023-06-01,5,Stayed a few nights,"This was one of my top rentals this year and there has been many since we are relocating to NC in the next few weeks. Marcia was such a great host, responded very quickly and answered all our questions. We flew in on a red eye and she allowed us to check in early which was wonderful and much needed. The place was beautifully decorated, very clean and had everything you could need. We loved the location because it was within walking distance to downtown shops and restaurants. The second-floor patio was the perfect touch to end the night overlooking the marina. Overall would highly recommend and we would love to stay here again! Thanks Marcia!!"
2024-06-01,5,Stayed a few nights,Ashley’s place was so nice! Peaceful environment and the place was so well decorated and maintained.
2024-06-01,5,Stayed a few nights,We truly enjoyed our stay and would recommend to our friends/family.
2024-06-01,5,Stayed a few nights,Beautiful place to stay!! Everything is just as described! Easy check in and out. Will definitely be back!!
2024-06-01,5,Stayed a few nights,"We will be back, but door locks need replacing."
2024-06-01,5,Stayed one night,It was great! Enjoyed the houseboat very much! The rooftop is great for entertaining a small group!
2024-06-01,5,Stayed a few nights,"Great Experience. Fun area with a variety of things to do. The place is adorable, and we were very comfortable!"
2024-06-01,5,Stayed a few nights,Great idea for air bnb please build a neighborhood in Richmond Va
2024-06-01,5,Stayed a few nights,"We absolutely enjoyed every minute of our stay here! Erin was extremely responsive and very helpful before, during and after our stay. The Delight was just as advertised, extremely clean and very welcoming. We will definitely be back! Highly recommend. Your stay will be “Delightful!”"
2024-06-01,5,Stayed a few nights,"Our stay was perfection! From the moment we arrived, we felt at-home & and relaxed. Our home was beautifully appointed and was stocked with all the basics for our stay. The home, local surroundings and recommendations for food and entertainment were just as described. We will definitely be booking additional stays with our host again!"
2024-06-01,5,Stayed a few nights,We had such a great stay at The Cove! It was a beautiful space and the host was very detailed in the instructions. Everything from check-in to check-out was smooth and easy. We will definitely be back!
2024-04-01,5,Stayed a few nights,"It was more than I expected, the amenities were outstandindeed. The restaurants that we did attend were great. The food was absolutely fabulous period I will be soon returning again. Just love the deck and the 2 blue swinging chairs."
