date,rating,note,review_text
2024-04-01,5,Stayed about a week,I really liked the location. The house was extremely clean and comfortable. Will stay again.
2024-04-01,5,Group trip,good clean house in a nice setting
2024-01-01,5,Stayed with kids,"The home was exactly as described. It’s located a peaceful, quiet setting. All the bedrooms had plenty of room and my kids enjoyed the game tables and toys that were provided. Great place for us to stay while visiting family. We will definitely return!"
2024-01-01,5,Stayed a few nights,Great location and beautiful accommodations.
2024-01-01,5,Stayed with kids,"We enjoyed our stay very much. We booked last minute due to a family emergency and this place did not disappoint. It was clean, nice and spacious and felt like home to us while we stayed with our children. Easy to book, easy to check in, and was comfortable. Thank you for a great stay, we’ll definitely book again."
2023-11-01,5,Stayed a few nights,"Love the four level layout, worked very well for storing all our gear. Good quiet area, ideal for our needs!. The third bathroom is a big plus."
2023-10-01,5,Stayed a few nights,"everything was how it was described, place was clean and very welcoming."
2023-09-01,4,Group trip,This place was really nice. It was very private and quiet. we enjoyed the amenities. Thank You
2023-08-01,5,Stayed about a week,This place was amazing! Beautiful kitchen...good size bedrooms...a very cozy living room with ample seating...a very nice dining room area to eat with the family...and a game room in the basement...the house was completely private as well with a beautifully well maintained lawn surrounding the entire house...great communication from host...would absolutely recommend and stay again!
2023-08-01,5,Stayed a few nights,"• Beautiful area
• Clean & safe
• Very private
• Well kept & nicely updated
• Highly recommend"
2023-07-01,5,Stayed a few nights,"Peaceful Comfy Homey
Perfectly sums it up!"
2023-05-01,5,Stayed over a week,Great place to stay for peace and quiet
2023-04-01,5,Stayed a few nights,Awesome place and even better host. Highly recommend to anyone. We will definitely be back :)
2023-04-01,5,Group trip,"Beautifully private, clean, and comfortable home. We enjoyed our stay!"
2023-03-01,4,Stayed with kids,"The house is very clean and cozy. Checkin was seamless. We never contacted the local host, but had clear instructions on how to do so. A few important house items were missing—propane and something to scrub dishes with, but they can be worked around, obviously. The basement games were a big plus with our 10yr old. We will definitely return on future visits."
2023-03-01,4,Group trip,everything was great the property was clean. everything we needed was there.
2023-02-01,5,Group trip,"I reserved the space for a remodeling crew that was working on my house for a week, they really enjoyed it."
2022-12-01,5,Stayed a few nights,"Terrific value! Clean, comfortable, and neat location. Highly recommend!"
2022-11-01,5,Group trip,"As advertised. Very peaceful and quiet. Close to everything you need, but far enough away from the hustle and bustle."
2022-11-01,5,Stayed about a week,"Our second stay here was as great as the first. Huge kudos to the property owner for being so incredibly accommodating. We also mentioned a few safety improvements after our stay last year, and all of them were addressed right away and ready for our stay this year. For a more detailed review, check out our review from 2021. We will be back again!"
2022-11-01,5,Group trip,"Quiet, clean , will stay there again!"
2022-10-01,5,Group trip,"We had a great stay here. The house was very clean, private, and the owners were very friendly. Highly recommended and we’ll be back!"
2022-10-01,5,Group trip,Great location and quiet atmosphere.
2022-10-01,5,Stayed a few nights,It couldn’t have been any better!
2022-09-01,5,Stayed with kids,Great private nature
2022-09-01,5,Group trip,The stay was perfect for a golf bachelor party. A little ways away but enough room to do whatever you want with privacy
2022-09-01,5,Stayed a few nights,Great house on a nice piece of land. Driveway is somewhat steep and gravel. Motorcycles beware! Ample parking area and great porches to hang out on. Fire pit is pretty cool as well.
2022-08-01,5,Stayed a few nights,"The Airbnb was exactly as advertised! Nice clean remote and comfy, I would book again!"
2022-07-01,5,Stayed with kids,"Hideway Haven was a great place for our multigenerational family while visiting Zanesville. We all enjoyed the quiet location, outside areas, and game room."
2022-07-01,5,Stayed about a week,This place was great a definite recommendation!
2022-06-01,5,Stayed over a week,Everything was perfect
2022-06-01,5,Stayed about a week,Fantastic all around
2022-05-01,5,Stayed over a week,"Clean, cozy, nice location near Zanesville. Quiet and I was able to get a lot of work done. Check in was super easy, internet fast."
2022-05-01,5,Stayed a few nights,Wonderful place! I can't wait to book again!
2022-05-01,5,Stayed with kids,Had a great stay. Really liked the private setting.
2022-04-01,5,Stayed with kids,We had a great stay! Thanks
2022-02-01,5,Stayed a few nights,"Beautiful, comfortable, and clean home! The property was gorgeous with the fresh snow. Everyone enjoyed playing foosball and the other games at the house. Much better than staying in a hotel. It felt like being at home. We’ll definitely rent again when coming to Zanesville."
2022-01-01,5,Stayed a few nights,"The host went above and beyond to make sure checking in and getting onto the property was a breeze, even with heavy snow falling. Excellent stay and communication, will definitely return."
2022-01-01,5,Group trip,
2021-11-01,4,Stayed with kids,"This Airbnb home was ideal for our family trip. There was ample space to spread out inside and to play outside. We stayed at the end of November, so when it snowed there was play space for kids inside. The home was well accomodated for preparing meals and doing laundry as needed. We'll definately consider coming back here again when we need another home away from home stay in the Zanesville/Dresden area."
2021-11-01,5,Stayed with kids,"Fabulous house and a great stay! Everything we needed and more. The owners were incredibly friendly, responsive, and accommodating, and they truly did a nice job renovating. I especially appreciated the minimalistic decor since we were traveling with a toddler. The split level design with a side entry into the basement area was incredibly convenient for us to come in and drop our gear and muddy shoes and had plenty of storage and space to spread out. Good water pressure in the showers. Washer and dryer available. Comfortable beds. Warm, clean, comfortable carpet. Linens and towels available, but perhaps bring your own blanket and extra pillows. I picked up a blanket at Walmart in town. Be aware if you're sensitive to dry heat from forced air, you may want to bring a humidifier. Luckily we had one that we shared with our toddler, but you could also pick one up at Walmart. Lovely yard and fire pit. Great midwestern sunset skies. If you've never been to Zanesville, keep in mind this is a remote area, so although convenience stores like Walmart and restaurants are within driving distance (about 15-20 min), you can't just run down to the corner store if you need something quick, so gather what you need in town while you're there. Also there is no cell service at the house, but great WiFi so that your phone will work fine once you connect. We brought two baby gates for the stairs. It would be great if the owner could invest in a couple inexpensive ones so that guests don't have to travel with them. A minor safety concern was addressed with the owner, and he responded promptly to address it right away. Also, many thanks to the owner for offering us an early check-in which helped us to flex our travel plans to best suit our toddler on a long drive. Wish we could have stayed longer, but we will be back next year!"
2021-10-01,3,Stayed a few nights,"Upon first arrival, we were provided the incorrect code. Thankfully, I was able to get in touch with the on-site contact to get the correct code. It was gauge inconvenience and I had no cell service at the house. When we finally got in, it was not clean. It’s surprising that it wasn’t clean since check-in was at 1 and we got in at 5. We got ahold of the host and explained our issue. The host did make it right. They drove down cleaned and made the beds within 1-1 1/2 hours cleaning. They did provide plastic plates/bowls/cups for our stay. That was a nice touch so we didn’t have to clean anything. However, none of the heavy bedding was cleaned and on the bed. Very disappointing to deal with this during a pandemic."
2021-10-01,4,Group trip,Great spot
2021-10-01,5,Stayed a few nights,What a great property for our girls weekend retreat! We really enjoyed the cleanliness of the property and watching the sun on the trees and the bluebirds and bunnies from the front porch.
2021-09-01,5,Group trip,"The best Airbnb we have stayed in yet! This house was beautiful and so was the land behind it. Fully stocked on necessities, cleaning products, towels, etc. Even had air hockey, foos ball, corn hole, and more. 10/10. Will be back next year!"
2021-09-01,5,Group trip,"clean, accurate description, would definitely stay again"
2021-09-01,5,Stayed with kids,This is a fabulous house !!!
2021-08-01,5,Group trip,Great stay on a newly renovated home. Loved the outdoor country feel and location!
2021-07-01,5,Group trip,Great place! Very happy with my weekend experience
2021-07-01,4,Group trip,"Cute house in the woods. This house was as described, clean and cute. Lots of bunnies and birds around the house and saw all sorts of wildlife on the drive there, deer, fox, raccoons, etc. It is definitely out in the woods on gravel drive with few houses around so while it’s quiet it is definitely outside of the suburbs and a bit of a hike to town so bring what you need like coffee/creamer etc. My only concern which others should be aware of is a slight smell of cigarette smoke. I assume this is from previous owners so in the walls of the house and certainly not on any bedding or furniture, as I said it’s very clean, but it is there for those of us who are sensitive to smells be aware. My dad could not smell it but me and my sister who have mild allergies did notice it. Otherwise all was as stated, we never needed to bother the manager. No cable but access to all apps with a Smart TV and WiFi worked fine. Gameroom in basement was fun and great for kids. Tip: Donald’s Donuts was great stop for breakfast."
2021-06-01,4,Stayed a few nights,Awesome location! Enjoyed the views and seclusion. Layout is a challenge for anyone not able to do stairs easily no bathrooms on the main floor. Minimalist decor was nice and uncluttered. Watch for the nightly visits by the raccoons!
2021-05-01,5,Stayed a few nights,The property is very remote and quiet. We really enjoyed the big yard and fire pit. The house is finished well and had plenty of room for us to sleep. What a relaxing time!
2021-04-01,5,Group trip,"Exactly as advertised! Perfect get away spot, secluded property with a fire pit (not sure if the fire pit was listed). The house was very clean and the communication between the rental company was great. We will definitelybe going back sometime!"
2021-04-01,5,Stayed a few nights,Beautiful home that is tucked away from the hustle and bustle of city life. We will definitely be back for our next fishing trip.
2021-04-01,5,Stayed with kids,"Wow! This was a beautiful house and at a wonderful location too. Compact house with full of all amenities you can think of and even more. Loved the cleanliness and little details make the feel of house very urban. We all loved it, specially the available foosball and other games. Beautiful patio and lots of sun. Very well maintained property. Host Raymond was super-responsive and accommodating too. Will definitely come back."
2021-03-01,5,Stayed with kids,Very clean. Had everything we needed and more. We would definitely stay again when in town.
2021-03-01,5,Group trip,Perfect cozy hideaway to unwind at after a long day of hiking.
2021-02-01,5,Stayed with kids,Very clean and comfortable home. Plenty of space for our family. Very kid friendly! Would highly recommend it. Close to amenities while still be in the country and having some space to yourself. Owner was very quick to reply with questions or concerns we had.
2021-02-01,5,Stayed with kids,"We loved how this place was a bit more secluded, it made for a quiet experience. The place was clean and our kids enjoyed the Fussball table and we liked having access to a washer/dryer during our stay. We were there with lots of snow/ice, we would love to see it in the summer. Communication was great via text and Raymond was very accommodating to any needs/questions we had. I suggest bringing your own food to cook in the kitchen. Downtown and grocery stores were about 19 minutes away and easy to find. I would recommend staying here if you are looking for a getaway or staying in the area. 5 ⭐️’s!"
2021-01-01,5,Stayed a few nights,Great stay! Would highly recommend!
2020-11-01,5,Stayed with kids,"It was a perfect home for our holiday getaway. Since we have young kids, we loved that the house was tidy and free of unnecessary clutter and furniture. It was extremely clean and the owners supplied all the essentials + more. The home is located on the outskirts of the city and is a perfect getaway from the hustle and bustle of city life. We were extremely pleased with our stay and would rebook in a heartbeat! I would recommend this home to anyone looking for a place to stay in this area."
2020-11-01,4,Stayed a few nights,Great place
2020-10-01,5,Stayed a few nights,"The house was great. Very clean. If you’re looking for a place to get away from people, this is a great spot. No neighbors could be seen, only heard a distant lawnmower. We appreciated the personal touches. We even enjoyed sitting out on the back deck watching the family of blue jays that were hanging out in the yard. Would definitely stay here again."
2024-06-01,4,Stayed one night,"The Kabin was such a nice, relaxing place to stay after a busy day of The Wilds and running around. We had everything we needed and then some. Our trip was very low key and the Kabin fit the vibe entirely. If I'm ever in the area again, I would definitely check Mark's availability."
2024-06-01,5,Stayed one night,"Interesting place, great host!"
2024-06-01,5,Stayed one night,"This was the most unique stay we have ever experienced.... In addition to being one of the most peaceful and comfortable stays, it was inviting and thoughtfully decorated as well. The outdoor setting was also a big bonus.
My wife and I would love a return visit anytime we are in the area."
2024-06-01,5,Stayed one night,"Fantastic spot, really recommend it."
2024-06-01,3,Stayed with kids,"This silo is clean, spacious and a short drive to the Columbus Zoo and The Wilds. A very unique experience staying in a structure that housed grain in a beautiful outdoor setting. However, it was difficult to rest peacefully at night with only the two french doors as a possible escape in the event of fire. Having just experienced a house fire in our family and being accompanied on this trip by a lifetime firefighter we were concerned with the lack of windows in the silo, especially to provide an escape from the second floor. After a search we were only able to locate one smoke detector on the first floor. Windows and additional smoke detectors would make this stay fantastic."
2024-06-01,5,Stayed one night,"This property was amazingly unique!! I was on the phone with my husband when he arrived and he just kept saying wow, how cool, this place rocks!! It was a convenient stopover from the interstate he was traveling. He loved it! As antique fanatics, we so appreciate the repurposing of a symbol of American farmland."
2024-06-01,5,Stayed one night,very clean and peaceful
2024-04-01,5,Stayed one night,"As my boyfriend said this place is ""cute as a button"". It's quiet, immaculate, and so much bigger than you think! So peaceful just sitting on the porch listening to the birds. I loved it so much I want one! Would definitely stay here again!"
2024-04-01,5,Stayed one night,"uniquely contemporary for the unusual agricultural vernacular architecture. very comfortable beds. pristinely clean. being located in a remote country setting, it is very quiet and restful. highly recommended!"
2024-04-01,4,Stayed a few nights,Neat experience staying in a converted silo. Enjoyed the peace and quiet that Mark's place provided.
2024-04-01,5,Stayed one night,Definitely would stay again. Loved the decor inside and the quiet atmosphere outside. The little stream and waterfall were an extra bonus. We didn’t get use the grill or fire pit. Weran out of time but it was neat that they were available. Really cool way to reuse a grain silo. Very clean and well stocked. Thanks for the great weekend.
2024-04-01,5,Stayed one night,we had a great time in the silo looking forward to next visit
2024-04-01,5,Group trip,"Beautiful home, beautiful surroundings. I throughly enjoyed the stay. The home was cozy yet felt spacious. While the yard and surrounding nature created a beautiful morning walk. Would definitely stay here again!"
2024-04-01,5,Stayed with kids,"We sure enjoyed our stay here! my boys had a great time playing outside, and each had so much space inside.
If we find ourselves in need of a getaway, we'll definitely be back!"
2024-03-01,5,Stayed with kids,Amazing!
2024-03-01,5,Stayed a few nights,Mark’s place was one of the coolest airbnbs we have ever stayed at. Everything was neat and clean. We were in the area for our son to attend Donnie Morans driving school. The Silo is very private and just all around a super neat place to stay! If we are ever back in the area we will definitely stay again!
2024-03-01,5,Stayed one night,What a unique and wonderful experience staying here! It was a stopover for us on our way from Indianapolis to Pittsburgh. Great directions and rural feel but just outside Zanesville so it was easy to pop into town for supper!
2024-03-01,5,Stayed one night,"Loved this unique place. My wife, daughter, and I would love to stay again if we find ourselves in the area."
2024-03-01,5,Stayed one night,Highly recommend this spot.
2024-03-01,5,Stayed one night,"Very nice place that is quiet and peaceful.
The outside space is beautiful, I wish the weather had been warmer so I could have sat outside."
2024-03-01,5,Stayed one night,"Stay was great - inside was clean, plenty of amenities. Unique house!"
2024-03-01,5,Stayed one night,We had a wonderful stay at the Kabin! Very quiet and peaceful. We would definitely stay again!!
2024-03-01,5,Stayed one night,We didn't stay long but our brief stay was very nice. The space was well stocked with the basic necessities.
2024-03-01,5,Stayed one night,Amazing.
2024-03-01,5,Group trip,Mark was an excellent host. Place was perfect
2024-03-01,5,Stayed one night,amazing place! please stay here!
2024-03-01,5,Stayed a few nights,This place worked out very nicely for us.
2024-02-01,5,Group trip,Very unique place! Very clean and comfortable.
2024-02-01,5,Stayed one night,"Was a great find, we stayed for the night during a college visit. Cabin was great, super clean and spacious. Communication was fantastic from the booking all through the stay. Perfect instructions and directions. Pictures do no justice for the scenery and views simply beautiful setting. Would highly recommend. We had gotten stuck in the snow on a hill and Mark was willing to come out and help get us moved. Truly super helpful and accomodating."
2024-02-01,4,Stayed a few nights,Very neat grain bin turned into house. Everything you need from the kitchen to washing your clothes before you leave. Within 15 mins or less to get groceries or to go shopping.
2024-02-01,5,Stayed one night,"Unique, well-stocked and super clean! A wonderful Airbnb that we’d definitely stay at again if we are in the area!!"
2024-02-01,5,Stayed a few nights,Wonderful place to stay at
2024-02-01,5,Stayed one night,The Kabin was great! Nice and relaxing place after working can’t wait to bring the family for a trip!
2024-02-01,5,Stayed one night,Felt like home!
2024-01-01,5,Stayed a few nights,"My 80 yr old mom, my sister, and I enjoyed our first Wild Women Weekend at Mark & Deb's amazing converted silo. It was the perfect spot to reconnect, share meals, laugh, love, and regenerate. The Airbnb description was spot on. The Silo was unique and well-designed. I highly recommend this location if you need a spot to just ""be"" and find a connection to nature. Thank you Mark and Deb for this life-giving experience."
2024-01-01,5,Stayed a few nights,Totally enjoyed our stay. Probably would have better at the current price since so much is closed in the winter.
2024-01-01,5,Stayed a few nights,Wonderful place! It is such a neat and different Airbnb. Hosts were great to work with and had wonderful communication. We arrived to Christmas lights on the outside and a Christmas tree lit up on the inside. Made it feel like home and feel very welcoming. We hope to return the next time we're in Zanesville.
2023-12-01,5,Stayed a few nights,"Staying in the silo is always wonderful. It's quiet and when it rains, the sound of rain is soothing. It is always clean and ready for the next guest. They are very responsive hosts as well."
2023-12-01,4,Stayed one night,"Place is just as described—we did have a little trouble seeing it in the dark as it is a little bit downhill and off the road and it’s very dark.
Well-stocked, clean, and quiet.
We had no cell service there and Wi-Fi was adequate for browsing.
This is perfect if you’re trying to unplug and have quiet. State park is right out of the backyard and very easy access"
2023-12-01,5,Stayed with kids,We stayed one night en route to Louisville. We had everything we needed and much more than I even expected. The cabin was clean and comfortable and very unique. We loved the serenity of the location even though it was only a few minutes off the highway. We will definitely stay again if we are in the area. Mark was very helpful and responded to all my questions immediately. Great place to stay!
2023-12-01,5,Stayed one night,"We enjoyed our overnight stay in the silo house, it looks much bigger once you're inside, we were quite impressed with everything! Only regret is that we didn't book 2 nights instead of just one!"
2023-12-01,5,Stayed one night,"Great, cozy place to stay. Very clean and spacious. Highly recommended."
2023-12-01,5,Stayed a few nights,Mark is an amazing host with an amazing property. I will be back.!
2023-12-01,5,Stayed one night,Great spot!
2023-11-01,5,Stayed a few nights,Fun place to stay!
2023-10-01,5,Stayed with kids,Wonderful stay at a fun location! Peaceful surroundings and fun family stay!
2023-10-01,5,Stayed one night,"We spent a night in the Silo and had a great time. What a unique space! The instructions were super clear and the silo was pristine. Loved the upstairs lounge, and the stocked fridge! I am definitely coming back here next year, it's worth the trip just for this hidden gem. Thank you Mark and Deb!"
2023-10-01,5,Stayed a few nights,"Attended an art retreat at Girl Upcycled Studio in downtown Zanesville and it is the perfect place for some of us to stay. This was our second year and look forward to come back next year.
Mark and Debbi are great hosts. Thank you once again for making our stay great!
Judy Hogan"
2023-10-01,5,Stayed a few nights,Mark gave me great instructions to find the place. I couldn`t ask for a better stay. He was helpful and reaponsive to my questions. I would definintly recomend and stay again!
2023-10-01,5,Stayed with kids,"Everything we could have needed! Loved our stay. My only issue was the internet which they mentioned was Hughes Net. This was a personal thing and I thought I could work a bit, but service was very slow BUT not their fault. Just saying this with the world of remote working, to let others know. Plan to come and check out from Wi-Fi and enjoy the fresh air and the company with you. Would totally come back when I can leave the work laptop behind."
2023-10-01,5,Stayed a few nights,Loved our stay! Super spacious and cozy at the same time.
2023-09-01,5,Stayed a few nights,This has been one of the coolest places I have had the pleasure of staying. So innovative and it has SO much room. I thoroughly enjoyed my stay here. It was also so close to the legend valley Venue to Lost Lands. I would definitely stay here again given the opportunity! Thanks again Mark and Deb
2023-09-01,5,Stayed a few nights,"We loved our stay. The only thing was with 4 of use staying there was enough towels and wash cloths for 2 days, but other then that the place was amazing.. I will be spreading the word about the place."
2023-09-01,5,Stayed one night,"Great place. Will be coming back
The location is peaceful and very beautiful."
2023-09-01,5,Stayed one night,"I was skeptical about staying in a silo, but I was very pleasantly surprised. The place was very clean and cozy. I really enjoyed the fire pit and the front porch. I will stay here again for another trip to Nethers Farm."
2023-09-01,5,Stayed one night,"Totally Awesome silo,"
2023-09-01,5,Stayed with kids,Unique space- so fun to stay in and I was pleasantly surprised with how nice the interior was! My kids enjoyed the fun game room area upstairs.
2023-08-01,5,Stayed one night,So peaceful and beautiful! We will stay again! The host was very responsive as we were just going through Ohio! I wish we could have stayed longer!!
2023-08-01,5,Stayed a few nights,We love staying here and will stay as much as possible.
2023-08-01,5,Stayed one night,"This converted silo is truly unique. If you're looking for a quiet, peaceful, well-appointed place away from it all, this is it. Plenty of space indoors and out for our family of four. We enjoyed the foosball and pool tables. Mark is an excellent host who communicates everything clearly and is very responsive."
2023-08-01,5,Stayed a few nights,"We are repeat visitors and LOVE this spot! It is EVERYTHING we need when we visit Ohio and relatives close by. We appreciate Mark’s attention to detail for his guests. The location is so pleasant and peaceful! We even saw a piebald deer in front of the cabin…. a first for us!
Many thanks for sharing your terrific space with us!"
2023-08-01,5,Stayed one night,"The Silo! This was our second time there; a one-night stopover on our way back home. Was a delight -- again! Comfortable beds, well-stocked kitchen, comfy hang out areas. Thank you Mark & Debbie, for providing such a unique and creative place!"
2023-08-01,5,Stayed a few nights,"Mark's Unique Kabin is exactly that, unique! Whether your party is large or small, likes nature or would rather shop & see the sites, you will be comfortable and have fun! The cabin is quiet, spacious, clean, & well stocked (from bedding to spices & cooking staples, to dishes & cookware, to info on local eateries, stores, & sites). Mark was very helpful and quick to respond to our questions. A few 'extras' we enjoyed were the pool table, the fire ring (Bring wood if you want to use it!), and gas grill. For nature lovers, you are practically in Dillon State Park. A barred owl sat right above us one night - very cool! Zanesville and Newark offer many sites & shops.
2 things to know - if you have more than 2 vehicles, there is not a lot of parking space. If you have small children, next to the parking area, there is a drop off in the woods to a creek below - very pretty, but be cautious.
My husband & I had a wonderful time & hope to return!"
2023-08-01,5,Stayed one night,"What a great place! So creative! Silo living at its finest!
We even got a chance to chat with Mark on the phone; he was very helpful and suggested many local restaurants. Just what we needed for an overnight stay.
We’ll be back soon!"
2023-08-01,5,Stayed a few nights,Was amazing what you see is what you get! Would never in a million years think the inside of a grain silo would look as amazing as this! Mark was awesome me and 3 co workers stayed for out of town felt at home at the house if needed anything which didn’t or when he questsion mark was fast to reply plan to rent it again next week something it doesn’t show in photos and should is has washer and dryer also to use while their
2023-08-01,5,Stayed a few nights,Very clean and comfortable. Beautiful setting and house was decorated beautifully. Lots of room to spread out. Highly recommend.
2023-08-01,5,Stayed with kids,We enjoyed our stay at Mark's cabin. The house is very unique and our son loved the experience of sleeping in a silo! The house was perfect for our four night stay and convenient to The Wilds and Dillon State Park!
