name,rating_info,review_text
Scott,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Really lovely, peaceful stay. Such a pleasant space, super comfortable bed. Looking forward to staying again!"
Carole,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","We arrived late, but felt right at home. The place was very clean and spacious. Absolutely recommended!"
Diane,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Sully's Sanctuary is a great getaway place when visiting the Oregon Coast! Centrally located in a neighborhood that reflects the small town charm of North Bend and Coos Bay, it's an ideal base camp for exploring the many parks and beaches along Hwy 101 or the many shops in the various coastal towns. Everything was as described and is ideal for couples or solo travelers. Hostess with the Mostest Shannyn was very responsive and helpful with questions, so feel free to ask her for ideas. Two thumbs up!"
Judy,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",We will definitely stay here again the next time we are through the area! So clean and very comfortable! Shannyn was so nice and responded to every question we had in a timely manner. We highly recommend Sully’s Sanctuary!
Becky,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Beautiful, peaceful, well-maintained. Was close to our destination. Loved the decor. Highly recommend! Thanks for a wonderful visit."
Emma,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","We loved it here, terrific for the price and so spacious. Helpful print outs all over the place and even a guide for town."
Shawn,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Very cute place.
Penny,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","This was a beautiful place to stay. It was so cozy, even with the chilly weather we had during our stay. I would recommend staying here while visiting North Bend. We were impressed with the size of the place and how beautifully it was decorated and welcoming."
Aniket,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","our experience was perfect. The place was very clean, lot of small decor items that Shannyn has put together makes this home beautiful. I would definitely come back if I am here."
Anisha,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Great place to stay for a short trip! Host was very helpful and responsive. The place was very neat and cozy.
Ron,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Even better the second time! She added a heat pump for the guests making it easy to heat. She always treats you like family.
Highly recommend!"
Michael,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Very nice place and a lot bigger than we thought it would be. The information book was very thorough with all the information a person could want or need. We like th original decorating touches and the variety of organic/plant based soaps. It was super clean and very comfortable. Also the welcome from Shannyn and Dexter (the dog) was great.
Kathy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Lovely decor, very clean and quiet. Perfect to come back too after the festivities. Would love to stay there again."
Cheri,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","My favorite Air BnB to date! Shannyn was flexible and responsive. The place was super clean, comfortable, and had a lot of little touches to make it feel like home. Can’t wait to come back!"
Garrett,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Very spacious, comfortable and private living areas. Met all my needs for a short trip and was only minutes drive from the maritime school. Restaurants were not far and a casino is with in walking distance if that’s your kind of thing. Cleaner than you’d get at a hotel. Will be coming back for sure!"
Heather,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",the space was absolutely gorgeous and I felt so relaxed being inside I can't wait to stay there again!
Meliss,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",What a great little gem of a find for North Bend! Very spacious and comfortable! Very clean bathroom and nice white linens. Decorated artfully but simply. Comfortable bed and great lighting! Very cozy! Will definitely stay again!
Denise,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week","What a lovely place and a lovely stay! There were so many thoughtful details and beautifully decorated. It was very comfortable and quiet. It’s also close to shopping and restaurants. I would stay there again. Thank you, Shannyn!"
Connie,"Rating, 4 stars
,
·
November 2023
,
·
Stayed a few nights","It was perfect for my stay. Nice amenities included bottles of filtered water, a diffuser with oils, a couple of chocolates, shampoo and soap in the bathroom and more. I don't drink coffee or tea, so hot chocolate would have been a nice addition to the selection. It was a nice place to stay for a few days. Bed was harder than I like to sleep on but everything else was lovely. Host was also very easy to communicate with!"
Bradley W,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great value. Plan on staying here again.
Paul,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Shannyn's place was welcoming, immaculate, charming, fully equipped and likable not only by us but also by our local friends! We are also looking forward to a return visit in the not too distant future."
Matt,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Great stay- walking distance to the casino. The suite was much more spacious than I imagined.
John,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Always, always the best. Perfect, clean, easy and convenient, great host!"
Diane,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Lots of little details to help make the stay comfortable. Great value for the price. Will stay again.
Heather,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","We really enjoyed our stay at Shannon’s place. It was clean and very comfortable, and the bathroom is huge! Loved all the little touches. Highly recommend."
Scott,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Very very nice for a short one night stay. If kitchen has a sink then can stay multiple nights. Every piece of furniture and decoration is very thoughtful Bathroom is very nice. Comfort stay. Would stay here again and would recommend.
Kelsey,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",This was an absolutely adorable place to stay. I can't recommend it enough. Shannyn made it feel so homely and even thought to leave out filtered water and stock the mini fridge with milk to make coffee in the morning
Cristina,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",A very peaceful and spacious place to stay. Loved the faux fireplace and the garden. Thank you for sharing your home!
Ken,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","The unit was very spacious with a large bathroom, sleeping area and kitchen with plenty of room to sit and eat meals. The kitchen was well-stocked with coffee, creamer, dishes/silverware and some spices as well as a small refrigerator. The unit is tucked off of the street with a private parking area and was very quiet, which is a must for a light sleeper like me. The owner was very responsive and allowed us to drop our luggage off prior to the cleaners being finished. I would definitely stay here again."
Terri,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",We had the best stay at Shannyn’s place. The sanctuary was an absolute delight! Beautiful classy ocean themed decor with an eye for detail. Comfortable bed with quality linens. Hospitality was on point with high quality earth safe products. The suite felt brand new and smelled heavenly. Friendly communications. Shannyn didn’t miss a thing! We loved this place and would surely stay again.
Vera,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Great cozy place for a couple!
Mayme,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Beautiful little place, clean, quiet and relaxing. The coffee was great!"
Sandra,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","We enjoyed our short stay at Shannyn's private cottage in North Bend. Spotless, comfortable, quiet. Many thoughtful touches throughout. Can definitely recommend and would stay again."
Caroline,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Shannyn’s place was beyond our expectations, which were pretty high based on the listing. Pictures in the listing don’t do the space justice. Extremely comfortable, inviting and peaceful. Every detail thought of. We loved the decor. I would definitely recommend staying here if in the area."
Jessica,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Loved our stay here. Very clean and well maintained. Had everything we needed and more. Shannyn really goes above and beyond to make sure you are taken care of. Would definitely recommend.
Ashley,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Had a great stay at Shannyn. It was a long day of driving and it was nice to have a quiet evening to rest and energize!
Morgan,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Shannyn's place was just perfect and I wish we could've stayed longer. I've stayed at dozens of AirBnb's and Shannyn's was one of my favorites. Her home is so cozy, comfortable, and has so many thoughtful little touches that made us feel right at home. You can tell she cares about her space and has gone above and beyond for her guests. Thanks so much for hosting!"
Oz,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","Shannyns place was perfect after a six hour drive. Nice and clean, spacious, and great amenities. Will definitely stay again if I’m in the area."
Jacqueline,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",We truly enjoyed our stay! Beautiful place with all the right touches.
Matthew,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",So nice and private. Super clean and comfortable.
Alicia,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","The place was so cozy, warm and inviting and had such great vibes. I had a great stay and would definitely recommend to others! :)"
Michelle,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Shannyn’s space was the cleanest AirBNB I’ve ever been to. Super clean, great amenities; coffee, milk, creamer, sugar, filtered water, chocolate and more! Uncluttered and well appointed. A super-comfortable and relaxing space to relax after exploring the local state parks, hiking trails and restaurants. Highly recommend!"
Tia,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",One of our favorite Airbnb's so far! Highly recommended! Felt like we were staying at a nice little private resort!
Kim,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Our brief overnight was very comfortable. The space was decorated nicely and everything very clean. Loved her flower garden outside.
Melinda,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","We just had one night at Shannon‘s Place, but if we had more time, we would have loved to stay longer.
So a cute small house and so lovely. We felt completely comfortable.
Next time, when I am in this area, I would definitely come back again.
Thanks a lot."
Beth,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","Shannyn has thought of everything to make your stay comfy, connected, cozy, and easy. Totally recommend her place."
Dani,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","Super clean, safe, and cute space! You can tell Shannyn takes a lot of pride in her offering and there’s so many thoughtful details."
Monique,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Thank you
Christopher,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Shannyn’s sully’s sanctuary was a joy to stay at. Everything down to the minute details made our stay that much enjoyable. Everything you can think of she provided. Would definitely recommend and if we are ever in the area again we will be booking our next stay there. A++
Ron,"Rating, 4 stars
,
·
July 2023
,
·
Stayed a few nights","Shannon’s place was nice sized, comfortable, very clean and well maintained and private. We enjoyed the many variety of birds singing. She checked to see how we were doing and if we had enough supplies. Easy access to stores, restaurants, parks, hiking, beaches and Shore Acres gardens is 20 minutes. We were thankful to find a place that I didn’t worry about my allergies to cats and dogs. Thank you again. Ron and Tamara B"
