name,rating_info,review_text
Lauren,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed a few nights",Had a wonderful stay at this cute little cottage conveniently located right behind the WCU campus! Would definitely love to stay again!
Chris,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed one night",This place was perfect! Well appointed and private and very close to WCU. I ran into a car situation and the host's husband went above and beyond in helping. Five stars across the board! My son will go to WCU next year and I will be looking to book here whenever I visit!
Jan Bridwell,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Just perfect! Clean, quiet and convenient to WCU."
Lisa,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Lovely, well-appointed cottage with beautiful decor! The host was responsive , accommodating, and the attention to detail elevates the experience. I look forward to returning!"
Barrett,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",I had a wonderful experience and would happily recommend to anyone visiting the area. Thank you Cyndy for your hospitality and the space is well appointed. Every detail has been thought of and the location is extremely convenient. Thanks again!
Jara,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Such a cute place to stay! Well furnished and decorated. Perfect size for 1-2 people. Clear instructions on how to get there.
Sarah,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","This little cottage was the perfect size for two people! It was very clean, organized and well kept."
Eric,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","This is probably the cutest airbnb I’ve stayed in! Super comfortable space with anything you could need includings snacks, towels, netflix, etc.!"
Jason,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Catamount Cottage was a perfect place to come and rest after a day of moving and unpacking my son. The porch is perfect for relaxing. Everything in the cottage is so welcoming. It is literally right behind WCU campus making it a great a place to stay when visiting.
Tracee,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Such a great hidden Gem! The cottage was a great place to stay while moving my daughter out of WCU. Bonus is that it is very close to campus. The cottage has everything you may need for your stay and it is very peaceful, clean and cute! Cyndy was very responsive to any questions that I had. I really enjoyed the stay."
Kim,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Delightful!
Katherine,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Having retired from the hospitality industry after 35 years, when I walk into this lodging location, it completely exceeded my expectation.
To impress me is very difficult, however the cleanliness, and the amount of detail did just that . I enjoyed the tin roof during the rain storm and the fireplace was very relaxing.
I can’t rave enough about this location."
Shelia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Perfect spot, we were so pleased with everything! The whole place is so well designed, comfortable, and accommodating! Hope to return, upon my daughter’s acceptance at WCU! 💜"
Isaac,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Absolutely wonderful stay! My girlfriend immediately fell in live with the decor and has taken inspiration from it!
Melissa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The tiny house was beautiful and peaceful! The information about the location was 100% accurate. Everything one could possibly need for an overnight stay was available. The location is extremely close to WCU which was great for visiting the campus. I will definitely stay again when I am in the western NC area!
Cyrene,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This AIRBNB was absolutely perfect for our weekend getaway. Very peaceful location! The AIRBNB was stocked with snacks, water, tea and coffee, and had such a charm! Spotless and perfectly matched the photos. Right off one of the main roads in Stlva and a quick 15 min drive to downtown Sylva. Will definitely stay here again!"
Gabrielle,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Perfectly located for a single person needing a close spot by Western. Cozy and well equipped with everything for a short stay.
Megan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",I was visiting my sister at WCU and it was the perfect location. Loved how cute and comfortable it was.
Abrielle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This tiny home has everything you could want in a full-size Airbnb! Cyndy has thought of everything to make this little space feel more than enough. Full kitchen, the sink faucet has a light when the water is on, extra sink surface in the bathroom, plenty of towels, all of the bath soaps, lotion, comfortable bed, smart Roku TV, cute outdoor patio, Kurig, Brita, coffee cups and snacks. The driveway was a little steep for us, haha! But Cyndy provided clear directions ahead of time so we would know what to expect. Definitely recommend this tiny home if you need a place to sleep while you’re out-and-about in the area!"
Whitney,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Convenient location close to campus. Very enjoyable and comfortable stay!
Kim,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Great place to stay, very comfortable, very cozy."
Christina,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Perfect and cute place to stay! Everything was so clean and very well decorated. Absolutely loved our stay and would recommend.
Erin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week",Great location and cute little cottage. Amenities and linens were amazing. Look forward to coming back.
Brittany,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The cabin was a lovely retreat, and the host was thoughtful and very responsive."
Cristal,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed with a pet",We thoroughly enjoyed our stay. Erik’s place was perfect for us and we look forward to staying again!
Alan,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed with a pet","Had a lovely stay in Sylva, good access to all the fun spots"
Kelly,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","I absolutely cannot wait to stay here again! I loved everything about this adorable cabin. Very clean, comfortable, and everything you could need is provided. Thanks for being great hosts!"
Journey,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","This loft style house is only a few minutes from town and the perfect stay for me, as I was attending a wedding at Bear Creek Lake for the weekend. The house is older but if you’re like me using Airbnb to find a home away from home then this stay is great. The house itself was clean and tidy and Erik was a responsive and proactive host. I appreciated having a washer and dryer available after going hiking in the area."
Leeann,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Erik was very responsive to everything ! Had a great stay everything was clean and fresh and new would give an overall 10 star review for everything!!! Thank you Erik for such a wonderful stay!
Jakob,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Great place! Driveway is a bit steep though
Mary,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet",Perfect for the price and more than we expected!
Tasha,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",It was right next to everything. Beautiful porch. Loved the atmosphere. Clean and smells like mountains.
Justus,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",All in all me and my girlfriend had a great time and we absolutely loved everything about our stay.
Monika,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Very comfortable and welcoming home. The kitchen was fully stocked and I really appreciated the washer and dryer. Erik was super responsive and friendly.
Israel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Had a very pleasant stay at Erik’s place. The cabin had everything for a comfortable stay, from kitchen to bedding and all in between. Convenient location and a friendly host. Hope to be back in the future!"
Danielle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Thank you !
Linda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",We had a lovely time staying at Erik’s. It was quite close to “downtown” Sylva with restaurants and grocery stores and a 25 min drive to Cherokee where we were attending a concert. Erik was friendly and easy to communicate with and the place was clean and comfortable with a comfy king size bed.
Daniel,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Erik’s place is a wonder place to stay if you are looking to venture out to the Sylva/Dillsboro/Waynesville area. Erik is a very helpful and responsive host and I’d definitely recommend this place to others!
Lauren,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Extremely convenient to Sylvia and the surrounding area. Appreciate the comfy king size bed and extra touches to make it feel like home.
Anne Marie,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet",Loved our stay at this cozy cabin! Erik was an outstanding host from all the helpful communication to having such a well stocked home with everything we would need. Super clean and comfortable accommodations. Will definitely book again!
Brenda,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Very close to WCU. Easy to find. Very cozy. The kitchen was well stocked with cooking utensils, dishes, pans, etc. Very comfortable sofas for hanging out in the living room. We brought our own games, but it looked like there were some provided, as well. Very comfortable bed and sofa. Close to some nice hiking and walking trails and close to Cullowhee and Sylva."
Megan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",This little cabin is so cozy and perfect for getaways in the mountains. Erik is so kind and the place is just beautiful. He even made sure some lights were on since we’d be getting in after dark.
Heather,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Erik's place was very clean and comfortable! He was responsive and helpful for the checking in process (I didn't need him for anything else-all was taken care of). We were visiting our son who attends WCU. We would love to stay here again when we visit as it's very close to campus/his apartment. We went out to eat some, but did have a few meals at the house and had what we needed to cook with-even had a great selection of spices. It was nicely decorated and had extra space heaters. I'm very cold natured, so I appreciated being able to pull a heater close while we watched TV at night! Thanks for the great place Erik!"
Laura,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Nice location, very close to Western Carolina University. The cabin is tidy and a fun place to stay. The temperature was a bit tricky to regulate but there was an additional heater
and fans to help out. The driveway was also tricky to negotiate but Erik was kind enough to make sure the outside lights were on for our arrival."
Jennifer,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet",Erik’s place was awesome for the weekend we stayed. It felt very spacious for a tiny home and it was beautifully decorated with Christmas decor and indoor lighting which made it feel special. He was super helpful and left lights on for us because he knew we were arriving late. The place was super spacious and had everything we needed and then some. It is just a short drive to downtown Sylva and a little ways further to the Smoky Mountains.
Hannah,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",We loved this place! Very clean and comfortable tiny house that was perfect for our visit to the Great Smoky Mountains National Park
Madelynn,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week",Erik was very friendly and had some wonderful suggestions for activities in the area. The space was adorable and we loved all the tasteful Christmas decorations. It was the perfect little mountain getaway!
Daryl,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Cozy little cabin, perfect location for access to WCU as it's less than a 5 minute drive. The host Erik was quick to respond from time of the booking and making sure everything went well upon arrival. Check out was also a breeze. Will definitely be staying again when we return to the area."
Taylor,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week","Can’t say enough good things about our stay at Erik’s place! He was a wonderful host and was very responsive! He even decorated for Christmas 💕
His home is quiet and conveniently nestled within a short distance to downtown Sylva! His location is the perfect spot for a peaceful getaway!
Erik made sure that his house is fully stocked, with most every necessity! Right down to the bathroom spray 😊"
David,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",Erik was so easy to communicate with and the cabin is very nice and comfortable.
Dawn,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Cozy, comfortable, and very clean. The area was very quiet and peaceful. It is within 5 minutes to WCU as well as stores and restaurants. Would definitely stay here again. The host was very responsive and helpful."
Adam,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",It’s a great place to stay and Sylva is a great place to be. 👍🏻
Nic,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",Erik’s place was great to stay at for the weekend. It’s located less than five minutes from Western Carolina and is perfect for visiting. We arrived late at night and Erik was kind enough to make sure the lights were on and sent pictures of the view from the road so we could locate it easily.
Cheyenne,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Erik was a wonderful host and his place was just like the description! It was very clean and such a cozy little place, makes you feel right at home! We thoroughly enjoyed our stay and would love to come back!"
Sheila,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Erik’s Tiny House is exactly as pictured & described. Perfect!!
Beautiful yet convenient location; everything provided; soft absorbent towels; extremely comfortable; and I couldn’t have asked for a nicer or more responsive host!"
Shara,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Clean, fully equipped. Felt like home."
Blair,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",We didn't need anything for our stay. Why? Because Erik had already taken care of absolutely everything. Great stay. We will definitely be back!!!!!
