name,rating_info,review_text
Mark,"Rating, 4 stars
,
·
1 day ago
,
·
Stayed a few nights",Cozy private suite
Catherine,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed one night",stayed here for the second time n loved it! Kayleigh is a wonderful host!
Kindred,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed one night","Lots of sweet, thoughtful little touches! Super comfy beds, too."
Elsa,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Kayleigh’s place is a perfect spot for a quick stop. We were only there for a night but really appreciated all the little touches!!
Irma,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",Amazing host! She responded quickly to messages and was very flexible to meet our needs. The place is exactly as described and very cozy and cute! 10/10 recommend staying with Kayleigh!
Hanna,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Cute little room with attached bathroom that was great for a few nights stay. The house is very near to all the shops you need and easy to get on the highways and main streets. The bed is very soft so just something to be aware of if you prefer a firm bed, but I was able to get comfortable and slept well thanks to the noise machine!"
Katie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",The sheets on the bed were sooo comfortable! The neighborhood was nice and quiet. I felt comfortable.
Cari,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","This place was exactly what we needed after a long trip to move our kid from school back to Arkansas for the summer ! Great price , close to UNM, everything we needed ! Highly recommend !"
Walter,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Comfortable and clean!
Jameshia,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Very responsive host. Lovely, quiet area to take a walk in. Had everything I needed. Nice, small AirBnb and would recommend!"
Cynthia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",This little place was fine for a night or two in a decent family neighborhood. It will serve well as a place to sleep when visiting some family members who live in the immediate neighborhood and will soon need their guest room for a baby. The space was pretty much as described.
Madeleine,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Aesthetically pleasing and looks just like the photos. Lots of amenities. In a nice walkable neighborhood. Would stay again!
Erik,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Loved the privacy and separate entrance. Felt safe walking my dog around the neighborhood. The bed and pillows were super comfy and bathroom very clean and well equipped. Probably the best shower head I’ve ever experienced. The space is quite small, but perfect if just 1 or 2 people who can share a bed."
Kennedy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Perfect place to stay for the night while I was passing through Albuquerque!
Danielle,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","I love how detail oriented this space was. Clean, homey, close to food/shopping. I would definitely stay here again!"
Carley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Super cute place! Would stay again
Mary,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Our stay was great at Kayleigh's place. It was just what we needed for an overnight stop on our road trip. The space was small because we used the trundle bed, but we knew that, because it was in the description. It was very clean and had all that we needed. Kayleigh responded quickly to all our messages. It worked well for us, and we would stay here again!"
Nathan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Kayleigh’s place was just what we needed— just tucked away in a pleasant neighborhood and easy to get in-and-out of near a lot of places to visit.
Thanks Kayleigh and Nathan!"
Marcella,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",This is such a great location located just off the freeway. The accommodation space is just as described. A huge plus and very nice surprise for me- there were vegan toiletries & food options!
Karen,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",It was straightforward to find the place and checkin. The place is nice and neat.
Christine,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Loved my stay here! Very easy to find and a cute space and neighborhood that was perfect for our stop in Albuquerque!
Susan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Very clean & convenient location off the I-40. The host is very accommodating and responded quickly. The unit did not come with a vacuum, but I needed one to vacuum seal some clothes, and the host was very accommodating and put one in the room for us! Will definitely stay again! 😊"
Natalie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Our 2nd time staying here, this time on our way back home. Just as great as the 1st time. We will definitely stay again if we come thru ABQ!"
Natalie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",The place was great! Very clean and well maintained. So cute and smelled amazing! Very responsive host and was just perfect for us passing through on our way to Arizona!
John,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Stayed at the Suite for a night during a cross country drive. The location is so very convenient off I40, and it was a quaint little place that provided everything we needed for a quick overnigjt stay. Kayleigh was very friendly and had everything perfectly setup and prepared. Everything was seamlees. Great place and experience."
Greg,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Great place for a quiet night off the road. Great area of town near friends of mine. For me, everything I need is within five minutes drive."
Juliana,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We really enjoyed our stay here! The Airbnb was just as described and was super cozy. The location was great, a short drive to great restaurants and coffee shops. We recommend staying here if you’re in Albuquerque!"
Beth,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",This place was absolutely beautiful. Loved our stay here. 💕
Maria,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Super cute place! Perfect size for two. Location was great, quiet neighborhood. Easy check in and check out. Would stay here again if ever in Albuquerque again."
Meghan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Kayleigh was a great host, everything was as described. The place fits 3 comfortably, but no more than that. The dogs quieted down when we arrived. There were more amenities than listed which was a surprise to us and greatly appreciated! Have a great time and recommend her to anyone!"
