name,rating_info,review_text
Mark,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed a few nights","Honestly it was a great place , good access to everything , super clean"
Dave,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed one night","When we walked in and looked around, my wife said, “this is the nicest Airbnb we’ve ever stayed in!” I agree!"
Harry,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",The host was amazing. They were willing to respond to any question or request at any time no matter early or late.
Amanda,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We had a wonderful stay! I was issued a parking ticket which Riqui resolved when I notified him. Could not have asked for a better host!
Steven,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet","Our stay at Riqui’s was 10 out of 10. Their space was clean, comfortable, and it had everything we needed. The parking was close and secure. Riqui was extremely hospitable, patient, and had excellent communication. Their booking was also pet friendly! We highly highly recommend booking with Riqui! They made our stay in Allentown welcoming, enjoyable, seamless."
Erin,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Riqui was a wonderful host; he was very responsive and gave clear instructions for checking in. The place looked exactly as it was pictured and was clean. It was the perfect location, and we were able to walk to where we needed to go."
Noel,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet",Riqui was the perfect host! The apartment was spotless and he promptly answered every question we had. Thanks so much for the fantastic stay!
Tristen,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great place to stay. Very clean. Host is very nice and always able to reach out to
Kevin,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Riqui was very responsive. The place was exactly as described. The location was perfect to walk to the PPL Center and local restaurants. We will stay there again.
Greg,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","The place was amazing. This is a must book! The place was clean, spacious and had everything we needed. I been in the air bnb game going on seven years now and Heidy was the best host I have ever had by far. She was very responsive to any questions I had and accommodated every request. I will be staying here every-time im in the area. Thank you Heidy and Ricki! God Bless."
James Madison,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",This was a great spot and the host was helpful and kind. They did everything we needed and had no complaints.
Shae,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Heidy was very helpful and hospitable, even throughout the night she was responding and the cleanliness of the house was top tier ! One of the best homes I’ve stayed in."
Lisa,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids",Ashely was very helpful / answered every and many questions immediately
Vicki,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Second time staying at Ashley’s beautiful home, and it was perfect just like the first time."
Amelia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Ashley's home is truly stunning - the photos in no way do it justice. The house is large and ultra-modern, filled with light and art and thoughtful design touches. The open plan downstairs is perfect for a (very) large family or group of friends to spend quality time together. There are four separate (but connected) seating areas, not counting those outside in the gorgeous backyard. Both the house and the area are serene, and it's lovely to be able to walk to the Rose Garden or Trexler right from the front door. Ashley's home is packed with every appliance you might need - from a Kitchen Aid mixer to a built in surround sound system. It feels like a real home away from home. Ashley was nothing but generous and responsive to us, and we couldn't have asked for more. If you need time in the Lehigh Valley, this home is our unreserved recommendation - you won't be disappointed."
Vicki,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The home is beautifully decorated and spotless. Great stay in Allentown!
Sarah,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Ashley’s house is one of a kind! Large and inviting, with tons of original art and a sharp eye for design, this was a pristine, beautifully laid out house for a weekend stay in Allentown! My family spread out comfortably. The kitchen was extremely well equipped for cooking in, but several good restaurants were right nearby, and Ashley was kind enough to include additional recommendations in the welcome book. We took one of those suggestions and had a superb meal at Bolete - thank you for the tip! The house is incredibly close to the Muhlenberg campus if that’s the reason you’re in town, and a short drive to everything else."
Felipe,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week",Awesome place. Makes you feel right at home.
Lisa,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",Beautiful property! Close to Blue Mountain. Great restaurants close by. The house was clean and comfortable.
Christina,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","Ashley went above and beyond to accommodate our family's holiday plans. She graciously and generously allowed us to shift our days when we had a case of Covid that delayed our arrival. Her beautiful home was exactly what we hoped it would be. It was the perfect size for our family. It's proximity to Allentown's green space, walking paths, and rose garden were great. Ashley was also extremely responsive to my questions (Yes, there is a Nespresso machine - with a complimentary sleeve of coffee capsules. Yes, it is an original size machine). The experience exceeded our expectations."
Rachel,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",great place for our family to stay! comfortable and lots of room to pay
Allen,"Rating, 5 stars
,
·
October 2023
,
·
Stayed over a week","The house is a beautifully renovated, bright, comfortable home with elegant furnishings and a huge backyard perfect for entertaining. The neighborhood is delightful, with a lovely park/rose garden just a block away. We loved every minute! Ashley is amazing! She made the entire experience so easy. We are happy to highly recommend this place."
Steve,"Rating, 5 stars
,
·
August 2023
,
·
Stayed over a week",Very nice house in a great location. Nice furniture and decorations and copious amounts of home goods definitely make it feel like your staying in a house someone lived in versus a rental property.
Shannon,"Rating, 5 stars
,
·
July 2023
,
·
Group trip","Ashley’s home is an absolute gem! It is beautiful and spacious with the highest quality everything. The kitchen is a joy to cook in with everything you could ever need, including seasonings, condiments, cookware and appliances. The beds are comfortably firm, which is a welcome change from many airbnbs. We enjoyed every part of the house, including the lush backyard, visiting with friends in the living room and kitchen and playing ping-pong in the garage. Ashley was very responsive and accommodating. We didn’t want to leave and we hope we can stay again next year when we’re in town."
Jeff,"Rating, 5 stars
,
·
July 2023
,
·
Group trip",Ashely was an excellent host and easy to communicate with . I highly recommend staying with Ashley in Allentown!
Barry,"Rating, 5 stars
,
·
May 2023
,
·
Stayed with kids","Ashley,
The house is magnificent and is located in a scenic portion of the city. Our family had a wonderful time. The children enjoyed the vast array of toys and sports items. The house is a short walk to a beautiful park with its rose gardens and playground."
Tyrese,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Great home to stay in! Very spacious in a quiet neighborhood but also close to a lot of different things to do! Would stay here every time I visit this city.
Belinda,"Rating, 5 stars
,
·
November 2022
,
·
Stayed with kids","Ashley's place was simply amazing. We were in town to celebrate Thanksgiving with my sister and I was easily able to prepare a meal in her kitchen to take to my sister's. Everything we needed was there from cookware & dishes to spices. The double oven came in handy as well. The home itself was gorgeous, well appointed and modern with luxurious finishes and beautiful artwork. Even with that, it still felt homely and our three kids (9,12 & 14) all felt comfortable. Would definitely recommend her place for a quick getaway with family or even a girls weekend with friends. You won't regret it.
As a host, Ashley was friendly and very responsive."
Vanessa,"Rating, 5 stars
,
·
November 2022
,
·
Stayed over a week","Beautiful, modern - eclectic home. Picture do not do justice. Perfect for our work family’s extended stay. Kitchen is stocked to a T for all of your needs. Beautiful, safe, walking neighborhood. Ashley is easy to communicate with and prompt. We look forward to rebooking with her! We love this home!"
April,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed a few nights","Barrington was an amazing host and very attentive but, the pictures made the place look bigger and it was listed as a charcoal grill and it was propane. The place had a smell of animals. it wasn't offensive but was noticeable. I left a day early"
Laura,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet",great host and great property!
Kathy/Nate,"Rating, 5 stars
,
·
Today
,
·
Stayed a few nights","The host Lauryn is one of the best hosts. Communication and her efforts to ensure a hypoallergenic were exceptional. Beautiful home, extremely comfortable and clean. Lauryn made sure our stay was the best. I highly recommend this quiet home and definitely would stay here again."
Elizabeth,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed with kids",My family and I went for a wedding. The proper was phenomenal. We felt as if we never went home. The neighborhood was clean with shops and restaurants all around. I would definitely recommend 11/10.
Jeff,"Rating, 5 stars
,
·
1 week ago
,
·
Group trip","This is one of the best AirBnB experiences I've had. Lauryn's house is amazing: clean, cozy, and comfortable. You'll feel like you've arrived home as soon as you walk through the door. We slept like babies on the big king mattress in the master bedroom, and made food in the spacious modern kitchen. We did long walks around the quiet neighborhood and the adjacent golf course in this rural-ish setting near a Whole Foods store.
Lauryn herself is a fantastic host who has constructed a great place to stay. But her real superpower is her attention to detail (everything is taken care of) and her friendly, helpful demeanor. Any questions I had were answered immediately, and general communication and instructions were flawless.
There's no higher praise I can give this experience!"
Ronald,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","I have stayed at a lot of AirBnB properties and Lauryn’s by far has been my best experience. The house was extremely clean, well maintained, and very inviting. I was amazed how clean this house was. I called my wife after the first night and told her the bed sheets smelled like home; I was truly amazed.
The kitchen had everything you could want or need. Lauryn had plenty of coffee, she even had to go cups, which was helpful when leaving at 7 am for a training class. The living room furniture was very comfortable, not to mention, the beds were outstanding to sleep on.
If you find yourself needing a place to stay in Eastern PA, you must book Lauryn’s house. I would stay here anytime I’m in the area.
Lauryn - well done, you are an outstanding host and keep an extremely clean house. Thank you for the welcome letter, free coffee and waters in the fridge.
Ron"
Kaelea,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids","We had a wonderful weekend stay at Lauryn’s airbnb! The home was immaculate and had everything we needed. Before our trip, I asked Lauryn if the airbnb included a pack n play and she bought one specifically for our stay. We highly recommend this home!"
Jeff,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","A lovely home, I highly recommend! Lauryn was an excellent host and easy to communicate with."
Charo,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Perfection! The house is beautiful and I will definitely be back next time I'm in the area.
Jessica,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Lauryn goes above and beyond to make you feel welcomed and right at home. She is literally the best host! Her place is squeaky clean and very comfortable. This is also the best stocked airbnb we've ever stayed at! If you are considering Lauryn's place, do yourself a favor and just book now! If we are in the area again, we will definitely stay here, no question."
Tracy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This was one of the nicest AirBnBs I've ever stayed in. Lauryn was very helpful and communicative. The home was so comfortable and clean, with nice touches all over. I can't think of anything I would change. We would stay here again for sure!"
Megan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Amazing place. Beautifully decorated! And so clean. Lauren was helpful in providing recommendations about where to eat. I felt like I was in a luxury condo-we only spent one night there and I woke up early the morning we were leaving just so I could read my book in the beautiful space. There was a full coffee bar and snacks.
Liz,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Stayed here with my husband and in-laws. We were very impressed with the townhouse! Lots of amenities. The inside was very clean and well decorated. Lauryn was a friendly and responsive host. This is one of the best Airbnbs we’ve stayed in. Would highly recommend Lauryn’s place while staying in the Allentown area!
Candice,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Amazing hostess!!! The house is beautiful and Lauren is super sweet and accommodating! Will definitely go back!
Nicole,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","We had an incredible stay at this Airbnb! The ambiance was peaceful, the cleanliness impeccable, and the amenities were top-notch. It was the perfect retreat for a relaxing getaway. Highly recommend!
Our Airbnb host, Lauryn, was simply outstanding! From the moment we booked, she was proactive in ensuring we had all the information we needed for a smooth arrival. Her warm welcome note and snacks made us feel right at home, and throughout our stay, she was incredibly responsive to any questions or requests we had. It's clear she genuinely care about her guests' experience. We can't wait to stay with them again!"
Brent,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This was our second stay at this beautiful, immaculate, super well stocked kitchen and bathroom, soft comfortable linens and towels, ultra clean, super quiet, warm and inviting . We enjoyed the open kitchen and comfortable large living room , sleep was amazing, beds were comfortable, temperature was ideal and there were blankets and extra towels, linens available if needed. This sunny location is perfect to enjoy a quiet morning watching birds and wildlife in yard, and a nice cup of coffee from the coffee bar. The host is so thoughtful, so many nice , welcoming touches and communicative. Relaxing, close to many restaurants,, grocery stores, and shopping was idea to get a few things we needed. We enjoyed our visit so much, it was hard to leave. We consider this location to be an excellent value and very nice experience. Would return anytime we need to visit family in the area."
Tyler,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Quiet clean beautiful stay. Lauryn is awesome and super friendly! Will be back next time I’m in the area for sure !
Farah,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Lauryn’s place is one of the best AirBnB that we have stayed in. The place is impeccable, clean and has everything that you need to make your stay comfortable. Lauryn is also a great host; responsive and going above and beyond to make our stay feels at home. Thank you for sharing your space Lauryn!"
Rhonda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The townhome was exceptionally nice and clean. The kitchen was fabulous. Appliances were all new, the coffee bar was a nice touch and we had all we needed to cook meals while we were there. It is one of the best stocked kitchens we've ever seen in a rental property. There was also a little welcome basket with snacks.
The bath towels were plentiful and like new. The robes were a nice surprise. The location is great, and we were close to shopping and restaurants.
Thanks to Lauryn for a wonderful stay!"
Mara,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",One of the best places we’ve stayed. The home is fully stocked and Lauren’s little touches were lovely. Would stay here again!
Alyssa,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",My family of four had a great stay at Lauryn’s place! Very comfortable and comfy home. Lauryn wrote a thoughtful note to us for check in. The house was equipped appropriately and the neighborhood was great. When we come to visit our family again we will 100% book this property!
