name,rating_info,review_text
Tara,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed with a pet","Matthew was a great host. The house was very clean and comfortable. The kitchen was fully stocked with items , a perfect spot for a northern Michigan getaway."
Megan,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","Our family had a wonderful stay at Matthew’s place. Growing up visiting Alpena and surrounding areas, this location was spectacular to visit downtown. For a big family like ours, all of the essentials were there and then some. We were impressed by all the of little touches of hospitality (things for the kids, cooking supplies, fans, games, books, you name it, it was there). Matthew is also the most communicative host I’ve ever had, and we travel a lot. I felt like I could text him with any questions and he was responsive and thorough. We would stay here again!"
Andy,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",This met our needs & everything was clean and comfortable. Matthew was excellent with communication and we enjoyed our stay here! The location was great! Thanks!
Mary,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Came to Alpena for the bird migration and found many trails and parks. Great time!!
Theresa,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet",This place was super. It was walkable to almost anything Alpena has to offer. The house was clean. I did have one small issue when first arriving and the host snapped into action and took care of it immediately. He even texted me advice on where to watch the northern lights that were coming one evening. We enjoyed our stay so much and would stay here again.
Kendra,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Well, welcomed!! Lots of communication. Lots of everything you could possibly need. You feel comfortable being there."
Colette,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Amazing stay! Just perfect! House was so clean and tidy. Matthew answered any questions immediately and was very helpful. Location is central and walkable. We can’t wait to come back!
Zabrina,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",Always a great place to stay and amazing hosts. The little welcoming touches are perfect.
Lauren,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Perfect little spot to relax! I came up to Alpena to visit some family & friends while teleworking during the day. Wifi was steady allowing me to work uninterrupted. Matthew was extremely proactive, the weather wasn’t the best during my stay, possible snow, and he made sure my mom and I were parked properly. My dog Paprika loved the backyard. There were so many supplies in the house, dedicated dog towels/blankets, kitchen utensils, even an Easter egg decorating kit for the holiday! The beds were extremely comfy, as well as the couch. 10/10 stay, will 100% rebook with Matthew if available next trip to Alpena"
Melissa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","This little home away from home in Alpena is absolutely worth every penny. It’s nice and cozy, right by the water, and super close to town. The host Matthew made our stay by far the best Airbnb experience I have had to this day. He is extremely responsive and kind! Gave us local recommendations and made sure we had everything we needed to make our stay perfect. The space was very dog friendly and our four-legged baby loved the fenced in yard. We definitely would stay with Matthew again and highly recommend anyone considering staying with him!"
Kristin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Beautiful home and location. Within walking distance to the beach in the summer. Within a couple minutes to downtown dining, bars and shopping. Being able to bring a four legged children is an amazing added bonus. Games and books kept our children entertained during our winter stay. Will definitely be back!"
Amanda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Once again we enjoyed our stay and the responsive and kind host!
Mick,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week","What a great home! Matthew was quick to respond to any of my needs. Plenty of parking. My wife and I drove separately so there was room for 2 vehicles in the driveway and room for more. We did not use the bedrooms upstairs but they are very large and well kept. The huge kitchen had all pots, pans, and utensils that we needed. A very nice family room with a couch, a large ottoman, and nicely placed LED TV. Just a wonderful home to relax in and enjoy!"
Amanda,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet","This was our second stay here and we already booked a third! We aren't big city/town folks but this place is in a convenient location and still very quiet. You can easily walk to nearby parks on the water, and only about a mile walk to the coffee shop downtown.
In addition Matthew is a great host."
Amanda,"Rating, 5 stars
,
·
January 2024
,
·
Stayed over a week","Very responsive to any questions or needs. Great location, easy walk to the water. Great cozy stay, Roger approved (the dog! ) !"
Graham,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet","The property was as described in the listing and photos. It is an older property but well-maintained, and equipped. The location was the main attraction to us being just a couple of minutes walk to the shores of Lake Huron and a few minutes drive to the center of Alpena."
Heidi,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",Definitely went above and beyond tons to make pure Christmas’s stay great!
Steve,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Nice cozy home. Enjoyed the electric fireplace while watching tv. The Christmas tree was a nice touch for the season
Daniel,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","Clean, comfortable, and clear instructions and expectations. This was our second time here. We get to Alpena a few times a year, and are happy when Matthew’s place is available."
Nicole,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",Nice and comfortable. Super pet friendly.
Joel,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",Matthew’s place was awesome. From the welcoming of our pets to the quiet atmosphere. We will definitely keep this in our stay again column.
Lisa,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet",We had a great time! The house is only a block from Lake Huron with very close access to a park & lake front views as well as the pier. We enjoyed crisp Autumn walks on the pier. Super refreshing and gorgeous! Matt welcomed us with a greeting on the Chalkboard on the front porch and also a personalized card on the dining table. We felt right at home!
Tammy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","We were very familiar with the area that this B and B is located, and it was just what we were looking for to get away for an extended weekend to visit our 1-year-old Great Granddaughter who lives nearby. We traveled up to Alpena from 5 hrs. away in Ohio. Not only was Matthew's place easy to find and matched exactly what was listed and expected, but Matthew's response times, his courteous nature, recommendations of activities and eateries, and most friendly demeaner were unmatched. It happened to be peak season for the fall colors so we could not have timed it any better for what is already a Lake Huron hot spot on its' own, regardless the time of year. There is so much to see and do in the area and this location puts you smack dab in the middle of it all. I would highly recommend Matthew's place to stay, as you will not be disappointed.
P.S. We do not have a dog, but very cool that this place goes out of its way to ensure your best friend is Welcome and feels right at Home! BONUS!"
Cynthia,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Best AirBNB experience to date! All necessities required for a wonderful stay are 5-star…cleanliness, comfort, amenities, location, etc. This place has anything that you could possibly need whether you’re a couple, a family with children of any age or, in our case, traveling with a dog. Don’t worry if you forget to pack something…chances are you’ll find it there! Finally, the efforts of our host to make, not only our stay, but my husband’s 60th birthday, so special, were simply extraordinary! In addition to a personalized greeting card welcoming us both, a birthday card was left for my husband with a generous gift card. If that wasn’t already well beyond our expectations, Matt came by with a very nice cigar for my husband. Thank you, Matt, for your thoughtfulness and treating your guests like family…you are a remarkable host! We love your place and can’t wait to visit again! Hope to see you soon…with better weather next time to enjoy the lovely patio and yard!! Cindy and Dave"
Monica,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great place to stay!
Bruce,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Spotlessly clean, myriad amenities for any length of stay, plus a full laundry! We could want for nothing more in our accommodations. Many personal touches throughout the home made us feel welcome. Being pet-friendly was a huge plus, ensuring our personal enjoyment. Highly recommend."
Cindy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","Matthew was very accomodating. He communicated well when we had questions. The home offered many things that were unexpected and provided a thoughtful process in providing things we might need. Such as a bottle of isoproply alcohol I forgot to pack, bandaids, etc. There were things we would not have needed but another family may require. Such a well-prepared home to meet all our needs as if we were staying in our own home. I especially enjoyed reading through the House Rules booklet. We were able to put out the trash from the home so it would not leave an odor.
The boys and I were putting together a puzzle that was available at the house. We hope to stay again next summer when we visit Alpena again!"
Samantha,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","The stay was great! Easy to find, clean, and looked just like the pictures! Matthew was very friendly and responsive. I would definitely stay here again!"
Caroline,"Rating, 5 stars
,
·
September 2023
,
·
Stayed over a week","i was sooo lucky to find this house. Perfect location handy to everything in Alpena, only a block from a pretty little beach park. Sidewalks to walk my girls and a fenced in yard.
Supplied with everything you could ask for.
And Matthew, the host, was amazing. I felt safe and comfortable."
Cristy,"Rating, 5 stars
,
·
May 2023
,
·
Stayed with a pet","We had a great stay at Matthew's place! Location is great...just off the main road (US 23) and close to beach access to Lake Huron. The house was very clean and included all the necessary amenities for our comfort. Communication was easy and always responsive. The things we look for in an Airbnb are value, pet-friendliness, cleanliness, proximity to area attractions and being in a safe environment. Metthew's place exceeded our expectations in each of these areas. We sincerely appreciate the warm hospitality and gracious generosity of our host!"
Brittany,"Rating, 5 stars
,
·
May 2023
,
·
Stayed with a pet",Our stay in Alpena was great! Matt was a great host and made sure we were all set and even left a card for our anniversary upon arrival. Location was awesome…close to the water with lots to do and the yard was great for our energetic pup 😀 Would definitely stay here again and highly recommend!!
Lydia,"Rating, 5 stars
,
·
May 2023
,
·
Stayed with a pet",Great place and very friendly host!
Brianna,"Rating, 5 stars
,
·
May 2023
,
·
Group trip","Matthew was a great host. He was very kind, and helped us with any information and questions we needed in order to have a great stay. My friends and I were looking for a getaway before we walk for graduation at the end of the month and we are all glad we chose to stay here. The home was as pictured, with fully stocked kitchen, bathroom, etc. Everything you could think of and much more. The weather was accommodating so we were able to walk around the shops and sights of downtown Alpena. It was definitely worth waking up early in the morning to watch the sunrise, and even saw the Lunar eclipse one morning. We could tell Matthew really cares about trying to make sure his guests have a stress free and safe vacation and I would recommend this Air BnB to anyone who is deciding to travel to Alpena. Thank you so much Matthew for letting us stay with you !"
Betsy,"Rating, 4 stars
,
·
May 2023
,
·
Stayed a few nights","Very responsive and communicative host. Personalized card welcoming us awaited on the dining room table at check in. Soft pillows and comfortable beds and linens. Plus: If I had brought my pups on this trip, the space would have been a dream for them with the available dog toys, towels, lint roller, water bowls and backyard."
Tracey,"Rating, 4 stars
,
·
April 2023
,
·
Stayed a few nights","The only suggestion would be additional seating in living too besides couch. Otherwise, this was a great location."
Amanda,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",Matthew was very accommodating! I requested the booking with very short notice and he got right back to me and made it work beautifully!
Christina,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with a pet",We had an excellent stay in ALPENA for the weekend. Everything was as described. Matt was wonderful. Highly recommend.
Zabrina,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",Matthew is a great hosts. We had a personalized greeting at the door and a welcome card. House is beautiful and roomy with everything you could want available. Had an issue with the coffee maker that was fixed same day. He was very responsive and communicated well. Highly recommend!!!
Richard,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with a pet","Matthew has a beautiful place in a great location! He was ultra-responsive and proactive with recommendations via text for what to do on a colder day. By far one of the better hosts we have had.
Alpena is a great spot for a lot of different outdoor to-do’s. We were up there for our kids, 5 and 9 yo, spring break and wanted to go fossil collecting up at Rockport and on some of the area beaches. Knowing this, Matthew had recommendations ready and also had a couple of buckets ready for us to use.
5 star host!"
Daniel,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with a pet","We enjoyed our stay here. The house was clean, true to the listing, and comfortable. We also appreciated the detailed and helpful information on checking in and property expectations."
Alicia,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","So glad we had a chance to stay at this gem! The home is clean and Matthew went above and beyond to make our stay great. He even thinks of the little things like providing a picnic basket and blanket to use. There's a whole section of beach towels, outdoor kid toys, animal bowls and toys... just things you may not have thought or had room to pack but make you feel right at home. Matthew is a great communicator and has some good restaurant suggestions. I would also add The Nest and RBs are great places to eat! The beds were clean and comfortable, and we had everything we needed provided at the home. His cleaners even found something of our son's that had slipped between the couch cushions and he mailed it home for us, he just went above and beyond even after we left to make everything about our stay with him amazing."
Aaron,"Rating, 5 stars
,
·
March 2023
,
·
Stayed with a pet",Matthew’s place was the perfect home base for our excursions to Thompson’s Harbor and Rockport State Park. The house was well stocked with everything we needed and the fenced backyard was a big plus as we brought our dog.
Bob,"Rating, 5 stars
,
·
March 2023
,
·
Stayed with a pet",He was very concerned and helpful during our visit.
Lisa,"Rating, 5 stars
,
·
March 2023
,
·
Stayed with a pet","This was my first Airbnb and i wasnt sure what to expect when actually arriving and seeing the place. The photos were very accurate to what was listed and seeing it in person was even more suprising with how clean and well kept everything was!
It felt so nice to bring my two dogs and not have any worries since they prepare for dogs if they come along ( AMAZING THE THINGS THEY HAD ON HAND FOR THAT!!! )
I am from alpena so i know the area very well and felt very safe being there as its in a nice quiet block but also close to any store or the beautiful lake and beaches. Cant wait to book again in the summer time!
Matthew was so responsive and kept everything in the driveway for the winter time safe and clear of snow! I had a few family members visit since they live in alpena and they were impressed as well and also thought the price was very affordable and they will be recommending their family members to book this home as well :-)"
Jeffrey,"Rating, 5 stars
,
·
March 2023
,
·
Stayed with kids","Loved our stay! Was exactly what we needed, what we were hoping for, and made us feel at home!! Thank you!!"
Evan,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","The residence was very clean. It had everything you would need to make yourself at home, and the price was much cheaper then other BNB’s in the area. Matt was helpful and I would rent again from him!"
Nancy,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","This was our first pet friendly trip. Matthew was so kind and thoughtful that our trip was a success! There was dog blankets and towels, toys, and food and water dishes that were available for us to use. He also had a beautiful yard out back that was fenced in with doggie bags and a trash container for us to use. Plus, Matthew was very quick to respond to any questions. He was able to give good suggestions for local restaurants. The house was quiet, peaceful and easy to find."
Jessica,"Rating, 5 stars
,
·
February 2023
,
·
Stayed with a pet","This place definitely lives up to the super host rating.💕The home was easy to find and access especially when we came in and it was dark. The utility room entrance is very nice and accessible for pets as well. Everything was nice and cozy, immaculately clean with many amenities should you forget something. Matthew is thoughtful was very responsive and kind to think of pets; providing extra pet waste bags if you run out and designated towels and blankets to help keep your fur babies comfortable and clean.
The dog run is such an amazing feature our pups loved it, it was also easy to access from the patio and the fencing was very sturdy and well maintained as was the landscaping.
It’s also within walking distance to the heart of downtown and you can literally see the water from the east facing windows.
Don’t miss out on this one if your thinking about it book it!!!"
