name,rating_info,review_text
Idil,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Great place to stay. Felt like home. I highly recommend Antiria’s place! I will definitely come back again!
Heather,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Antiria’s place was exactly as it was described. Small, but perfect for a solo traveler. There was a full kitchen, so I was able to save some money by cooking there which I appreciated. She was very responsive - I extended my trip an extra day. The bed was incredibly comfortable as well and I slept like a baby."
Thomas,"Rating, 4 stars
,
·
April 2024
,
·
Stayed one night",Very pleased with the stay.
Meghan,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed with a pet",Wish I could live there! Perfect and gorgeous. Emilee and her husband did a perfect job. This was a beautiful and perfect spot to rest and recharge on our road trip down to Florida. I will definitely be back if we are ever in the area.
Dustin,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids","The home is beautiful, peaceful, and welcoming. No one wanted to leave, not even to go out to a restaurant! We had such a good time. The host was very gracious and hospitable. Thanks for a great stay!"
Josh,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids",Emilee was such a great host as I gave her short notice on a one night stay from Ohio to Florida. As far as the property it’s one of the nicest of not the nicest places we have ever stayed at. Lots of room for at least 6. I could go on and on about every little detail but all I can say is I had my wife and 2 kids tell me it was amazing and they wanted to go back sometime when we weren’t in such a rush.
Jason,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet",OMG!!!! This place is absolutely amazing. Couldn’t have ask for a better location. 5star luxury resort. Emilee was a wonderful host she didn’t hesitate to respond to any messages or phone calls.
Tanya,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Just as describe, perfect get away!"
Kelly,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",This house was very clean and comfortable. Emilee was very friendly and responsive. The house had a positive vibe and the outside surroundings & back yard created a peaceful getaway. I highly recommend staying here. We will definitely stay here again. Thank you Emilee 🙂
Jeffrey,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",I had a smile on my face the instant I pulled into the driveway. This place looked great in the advertisement but exceeded expectations in person. The home and property are gorgeous. Inside and outside are immaculate. There is no lack of attention to detail with the layout. It has just about everything you could want in a secluded getaway. The host was always responsive and helpful. I had a very enjoyable time. This is the kind of place I would love to have when I retire. I would highly recommend.
David,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Everything was super clean. The design of the place was very nice and modern. Everything was as described, thank you!"
Michelle,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","When we walked into this place it literally looked like we were walking into an HGTV dream home. This house is so beautifully decorated and impeccably clean. Pictures don't do it justice. Emilee provided soft linens & towels, super comfortable beds, state of the art appliances, and a serene outdoor living space. She also sent a personal text on our way there. Really nice touch. We loved it so much we wanted to move in. : )
We can't wait to come back!"
Norman,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week","My brain can’t wrap around how perfectly designed and constructed this home is. They thought of everything and it is so perfect. Emilee and Tony are both two of the kindest, most welcoming people I think I have ever met. I stay at a whole lot of Airbnb’s, as I travel weekly, with my company. I have had a whole lot of great experiences, but these two, are simply amazing.
Everything is just perfect. I don’t know how else to put it. I can say that pictures, cannot do justice, to how this home actually is. I will definitely be back. Thank you Emilee and Tony.
I’ll never forget your kindness."
Austin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This was a wonderful place to stay. The cleanest Airbnb I have ever stayed at. Would recommend this home to anyone.
Jose,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","beautiful home , great location,"
Sheila,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","Absolutely a perfect place for a peaceful stay! The home, details, area… all were perfect! The actual home is even better than what you see in the pictures! We were totally pleased with everything. Emilee is an amazing host! Definitely will stay again when in the area!"
