name,rating_info,review_text
Heather,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","This home is on a well shaded lot and was immaculate. Coffee, water and snacks were a bonus. Superb value."
Holly,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Great stay!
Carol,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Thankyou again had a great experience. Food at family eatery was friendly and phenomenal service .
Julissa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Such a beautiful and peaceful place. Would definitely come back again!
Brandon,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week",House was perfect for our stay and what we needed.
Shelly,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Perfect spot to come watch our so. Compete in the rose! Very cute and quaint,close to everything and very comfortable bed!"
Ron,"Rating, 4 stars
,
·
1 week ago
,
·
Stayed a few nights",Very beautiful place close to nature
Brandy,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids",Nice quaint place to stay!
James,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",I own a small business and one of my contractors stayed there. He really enjoyed the place. We will comeback if need.
Mia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Angela was a great host. Would definitely recommend!
Avery,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Pretty much totally matched my expectations and needs. Plus nice friendly welcome and exchange with the owners.
Kayla,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Absolutely amazing little place, Angela was an awesome host, will definitely stay again!"
Laura,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The host was so so kind, accommodating and very prompt with responses to questions or if we needed anything! The animals were so cute, and the location was so private and serene. The AC was on point, and it was very cozy. As long as you can handle the sulfur water, it's a perfect stay! Great for working in the area or a vacation to relax. I recommend watching the sunrise with some tea on the deck, and petting the animals! Also the decor was adorable inside."
Trae,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",love the place will definitely be back had to leave earlier then expected and they help me with my situation thank you much
Melissa,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","This is a great place to stay. Angela was very helpful and responsive. We especially enjoyed visiting the chickens, cows and sheep. It’s small but we only needed a place to sleep. We would definitely stay here again. For the price, it’s a steal!"
Janet,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","The garden camper was a nice stay. We loved the peaceful surroundings - waking up and saying good morning to the animals was lovely. The only con for me was the sulfury water, which can’t be helped, but made me hesitant to use the shower (I’m sure the smell would wear off!) However, the ac was cool and loud, comfortable bed and a good value. Angela was a friendly, responsive host and we appreciated her local recommendations. I would stay again if I came back to this area."
Paulina,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",❤️
Jhoany,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Angie and her husband were the most responsive, accommodating, helpful, and just one of the most genuine host I've ever encountered. I stayed in the RV and it was a delightful stay overall. I needed the peace on their farm. thank you ✝️."
Gl,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Angela was great, her animals and farm are great. One neighboring family has occasional Sunday garden parties, just fyi. The A/C unit is fine but very loud, which was excellent for drowning out the neighbor's party. We had a minor electrical fault just as we were retiring at 10pm (which is late for a farmer) and Angela was immediately there to fix the issue."
Patrick,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",The space was cozy and quiet. The bed was very comfortable and the AC was cold. There was a nice deck outside to sit at but I was not able to use due to the rain. I will stay again if I get down that way.
Aubree,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Was very private and nice! A beautiful place and the host was quick with responses!
Deana,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","This little RV is all I needed for my quick trip. It was super cute and modernized. The only real downfall is the sulfur water but that's nothing that can be helped. I loved the animals! We arrived at night and it was pitch black. So when I went outside the first morning, what an awesome view! It sits on a little farm with sheep/goats, cows, chickens and ducks! It was pretty magical! I would definitely stay again. AC worked well too!"
Aaron,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Beautiful property and very private
