name,rating_info,review_text
Owen,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",It was awesome very cozy n pieceful beautiful view of the lake awesome neighborhood
Rhonda,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Went on an impromptu aurora viewing trip & thankfully found this wonderful, clean home to stay the weekend! Having two bathrooms and a full laundry area was a huge plus. The home is absolutely lovely, it is obvious a lot of thought went into the decor and the design of the spaces. It was so peaceful there.
The bedding is some of the softest and coziest I've experienced. The bath towels were super thick & absorbent. The bathrooms were very clean & had ample counter space & hooks. The furniture was all in very good shape and comfortable. It was nice to have so many reclining chairs available.
The best feature is the lake view. You can see it from the living room, enclosed porch, and the main bedroom. The view is spectacular!
If you end up staying here, know that you will be walking through uneven grass to get to the property. It was slippery after the rain, and I could see it being an issue for anyone with mobility problems. Otherwise, it's overall a perfect location!"
Luz,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights","Had such a peaceful time here! The main bedroom has a sliding door that opens up and you get to see the beautiful lake in the morning. The house has everything we needed and more, I would love to stay again!"
Hayley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Stayed for a girls trip to wineries. Beautiful view. Convenient location. House was very clean cozy. Thank you for the wonderful accommodations. We will be back.
Larry,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Picturesque location and view on Lake Erie! My wife and I were impressed from moment one. We have 10 nightly rentals in another state and love finding places are like ours, unique, well thought out and well take care of. We have a team of folks that maintenance and clean ours so when we find a unit of quality we know it. No one will have regrets staying in this little adorable home!"
Andi,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","The Lakeside cottage was perfect for a weekend away. At the end of the street, we were feet from the cliff edge of Lake Erie.
The home was clean and well stocked. The hosts were very fast to respond when needed."
Mara,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids","My family loved staying here! The place had plenty of space for us, was cozy, and had a beautiful view of the lake. It was quiet and so relaxing. Also a short drive to all of the restaurants and shops! We would definitely stay here again."
Ann,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",We loved this cottage. Well appointed. Lovely enclosed porch with a wonderful view. Gas fireplace was a great addition. I plan to add one to my lakeside home now. (I have a wood fireplace). Response to questions very quick. Would absolutely recommend.
Adrien,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Very cute and charming lake cottage.
Nice view of Lake Erie, and all the main comforts of home. Would definitely stay again!"
Richard,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Staying in this vacation retreat on Lake Erie was a perfect pre-Christmas get-away for my wife and I. She wondered if we would be warm enough with the winds on the shoreline, but we were very comfortable with adjustable heating and cozy quilts on our roomy and comfy bed. And the unobstructed view of Lake Erie was magnificent. As we looked out there were no houses, parked cars, or traffic going by as we enjoyed seeing the ever-changing waters. The bright kitchen had every convenience including an excellent washer and dryer to the side. The neighborhood location was also ideal for us. Quiet side streets and an easy drive to both a large grocery store and the quaint shops and variety of restaurants in historic Ashtabula Harbor. This rental is not part of any resort, but we sure felt as if we were at one!"
Matthew,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Great place to stay for a night or a weekend. Super clean and comfortable. Highly recommend. We stayed in the bridge view unit. Will definitely be back.
Patrick,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed a few nights",Cathy was extremely kind and made for a wonderful stay! Will definitely be back!
Corey,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Nice little quiet place to relax and enjoy some time away from the city. Very peaceful and had everything we needed indoors.
Nick,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","This cabin was in an amazing location, overlooking trees and a river. Very relaxing sitting on the back deck or by the fire pit. Clean and cozy no bad angles from the windows. Worth the stay we will be back."
Tony,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Couldn't have been happier to spend a weekend away in this quaint little cabin-was absolutely peaceful and loved that all the firewood was supplied! Thanks for a wonderful time!
Jeremy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","What an amazing cabin! Cathy was quick to respond and helpful. We had a great stay. The pictures do not do the cabin justice. It is truly a beautiful spot with great views and a private setting. This cabin is within minutes of everything you could need, but you feel like you’re in the middle of nowhere. The inside is tastefully decorated and the craftsmanship shows in all of the details. We can’t wait to return to Cathy’s cabin for another weekend!"
Jessica,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","I don’t know where to start, it was truly breathtaking especially if you are looking for peace and quiet and some where to get away for a bit, this is your place. Cathy was so nice and helpful and very welcoming. The Airbnb was so beautiful inside and out, cozy inside and amazing view in the outside. Thank you for such a beautiful scene."
Faramarz,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",My family and I had a wonderful time even though it was only one day and night.🥰🥰🥰🥰🥰
Jennifer,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",beautiful cabin in a private peaceful location. cabin was extremely clean and hosts went above and beyond with the amenities. all the little extras were very much appreciated. Cathy was very helpful with suggestions and making sure we had everything needed. would love to return again!
Amy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",This cabin was a perfect getaway for us. It was cozy and very clean. They did a great job making sure anything a guest could need was provided.
Denis,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","This was such a beautiful Christmas getaway. We couldn't help but fall in love with this place. Perfect location paired with impeccable cleanliness and a responsive, proactive host made it a very pleasurable experience - best of Airbnb, in fact. Thank you for everything, Cathy and family, and Happy Holidays. Many Blessings😊"
Ryan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",cute little cabin that was well stocked and beautiful surroundings
Chris,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Cathy took care of so many details small details with her decor. The cabin felt cozy for our night away right from the get go! We enjoyed a walk down to the river in the morning. We will certainly be back in the future!
Meredith,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Nice little cabin in the woods overlooking the river! Would definitely recommend.
Heather,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","What a wonderful cabin stay we had! This property is so stunning in the fall with the leaves turning and the chipmunks and squirrels chasing nuts as they fall. The cabin was gorgeous inside and out - just like the photos and even cozier than I could imagine. There are plenty of heaters to keep the space warm and such a comfy bed and couch. Highly recommend planning your next stay at this gorgeous cabin. The host is kind, helpful, and leaves clear, concise instructions so check in and out are a breeze."
Kasey,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",This little cabin in the woods was everything my husband and I were looking and then some! Cathy had it decorated and cleaned so well we felt like we were right at home. So much so that we barely left the cabin the entire time we were there. She had everything you could possibly need already stocked in the kitchen and bathroom. It comes with a beautiful view and it was so cozy!! We will definitely be back!!! Thanks Cathy!!!
Manny,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Beautiful property with close access to the river. The cabin itself was tastefully decorated with a great eye for details. Really appreciated the muffins, the wine, the snacks and providing us with cots since there were 4 of us. Not to mention a bunch of firewood! It was great, we had fires every night.
Such nice hosts and a very cute dog as well!"
Trevor,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","The Riverview Country Cabin is fantastic! I'd give it a 6/5 if I could.
The location is beautiful, the cabin is cozy, welcoming and has features above and beyond what's expected. We loved the bed loft, the heating, and the view.
Cathy was very communicative, helpful and friendly.
Highly recommend! We'd love to go back."
Jennifer,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Cathy was a wonderful host. The cabin was beautiful and relaxing and all the personal touches were much appreciated.
Matthew,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Beautiful cabin with many thoughtful and useful amenities. The electric fireplace provided plenty of warmth for the cool nights and the bed was very comfortable. The cabin served as a great home base for this very nice region of Ohio.
Christy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Just left from a great 3 night getaway. The cabin is perfect for 2 and Cathy truly thinks of everything. There was wine and chocolates waiting to enjoy that evening while sitting on the porch swing enjoying the sounds of nature… She had muffins in the freezer if we wanted to have them breakfast. Multiple types of coffee and creamers… fire pit was ready to go with everything you need, including marshmallows. Bathroom was fully stocked with anything you may have forgotten. The town of Ashtabula has some really good, quaint restaurants. The longest covered bridge in the US is really close. There are 23 (I think) wineries in the area and are great places to spend the day with live music at most all weekend. We truly enjoyed visiting and will definitely return. Highly recommend"
Rocky,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",We loved our stay and Cathy was the perfect host
Storm,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Cathy’s cabin was the perfect spot for us to rest and lounge for the Labor Day weekend while visiting family in town. Beautiful cabin, great attention to detail with amenities and resources provided within the cabin. Very peaceful and calming location."
