name,rating_info,review_text
Toni,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed one night",Lovely space. Extremely comfortable bed. Beautiful home in a wonderful established neighborhood.
Angela,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed one night",Olen’s place was clean and comfortable. We enjoyed our stay. We highly recommend.
Anya,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed one night","We loved our stay and would definitely recommend booking here. The place is very nicely decorated and has many helpful additional touches (water dispenser, coffee maker, etc). It was also spotless, which we really appreciated! The room and surrounding neighborhood are quiet. Truly a great stay with no complaints!"
Amanda,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Easy convenient, felt like “entire house” with the private entrance. Open was friendly and responsive. We were stopping in late for one night stay and others had denied us for the late notice but Olen was ready. Thanks for the stay."
Janet Lee,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","I loved my stay at Olen’s place!
It was very easy to find and enter, and is beautifully decorated.
I especially loved the live plants!
A very comfortable and restorative place. It was such a treat!"
Luke,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Great place, great host."
Luke,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Perfect place. Had everything I needed and was exceptionally clean.
Darrell,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Great place to stay for a getaway. A-plus rating. As described. Peaceful.
Joel & Tabitha,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Very friendly and responsive host. The room was perfect! Very clean and had everything I needed for my stay in Athens. I would certainly stay again next time I visit. Thank you so much!
Katie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","My 2nd stay at Olen’s at just like I remembered! Great space, clean, comfortable!"
Robby,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Olen and Melissa have a great place! I will definitely stay again if I stay in Athens!
Christy,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Beautifully decorated space, comfortable, great amenities, and exceptionally clean with so many thoughtful details! The setting (a beautiful area for being outdoors) is peaceful, relaxing and a true “get away” while being conveniently located to whatever you want and need. I booked the morning of our stay (last minute) and our host responded immediately. Friendly and excellent communication. I absolutely loved everything about this suite and location! Thank you so much for having us."
Rebecca,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",This place was immaculate and looked just like the pictures. Very nice furnishings and extremely comfortable bed. Included everything you could want. Host was very helpful and responded right away. Beautiful neighborhood but just minutes from downtown. Great stay and would absolutely come back again.
Patricia,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",This was our best Airbnb experience thus far. The room was extremely clean and quiet. We felt very safe in the neighborhood. The bed was comfortable. We will definitely stay there again if we need to stay in Athens
Shelley,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Olen's place was located in a beautiful home in a lovely neighborhood, and it just gets better when you go inside. They have given so much attention to every detail, but the centerpiece of it all is the incredibly comfortable, luxurious king sized bed! Really hated leaving that bed for the long drive home! Really appreciated the coffee and add-ins, oatmeal, hot and cold water dispenser, the detailed directions for everything and more... Thanks!"
Jo,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","The CCS was very quiet, clean and comfy!"
Ben,"Rating, 4 stars
,
·
April 2024
,
·
Stayed one night",Good place
Garland,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","I enjoyed my 2-night stay at Olen's place in late April. It was clean as a whistle, private, comfortable, and very peaceful. His directions to me, along with help from my GPS, were spot-on, which was important since I arrived after dark. If you're unfamiliar with Athens, I'll tell you that the entrance to Olen's subdivision is off the Jefferson Highway, just a few miles outside the bypass. It's worth noting that the house is in the very back of the subdivision, and it is among the nicest houses in the subdivision. Once I looked at the pictures and again confirmed I was at the right address, I pulled right in and parked just a few feet from the door. I didn't have any problem backing down the driveway in the morning. From Olen's, it's no more than 15-20 minutes to the heart of the UGA campus, which is what brings most folks to Athens anyway. I wouldn't hesitate to stay there again."
Diane,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Classic City Suite is super clean, very tastefully designed & decorated, and convenient to all things Athens. The neighborhood is peaceful. Olen’s lovely home is surrounded by stunning landscaping. And the bed… so very comfortable!! Highly recommend this place!"
Erick,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Olen's has a great set up! We were very impressed with how well everything was laid out and the quality of everything from bedding to linens. There is a great hot/cold water dispenser that is a wonderful touch to an already impressive number of extras that are provided. The bed is very comfortable and the room very clean. We were staying in town for one night and this was the perfect place to do it!
Donald,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",My wife and I enjoyed our brief stay in the Classic City Suite. The room was exceptionally clean. Would highly recommend staying here.
Adam,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Olen's place is always great.
Johnny,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Exactly what I was looking for: a clean, quiet place with an easy check-in/check-out for a great value!"
Russ,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","The Classic City Suite is the premier stay in the Athens area. Easy to access, private, cozy with all the necessary amenities. Olen really thought of everything. It will always be our first choice when visiting Athens."
Jamie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Always a pleasant stay at Olen’s! It’s very clean and private. Will definitely be back!
Savannah,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Honestly this was the perfect spot and it was such a peaceful stay! I enjoyed Olen’s house and it was exactly what we needed for our stay in Athens! Will definitely book again!
Nagesh,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","I am an owner of 2 AirBnB beach houses. I know a little bit about this business. I must say Olen is amazing. The place was beautifully done (real plants, coffee maker, water dispenser, microwave, fridge, all the essentials (cups, creamers, etc..)). Squeaky clean. Alexa driven lights. Perfect instructions.
Loved it."
Angie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Olen’s place is FABULOUS!!!! The photos don’t do this lovely place justice. It was so quiet and peaceful. Oh, and that bed….soooooooooo very comfortable!!! Olen himself is a fantastic host…responsive, and respectful. ⭐️⭐️🌟⭐️⭐️"
Peyton,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Had a wonderful stay and the Classic city suite!
Alex,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This stay was great! Quiet, comfortable and exactly as described. I will plan on staying again my next trip to Athens."
Denise,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We enjoyed an excellent stay at Classic City Suite. The room is a spa like experience, with plants, luxurious linens, clean and fresh aroma. We enjoyed the coffee bar and the cooled water provided. It is a great place to stay when visiting Athens and we will stay again. Go Dawgs!"
V. Eric,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We had a great stay, and it was a beautiful place to stay in. The area was gorgeous. I really enjoyed our stay. Thanks."
Robert,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Nice place just within the border of Athens-Clarke county. Quiet and not far from UGA and downtown. Not so far from Jackson county.
Jesus,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Thanks a lot for the trust
Jamie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Always a great stay at Olen’s! He’s the perfect host. The new makeup wash cloths and pillows were a great addition to his room. Smells amazing and is always so quiet! 5 stars!
Laurie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Second time staying. VERY clean, quiet and super comfortable bed. Owen is always very friendly and responsive."
Brandi,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Offered everything you could need! By far the best suite I have had to the pleasure of staying in!
Travis,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Just in town over night. But the place was perfect. Had we needed them, there were restaurant recommendations on the desk. Tv had Netflix. Hope we can stay again."
Ashley,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","My stay here was absolutely wonderful! The bed was EXTREMELY comfortable and the whole vibe of the atmosphere was phenomenal! I really appreciated the amenities, because the night of my stay, my husband and I went to eat prior to coming to this Airbnb. In the middle of the night, I had a SERIOUS case of acid reflux, and it was so great have the mints and hot water all ready available so that I could quickly do what I could to take care of that horrible feeling. My ONLY concern was the height of the bed. I am super short and had to climb to get to the bed, but I am short so everyone obviously will not have that issue, like my husband. However, I brought that attention to Olan and I know that they will be willing to take care of that small con. The overall area was SUPER quiet and calm. The organization was great also! I will definitely be staying here again!!"
Natasha,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","We loved staying at the Classic City Suite! It was exactly as described on the listing and had everything we needed and more! Olen went above and beyond with the amenities. The water cooler was a nice surprise so we can have nice, purified water! The bed is huge and so nice. We will definitely be back in the future! You won’t regret booking the Classic City Suite!"
Cyde,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Olen is a friendly, responsive host who sweats the details. It’s evident that he strives to make sure his guests experience the most clean and comfortable of accommodations. As frequent visitors to the Athens area, there’s a reason that The Classic City Suite is our “go-to” choice.
Cyde and Beverly
Columbus, GA"
Jen,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Clean and comfortable! Easy drive to downtown Athens.
Jacob,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","You really can't ask for much more, a great place to spend a night and feel comfortable all the while that you're there!"
Marsean,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Was a Great stay
Wesley,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Olen was a great host and the listing was exactly as described and pictured on the listing. Will definitely be back next time we’re in town!
