name,rating_info,review_text
Amanda,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Perfect for me. I do business on the East side of Austin, so not having to drive to downtown is ideal. The location couldn't be more perfect. A very ""Austin"" place to stay. Will certainly return."
Daniela,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Second time staying at this place and like the first time was extremely content.
IF SPOT IS AVAILABLE do yourself a favor and book it!
Maybe next time I'll get to do the sauna and cold plunge, but for now great stay.
If you uber to anywhere downtown or in south congress its at $6 - $10 total.
Only about 5/7 min max
a lot of privacy and room!"
Morgan,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",I would 1000% stay at this place again. Such a peaceful spot and quiet neighborhood. I loved the screened in porch connected to the house for outside hangs without the bugs. The cold plunge and sauna were a really nice touch too.
Craig,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Loved this place, like a spa in middle of city"
Damaris,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Such a beautiful home!! There are tons of restaurants, coffee shops, and fun activities within a walkable distance!
The sauna + cold plunge were so nice!! Everything was spotless and we were extremely comfortable!
We would LOVE to come back and stay at this air bnb again!"
Enrique,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great place exactly like described with a great location! Definitely will be coming back, thanks for everything."
Lauren,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Wish I could pack this place up and take it home with me - wonderful, comfortable experience. The house is incredibly charming, location is convenient. Beds, amenities, sauna, porch - all great. Outfitted with all the little stuff you need while traveling.
I used to live in Austin and this place brought me back to what I love so much about the city."
Nate,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","A great space. Easy check-in, and we loved the neighborhood. The sauna and cold plunge was a great way to start the day. Thank you!"
Theo,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Very comfortable stay! Loved all the bars and cafes within walking distance and the property itself was very relaxing :)
Christi,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Beautiful and cozy home! Perfect staycation to celebrate my boyfriend’s 30th birthday. The sauna and cold plunge were amazing and our check in/out process was very smooth and easy. Thanks for hosting us!
Eugenia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We had a great stay at Julie’s place! We loved the curated feel of every little detail. The place had everything we needed, and was a very walkable neighborhood. Would stay here again!"
Duncan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Absolutely wonderful place and stay. Groundskeeper is cool AF and place is amazing, great location, perfect vaca house"
Jaclyn,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Beautiful & relaxing space, loved sitting on the screened in patio and their kitty would drop by and say hi. Even with the shared yard everything felt very private and the cold plunge and sauna was a fun addition to a cozy getaway. Only thing unexpected was the TV was downstairs with the couch instead of upstairs in the loft space. Would absolutely stay again!"
Tenley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Julie’s place is a true gem. We had such a relaxing stay there. It is a beautiful home, and all details seem carefully considered, from the artful and comfortable decor, to the many relaxing spaces (sauna, cold plunge, front porch swing, covered porch). It’s a little oasis. We particularly loved the art work of Deep Eddy and paintings by Ever that were present throughout the space, as well as our daily visits with Whiskey the garden cat.
Very thankful for our time in this space. :-)"
Christina,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Super unique home with hand crafted features! Very welcoming and beautifully constructed property. 🌿
Thank you for providing a very peaceful retreat on our multi city trip✨️"
Marie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We always love a quirky place and this one fits the bill! Appreciated the chocolate and other touches. Whiskey was so cute and surprisingly friendly. ><
Great place to relax with tons to do just down the street!"
Jace,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Loved this place! Came for my bday, me and my buddy had a blast👍🏻"
Jon,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great place near by great restaurants without having to be downtown.
The sauna and cold plunge amenities were a big plus. All Air b&bs should have it"
Morgan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great spot, would come back"
Michael,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great place. Great energy. Thanks for sharing this gem!
Mick"
Devon,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Really great east side location. Easy to get across town and close to some good locations!
Ana,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","My stay at Julie's Airbnb was nothing short of exceptional! From the moment I arrived, the host made me feel completely at home with their warm welcome and attention to detail. The space itself is beautifully decorated, offering a perfect blend of comfort and style.
What truly set this experience apart for me were the incredible amenities. As someone interested in health, I was very excited to use the sauna and take a cold plunge for the first time. It was a great way to start the day! These features added a level of luxury and wellness to my stay that was truly special.
The location of this Airbnb is also fantastic. While we opted for an Uber, the place is only a 20-minute walk from the downtown area which is really favorable for anyone who wants to avoid the stress of parking.
I can't recommend this Airbnb and its host enough. If you're looking for a memorable stay in Austin that combines comfort, luxury, and convenience, look no further. I can't wait to return. Thank Julie!!"
Alexandra,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Beautiful place with lots of character!
Amanda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","It was perfect for me, I visit Austin often for work and typically stay in a hotel. But will be booking this cutie from here out as long as it's available. LOVED THIS place even need to bring my two daughters."
Kevin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Julie and her co-hosts were SO kind and accommodating. The place is charming and we looked forward to coming back to it at the end of the day. My friend used the sauna every day and it was great and easy to use. The location is perfect-- close enough to bars and restaurants, but also incredibly peaceful and tranquil. We enjoyed every minute of our time here and would urge others to book this place! Also, Whiskey the cat was the best bonus!!"
Justin,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",This place rocked. So unique and eclectic. Made me want to build my own…
Wesley,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Cute place, great location"
Greg,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",It is a jewel-box-like place with awesome amenities and within walking distance to popping East Austin. Quite a treat. Thank you!
Bryan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",This was a lovely off beat spot
