name,rating_info,review_text
Daniel,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",It was great!
Aj,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","absolutely wonderful stay, close to everything in town. plenty of space for one person and I believe 2 people would be comfortable as well."
Margie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",very beautiful place. Julie was very nice in her response to anything and made sure we were informed ahead of time.
John,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Julie is very kind. Solid spot.
Matthew,"Rating, 5 stars
,
·
1 day ago
,
·
Group trip",Beautiful private cabin in the woods. Great for an intimate gathering or a long weekend getaway.
Sarah,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed with kids","Loved, loved this place! The homemade pie was amazing. Thank you so much. Will definitely try to stay here again."
Mary,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","My husband and I loved this cabin. The location is very private. The cabin was clean and beds were really comfortable. We enjoyed a little walk in the woods and the new fire pit. We have put this cabin on our list of places that we would definitely stay at again. Oh I almost forgot, the cherry pie that was waiting on us when we arrived was delicious!"
Gee,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Many extras! Will definitely be going back
Julie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Wonderful place to stay! Beds were super comfortable. Place was clean, quiet and beautiful. The extra hospitality of fresh baked pie, farm fresh eggs, homemade strawberry jam, milk and sweet cream was comforting touch. Made us feel welcomed. Would love to stay here again!"
Samantha,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","I’m not entirely sure there are words for Scott his wife and co host! Our stay was beyond anything we could have ever imagined and then some. Scott was available for a late evening phone call and to our surprise him and his wife showed up at noon the next day to bless us on our wedding day. The house was impeccable and the pictures do not do it justice. We will never forget the hospitality and generosity we were given.
The beds were comfortable the pillows too! I personally used the down stairs shower and upstairs shower and main floor tub all were amazing. The kitchen had everything needed to cook with. The views were amazing it was such a private get away.
The hosts of this property were outstanding and again I could never sum up our experience into words. They literally feel like family to us.
We will be back and pray that everyone who visits enjoys their stay as we did.
Anyone looking to book please consider having a meal at the farmer’s daughter restaurant in Urbana."
Myles,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","This is a true gem! Well worth the money and the hosts go above and beyond to accommodate your needs! The fresh pie was delicious and farm fresh were amazing added touch! The cabin is peaceful, cozy, and clean. It’s well equipped for your kitchen needs and the attention to detail across the cabin made this location feel like a luxury cabin! Couldn’t recommend this location more. We will be back!"
Abbi,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids","We loved our stay at Scott’s Hideaway! We had 4 couples with little kids, and it was so fun! The hosts went above and beyond to welcome us with fresh farm eggs and freshly baked bread & jam. The place was perfectly clean. The towels were soft. It was truly ideal!
We did have to be cautious with the little kids and the stairs, but thankfully we had enough adult eyes to monitor.
We would definitely stay here if we end up visiting the area again!"
Colin,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This was an amazing place to stay for a long weekend. Everything was so peaceful. The host was very friendly and very proactive in communicating. We absolutely loved the fresh baked bread that was there on arrival, it was so good. It was a very comfortable stay and we highly enjoyed it. I would recommend this place and I would absolutely stay there again."
Brandon,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Amazing place to stay for the week. Loved how peaceful everything was. Hosts were very friendly and accommodating. Comfortable beds would highly recommend anyone to stay here instead of anywhere else in the area.
Brooke,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","The house was so peaceful. From listening to the birds in the morning to watching the deer at sunset, I did not want to leave. The hosts are top tier. It was worth every penny and more! Such a gem of a house."
Ben,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",We had a lovely visit! The house was spotless and everything was really well organized. The house and surrounding area were both gorgeous. We would love to return for another visit in the future!
Antonio,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Great place to stay, secluded private and peaceful. We were in town for business and this was so much better than hotel stays. Would be great location for weekend getaway or family retreat. Highly recommended."
Shelby,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place! Will return when in the area!
Blaine,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great place!
Heather,"Rating, 5 stars
,
·
Today
,
·
Stayed a few nights","We had a great time for our long weekend, would recommend it to anyone looking to stay in Urbana"
