name,rating_info,review_text
Melissa,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed with a pet","Beautiful home, spacious and clean. It was very private. There is a guesthouse but I never saw or heard those guests. Absolutely stunning property. Amanda was quick to answer any questions."
Lowery,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed a few nights","Amanda was responsive a d always helpful. The place was very cozy and clean. Everything we needed (towels, condiments, etc) was right there. Beautiful location and would be great for kids/lots of guests. We really enjoyed our stay!"
Astraea,"Rating, 5 stars
,
·
1 week ago
,
·
Group trip","This house is in a great location, surrounded by trees. Even though there are neighbors nearby, it feels really private. The house itself was well appointed and worked great for our group."
Laura,"Rating, 4 stars
,
·
1 week ago
,
·
Stayed with a pet",Great house and location. We were really looking forward to sleeping in and waking up to a nice peaceful morning but unfortunately the lawn maintenance people showed up around 7am and didn’t leave until about 10am. Not Amanda’s fault but we would have enjoyed a heads up because we likely would have stayed elsewhere so we could get some sleep.
Naomi,"Rating, 4 stars
,
·
1 week ago
,
·
Stayed a few nights",Nice stay in rural blacksburg
Amanda,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet",The Tudor cottage getaway was a lovely space for our family meetup. We loved the secluded setting and how comfortable the place was.
Carter,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Enjoyed the stay, Amanda was a great host"
Daryn,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip",Amanda’s place was so wonderful! We booked it for graduation at VT and it was the perfect place to celebrate the occasion. Amanda was very responsive and flexible. Thank you!
Nathaniel,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Amanda was an outstanding host who was always responsive and helpful. She even went out of her way to assist me in retrieving something I had left at the property. The home was very comfortable and offered great value for the price. It was spacious, and the kitchen was beautiful, making it perfect for preparing meals. Additionally, the property was peaceful and secluded, which added to the overall relaxing experience. I highly recommend this home to anyone visiting the area!"
Maday,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","I felt like I was at home, an excellent place to stay with family."
Brent,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","The Tudor Cottage was very charming, tucked away in a beautiful part of Blacksburg. Everything was as described, and Amanda was extremely helpful and responsive."
Marie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place! It is fully stocked with everything you need. Peaceful neighborhood. Plenty of room to spread out.
Betty,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Love the easy check in. Clean place. Big place. And the helpfulness of the host was outstanding. Great host.
Noel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","House was super cozy, felt like I was at home. Had all the needed amenities plus some. Area was quiet and beautiful, it was as if I was in a warm cabin in the woods. Close to many restaurants and things to do. Would definitely stay again when in the area."
Kacy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Amanda's place was beautiful, spacious and clean. Her communication was quick and helpful. The surroundings were quiet and relaxing. :)"
Sarah,"Rating, 4 stars
,
·
April 2024
,
·
Stayed one night",Super quiet house in beautiful setting! Great location for our tour of VA Tech too.
Vasili,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","What a wonderful stay. Multiple bedroom with multiple bathrooms were perfect for a group of 5. The property is very private and has beautiful scenic views. Due to some issues during our trip (not involving the airbnb) the general consensus in the group was “if it wasn’t for the airbnb, this trip would’ve been a lot worse”. Plans are already being made to return to VA and have no plans to look at any other houses to stay at."
Bryan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Amanda was the best host! She was so responsive and so accommodating to our needs. Our kiddos loved playing in the beautiful yard and the house was gorgeous and very clean!! Highly recommend!!
Jonathan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Great place to stay if visiting the Blacksburg area. very nice house in the country with great views. Host was wonderful working with, would stay again."
Elizabeth,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This was a great home for our family of four. The house was clean and comfortable and we enjoyed the peaceful surroundings. We would stay again if we return to the Blacksburg area.
Kevin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Was a great spot to lay my head for two nights.
Gail,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",The place was great!
Evelyn,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","The cottage was easy to find and was pretty much as advertised, the kitchen was not, in my opinion, fully equipped. The rooms were nicely decorated and cozy. The master bath was great and the access to the washer and dryer was super nice! Amanda was very communicative, really a great host!!!"
Jeanmarie,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Charming home with room for everyone. We will definitely rent again.
Brian,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Huge space, beautiful surroundings, good location. Communication was effortless. Only stayed one night but great value and would definitely stay here again."
Jeanette,"Rating, 4 stars
,
·
March 2024
,
·
Stayed with a pet",We stayed for the hiking. The house is a reasonable drive to good hikes in the national forest. The kitchen is well-stocked with basic needs. The house is very comfortable and we were able to do all the things we wanted to do.
Jae,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Very easy in and out, super remote and felt like we had the whole time to ourselves."
Karen,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",A nice place to stay
Christina,"Rating, 4 stars
,
·
March 2024
,
·
Stayed with kids","Amanda was a great host! Very responsive and helpful. Great location and spacious. I would respectfully recommend a deep clean as there was so much dust my family had a hard time with allergies. Dust on ceiling, light fixtures, ceiling fans, cobwebs everywhere, air return had a layer of dust. There is a wood burning stove so I can give it a pass somewhat due to that however maybe have housekeeping staff pay closer attention to detail. One of the showers was leaking and unable to use so that was a bit inconvenient as well."
Curt,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Great house, in a great location! Will be back again for sure!"
Laura,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",We felt right at home. Amanda was very quick to respond and flexible with our requests. We enjoyed playing the games and lounging in the family room.
Nicholas,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","My coworker and I needed a place to stay in the Blacksburg area and Amanda’s home was perfect.
It was beautiful, peaceful, and fit our needs perfectly."
Pamela,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Nice spacious home close to Virginia Tech. We enjoyed our stay. Amanda was very helpful.
Connor,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",We had an amazing stay. The house was pristine and had everything we needed. Amanda is a great host and provided all the necessary information for a seamless vacation.
Diane,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","A beautiful & spacious home with beautiful surroundings. I booked our stay for one night for a funeral and Amanda was quick to respond, very helpful and flexible with an early check-in and late check-out to accommodate our travel and funeral times. I wish we could have stayed longer and definitely plan to book another stay at this beautiful home."
Emilia,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","The house was exactly as pictured. It was close enough to Blacksburg, and although we were out and about quite a bit, we felt right at home! I only wish that we got to spend more time there and to explore the yard/porch a bit more. Everything was great!"
Lance,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Restful work stay.
Bob,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Nice host and a great overnite stay
Rekha,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet","Great place, incredible views! Looking forward to coming back."
