name,rating_info,review_text
Steven,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Bright, quiet, and clean space. Walking distance to all the food and drinks on main! Would highly recommend!"
Alicia,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Fantastic stay! The kitchen was well stocked, the place clean, and the location very convenient. The hosts were very communicative and overall it was a great stay."
Trey,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Great location, walking distance to DT Bozeman, convenient parking, quiet, and comfy bed!"
Tracey,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed over a week","Great place! Bright, clean, and quiet! My husband and I stayed for a month and it was a perfect temporary home with everything we needed. Great location. My favorite of Airbnbs we’ve stayed in Bozeman. Katie was an excellent, communicative host. Highly recommend this stay!"
Beth,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",This loft is the perfect base for a quick stay in Bozeman! Extremely comfortable bed and very clean and accessible to great restaurants!
David,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great spot!
Michelle,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Katie's space was comfortable, convenient and well appointed. Their communication was prompt and helpful."
John,"Rating, 5 stars
,
·
February 2024
,
·
Stayed about a week",Was a great place in a great location for us.
Paula,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Originally there was a problem with the house cleaning service. I called Katie & she took care of the problem right away and completely satisfied us. She was great to talk to, solved our problem, and extremely friendly! Great service! Would highly recommend!!"
Sean,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",So amazing! Open the shades when you wake up to a great view of the mountains. Perfect place to stay versus spending $400+/night at Big Sky. We will be back for sure! Make sure to check out the ice cream spot 2 blocks away.
Michelle,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Our first Airbnb and we will do it again!! Great experience!!
Todd,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Quality place to stay :)
Great open floor plan
Very quiet and private
Parking is a plus
Recommend"
Amy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Great place. Quiet neighborhood with designated parking spot. Centrally located and easy to find. Extremely comfortable bed! Will stay again!
Debbie,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Great spot! Walkable to downtown
Adelita,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Very good air BnB. Super clean and beautiful. It was a little difficult to find. I’d recommend clearer instructions on how to access it. But overall an amazing stay.
Lia,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Katie’s place was perfect for our Bozeman trip. Easy to find thanks to her clear instructions and videos, effortless checkin with keypad entry, and a clean and welcoming space a four minute drive from downtown."
Nicole,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Nice clean place. Well laid out.
Erin,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Many thanks for letting your space to us while in town for a show. The room was clean and cozy.
Luke,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",A wonderful spot to stay in Bozeman!
Maria,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","The studio apartment was well decorated, very clean, and comfortable. It was walkable to downtown. Katie was a great host and had detailed instructions with videos to access the unit. We enjoyed our stay."
Aislinn,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","This studio was perfect for our weekend getaway! The location is very nice; it's quite close to downtown, nice and quiet, but you can still easily hop on a main road to go anywhere you need. The studio is very spacious with lots of natural light. The setup is also perfect if you're looking for a cozy evening inside, watching a show.
The owners were quick with responses and super helpful. We had no issues finding the entrance, thanks to their directions, and check-out was very easy."
Bailie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",This place was great! Everything was super walkable which we loved.
Lexi,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Katie’s place was a great stay! Super convenient, clean and close to the things we wanted to do in the area. Would definitely stay again!"
Tammy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Adorable, perfect spot for us to stay & explore Bozeman! Clean & beautiful & perfect for my husband & myself. The bed was extra comfortable too!!"
Sharon,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Please make sure next time that the bathroom has more than one roll of toilet paper when a guest arrives. Particularly for a 3 night stay. Thank you.
Brian,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",What a great spot! We had an incredible two day stay. The bed was very comfortable and the space overall is awesome. Being less than 100 yards away from the Elm worked out great as we were in Bozeman for two shows. Definitely will stay again next time we are in town!
Aubrey,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","We came into town for a concert at the Elm. This location was absolutely perfect for that. The walk was less than two blocks from the venue!
It was a little difficult to get to if only because its down an alley of an alley... But Katie sent some detailed instructions on how to get there.
The actual space was -incredibly- clean. Like even the baseboards were spotless. The space feels very open and comfortable. The guest book was quite entertaining to look at and sign.
My only issue was that the air conditioner popped out of the window and was a little difficult to get back in.
Otherwise it was an absolutely wonderful space for a single night stay."
Ray,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",This place is perfect. Right in downtown. Queit neighborhood. Clean and relaxing.
Will,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Loved staying here. Safe neighborhood. Private parking spot in back. Clean and private suite. About 15 minute walk to restaurants on Main Street. Wish I could have stayed longer!
Grace,"Rating, 4 stars
,
·
September 2023
,
·
Stayed one night","Close enough to walk to downtown! No complaints about the place but we did pay $20 for a late checkout, thought it would go to 12 but only got an extra hour, was told we had to pay that money for them rescheduling the cleaning lady but she entered at 10 anyway! Also there was a dirty glass on the bedside table when I arrived but then I had to clean and put away the dishes before I left so would have liked that for me as well. For the price I paid plus the extra fee, it was just mildly annoying."
Toby,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Super comfortable and clean! Walking distance to restaurants and the Elm event center. Quiet and private space. Host was responsive and provided video instructions that were very helpful. Enjoyed my stay!
Jorge,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Katie’s place was perfect for us, conveniently located and nicely appointed. Highly recommended."
Lauren,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Cute, clean + cozy space! 💚"
Miguel,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","Clean, spacious, quiet and easy walk to downtown. Loved the family neighborhood and the kids. Felt very relaxed. Walked downtown very easily. Nice breeze and plenty of windows. Loved it."
Gina,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids",This place was great! Comfortable and clean. We felt right at home.
Debra,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","We felt right at home with Katie and home4now. It was charming ,bright, clean, modern, and uncluttered. Katie was very responsive and friendly. She came out to greet us and visit for a few minutes. She recommended some great restaurants . We loved Nova Cafe for breakfast because of the great vegan and vegetarian options. They also have great traditional food as well. Thanks Katie for a great kick off to our week in Yellowstone!!"
Morgan,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Perfect getaway for two close to downtown! Katie’s place was super clean and easily accessible.
Phoebe,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","The studio was perfectly located, walkable distance to the amazing town of Bozeman. Katie was very responsive and flexible with checkin and checkout, and the space was lovely. Would definitely return!"
Michael,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Had a great stay in Bozeman
Anne,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",We've stayed here twice. Clean and bright. Close to downtown for a reasonable rate. Katie is a great hostess.
Erik,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","This was perfect for what we needed. Clean, safe and comfortable!"
Ingfrid,"Rating, 5 stars
,
·
August 2023
,
·
Stayed about a week","Thank you for your stay, my mom had a great time."
John,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Great location that was peaceful but also walking distance to downtown. The place itself was great - I really appreciated the big comfy bed after a few days of hiking!
Cissy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","We loved the studio! The bed is comfortable, and everything is nice and new clean, and free of clutter. There’s plenty of space for all your stuff in the bathroom, and it was a nice place to relax!"
Meghan,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Lovely spot in Bozeman! Clean and comfortable and close to Main Street!
