name,rating_info,review_text
Shahsuvar,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed over a week",It is great place to stay.
Richard Eduardo,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Great place, although I dislike the hidden price with the ""Cleaning Fee"" I paid 124 per night and the price was marked 58 per night BUT the hidden fee was a really uncomfortable situation. Please, said the truth don't ""create"" a unfair feeling with a big fee."
Elna,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",She was very nice and accommodating. Great place to stay .
Crystal,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Wonderful 😊
Isabela,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Good
Desiree,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Perfect Stay!
Hana,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Just Thank you so much.🙏🙏🙏.
Steeve,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Herline was great , very friendly . The place was cleaned and i felt like i was home , easy check in and out . I was satisfied and definitely coming back ."
Sylvia,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Definitely would stay again!
Khara,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Absolutely loved our time
Feras,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Thank you so much very You are really cool❤️😍
Hassan,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",I had a great experience. The room was on the top floor and was very private and felt like home.
Steven,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Herline is such a nice host! The place has everything I need, and Herline would always help. They also have a dog named Kiki! She’s very cute and fun to play with!
I’d miss them and Kiki!"
Octavio,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Very cozy and welcoming. I enjoyed the old stile version of AirBNB where you stay with real people in their own house but you have your own space and privacy.
Emmanuel,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","Very responsive and accommodating host
I’ll be back definitely"
Deidre,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",A very kind host and the room and amenities were very nice. Great soft bed and linens. cute and cozy. Easy for delivery.
Rixton,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",Was a nice stay I would recommend
Elijah,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",nice spot
Arthuly,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Miss Her line is a great host kind polite clean and I would love to go there again
Natalie,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Place was comfortable and clean. Very quiet in the house; very needed after a long days work. Love that I had my own space with no interference.
Marion,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","Herline was a great host and very friendly. I love the apartment, this room was indeed very private and out of reach and clean. the community was very quiet not too much traffic , I would definitely go back."
Michael,"Rating, 5 stars
,
·
December 2022
,
·
Stayed a few nights",I enjoyed staying here. Its very reasonable and the apartment is private with great hot water. Access is through family space. Be prepared to meet kids and a super cute dog. Ringing in is necessary for access but everyone in the house is welcoming.
Omason,"Rating, 5 stars
,
·
November 2022
,
·
Stayed over a week","It was great, no complaints. Room was as advertised. Quiet, cozy, private."
Jonathan,"Rating, 3 stars
,
·
September 2022
,
·
Stayed one night","The room itself is comfortable, spacious. It’s pretty hidden in the home, You do have to go up a few flights of stairs, would not be able to find without guidance. No front door key was given, so going in and out required communication."
Kyle,"Rating, 5 stars
,
·
September 2022
,
·
Stayed one night","Great place, was really nice for the night I was there. Definitely recommend"
Leandra,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights",Great place! Host was very polite and friendly. Definitely will book again! Thank you
Megan,"Rating, 5 stars
,
·
August 2022
,
·
Stayed about a week","Really nice place, it’s like having your own small studio (it has everything you could need) and the host is really nice."
Scott,"Rating, 4 stars
,
·
August 2022
,
·
Stayed one night","It was a cute room and the host was great, very friendly and kind. The only bad thing was the heat, which is mostly due to it being at the top of the house and their only being AC in the room itself and not in the common area or bathroom. That said it was overall a good experience."
Margaret,"Rating, 4 stars
,
·
August 2022
,
·
Stayed one night",This is a great location for the amphitheater. The space is very private and cozy. It is set up like a small apartment. If you plan on checking in or returning late evening you may want coordinate with the host prior.
Adam,"Rating, 5 stars
,
·
August 2022
,
·
Stayed over a week","Nice little attic space, very comfortable."
Majda,"Rating, 4 stars
,
·
July 2022
,
·
Stayed over a week",Meets our expectations
Carla,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night",Recommended
Villagomez,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",The place was really nice and clean. Looked just like the pictures. Easy check in and check out. Just what we needed for our short stay. Host was very responsive. Would book again.
Betsy,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",The apartment was just as described. It was clean and well equipped. Close to Sacred Heart University which was the purpose of our trip. Wish I had discover this place before my daughter’s graduation this weekend.
Alexa,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",It was real cute and she was really clear with her instructions and rules
