name,rating_info,review_text
Christina,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed a few nights","Great house in a great neighborhood! Everything you need for a pleasant stay, and the beds are super comfortable! Great WiFi and plenty of spaces to work. Lovely backyard as well. Highly recommend!"
Mariana,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Super helpful and kind host! The place was clean and peaceful. I will definitely stay again when i’m in town
Drew,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Nidia’s place was perfect for me - very private and close to everything in Champaign-Urbana. Plus the value for the price was substantial. Highly recommended!
Karen,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","I stayed for the first night of a business trip. Nidia's place was well appointed, clean, and comfortable. The shower was great with good pressure and hot water. The bed was firm and Nidia had provided a tower fan and small heater in case either was needed. I didn't use any of the provided amenities, but they were every bit as nice as a hotel. The only drawback I could see is if you wanted to spend quite a bit of downtime in the space, this might not be the place (she does have another rental tho that has room). If you just need a comfy, safe overnight base of operations, this is a great space! You can definitely tell that she cares for the comfort of her guests and I would recommend this space."
Heather,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",The place was great! Nidia was very responsive and helpful.
Shannon,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed a few nights","This was a perfectly fine stay (for a basement location). All of the essentials were provided. it was slightly cold, but a space heater was provided. It offered good amenities, was clean, and generally quiet. The water temperature was warm, but I never experienced a hot shower. All things considered, decent accommodations for a decent price."
C,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Just an overnight stay, but a very comfortable one! Nidia had thought of everything! Would like to stay again if I return to the area."
Roy,"Rating, 2 stars
,
·
April 2024
,
·
Stayed one night","Good communication from the host, but much smaller space than expected. Not for folks on the taller end"
David,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",All went as planned
Courtney,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Loved this nice little airbnb! private and comfortable! ceiling is quite short so tall people beware! my friend and I are about 5’5” and didn’t have any problems but any taller than 5’7” might have to duck in some parts lol. Nidia was a great communicator and super flexible with our late-night check in! Def would stay again!
Aubree,"Rating, 4 stars
,
·
April 2024
,
·
Stayed one night",great place just no other space to sit but the bed. smells funky
Terance,"Rating, 4 stars
,
·
April 2024
,
·
Stayed one night",I appreciate the host being attentive to my questions.
Matthew,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","The bed was cozy, and the extra blankets/heater were appreciated."
Matthew,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Nidia was a communicative host who keeps a clean space for her guests and perfect location for anyone wanting to explore the area without a vehicle. Would stay with her again upon a return trip!
Kenny,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",nice and cozy stay near uiuc! seamless and easy checkin process and nidia was super accommodating
Audrey,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Cute place, good for a quick stay in Champaign. Very clean, and an easy check in process."
Jacob,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great little place to stay that is central to many other things to do
Kelly,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Very responsive and helpful host!
Rambod,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Would recommend, though watch your head!"
Amy,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Very nice and quiet place. Clean and well stocked with everything one would need away from home. Description is exact and would recommend to others. Safe neighborhood. Very responsive
Troy,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","We stayed in the middle of a cold spell. The heater in the bedroom as needed, but the room was nice and warm. Bathroom was also nice and warm - just have to keep the doors closed. Communication and getting into the unit was very easy."
Enrique,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",.
Logan,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Really appreciate Nidia’s responsiveness as well as the ease of checking in, the location, and the space being exactly what we needed—a small, quiet room we could sleep and recharge in. Thanks!"
Amanda,"Rating, 4 stars
,
·
December 2023
,
·
Stayed a few nights","Great location to downtown, and Nidia was very responsive!"
Marlee,"Rating, 3 stars
,
·
December 2023
,
·
Stayed over a week","I don't recommend this spot for long stays- short stays probably fine. The host is very nice and generally helpful. A couple times there was a lack of communication (car parked in wrong part of driveway, sink broken) in ways that were inconvenient. Place is very clean and generally comfortable but as a basement suite was quite cold in winter aside from the space-heated bedroom. Smoke, cooking smell, and noise tend to come down from upstairs."
Shenjie,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",It is a nice place to stay. Nidia answers my question quickly. The only problems are that there are sometimes noises from above and being careful not to hit your head when stepping down the stairs. I did that sometimes. It will be better if there are some signs to tell me to pay attention.
Stephen,"Rating, 3 stars
,
·
November 2023
,
·
Stayed a few nights","Basement suite was as advertised - clean and functional. However, the ceiling clearance was extremely limited to both enter the basement unit and with several overhead pipes, both of which I frequently banged with my forehead. Suggest you advertise that the unit is best for those whose height is 5’10” tall or under."
Brian,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great place for a weekend visit to U of I.
Pale,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","I had an excellent experience during my weekend at Nidia’s! The guest suite was clean, private, and comfortable. I really appreciated Nidia’s extensive instructions and quick communication, all of which made me feel safe and right at home!
It is a basement suite, so plan accordingly and maybe bring warmer pajamas if visiting in the fall/winter. Nidia also provided a space heater (and a fan for summer months) which worked well.
For those traveling on a research stipend like I was, this is a great option that will not only fit your budget, but give you quick access to the UIUC campus. Next time I am visiting UIUC, I’ll be staying here again!"
Kyle,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Good stay for homecoming!
Ryan,"Rating, 4 stars
,
·
October 2023
,
·
Stayed one night","Very responsive host, good downtown location."
Bill,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Great location, responsive host. Would definitely stay again."
Mathew,"Rating, 4 stars
,
·
September 2023
,
·
Stayed one night",Great location and not bad price! The place itself was clean and pleasant. A little noisy overhead and very low ceilings due to being in the basement. But always fun to stay at unique places and would stay there again!
Danette,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Nadia was a very responsive host. Whenever we needed something, she went out of her way to provide it. The space was clean, quiet & had everything we needed to have a relaxing stay. Very cute & peaceful neighborhood as well. We would consider staying here again when we visit our son at UIUC."
Kyla,"Rating, 4 stars
,
·
September 2023
,
·
Stayed a few nights","Nice neighborhood and clean, private basement apartment space. First floor a bit loud above the bedroom area, but, otherwise, I felt comfortable and safe. Great proximity to downtown."
Margaret,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","This place was perfect for what we needed! We stayed in Champaign for the weekend for a seminar I had to attend, and it was a good location and had just what we needed for our stay!"
Rebecca,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Beautiful neighborhood. Exactly what we were looking for. Nidia was very accommodating. Would definitely stay here again if it was available for another quick trip to see our nephew.
Manas,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Great place to stay!
Angela,"Rating, 4 stars
,
·
July 2023
,
·
Stayed about a week","Mi stay at Nidia, was very nice and quiet. The basement was very spacious, and accommodated all my needs away from home. Anyone looking for a place to call home away from home this would be the place."
Andy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Nidia responds timely, we had no issues checking in."
Ming,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night","Place was clean. Bathroom was very clean! It's still a basement, but was a comfortable stay. Not a lot of seating available: the bed and 2 folding chairs. Kitchenette was sparse, but we didn't really need much anyway. Location was nice, very close to downtown Champaign. Communication was solid. Price was reasonable considering it was graduation weekend, but everything is pretty outrageous at this time."
Cathy,"Rating, 3 stars
,
·
April 2023
,
·
Stayed a few nights","did not get the code to get inside, had to check in to a hotel the first night. host had ""phone problems"". not worth the money."
William,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night",Blocks away from downtown! Easy to access and affordable.
Violet,"Rating, 4 stars
,
·
March 2023
,
·
Stayed a few nights","The location is very convenient to UIUC and on street parking was easy to find. Bring earplugs: you can hear the floorboards creak with every step of the people upstairs, and every word of conversations. The light switches are wired oddly/unexpectedly, which proved a bit of a challenge in the middle of the night and after a long, tiring drive. The mattress had a significant sag/body impression and was long past its retirement age. Everything was very clean, and a coffeemaker was provided."
Jim,"Rating, 5 stars
,
·
March 2023
,
·
Stayed one night",Easy to work with and nice place
Senia,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Nidia was very responsive and even offered great accommodations when coming to check-in times. This place is great when you need a place to sleep after a day of fun!! Would definitely recommend.
Beth,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","Great stay, all the basics covered plus washer and dryer! Responsive host. Recommended"
Corey,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",Would Visit Again 5/5 ⭐️
Frank,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",The space was exactly as described and was perfect for what I was looking for on my trip. The host was outstanding. She was quick to respond and provide help for my questions. The location was great as well. Everything was wonderful.
Michael,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",Nadia’s place was as described. Very clean and comfy bed. She was very responsive. Check in was easy.
Leslie,"Rating, 5 stars
,
·
February 2023
,
·
Stayed one night","We were in town overnight visiting our son. We were looking for a basic, clean place to stay and this listing was perfect. The host was extremely responsive. Thanks for renting to us."
Jefferson,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights",Great host! Would definitely reserve again in the future! The neighborhood and the house are both peaceful and cozy. Host responds quickly and all amenities and furnitures are well arranged and provided.
Tarice,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights",Comfortable bed and great shower
Roland,"Rating, 5 stars
,
·
January 2023
,
·
Stayed about a week",It was a great place in a quiet neighborhood with plenty of street parking and close to downtown. I would love to stay there again in the future.
Kareem,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night",This is my 3rd stay at Nidia’s place and it’s been nothing short of spectacular. Highly recommend
Monique,"Rating, 4 stars
,
·
January 2023
,
·
Stayed one night",Very nice place to stay for a quick overnight. Nice community and very close to the sports arena and restaurants. Would stay again if we go back.
Erin,"Rating, 4 stars
,
·
January 2023
,
·
Stayed one night","A lovely space! Nidia is very responsive. Supermarkets are a little bit of a walk away however location is good, quiet at night."
Elizabeth,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night",Great place. Clean and quiet.
Ashley,"Rating, 4 stars
,
·
December 2022
,
·
Stayed one night","Great for my one night stay, easy instructions and had everything I needed!"
Jake,"Rating, 5 stars
,
·
December 2022
,
·
Stayed one night",Awesome place to stay for the night!
Luis,"Rating, 5 stars
,
·
December 2022
,
·
Stayed a few nights","Great place, quiet space, easy parking"
Mattison,"Rating, 5 stars
,
·
November 2022
,
·
Stayed one night","Cute, and cozy little place to stay! Perfect for an overnight stay. Bedroom warms up nicely/quickly, and the bed is sooooo comfortable."
Karen,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights","In town to visit relatives and just needed a place to sleep. Place was very clean and neat.
Nidia gave clear instructions for accessing property.
I would definitely stay again."
Kareem,"Rating, 5 stars
,
·
November 2022
,
·
Stayed one night",This was my 2nd stay here and all was fine. Highly recommend Nidia as a host
Brett,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights",Another very nice stay. Will stay again!
Stefanie,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights","Nidia’s place was great. It’s walking distance to downtown, the space is clean, and it’s very nice. You do have to watch your head walking down the stairs but other than that you don’t have to duck once downstairs. The shower hot and cold is backwards so just make sure you note that when showering. It got super hot! It’s dark enough to sleep and plenty of light during the day when you open the curtain. Would recommend staying here!"
Mely,"Rating, 5 stars
,
·
October 2022
,
·
Stayed one night","in town for a wedding and needed somewhere to stay that was not overpriced like the hotels in the area. My husband & I had a wonderful stay at Nidia's it was affordable, very clean & bed was so comfortable, would definitely stay again!"
Cacey,"Rating, 5 stars
,
·
October 2022
,
·
Stayed one night","Great place for a short overnight stay! The area is bare bones with a bedroom, mini fridge, microwave, coffee pot, and bathroom. The ceiling is low but was not a problem for me and my husband (both under 5’10”). Nidia is a great communicator and the check in process was easy. The location is amazing!!! It is less than a mile to the downtown area so we were able to walk to get coffee/food. The neighborhood is also safe and very cute. It was a great stay for the price!"
Shayla,"Rating, 4 stars
,
·
October 2022
,
·
Stayed one night","Clean space, has all the necessities and a comfortable bed! We had a brief overnight stay and the suite was very close to our concert venue. There is not a private entry between the main entrance and the suite, and some minor noise could be heard from upstairs but it was within reason (these things did not bother us but may not be some others preference, just an FYI). Great space for an affordable price."
Kristine,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","Perfect quite place close to campus.
Thank you Nidia!"
Carlton,"Rating, 5 stars
,
·
October 2022
,
·
Stayed one night",Perfect for our purposes! Easy and smooth communication!
Brett,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","Quiet, nice location close to campus in the historical neighborhood. Great streaming and internet. Host is friendly and communicative. Nice to have a washer and dryer, and the space is a nice size. Have stayed twice and will stay again."
Brett,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights","Quiet, comfortable, decent neighborhood. My second stay and already reserved another. Wi-Fi is strong and streaming services/TV great too. Host is very responsive and friendly. Just what I need for a place to stay in Champaign. :)"
Brett,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights","Decent and comfortable. It was great for what I needed and at the right price. Thanks, Nidia!"
Megan,"Rating, 5 stars
,
·
September 2022
,
·
Stayed one night","Great- spiffy clean space, simple. Good location, quiet, and totally a great deal. Host with great clear communication."
Adam,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night",We had a great stay. The location is incredible if you want to be close to the attractions Champaign has to offer. Awesome for any couple looking to get away for the weekend. Very close to U of I campus.
Shrish,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights","Very good. But tall people >6'1"" may have a problem."
Tony,"Rating, 5 stars
,
·
August 2022
,
·
Stayed about a week",Nice place. Enough privacy and big room. Sometimes you hear cracks from upstairs but other than that it's been a pleasure to stay here. Nidia is both responsive and kind!
Peter,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights",A great location. The host is responsive and kind. I’ll recommend!
Dave,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night",Thank u for getting back to me quickly!
Erin,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night","Stay was great, and everything was as pictured and listed. Nidia was very responsive. The suite was very welcoming and private. Would definitely stay again, and would recommend to anyone!"
