name,rating_info,review_text
Bradley,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Clean and spacious, comfortable bed, quiet city neighborhood"
Alexis,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Pretty room looking exactly like the pictures. Easy and flexible check-in. We recommend!
Johnny,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",The place was in a great location very close to Downtown. The house was beautiful and the room was very spacious. It had everything I needed. The hosts were quick to respond to my questions. Great place for a great price. I would definitely stay here again.
Krystal,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",I recently stayed at this airbnb for a work trip. It was perfect for me. I was a little concerned about the shared bathroom but it was fine. I plan to stay again when I come back for work.
Lisa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","What a neat historic home. Directions were great. Instructions to get into the house were perfect. Fantastic location to walk around the downtown area to appreciate the architecture and the park.
I had a fantastic ECLIPSE experience. What an amazing town and great place to stay. Definitely recommend this home!"
Christopher,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Awesome stay! Worth the price for sure
Fernando,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Highly recommend this Airbnb for anyone needing a flexible, clean, and affordable room in Columbus. The self-check-in option was convenient, and the room exceeded expectations in terms of space and comfort. A perfect choice for a short stay!"
Matthew,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Is great historic home
Beth,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Will's place was perfect for our needs!
Kasey,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week",Wonderful place to stay!
Michael,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",It was very nice and affordable!
Kyle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",A comfortable bed in a quiet neighborhood. An excellent stay overall.
Erich,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",u
Kasey,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Very nice people! Prompt response to messages.
Jeff,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Really cool historic home with lots of charm and comfortable too! If those walls could speak!!
Erich,"Rating, 5 stars
,
·
February 2024
,
·
Stayed over a week",another great stay.
Erich,"Rating, 5 stars
,
·
January 2024
,
·
Stayed over a week",another great stay at Will's place!
Venise,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Great
Keith,"Rating, 5 stars
,
·
December 2023
,
·
Stayed over a week",Always a great stay at this property. Neighborhood is quiet and peaceful. House has everything you need and then some. Will and his team know what they are doing and they know how to provide 5-Star service!
Melody,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Perfect for our purposes this trip! A large, clean room in historic house. Bathrooms are shared with other guests, but this wasn’t a problem. Very clean throughout, and true to descriptions in listing. For the price, and our needs mainly for a place to sleep, it was well suited. And well managed."
Keith,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Always love to stay at Will’s places!
Kendrick,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Always a pleasure! Great host, great stay!"
