name,rating_info,review_text
Lisa,"Rating, 5 stars
,
·
6 days ago
,
·
Group trip",Great comfortable house - right on the water - quiet peaceful neighborhood
Tawana,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip",A nature lover’s paradise. The home is warm and inviting. The common areas are spacious and well appointed. This was the perfect location on the lake. Jeff was an amazing host!
Sarah,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Had such a wonderful time here and would recommend it to anyone!
Keith,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",Very nice place! The kitchen is over the water on Lake Blackshear. The location is great. Easy check out as well.
Chad,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Great host beautiful home right on the lake!
Ben,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This was such an amazing place! Wish we could stay longer!
Charles,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","Awesome place. Didn't really alot of extra time to explore or partake in any water related activities... And Daphine (restaurant) a place we ate dinner one night was absolutely delicious and hospitality was the way hospitality should be..... Over all a very nice, charming and quite environment..."
Angela,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",Perfect location for our cousins' trip! Thank you!
Tim,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great place and very quiet area. The large driveway was helpful for parking my trailer and three additional vehicles.
Nancy,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","Absolutely loved this stay! Jeff was super friendly and responsive. The home was clean, and the kitchen was hands down my happy place. Every morning waking to see the beautiful lake and sun shining through the windows was serene.
We realized last year when traveling with kids ages 8-15, we need space where we can feel at home and relax. This was everything I could ask for.
After hours of travel, everyone had their own space. The beds were very comfortable.
We will absolutely look to stay here again for our next family reunion."
Audriana,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","Hello everyone, let me just start off by saying God is so good. This Air BNB was a wonderful experience we loved it. My family and I (family of 5) had to stay here for 1 month because our home flooded. We really enjoyed staying here it was really nice. The owner of the Air BNB is super friendly. He was in contact with us the whole time. We didn’t want to leave this place because it felt some much like home. The Air BNB accommodated our family size plus it was really clean and spacious. We will be booking again in the future.
Thanks so much Mr. Jeff for your warm welcomes, and great hospitality."
Anna,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",Beautiful location!
Jade,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","Jeff was an amazing host. Our family came from all over to gather at the lake, and Jeff's place did not disappoint. We will be back :)"
Lionel,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Wonderful place to stay. Very peaceful.
Jackie,"Rating, 5 stars
,
·
November 2023
,
·
Group trip","Thank you, so much will use you his house when in town....:)"
Jeffrey,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great lake house! We’ve stayed a couple of times now and will definitely be back.
Jackie,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",Thank you so much. for the stay the guys a good time and it was perfect place
Todd,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids","Nice home nestled in a beautiful cove just off the main lake. Very convenient especially if you have your own boat or JetSki. This home has its own boat ramp and dock for your toys. Our family had plenty of bedroom space, and living room seating to enjoy the football games. Even though we didn't cook during our stay, there was
a very nice kitchen to cook with plenty of seating for the family of 8 or more. We will definitely be back in the future. Thank you Jeff for all your communication."
Diana,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Jeff was a great host and has a beautiful home!!! I took my husband there to get away for the week after the hurricane came through our hometown. He is a lineman and worked very hard so we just wanted to get away and relax. Jeff’s home was very homey and welcoming! Jeff is one of the nicest home owners that I’ve dealt with and we look forward to booking with him again in the future! Beautiful, peaceful, and relaxing home again! We thank you for allowing us to stay!!!"
Gini,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","The Lake House was everything we could have asked for. It was nicely decorated - with a spacious open floor plan. Everything was well stocked with necessities and plenty of linens, towels etc. The kitchen had everything you would need to prepare your own meals or it is only a short ride to a number of local eatery's if cooking is not part of your vacation plan ;-) The night before our stay there was a bad storm and Jeff drove 70 miles to check everything out and resolved some electrical issues but there was one unforeseen problem with the well caused by the storm that was not apparent until two days later - he rushed a maintenance crew within the hour after we reported the problem and also made the drive again personally thankfully they were able to resolve the issue quickly so that we could continue to enjoy our stay. We hope to return again!"
Michael,"Rating, 5 stars
,
·
August 2023
,
·
Group trip",Really enjoyed this place. Will try and go back soon.
Anne,"Rating, 5 stars
,
·
July 2023
,
·
Group trip",Wonderful location and was perfect for our out of town family.
Monique,"Rating, 5 stars
,
·
July 2023
,
·
Group trip",Great lake house. The team appreciated the accomodations and cleanliness of the space.
Ed,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Lovely spot on the lake...literally on the lake! Look forward to visiting again soon.
Shawn,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Place far out-seeds the pictures and description, complete peacefulness. House is amazing and sits literally over the water. Dock is perfect for relaxing and swimming with the kids. Host was very proactive on communication. Look forward to our next visit!"
Ed,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Really great spot literally right on the lake. Great living area/kitchen. Super comfortable beds. Would highly recommend Jeff's place if you're coming to Lake Blackshear!
Andrea,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","This place was nothing short of amazing! The entry was self-checkin, and once you check in you have arrived! The view of the lake is absolutely breathtaking. There was way more space than we could have imagined and the house is really mesmerizing. It was just what we needed after the tough time my family had. We'll definitely be back!"
