name,rating_info,review_text
Kristine,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Great clean spot, close to Oregon State. Definitely recommend!"
Maria,"Rating, 4 stars
,
·
May 2024
,
·
Stayed over a week","The place looks like in the pictures and it’s very spacious. I stayed here with a roommate (friend from university) and it went well, I slept in the bedroom and she slept in the livingroom’s bed/couch. The kitchen is well equipped and the furnitures throughout the house are in good shape. However the house is quite old which can be noticed sometimes. But overall the place is really nice and we had great time in our long visit here. And Matt and Rachel were very friendly, thoughtful and helpful."
Stacy,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Matt and Rachel’s place is so cute! I thought the pictures didn’t do the place justice. It was very spacious and quiet. They were super easy to communicate with and always responded to me quickly. I definitely recommend their place. Exceptional value for the price!
Audriana,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Comfortable and exactly as described! It exceeded our expectations.
Rebecca,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","This Airbnb was superb. Located in a quiet neighborhood, spacious, thoughtfully decorated,, and very clean. Lots of cozy blankets provided to keep warm during the cool March evenings. We appreciated the message from the hosts when the place was ready early."
Miloslava,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Nice, clean and cozy. Thank you"
Kris,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Their place was small and peaceful! Away from the downtown and university traffic, but close enough that everything was 10 minutes or less in the car! Please was clean and exactly as described! We were very pleased with the place."
Kymberlee,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",My daughter and I stayed here for four nights while we were visiting the area on college tours. It was perfect for us. The house is in a sweet neighborhood on a quiet street and looks exactly like the photos. I thought the bed was heaven and I slept so well! The weather was a little chilly while we were there and we loved all the soft snuggly blankets to curl up under while we watched Netflix together in the couch. Being able to do laundry was a major plus! If my daughter lands at OSU I will definitely want to stay here again. Loved Matt and Rachel’s place!!!
Monica,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Super location for an overnight stay to visit our college students. Comfortable accommodations for two people in separate rooms.
Meridith,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",they were super helpful!
Melanie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Excellent value and extremely well stocked with extras in the kitchen and bathroom. Highly recommended!
Cami,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Very comfortable and cozy stay during a wintery weekend in Corvallis. Hosts let us know when the cleaners left so we could check in early, which was wonderful since we arrived in town earlier than expected and it was very cold and wet (snowed both nights we were there!!). We easily settled in because the property is spacious and has everything you need. I would absolutely stay here again."
Anna,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","We enjoyed our stay at Matt & Rachel’s place. It was quiet, peaceful, and private, and they were very responsive and accommodating. We will be back!"
Bill And Leslie,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Very comfortable furniture, squeaky clean, quiet neighborhood, and well stocked kitchen."
