name,rating_info,review_text
Barbara,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed a few nights","We didn't get to meet Clark. as he was out of town, but his wife Denise was a wonderful host and responded quickly to communications.
Loved the apartment, and would definitely book here again."
Charles,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Quite, private, and convenient! Nice layout, and plenty of room for 1-2 people. I would stay here again!"
Mackenzie,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed with kids","Very nice, and organized guest house."
Haley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Clark was so friendly and respectful. Gave us a lot of insight on the town! But respected our privacy!
Beautiful little apartment, great area for walking and activities/restaurants are close by.
Cute fireplace outside and nice seating outside!
Most comfortable bed !!
Felt very at home here. Would most definitely stay again if we return!"
Bryan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Quiet Location, away from Everyday Noise but close restaurants and Shops."
Ellis,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great place to stay for the weekend. Clean and comfortable. Would definitely stay again.
Pamela & Michael,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Clark's bungalow is small, but has everything. We cooked some things and found all we needed to make our meals. We felt ""at home"" and very comfortable. This is a sweet little find."
Kimberly,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","I’d recommend to stay here, Clark & Denise were very polite, communicative & attentive. Beautiful home, beautiful views & so many places to go in just a few minutes away."
Shenika,"Rating, 3 stars
,
·
October 2023
,
·
Stayed a few nights","I thought it was ok. When we walked inside, it looked very clean and tidy. With further inspection, things were not as though they appeared. My entire backside was covered with pet hair when I sat down on one of the recliners. I was disgusted and couldn't believe the amount of hair that was on the chair. The toilet was not clean and the bathroom floors were dirty. Since this was someone's basement, I expected some noise from upstairs but not what sounded like stomping. Our stay was short and we were only there at night time. It was ok for the price but definitely needed to be cleaned properly."
Frieda,"Rating, 5 stars
,
·
September 2023
,
·
Stayed about a week",We had a wonderful stay! Highly recommend this lovely unit! Great location!
영옥,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Like
영옥,"Rating, 5 stars
,
·
September 2023
,
·
Stayed over a week",I will be back
Jarred,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","fantastic host, definitely will book again!"
Megan,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids",Very nice place. It was the basement of the home but totally fine. Couldn’t even tell they were home the weekend. Very friendly and the place was fabulous. Would recommend and would come back to stay again.
서연,"Rating, 5 stars
,
·
August 2023
,
·
Stayed about a week",It's nice that the neighborhood is clean and quiet.
Johnny,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Mr. Clark was very polite and very respectful. Every-instruction was very clear and understandable! We will be back! Very clean!
영옥,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",I will come again.
Carlos,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids",Amazing place. Definitely a hidden gem.
영옥,"Rating, 5 stars
,
·
June 2023
,
·
Stayed about a week",good place
Angela,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Great spot and easy to communicate. Clark was extremely helpful when we needed something and willing to help. We would definitely stay here again.
Hui En,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Check-in was easy and straight forward. The place is super clean and comfortable and we got everything we needed. Perfect location as it is located in a peaceful neighborhood and accessible to grocery stores/restaurants nearby.
영옥,"Rating, 5 stars
,
·
June 2023
,
·
Stayed about a week",The best space ever!
Arely,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Great host!! Very nice and communicative.
David,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",very quiet very private awesome place to be you're going to be in Dalton
David,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","it's a great place to vacation or sleep while you work they respect your privacy and are willing to go the extra mile to make sure that you are comfortable
I would definitely stay there again"
David,"Rating, 5 stars
,
·
April 2023
,
·
Stayed about a week",I want to thank Clark and his wife Denise for all their hospitality they are wonderful understanding people and I would definitely stay there again if they would let me it's nice going to an Airbnb where you have a full kitchen with a stove dishwasher recliners and convenient locations for food clothing and everything you would need
Bryan,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with kids","The airbnb was in a nice, quiet neighborhood. Walmart only about 1 miles away, same with I-75. Very clean with a full kitchen and large bathroom and shower."
Sergio,"Rating, 5 stars
,
·
March 2023
,
·
Stayed about a week","The house is spacious, comfortable and very clean. Furnitures and equipments are new. The kitchen is very clean and fully equipped (very beautiful!!!).
The bedroom is nice with a big closet. The bathroom is big and very clean.
The neighborhood is very quiet and easy to get places. At walking distance (at least 3 minutes) you will find a nice park for walking or jogging (2 miles)."
David,"Rating, 4 stars
,
·
March 2023
,
·
Stayed a few nights",Great location away from the city noise.
Steve,"Rating, 5 stars
,
·
February 2023
,
·
Stayed about a week",Great place to stay. Responds quickly and proactive to requests.
Claire,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",Clark was a wonderful host and would definitely stay here again.
Sonya,"Rating, 5 stars
,
·
February 2023
,
·
Stayed about a week","Unfortunately, I had to cut my stay short, Clark was extremely gracious with the change of plans."
Kerri,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","I’ve stayed multiple times at this location. Host was quick to respond to messages. It was comfortable, updated, and well lit. Close to so many restaurants, stores, and the interstate. Quiet location, no street noise inside."
Anthony,"Rating, 5 stars
,
·
November 2022
,
·
Stayed over a week","The host was friendly, proactive, and responsive. The place was clean, well decorated, modern, comfortable, and very well-built (quality fixtures and lighting). I have no complaints; this was a good value."
Kaseem,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights",Definitely in my top five Airbnb
Caitlin,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights","This was such an amazing place to stay! Very clean, exact description, easy access to what we needed. It was better than staying at a hotel! We felt safe and right at home!"
Melinda,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Could not have asked for a better host!! The place was perfect for what we needed and truly attractive inside and out. Very centrally located and you will not find a more accommodating host ANYWHERE!!
Carmelo,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Always enjoyed staying here. very peaceful and quite. when I'm in town and have the option to stay here I will always choose this location just outside of dalton.
Carol,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Wonderful stay!
April,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Very clean and comfortable stay
Julio,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","beautiful, very clean house"
Mary,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Nothing they can do about it but barking dogs all night and traffic noise
Brenda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Was a great location for us. Great price! Quiet neighborhood.
Carmelo,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week",really enjoy staying here while working in town. always comfortable and quiet.
Bryan,"Rating, 3 stars
,
·
March 2024
,
·
Stayed a few nights","Stayed here two nights. The area seemed to be clean and never encountered the owners while there. Netflix seemed to be the tv option.
Likes:
-Desk workspace
-Double sinks
-Kureg coffee maker with coffee
-Small refrigerator
-reasonable price
Dislikes:
-shower head is harsh
-extra bed in couch was bad
-noise from passing vehicles
- no vent fan in bath/shower
-turning hard to see small numbers to unlock a key to get in while its pouring raining not fun."
Carmelo,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",really enjoy staying here each time it's been great. Host is great.
Amy,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",The place was as described but there was a musty smell. I also wish that the key code to my entrance wasn't the same as the other room on the property because I accidently walked in on someone else! Meaning they could also gain access to my room too. Ugh. Probably will find soemthjng else because of the security risk to be honest.
Marco,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",A very nice and quiet place for a long stay. great price
Lisa,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Was a nice place to stay
Carmelo,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",I really enjoy staying here when I get the chance.
Carmelo,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",great place to relax
Jacob,"Rating, 5 stars
,
·
February 2024
,
·
Stayed about a week","Beautiful,quite place."
Mary,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Very clean private shower problem otherwise recommend this place
Turleys At Long Springs Tiny Homes,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Stayed here with my daughter for a volleyball tournament. Perfect little place! Very private. Would stay again.
Carmelo,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week",great place to stay. always enjoy the peace and quiet area. Very clean and relaxing place to rest. I appreciate the hospitality.
Carmelo,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",enjoyed the stay appreciate the hospitality
Mahsheed,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week","As usual, Maria’s place was impeccably, clean, and very welcoming.
It is a perfect spot, quiet, but right close to Dalton .
The weather got cold, and I slipped into wonderful warm flannel sheets.
She is so very thoughtful about taking care of her visitors.
Love this place. It’s perfect"
Norman,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Love it. We had a wonderful stay.
Jennifer,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great stay! Would absolutely stay again! Thank you!
Jeremy,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Great little place to stay. We have rented quite a few places from Air BnB but this was the first that was a shared place with an owner. We were a little apprehensive initially. But turned out great. Never even met the owners and only saw what I assume is the husband in the yard a couple times. Exactly what we wanted, privacy. Had a private drive and private bedroom\bathroom. We felt comfortable the entire time. Place was clean and great for a short stay or if your active and not really gonna be in the room a ton."
Carmelo,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",had a wonderful stay once again. I appreciate how comfy and clean the space is. Looking forward to future stays here.
Ashley,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",She was so very helpful with the pullout couch situation! Everything worked out great!
Carmelo,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",always enjoy my stay here. peaceful quiet area.
Seth,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","This is the second time we have stayed with Maria. Both times were great! It is a cozy, peaceful place just a short, easy drive outside of Dalton.
I highly recommend this place."
Carmelo,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",2nd stay here just as delightful as the 1st stay.
Patsy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Great stay, price and location for our trip!"
Carmelo,"Rating, 5 stars
,
·
October 2023
,
·
Stayed over a week",My stay was wonderful. Felt right at home really enjoyed the area. Hosts were great and very welcoming. Peaceful and comfortable place to stay.
Patrick,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","The bed was a bit firm, but other then that, it was an outstanding stay. We had everything we needed and I have zero complaints about the location."
Mike,"Rating, 4 stars
,
·
October 2023
,
·
Stayed a few nights","Clean, quiet and affordable. I will definitely stay again."
Kaylee,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Wonderful stay! No complaints. Easy to find. Super clean!
Mahsheed,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","I think the fact that I have now booked this same venue 7 times speaks for itself.
This space is pristine and quiet.
Maria is a very warm and responsive host and I absolutely love staying here.
It is a sanctuary after 12-14 hour long days, a beautiful retreat.
This is THE place for anyone needing or wanting to stay in Dalton, GA."
Richard,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Simple and pleasant if you don't need a kitchen. Maria is very responsive and keeps a clean house!
Terri,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",It was a very comfortable place to stay. It was quiet and relaxing. We had everything we needed and it was very clean and inviting. Would definitely recommend this place if you are in the area.
Carol,"Rating, 5 stars
,
·
September 2023
,
·
Stayed about a week","Absolutely loved everything about Maria’s beautiful place. I would highly recommend if you want some R&R away from the city with a beautiful view will definitely be booking with Maria in the future. She was also an amazing host and offered any help she could! Would give more than five stars, if I could!"
Marilyn,"Rating, 5 stars
,
·
August 2023
,
·
Stayed about a week","We enjoyed being at Maria De Lourdes's so much! There were so many trees in her yard. The road was very busy but it was hidden by the trees. We enjoyed having our meals on the patio and we enjoyed just sitting outside enjoying the beautiful yards. The apartment was clean and cool. The bed was so comfortable. It would have been nice to have a full-sized refrigerator, but for the price we paid, we have no complaints. Maria and her husband were very nice. They shared fresh figs from their fig tree in their yard. It was an enjoyable stay and we would love to stay there again some time."
Mahsheed,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","This is my sixth stay here. Maria is always responsive and lovely. Her place is perfectly clean and there is a wonderful porch with a nice view.
I will continue to come here-perfect."
Lisa,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Maria was a perfect host. Her descriptions prior to arriving were clear and helpful. Once I arrived, she immediately introduced herself, gave me some suggestions for using the space/locking doors/etc, and reassured me of my safety in and on the property.
The slace was clean and ideal. It was private and had a nice variety of furniture to allow for a good night's sleep, a relaxing sit on the couch, and some productive time at the desk.
I highly recommend and will book with Maria when I return to the area."
Samantha,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Maria is very kind. This place is more spacious in person. Everything was super clean and comfy. I forgot almost all of my toiletries, but Maria keeps the bathroom stocked so that was very helpful. The location is pretty close to Chatanooga which was awesome! I would definitely try and check in during day light since it is a little difficult to see the street once it is dark. I highly recommend staying here!"
Michael,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Had a last minute trip to the area and needed a place for myself and my teenage son to stay for a baseball tournament for the week. This property was perfect for the two of us. Close to the fields and very budget friendly. Would stay again.
Mahsheed,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","I have lost rack of the number of times I have stayed at this lovely place. It has a nice private entrance with a comfortable porch and pretty view. The room is spotless (as is the bathroom).
Maria is also incredibly helpful and responsive and I will continue to come her.
Absolutely worth the stay!
LOVE IT!"
Deb,"Rating, 4 stars
,
·
June 2023
,
·
Stayed a few nights","Maria was very welcoming and greeted us in the Airbnb as we entered from her inside door. The place was as described. We left early due to my husband not feeling well, nothing to do with the Airbnb. Just a few things to note. The entry door only opens half way due to the sofa blocking it. Large people would have a difficult time entering. There were no available electrical sockets near the night stand to charge phones. Electrical sockets on one wall did not work. Found out later there must have been a a light switch somewhere that needed to be flipped. Switches by the front door most were taped down. The air conditioner works well but is extremely loud. There also is a lot of traffic noise. Walkway to the front door needs to leveled for easier entry. I don’t want this to be a bad review they were very nice people just wanted to be honest about the place."
Les,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",It’s not fancy but a affordable and safe place to sleep. Basic amenities at a good price point.
Mahsheed,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","This is my fourth stay at Maria’s place. She is simply lovely and responsive within minutes if not sooner.
She has an extreme kindness.
The apartment is spotless and roomy and I love it.
Anyone who needs to stay in Dalton should stay here. I can’t say enough good things about her and the apartment."
Dianna Ball,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","DEFINATELY arrive during daylight hours if this is your 1st visit to this property!!!
Repeat--arrive during the day.
I was a conference attendee all day and only needed a place to sleep. So I cannot comment on things to do at/near property. Nice patio to eat your takeout.
This suited my need perfectly."
Owen,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",Beautiful back garden
