name,rating_info,review_text
Jordan,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed one night",Cute place in a great location! 10/10 recommend
Kevin,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed one night",Very quiet place that was centrally located to restaurants and the bay. Bree was super responsive and very helpful. We would definitely stay here again!
Sebastien,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed a few nights","Very nice place, well placed to access the I98 to the south beaches or to Mobile / Pensacola. Very clean, well decored, some attentions from the host (really appreciated, thx). Very reactive host. We will recommend this place or rent it again for our friends and familly."
Stephanie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Great accommodations at a reasonable price. Close enough to restaurants and attractions on both sides of Mobile Bay. The condo was clean and nicely decorated and exactly as described in the listing. It was the perfect size for just one person. Great recommendations for things to do and places to eat, too. Easy check-in/out. Would definitely consider staying here next time I’m in the area."
Nicole,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Bree was very understanding and accommodating to our needs! She was very responsive and flexible with check-in/out times! The place was cute and fit us perfectly! I would definitely stay again!
Allen,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Great place. Super clean and quiet. Plenty of restaurants and shopping close by. I would stay again.
Carol,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Condo was in a great location and was clean. Took us a few minutes to find the exact unit though, but maybe we just misinterpreted the directions. The unit has a strange bathroom layout in that the toilet area is a step up from the vanity area so bring a nightlight if you go to the bathroom during the night. First night we had no issues at all. The second night however, the neighbor upstairs was walking heavily/stomping across the floor constantly from about 10:30 to at least 12:30 (confusing since it is such a small unit) so we were unable to sleep and then I never fell asleep after that until after 5am after more heavy walking around 4 am. No other reviews complained about the upstairs neighbor so maybe they had a guest in their unit?? I tried to read to relax but could not get bedside lamp to work. Bree was kind enough to mail back my pillow case after I left my pillow there and was sympathetic to the lack of sleep and planned to talk with the neighbor."
Adam,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",The condo was very nice and matched perfectly to the cleanliness that was shown in the pictures. The host were very responsive and engaged in answering any and all questions I had about the place. Overall a great stay and I would most definitely would stay here again.
Sara,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Bree is a very good host. She made local recommendations and checked in with me to make sure I had everything that I needed.
Lynsey,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Great place!
