name,rating_info,review_text
Stephanos,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",Had a great stay. Elizabeth was very responsive with any questions we had. It was the quiet weekend getaway that we needed.
Karina,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids",Great place to stay! Beautiful home located right next to the river that makes you feel at peace with the nature.
Chris Sørensen,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip",We had a great weekend on the Rock River. Enjoyed the sights of the local state parks while celebrating our NIU graduate.
Gerald,"Rating, 4 stars
,
·
April 2024
,
·
Group trip",loved the location. Chock full of everything you might need for cooking. Bathrooms clean and nicely done. Rear deck and fire pit nice.
Christy,"Rating, 4 stars
,
·
April 2024
,
·
Group trip","The river house was nice, and had a lot of great items in the kitchen for cooking and living room for entertaining. The grill didn’t work, but we enjoyed the large fire pit and they had a lot of wood to burn and cookware to put meat in to roast over the fire so we were able to make meals over the fire which was nice. Bring a lighter though because starting the fire was an interesting achievement for us day one, but day two we were able to keep it going from the night before. The water pressure wasn’t that great, but the bathrooms were fully stocked, and clean. The kids had a great time listening to records, and playing their guitar. We all enjoyed river view, their canoe is gorgeous, and while we didn’t catch any fish, it was a charming, cozy stay in a nice river home. Our children had a blast!"
Planteau,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Beautiful riverside house. Comfortable and convenient. En plein coeur de la nature.
Kevin,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",This was a great place to stay with a lovely river running in the backyard. Elizabeth was always responsive and so friendly!
Genevieve,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Elizabeth’s place was great. We were in town to visit my grandmother for the weekend. We had a 5 year old and an 8 year old with us who loved all the toys.
Kyle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Elizabeth was very responsive and flexible with check in and checking out. I got all the information that I needed before and during our stay at her home. This Airbnb is perfect for kids as they have many toys in the house and in the garage.
Amy,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","This was my first experience renting an Airbnb, and I couldn't be more impressed! Elizabeth was an exceptional host. She contacted me before the trip and gave me detailed information to make our check in easy and helpful information to help us make the most out of our stay.
The house was in pristine condition and had ALL the amenities you would need. Truly all you need to bring is food, the rest is already there to enjoy! You can tell that Elizabeth has spent a lot of care and time into making sure her guests enjoy their stay. She was very friendly and easy to communicate with.
The location is right on the Rock River and close to surrounding towns. You don't need to leave, but if you do, there are many things close in the area to enjoy.
I would absolutely book with her again!"
Megan,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","This place nice and cozy, very beautiful inside and out!!!"
Jasper,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great place!
Eric,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great location- quite nice house…very comfortable! Lots of great hiking around and the local bars are comfy!
Chantal,"Rating, 5 stars
,
·
January 2024
,
·
Group trip",Place was wonderful! Felt cozy like at home and the scenery was beautiful. Elizabeth was very quick to respond to questions - a perfect host. Thanks again.
Anna,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Perfect location surrounded by nature.
Debra,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","Elizabeth’s place was very nice, well kept and located not too far from downtown Oregon. It had everything we needed and beds were very comfortable for all six of us. The kids loved that there were toys & books. We will stay there again; especially in warm weather when we can enjoy the outdoors. Elizabeth was very quick to respond and a great host!"
Yoshua,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","We had an amazing stay at this Riverfront Retreat in Oregon, Illinois! The spacious and cozy interior, updated kitchen, and delightful river views made our time truly special. The deck with a BBQ and the backyard fire pit added to the charm. The location is perfect, just minutes away from hiking spots and the river access is a bonus. The recent renovations and thoughtful amenities, like the pack-and-play, made it family-friendly. Whether you’re looking to fish, hike, or simply unwind, this retreat has it all. Highly recommend!"
Dylan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","I really enjoyed the stay, felt a lot more at home than most places I stay for work."
Wendy,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","We loved this home. It was very comfortable and perfectly met our needs. The home is pristine, well kept, with a very organized kitchen. It is as nice as the photos. The host was very responsive and helpful. 5 star experience all around."
Brian,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","6 of us went here for a girls weekend, it was perfect! The house was very clean & had everything you would need, if you chose to do any cooking, we did not we checked out the restaurants instead. There is a Great Mexican restaurant I highly recommend. Cute little shops to check out as well.
Elizabeth was very responsive to any ? we had. Definitely will be staying here again"
Mary,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","We loved everything about this property. The home was very clean, tidy and had everything we needed. Elizabeth was very responsive and great to work with. We would definitely stay again!"
Maureen,"Rating, 5 stars
,
·
November 2023
,
·
Group trip","We love the house on the river. We had a great time, the house was just it was described and the surrounding is just beautiful. We will be back."
Meghan,"Rating, 5 stars
,
·
November 2023
,
·
Group trip",Excellent stay close to castle rock with great view of river!
Alice,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We really enjoyed our stay. Lovely spot on rock river with easy access to local state parks.
Mark,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We enjoyed the beautiful sunrise and sunset over the tops of the trees each day. A bald eagle showed up around 4pm almost every evening to rest for while in full view across the river. A bird lovers spot with all forest on the other side of the river. My husband and I enjoyed cooking in the open kitchen. So nice to cook in a kitchen that is set up by someone that cooks. We especially liked the beautiful wood cutting boards. We both slept great each night. So private and peaceful. We reluctantly left to go hiking each day. We look forward to staying here again in the future.
Namita,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","This place was just what we needed. A countryside getaway in the fall at a beautiful property, furnished with all the comforts, with lovely indoors and outdoors. The place had everything for our family with senior parents to a 1 year old infant.
Elizabeth was proactive, kind and easy to communicate with, even in the middle of a major life event. She shared local recommendations and pointed us to various resources at home for our kid. We cooked, had a campfire, hiked at nearby trails, took walks around the property, and cozied up next to the fireplace with a book and hot chocolate.
Will definitely be going back for the summer!"
Adam,"Rating, 5 stars
,
·
October 2023
,
·
Stayed over a week",It was a very peaceful place to stay. They were very quick to respond to any questions we had. I would highly recommend this place to anyone looking for a nice peaceful getaway.
Susie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","Loved the house! It was absolutely gorgeous, wish we didn't try and pack so much into the weekend so we could have enjoyed the actual house a little more, but it definitely worked for our needs!"
Teri,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","One of my favorite airbnbs so far! I was looking for a waterfront place, and this country home by the river was perfect. My friend and I would take our chairs and sit and read or talk down by the river...so peaceful watching the river and the fish jump. The house itself is decorated with a quiet palette, and the way the kitchen is stocked with spices and pots and pans (even vanilla!) and the bathroom has extra toothpaste in a drawer, feels very thoughtful and welcoming. My bed was very comfortable as well. The only possible drawback, which doesn't deter me from coming back, is that there is some periodic road noise from Illinois 2, but you don't hear it in the house."
Logan,"Rating, 5 stars
,
·
September 2023
,
·
Group trip","Elizabeth was a very gracious host for a post-engagement weekend getaway. It can sleep 8, but was a very comfortable place for 4. The kitchen was a joy to cook and socialize in, and the outdoor space was well kept."
Daniel,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","We had a wonderful time at Elizabeth's home. The home was clean, comfortable beds, everything you need as far as cooking items and toiletries. Beautiful view of the river and great fishing on the bank right outside the house. Area is very private and peaceful, we would definitely like to come back someday. We had a little issue with the garage door and the DVD player and Elizabeth was quick to respond. Oregon itself was very nice also. Plenty of hiking, antique shopping and we did kayaking on the river....Thanks again Elizabeth for a memorable time!"
