name,rating_info,review_text
Christy,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed one night",Great lil spot!
Kevin,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed a few nights",Awesome find and friendly hosts!
Angela,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed one night","I love how you can enter a code to unlock your door and lock it. I love the barn doors it makes the places look so classy!The huge king size bed was so comfortable! As for being next, to the bar I never heard any noise.The shower amazing, plenty of room plus a big showerhead ,and the next best thing when you stay at an Airbnb is having a washer and dryer and they were so fancy.Thank you Janice and John you have a very beautiful and comfortable place and I can’t wait to come back!"
Bren,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Super cute and comfy place to stay! They were responsive and friendly! Would stay again
Renee,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Fabulous place in a fabulous town.
Diane,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Have stayed here several times and always enjoy it. Clean and cozy, just right for my one night stays on route to family farther south. Sweet place!"
Spencer,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Very cozy stay, will be back!"
Kerri,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Last minute decision to stay here on a long roadtrip. They were immediately responsive to the stay and the place was very quaint and clean! Great stay!
Jerry,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","2nd time staying here, great stays both times"
Victoria,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",This has to be one of my favorite places i’ve stayed. It was a last minute booking on our move across country and it was extremely cozy and beautiful. I did not hear any border from the bar next door and slept like a baby. I highly recommend.
Angelica,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Wonderful place to stay for one night. Very clean. Host was responsive and helpful!
Steve,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","What a great place! I arrived late and had to leave early, but still was able to get some work done. I rely heavily on wifi and The Shoe Inn had a great lightning quick connection! Exactly what I needed!
From the time you enter the front door, The Shoe Inn was immaculent! Everything you need is right there. So clean. The electric fireplace is a visual. Not sure if I was really tired or it was the comfort of the bed and pillows, but I don't think I moved the entire night. I didn't check in until 10:30pm, so the bar connected to the Inn was alive for a Saturday night. The noise... barely heard it and was no issue at all as I had work to do.
I highly recommend staying here if you have the opportunity whether it be one night or more. I'm definitely going to keep a lookout for it on future trips to the area."
Kevin,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Awesome place to stay! Great location!
William,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Great place to rest after a day on the road.
Rhonda,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","I reserved at the last minute and it was quick and easy to pay and have access on short notice. The apt was cute, super clean, and I was able to park right outside the front door which gave comfort as I was transporting expensive items in my vehicle. The local grocery/general store was located right next door so I was able to grab a beer when I arrived and get coffee, a fountain drink, and a ham and cheese sandwich in the morning for the road which cost less than $5! Lovely space! The only issue I had was the keypad to get in. It was a bit fussy for me and took multiple tries to get in."
