name,rating_info,review_text
Michael,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed with a pet","What a great find! Eric is a great host and super helpful, and the place is easy to find and quiet. Lovely back yard and deck to warm up in the sunshine. Would love to stay again!"
Jody,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed one night","We had a great stay, thank you! Excellent location and the space was perfect for our quick stay in Eugene."
Seeley,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed one night",Great little studio close to Hayward Field and places to eat. Cute backyard and deck. Responsive host. Would definitely stay again
Ryan,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet",Great location for an overnight stay while in Eugene!
Skylar,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Eric and his wife were wonderful to work with. I had to book last minute due to an issue and Eric was very understanding and worked with me, so my wife had a safe place to sleep after her nursing shift at Peace Health. I would highly recommend this Host and will book with them in the future."
Craig,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",What a fantastic experience and welcoming place. Would love to stay again .
Kristen,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Adorable little spot! Walking distance to everything! Had a wonderful weekend with my Son who attends the U of O!! Already booked for next year!
Travis,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Easy check in, great location! Very comfortable bed."
Cory,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet","Had a nice stay, yard and deck are lovely. Space was clean and easy to use. Host was very friendly and helpful with a noisy late-night neighbor, I was so grateful for their help!"
Sunaina,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","This is a lovely place to stay with a dog. It didn't feel small. The windows and back deck made it feel spacious.
It was quiet but close to restaurants and UO."
Daniele,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Great location, within walking distance to campus great restaurants, and cute neighborhoods to walk our dogs in. The unit was clean and had everything we needed. Could use a few more plates & cutlery for some snacks we brought. Nice to have a small fridge and a nice outdoor seating area."
Rick,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Perfect place to stay if in town for a track meet or softball game ... actually any Duck sporting event as M Knight Arena and Autzen Stadium really aren't that far away to walk to either. Great restaurants just a block away including fantastic ice cream at Prince Pucklers. Eric's place was as advertised. Very easy to check in and out. Eric accommodated an early arrival time. The place was great ... had everything you would need. Very safe neighborhood. Would certainly stay here again on my next Eugene adventure.
Sheri,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Loved the place. Will definitely return if we are again in the area.
Colton,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Nice place with a great backyard and always a 5star for me if they allow pets
Shannon,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Fantastic stay!
Luis,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Great stay, felt right at home. Nice size studio with a nice bathroom. Private backyard which is great for folks with dogs!"
Lilly,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great place!
Monika,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Loved my stay. The space was cozy, had everything I needed, Eric was helpful and responsive, and the location was unbeatable. I’ll be back for sure! Thanks :)"
Bryan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Great tiny place. Perfect for the night and some future stays when needed
Amber,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","We came into town for a concert at the Stadium and the studio apt was perfect! It was an easy 10min walk to the venue, and the whole space is lovely. We couldn’t have been happier with our night in Eugene and would definitely stay again."
Rebecca,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","The studio was perfectly located and clean, convenient. Cute back yard"
Jennifer,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","It was a short stay to visit the college campus. The location was perfect, the place was exactly what we needed and the entire experience was awesome. We will stay there again next visit!"
Casey,"Rating, 4 stars
,
·
February 2024
,
·
Stayed one night",The studio was exactly what I needed. Check in was a little confusing (maybe it was me coming from a cross country flight) but after that all was great.
Lena,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Eric's place was fantastic! Everything was better than the photos show. Location could not be better for UO or just the awesome vibe of Eugene. Peaceful at night, but just steps away from a bakery, small shop and incredible Italian restaurant.
The bed, linens, and heated floor were luxurious and Eric was so thoughtful with amenities and extras, I won't hesitate to book anywhere else any time I'm in Eugene."
