name,rating_info,review_text
Yu,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Cute and clean little house that fits our needs. Would recommend
Erin,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Tiffani’s place was peaceful and amazing. We enjoyed staying. Clean and comfortable!
Desiree,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Great hosts and nice Airbnb house. Worth booking with them anytime! Thank you so much!
Dina,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Great place. Joyful, clean and easy to find. We would absolutely stay there again."
Jeanie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","What a cute place! It was the perfect size, very clean, and had everything we needed (especially in the kitchen). I would absolutely stay here again."
Joe,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",It was perfect for our stay. We loved that we had easy access to a yard for our little dog.
Christopher,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Kendra was so nice and very easy to get a hold of. she'd very helpful, the house is nice and very clean. I definitely would stay again and would recommend to friends and family."
Rina,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",We enjoyed staying at Kendra & Matthew place. The house is well organized. There is a full functioning kitchen. The house is well kept & in a safe neighborhood.
Reuben,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",We had a great stay and loved the accomodations. Definitely recommend and look forward to visiting again!
Dedric,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Very nice and cozy.
Miranda,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed with kids","Absolutely beautiful home! Spacious and well maintained. After a long drive from South Dakota, check-in was quick and easy with clear instructions. Calming scents and music greeted us when we arrived. The brochures for local suggestions were superb, and the amenities in the house were very thoughtful. The coffee/tea bar area was well stocked, and the kitchen had all the utensils and dishes we needed (though we didn't actually use the kitchen as much as we'd thought we would- there are many great restaurants located conveniently close).
Hot tub was very relaxing, and the lights on the patio added to the experience. We would absolutely stay here again the next time we're in town!"
Yisi,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Highly recommend Fabian’s place of you trying to Shiprock & Bisti area. Place is spotless clean and very large, has plenty of space, also in kitchen has some snacks in kitchen, very useful if you travel to those wildness area."
Krysta,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","What a beautiful home! Very clear instructions and spotless on arrival, super friendly host - would love to stay here again!"
Tasha,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids","Great space, we enjoyed our stay. Thank you Fabian for sharing your home."
Hailey,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet","Clean, spacious house with a great yard that both people and pets appreciated. Accurate to pictures and description. Great experience!"
Courtney,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip",we had a great stay here!! amenities were exactly as described and we had plenty of space
Willy,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids",Wonderful place to stay. Wonderful home. Would definitely stay again.
Jared,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Fabian has an amazing place and is a great communicator.
Rafael,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids",Awesome place
Maria Paz,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids",All good
