name,rating_info,review_text
Lea,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed one night",Great place to stay to visit the Grand Canyon
Marielle Van,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed a few nights",a nice quite place to sleep near the Mountains and the reservations
Julio,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Amazing host, very nice and easy stay."
Benjamin,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Great place to stay at! Would recommend
Furqan,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",We had a wonderful time at this place. The host were really kind and helpful. Very much recommended. We would definitely like to stay again.
Sravan,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",We were looking for a stopover on our way to the Antelope Canyon from Phoenix and Rachelle’s place was the perfect place for a stop. She provided us with a comfortable room and both Rachelle and Randy were very friendly and responsive throughout our stay.
Vyshnavi,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Rachelle’s place was amazing! 🤩 I felt right at home when I went there. I didn’t have a car and used public transportation to get around in Flagstaff. This place is easily accessible by public transportation. The views outside are just stunning! I would definitely stay here again when I visit Flagstaff another time. Thank you, Rachelle!"
Gabriela,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","The host was very kind and attentive, the place was comfortable and safe"
Joanna,"Rating, 4 stars
,
·
2 weeks ago
,
·
Stayed one night","A place that's right for your price. The room is small, but the bed is quite comfortable. There is a fridge and microwave. Hosts share their kitchen, but its cleanliness doesn't encourage."
Shruti,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids",great stay with excellent homely feeling...
Harsh,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Amazing host and great house to stay at. If you are in the area, would highly recommend staying there!"
Laci,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",We had a real nice visit. They were very friendly and accommodating.
Filip,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Fully recommend, like stayin at home"
Dominik,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed one night","Great place to stay, silent and peaceful neighborhood. Hosts are very friendly."
Calvin,"Rating, 4 stars
,
·
May 2024
,
·
Stayed a few nights",It's a good place for a short stay.
Meyhar,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Nice place to stay when visiting flagstaff
Julia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Our stay at Rachelle and Randy’s house was great. The hosts were super nice, the room was prepared with care, and we were provided with every thing we could need - a kitchen, fridge, a washing machine, a clean bathroom. The surrounding is really beautiful, so it’s an amazing place to have a walk. I really recommend this airbnb:)"
Tara,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Perfect safe place close to town if you need a bed for a night or two.
Marie-Claire,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Thank you Rachelle !
YuBin,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",It was the best value for the money. You were so friendly
Luke,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","They seem like very nice hosts. Although different from my faith, I appreciated the pictures of Jesus on the walls of the living room. God bless."
Bret,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Needed a basic, affordable, and flexible place to stay for an unexpected night and this was perfect. Not walkable to much of anything (besides great access to trails!) but easy to connect via bus or rideshare. Very helpful and friendly hosts!"
Michael,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Super place! We felt like at Huase! We would book this room again right away! Thank you!
Nikhil,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Despite our late arrival, Randy warmly welcomed us and guided us to our room. The accommodation is pleasant and essentially comprises a private bedroom. We had a comfortable night's rest, although there is room for slight improvement in cleanliness."
Mary,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Nice little place to stay for a great deal in flagstaff 👍🏼 everything was nice and clean and the host was very nice
Christian Luke,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great place to stay!!
It’s super safe, clean and chill!
Super nice folks as well :-)"
Alycia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Exactly as described. Comfortable bed, friendly hosts, everything was clearly labelled for ease of finding utensils in the kitchen, extra linens, etc. All was good"
Hong Sheng,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Randy is a nice host, he even provided us a free futon bed. Everything was great there."
Jake,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great place to crash for an evening on the road.
Moises,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Lovely and kind hosts! Thank you for the personal touch. Beautiful home and neighborhood. Will definitely have to stop by again! P.S. the the ice scraper was such a lifesaver!!
Claire,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Great place to stay! Rachelle was great at communicating before and Randy was a wonderful host for the night I was there
Paula,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Very friendly family. Room was nice. There are two other airbnb rooms that share the bathroom but another is available upstairs.
They had family visiting suring my stay so there was a houseful but it was still fine."
Ishaan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Rachel and Randy are awesome hosts,and pay attention to your needs as a guest. The room and amenities provided were top notch. I'd definitely recommend this stay."
Zayra,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Great place and host! Totally recommend staying here.
Ryan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Lovely place and great people thank you so much and really appreciate the welcome sign on the door ❤️
Chloé,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great place.
Rachelle was very welcoming, lots of little things that make your stay easier (small lights constantly on, washing machines accessible)
In short, I recommend it 200%"
Ryan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Lovely family will be back again!
Sihana,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Had a great couple of nights; Rachelle’s mum is lovely!
Lukas,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Exactly what we needed, thank you!"
