name,rating_info,review_text
Julie,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed a few nights","I needed a place to stay for a week while I started a new job and found Bryan’s place - sure am glad I did. It was so cozy, had everything you could possibly need, and felt like you were at home. Bryan was super responsive and helpful with any questions I had. I would highly recommend! If I wasn’t moving to town, I would stay here any time I visit!"
Amber,"Rating, 4 stars
,
·
1 week ago
,
·
Stayed a few nights","Amazing place, super clean and flexible space."
Jennie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Nice and comfortable..
Casey,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Ive stayed with Bryan and Tracey several times and their place is always clean is and makes for a great and easy stay
Sharon,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet","Bryan went out of his way to make us comfortable. He was always easy to communicate with and take care of anything you needed. The place was very nicely, decorated and comfortable. And the location was close to restaurants, etc. we would definitely stay there again if we’re near the area."
Rachel,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Very clean! Cute place! Would stay again!
Chris,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Another stay at Bryan's. Great visit, super fresh."
Javeta,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",I enjoyed my mini vacation here . It was quiet and very nice . I especially loved that I was able to bring my dog along with me . They were great hosts and answered any concerns in a timely manner. Would definitely book again.
Chris,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Great vibe, super clean place, spacious. Highly recommend. Feels like home. Bryan is an amazing host."
Gabrielle,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed with a pet",A great clean and cozy stop on our way through Florence to Maryland. We had our dog who is sensitive to other dogs and the owners were so kind to put their dogs up so we could walk ours into the pool house. It was a great location and beautiful yard!
Daiva,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet","So if you want a little slice of heaven, this place is for you. Oh and the birds chipping all day long truly adds to relaxing experience. Not only the pool, the deck and the backyard stunning, the inside of the guest house is just as clean and cozy. Traveled with my two pups and they actually loved meeting Rebecca's fur babies. Didnt want to share this peace of heaven with anyone, cause i wanna be selfish and have it all to myself next time im passing by. This felt like home away from home. Thank you, guys!"
Lisa,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Lovely quiet place a little bit out of town which is what I wanted. Comfortable accommodations and peaceful.
Emilie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","We loved staying here! A great little place, a nice pool, and we even got to see the pups before we checked out! Will definitely stay again if we’re in the area."
Kerri,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet",Beyond perfect :)
Amy,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet",Such an adorable spot! This made for an ideal overnight stop when traveling with pets.
Shane,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","This place was nice, quiet, and cozy. Hosts were nice and helpful, too. If we ever come back to this area we would definitely stay again!"
Michelle,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Exactly as described. Perfect for our overnight stay. Highly recommend.
