name,rating_info,review_text
Keira,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed one night",Great place to stay ! Very clean and easy with instructions
Tyler,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Great place to stay in the Gadsden area!
Pothga,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Absolutely loved staying here! The house was aligning. We had everything we needed. The covered porch was so nice after a long day of hard work. Thank you, thank you"
Sarah,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights",Thomas was a great host and has a beautiful house to stay in - 10/10 recommend.
Roanna,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","My family and I loved our stay at Thomas. The best airbnb we have ever stayed at. Kitchen and bathroom were well stocked.
The beds were comfortable. Will definitely be returning."
Renee,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Thomas was extremely responsive to all questions. House was immaculate. He left a notebook outlining clear instructions on how to lock/unlock door to grinding your own fresh coffee. Checkout was a breeze. Will definitely be back
Angela,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This was our 2nd stay and we love it! The home is comfortable, clean, very updated and easy to find. The neighborhood is quiet and friendly. So close to excellent restaurants and an easy trip to see the lake and water. We will definitely stay again. Love the screened in porch!!"
Billy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This place is fantastic! Family friendly, very clean, everything you need is there! This was our favorite place we've stayed in the area with the most reasonable price! 5 stars all the way around!"
Madisyn,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This home was amazing! I am usually very skeptical of airbnbs but this place made me feel right at home! Thomas was a great host and answered all my questions (which was a lot). All in all, 10/10 recommend! The house had a beautiful location, and was close to a lot of restaurants!"
Bryson,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great, hospitable host with a beautiful place!"
Angela,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Thomas’ home was immaculate and very comfortable. It is an excellent home if you have business or family in Gadsden. Neighbors were polite and neighborhood was very well kept and close to town/restaurants. We look forward to staying again in the future.
Amber,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great house. Very easy to find. Lovely location. Tommy was very helpful with things to do around town. Great for a weekend vacation or any vacation.
Joshua,"Rating, 5 stars
,
·
February 2024
,
·
Stayed about a week","Great house to stay in, extremely clean, modern, great decor and style. Peaceful location as well"
John,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Wonderful place to stay in downtown area . It’s close to many restaurants and shops . We definitely will be back.
Courtney,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip",Nice place to stay
Amanda,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Micah is an amazing host. Very pleasant to interact with. He was so helpful and concerned about our comfort. Excellent communication, even well before we arrived. Offered us a late check out at a very minimal charge, knowing that we arrived very late and had to dress and be fresh the next day for a wedding. Staying at Micah's was refreshing. It's nice to know that their are happy people in the earth still."
Jennifer,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",This was absolutely the coolest Airbnb I have stayed in. It was such a memorable experience.
Nina,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","The Friends Loft was Awesome! Very clean, spacious with an open floor plan in the Kitchen & Living room. The bedrooms frosted doors give extra privacy. I was able to enjoy all the local events by walking a block or 2 from the loft. I also felt very safe and the neighbors were very friendly! I will be renting again for my grandmother 90th birthday celebration!"
Frank,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Easy to communicate with
Octavia,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Great Space! Definitely will be going back. It was chill and relaxing fun.
Jamie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Wonderful place! Spacious! Just as listed! I would HIGHLY recommend!
Brian,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","This was awesome. Super fun visit to nearby Noccalula Falls, then back here for the night. Several excellent restaurants just a few steps away from this loft apartment. The FRIENDS theme was a great idea, and of course we watched a couple episodes which was a lot of fun in the environment that these hosts created. Clean building, safe area, loved it!"
John,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",We had a fantastic stay in the loft. It was a great central spot for our group to gather and take advantage of everything in walking distance.
Lost Boy,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",I would highly recommend Micah’s place it was extremely clean and it was really easy to complete checkin also the whole place smelled really good soon as we walked through the door as well . If you are in need of a place to stay in Gadsden then look no more
Migel,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",It was a great stay
Anne,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Enjoyed a girls weekend with visiting family from out of town. The location was perfect for enjoying the local chili cook off and restaurants. Unit is spacious and comfortable. Theme is on point! Will recommend to family and friends coming to the area.
Aimee & Chris,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","We LOVED Everything about the stay. the loft is fantastic! It is super clean and decorated so cute. the location is close to restaurants, stores, coffee shops. Micah is great with communication. This is where we plan on staying our next trip to Gadsden.
Highly recommend. : )"
Kelsey,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids","Loved this place, will definitely book again!"
John,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Large space with the Friends theme.
Michelle,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",very cute place ..we had a great time
Joseph,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Great location and host. Loft is well within walking distance of anywhere you'd want to go downtown and is drivable to everything else within a few miles. I would definitely recommend it.
Fleenor,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Another great stay!
Fleenor,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Thank you for an awesome stay!
Falon,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","I booked the friends suite for my daughter’s 15th birthday weekend. She was wanting to go ice-skating and we had found the outside arena in Gadsden. I told her to look on Airbnb and see what she could find. She found this Airbnb so I went ahead and booked. The day we left for our fun weekend, her friend tested positive for the flu, so that kind of made the trip a little not so fun at first.
When we got to the apartment it was everything and more than what I saw in the pictures! We enjoyed it and everything we needed was within 5 miles! We are booking again! I HIGHLY recommend it."
Jennifer,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Stayed at Micah's Airbnb and loved it! It's super spacious and comfortable, plus the location is perfect—everything's walkable, but it's far enough away from the action that noise isn't an issue. Micah is an awesome host, super friendly and accommodating. Highly recommend!"
Ryan,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Great place to stay at! Micah was extremely professional and a very great communicator. He went above and beyond my expectations, and look forward to booking with him again! Also very beautiful area and neat town. Tons to do within walking distance!"
John,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet","This is the tip of the sword for Gadsden.
Excellent Location. Stay here it’s perfect."
Britnee,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Great communication! Beautiful place!
